id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25JD2BTYRLLG,2025-09-26T06:40:00Z,Leucate,La Franqui,11370,BUY,HOUSE,650000.0,103.3,4,3,"Imaginez une vie où chaque jour est une évasion, un havre de paix à quelques pas de la Méditerranée. Les Villas Serena ont été conçues, en concertation avec l’Architecte des Bâtiments de France, comm..."
24DFZ1WBPCBV,2024-12-09T19:02:00Z,Castelnaudary,Les Fontanilles,11400,BUY,APARTMENT,138000.0,39.45,2,,"Propriétaire sur le Canal du Midi, en voilà une belle idée ! Urbat s'en est inspiré pour imaginer Le Domaine Castel'Roch à Castelnaudary, cité de caractère entre Méditerranée et Pyrénées, Toulouse et..."
25JGJ3RY74FI,2025-11-27T08:20:00Z,Carcassonne,Montredon-Montlegun,11000,BUY,HOUSE,155000.0,162.0,7,5,"Découvrez cette vaste maison individuelle de 162 m², établie sur une généreuse parcelle de 732 m², offrant à votre famille l'équilibre parfait entre espace et confort. Vous serez séduit par la pièce ..."
25P8CSIIBBFR,2025-11-25T09:23:00Z,Saint Pierre la Mer,Saint-Pierre-La-Mer,11560,BUY,HOUSE,660000.0,157.0,6,5,"Saint-Pierre-la-Mer – Casanova Immobilier vous présente en exclusivité cette maison de charme de 1965, entièrement rénovée avec goût, à deux pas de la plage et des commerces. Elle offre une habitatio..."
25L39RBU1MZU,2025-11-21T01:27:00Z,Narbonne,Baliste,11100,BUY,HOUSE,660000.0,156.0,4,3,"Située à seulement 5mn du centre-ville de Narbonne et à 20 mn des plages, découvrez cette maison à l'architecture contemporaine de 156 m² sur une parcelle joliment aménagée de 1102m² env. avec piscin..."
25MTUDPVB2J6,2025-03-05T00:24:00Z,La Palme,,11480,BUY,HOUSE,880000.0,240.0,8,5,"EN EXCLUSIVITÉ Située à La Palme, entre terre et mer, cette élégante propriété de 240 m² incarne le charme méditerranéen dans un cadre idyllique. À proximité des plages, du village pittoresque, du po..."
24PWXIKLLGZZ,2024-11-20T15:50:00Z,Narbonne,Cassayet,11100,BUY,PROJECT,573000.0,,2,4,Narbonne – Terrain de 718 m² avec maison neuve de 150 m2 + grand garage 2 voitures de 50 m2. Découvrez sans attendre ce terrain de 718m² pour y faire construire votre maison personnalisable neuve de ...
257PH36ZQPVS,2025-03-07T02:26:00Z,Lagrasse,,11220,BUY,HOUSE,795000.0,178.0,5,3,"“Investissement haut de gamme & potentiel d'extension” Propriété écoresponsable avec potentiel d'agrandissement – 180 m² habitables – 1,3 hectare piscinable Située dans un secteur à la fois préservé ..."
25UZX9IJ2I2A,2025-09-19T10:03:00Z,Narbonne,,11100,BUY,HOUSE,425000.0,166.0,5,3,"EXCLUSIVITÉ - Cette maison, située à Saint-Marcel-sur-Aude à seulement 10 minutes de Narbonne, met en avant 3 qualités indiscutables : une terrasse couverte avec cuisine d'été, une exposition sud-oue..."
25E7M6DFIKG8,2025-10-20T07:41:00Z,La Palme,,11480,BUY,PROJECT,490470.0,,4,3,"Maison Kamci, entreprise familiale dans le bâtiment depuis 3 générations, vous offre des conditions exceptionnelles pour concrétiser votre projet inspiré du modèle Cassia à La Palme. PRIX DIRECT BÂTI..."
25DJE9IH1124,2025-10-30T11:06:00Z,Narbonne,Anatole France-Mayral,11100,BUY,PROJECT,377521.0,,4,3,"Maison Kamci, entreprise familiale dans le bâtiment depuis 3 générations, vous offre des conditions exceptionnelles pour concrétiser votre projet inspiré du modèle Cassia à Narbonne. PRIX DIRECT BÂTI..."
25GRZF1TBETR,2025-10-30T13:09:00Z,Marcorignan,,11120,BUY,PROJECT,586873.0,,5,4,"Maison Kamci, entreprise familiale dans le bâtiment depuis 3 générations, vous offre des conditions exceptionnelles pour concrétiser votre projet inspiré du modèle Impéria à Marcorignan. PRIX DIRECT ..."
245364LH22T2,2024-08-29T21:01:00Z,Villemoustaussou,,11620,BUY,HOUSE,432000.0,167.0,7,6,"Dans village très recherché, venez découvrir cette belle villa d'architecte de 167 m² habitables, elle se compose au rez de chausée d'une entrée, cuisine américaine équipée donnant sur une belle terr..."
25DXVDZA7GU7,2025-10-30T15:21:00Z,Roquefort-des-Corbières,,11540,BUY,PROJECT,523075.0,,5,4,"Maison Kamci, entreprise familiale dans le bâtiment depuis 3 générations, vous offre des conditions exceptionnelles pour concrétiser votre projet inspiré du modèle Impéria à Roquefort des Corbières P..."
242V2LNAHJT7,2024-12-24T19:03:00Z,Castelnaudary,Les Fontanilles,11400,BUY,HOUSE,202500.0,81.5,4,,"Propriétaire sur le Canal du Midi, en voilà une belle idée ! Urbat s'en est inspiré pour imaginer Le Domaine Castel'Roch à Castelnaudary, cité de caractère entre Méditerranée et Pyrénées, Toulouse et..."
