id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25NQCXMVKR74,2025-12-01T09:37:00Z,Ségur,,12290,BUY,HOUSE,360000,235.0,8,6,"Barnes propriétés et châteaux vous propose de découvrir cet ancien presbytère du XVIIIe siècle situé entre les grands lacs de l'Aveyron et les plateaux de l'Aubrac. À seulement 20 minutes de Rodez, 2..."
253FY3SN14S8,2025-07-28T15:25:00Z,Roquefort-sur-Soulzon,,12250,BUY,HOUSE,225000,125.0,6,4,"12250- ROQUEFORT SUR SOULZON - MAISON EN PIERRE RENOVEE Au cœur du village de Roquefort-sur-Soulzon , découvrez cette maison de caractère de 125 m² habitables (140 m² au sol), édifiée sur un terrain ..."
25566LGDN4RU,2025-11-10T08:32:00Z,Aguessac,,12520,BUY,PROJECT,246200,,4,3,"A Aguessac, une ville dynamique à taille humaine, dans un quartier pavillonnaire à quelques kilomètres seulement de Millau. Sur un terrain de 300m² clôturé et engazonné, ce pavillon de 88m² dispose d..."
2589DJJE2S4Y,2025-11-10T08:32:00Z,Mayran,,12390,BUY,PROJECT,237000,,4,3,"Mayran, idéalement situé entre ville et nature, à 20 minutes de Rodez, ce pavillon vous permet de bénéficier d'un emplacement de choix et d'un environnement calme et paisible. Sur un terrain de 690m²..."
25L8ZH6M3TZF,2025-11-10T08:32:00Z,Bozouls,,12340,BUY,PROJECT,262500,,4,3,"Idéalement situé dans un environnement calme et paisible, ce terrain dans le lotissement Les Allées d'Aubignac vous permettra de devenir propriétaire. Découvrez cette maison 3 chambres de 87m² : Sur ..."
25ZNJRC37KBN,2025-11-27T13:25:00Z,Colombies,,12240,BUY,HOUSE,139900,164.0,6,4,"10min de Colombiès, charmante maison de 165m² habitables avec sa grange de 200m² sur un terrain d'environ 1300m² La maison se compose d'une jolie salle à manger en premier étage d'une surface de 33m²..."
25RRF983B325,2025-11-27T16:31:00Z,Villefranche-de-Rouergue,Radel,12200,BUY,HOUSE,725000,366.2,12,7,"CHÂTEAU DE CAMPAGNE EN AVEYRON Situation : Ce château se situe dans l’Aveyron en Occitanie, une région avec un beau patrimoine naturel et culturel. À proximité d’un petit village avec toutes les comm..."
25EB3VF8FZDE,2025-11-28T22:52:00Z,Espeyrac,,12140,BUY,HOUSE,27856,89.0,3,2,IDEAL pour un projet de gîte ou une future résidence secondaire Référence 422212026 Age : Femme de 70 ans Bouquet : 27856 EUR Rente : 298 EUR/mois Prix d'achat : 73937 EUR Nous vous rappelons qu'en V...
25WK6DVH3NIL,2025-10-03T11:59:00Z,Le Vibal,,12290,BUY,HOUSE,232000,61.0,3,2,"Cottage de charme en parfait état, prêt à vous accueillir Découvrez ce magnifique cottage de 61 m² habitables, construit en 2022, qui allie modernité et confort. Situé dans un cadre idyllique, avec v..."
25M9FJ8UVAVI,2025-11-28T13:27:00Z,Aguessac,,12520,BUY,HOUSE,268000,130.0,5,4,Dans le charmant village d'Aguessac venez découvrir cette maison au fort potentiel. Dans un village avec toutes les commodités sur place et à 5 min de la ville de Millau. Cette maison comprend à l'ét...
