id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25RXKGCDDX4G,2025-11-26T11:28:00Z,Port-de-Bouc,Ecarts,13110,BUY,APARTMENT,204000.0,43.45,2,1,"Chez vous sans attendre: jusqu'à 4% de remise et frais de notaire offerts jusqu'au 31/12/2025 ! Livraison immédiate à Port-de-Bouc dans la résidence Domaine Castillon, un cadre rare à l'écart du cent..."
256B61EEMEFS,2025-11-19T11:20:00Z,La Ciotat,,13600,BUY,APARTMENT,399000.0,59.0,3,2,"Idéalement située au cœur de La Ciotat, la résidence PATIO CIOTAT offre un cadre de vie privilégié entre bord de mer et centre historique. Entièrement close et pensée pour le confort, la résidence pr..."
25GKZE1EBY6K,2025-11-19T11:20:00Z,La Ciotat,,13600,BUY,APARTMENT,468000.0,81.0,4,3,"Idéalement située au cœur de La Ciotat, la résidence PATIO CIOTAT offre un cadre de vie privilégié entre bord de mer et centre historique. Entièrement close et pensée pour le confort, la résidence pr..."
256NLVJ7UQSP,2025-11-18T07:13:00Z,Marignane,,13700,BUY,APARTMENT,425000.0,85.0,4,3,"COEUR MARIGNANE s'installe sur les hauteurs de Marignane, au cœur d'un environnement naturel préservé où étangs, garrigue et panoramas méditerranéens structurent une qualité de vie rare. Pensé comme ..."
251FCN8PVXEL,2025-11-18T07:13:00Z,Marseille 8ème,,13008,BUY,APARTMENT,942100.0,108.0,4,3,"Découvrez PATIO 8e, une adresse idéale pour devenir propriétaire dans le très recherché 8 € arrondissement de Marseille. À seulement 800 mètres des plages de Vieille Chapelle et de la Pointe Rouge, c..."
251VDX4IBQVQ,2025-11-18T07:13:00Z,Marseille 8ème,,13008,BUY,APARTMENT,288700.0,37.0,2,1,"Découvrez PATIO 8e, une adresse idéale pour devenir propriétaire dans le très recherché 8 € arrondissement de Marseille. À seulement 800 mètres des plages de Vieille Chapelle et de la Pointe Rouge, c..."
25S683MPRD4Z,2025-11-18T07:13:00Z,Marignane,,13700,BUY,APARTMENT,272000.0,49.0,2,1,"COEUR MARIGNANE s'installe sur les hauteurs de Marignane, au cœur d'un environnement naturel préservé où étangs, garrigue et panoramas méditerranéens structurent une qualité de vie rare. Pensé comme ..."
25GLEC6GL6PF,2025-11-18T07:13:00Z,Marignane,,13700,BUY,APARTMENT,292000.0,53.0,3,2,"COEUR MARIGNANE s'installe sur les hauteurs de Marignane, au cœur d'un environnement naturel préservé où étangs, garrigue et panoramas méditerranéens structurent une qualité de vie rare. Pensé comme ..."
25RT6JXAK99L,2025-11-18T07:13:00Z,Marseille 8ème,,13008,BUY,APARTMENT,455800.0,72.0,3,2,"Découvrez PATIO 8e, une adresse idéale pour devenir propriétaire dans le très recherché 8 € arrondissement de Marseille. À seulement 800 mètres des plages de Vieille Chapelle et de la Pointe Rouge, c..."
25KB6QE68BBU,2025-11-17T15:17:00Z,Marseille 15ème Arrondissement,Les Crottes,13015,BUY,APARTMENT,152000.0,42.0,2,1,"Située au cœur du 15ème arrondissement de Marseille, COSY 15e vous propose une résidence moderne et conviviale, offrant un cadre de vie pensé pour le confort et la qualité. Implantée dans un quartier..."
25HUFWES84DR,2025-11-17T15:17:00Z,Marseille 15ème Arrondissement,Les Crottes,13015,BUY,APARTMENT,284000.0,82.0,4,3,"Située au cœur du 15ème arrondissement de Marseille, COSY 15e vous propose une résidence moderne et conviviale, offrant un cadre de vie pensé pour le confort et la qualité. Implantée dans un quartier..."
257EQXHIDP9U,2025-11-17T15:17:00Z,Marseille 15ème Arrondissement,Les Crottes,13015,BUY,APARTMENT,193999.0,50.0,3,2,"Située au cœur du 15ème arrondissement de Marseille, COSY 15e vous propose une résidence moderne et conviviale, offrant un cadre de vie pensé pour le confort et la qualité. Implantée dans un quartier..."
253EITWXJ728,2025-11-27T15:57:00Z,Aix-en-Provence,Mazarin-Opéra-Bellegarde-Mairie,13100,BUY,APARTMENT,1990000.0,201.0,5,4,"Aix-en-Provence – Centre historique Situé au cœur du centre historique d’Aix-en-Provence, à proximité immédiate de toutes les commodités et en vie à pied, ce vaste appartement de 201 m² Carrez occupe..."
25DDGM8ZVKHD,2025-11-10T11:29:00Z,Martigues,,13500,BUY,APARTMENT,378000.0,96.0,4,,"Découvrez Les Terrasses de Martigues, une adresse idéalement située sur les hauteurs de la ville, à seulement quelques minutes du port de plaisance et du Miroir aux Oiseaux. Nichée dans un environnem..."
25ZPVND21MAE,2025-11-10T15:26:00Z,Aix-en-Provence,,13100,BUY,APARTMENT,983500.0,105.0,4,,"Travaux démarrés en mars 2025, Les Oliviers Saint Jérôme est installé dans le quartier recherché de Saint Jérôme, à seulement 2 km du centre historique d'Aix-en-Provence. Ce programme vous propose un..."
251PUW76K8H6,2025-11-10T15:26:00Z,Aix-en-Provence,,13100,BUY,APARTMENT,426000.0,63.0,3,,"Travaux démarrés en mars 2025, Les Oliviers Saint Jérôme est installé dans le quartier recherché de Saint Jérôme, à seulement 2 km du centre historique d'Aix-en-Provence. Ce programme vous propose un..."
25P5AHTWU8DU,2025-11-10T15:26:00Z,Aix-en-Provence,,13100,BUY,APARTMENT,350500.0,44.0,2,,"Travaux démarrés en mars 2025, Les Oliviers Saint Jérôme est installé dans le quartier recherché de Saint Jérôme, à seulement 2 km du centre historique d'Aix-en-Provence. Ce programme vous propose un..."
254RX9AG7XTH,2025-11-24T17:00:00Z,Lambesc,Zone Urbaine,13410,BUY,HOUSE,875000.0,212.0,5,4,"Mon Office Immobilier vous présente à la vente sur Lambesc une maison spacieuse et confortable de 212n m2 avec une Piscine et Jardin arboré sur une parcelle de 4375 m2. L'adresse du bien, la vidéo de..."
257966SNLL59,2025-11-21T21:04:00Z,Marseille 7ème,Endoume,13007,BUY,HOUSE,4500000.0,401.0,8,7,"M-OI Marseille vous propose à la vente cette maison bourgeoise du XIXème rénovée, offrant près de 400m² habitables avec vue mer. L'adresse du bien, la vidéo de visite virtuelle et toutes les informat..."
252T3GX4MIHY,2025-11-10T15:26:00Z,Aix-en-Provence,,13100,BUY,APARTMENT,950500.0,128.0,5,,"Travaux démarrés en mars 2025, Les Oliviers Saint Jérôme est installé dans le quartier recherché de Saint Jérôme, à seulement 2 km du centre historique d'Aix-en-Provence. Ce programme vous propose un..."
25HGG26V4959,2025-11-10T11:29:00Z,Martigues,,13500,BUY,APARTMENT,486000.0,109.0,5,,"Découvrez Les Terrasses de Martigues, une adresse idéalement située sur les hauteurs de la ville, à seulement quelques minutes du port de plaisance et du Miroir aux Oiseaux. Nichée dans un environnem..."
2524ZDKJZFBP,2025-11-26T07:53:00Z,Aix-en-Provence,,13100,BUY,HOUSE,1990000.0,272.0,7,6,"L'Office Immobilier vous présente à la vente cette villa contemporaine spacieuse et lumineuse, à seulement 10 minutes d'Aix-en-Provence, sur la commune de Venelles. . Situation et contexte : Située à..."
25W1LPTI73US,2025-11-24T17:18:00Z,La Fare les Oliviers,Ferrages,13580,BUY,HOUSE,340000.0,78.0,4,3,"Située au calme, dans un quartier prisé de La Fare les Oliviers, proche des écoles, commodités et axes routiers/autoroutiers, jolie maison de type T4, mitoyenne d'un seul côté, d'une surface habitabl..."
25E2VLR33U21,2025-11-28T08:30:00Z,Lambesc,Zone de Campagne,13410,BUY,HOUSE,545000.0,155.0,6,4,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service d'exception. Découvrez une présentation soignée de ce bien : des photos pro, un plan détaillé et une visite virtuelle immersi..."
25IQ69GT36GU,2025-11-12T22:27:00Z,Marseille 8ème,Saint Giniez,13008,BUY,APARTMENT,549000.0,93.0,4,3,"EXCLUSIVITE PRADO / PARC BORELY dans la résidence récente, de standing « 499 Prado » , vente d'un appartement très récent de type 4 avec deux terrasses au calme et garage double. Cet appartement trav..."
255FL5WCCIC7,2025-11-26T10:18:00Z,Rognes,,13840,BUY,APARTMENT,320000.0,103.4,4,3,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service d'exception. Découvrez une présentation soignée de ce bien : des photos pro, un plan détaillé et une visite virtuelle immersi..."
25WF9YPW7XHQ,2025-11-24T15:04:00Z,Lambesc,Zone Urbaine,13410,BUY,APARTMENT,159000.0,34.08,2,1,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service d'exception. Découvrez une présentation soignée de ce bien : des photos pro, un plan détaillé et une visite virtuelle immersi..."
2511A3GGC2F7,2025-11-24T13:59:00Z,Salon-de-Provence,La Valentine-Les Hautes Viougues,13300,BUY,APARTMENT,85000.0,16.93,1,,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service d'exception. Découvrez une présentation soignée de ce bien : des photos pro, un plan détaillé et une visite virtuelle immersi..."
246W6YKVVVTJ,2024-03-07T15:04:00Z,Salon-de-Provence,Le Pilon Blanc,13300,BUY,APARTMENT,262500.0,64.6,3,2,"Découvrez la jolie ville de Salon-de-Provence, dans le département des Bouches-du-Rhône, au cœur de la Provence, avec ses cigales, son soleil et son ambiance particulière qu’on ne retrouve nulle part..."
25D4EW1M695A,2025-03-07T05:43:00Z,Aix-en-Provence,Mazenod-Bellevue-Saint Donat-Banon,13090,BUY,APARTMENT,890000.0,102.0,4,3,"Pierres de Collection est un acteur local de référence dans le secteur de l'immobilier neuf d'exception. Cette annonce est authentique et fait référence à un projet ""réel"". Nous ne publions aucune pu..."
24DYW24RQVF6,2024-05-22T18:41:00Z,Marseille 2ème,Arenc,13002,BUY,APARTMENT,720000.0,66.0,3,2,"OFFREZ-VOUS LES PLUS BELLES VUES DE MARSEILLE. M99, la première tour d'habitation en France depuis plus de 50 ans, s'élève à 99 mètres et redéfinit le paysage marseillais. Du 14e au 29e étage, ses ap..."
2579IQSZSEUX,2025-07-07T12:29:00Z,Istres,Les Échoppes-Les Charmilles,13800,BUY,APARTMENT,165000.0,38.84,2,1,"Devenez propriétaire de votre appartement à Istres ! Dans le prolongement du centre-ville d'Istres, avec COGEDIM ACCESS pour la 1ère fois vous pouvez devenir propriétaire de votre appartement neuf. D..."
25WGBH8EUFA5,2023-04-27T07:02:00Z,Marseille 11ème,Les Accates,13011,BUY,APARTMENT,325600.0,62.46,3,,"LIVRAISON IMMÉDIATE – LOGEMENTS TÉMOINS DISPONIBLES ! Bienvenue à L’OASIS, une résidence signée Sageprim, nichée au cœur de la campagne marseillaise, dans le quartier résidentiel et recherché des Cam..."
