id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25FJSRXH1VHZ,2025-04-08T18:48:00Z,Villers-sur-Mer,,14640,BUY,APARTMENT,174000.0,38.48,2,1,"Entre mer et verdure, un cadre unique pour vivre l'authenticité balnéaire. Imaginez… Votre appartement neuf, ouvert sur un environnement verdoyant où 1 500 arbres seront plantés. Une architecture élé..."
25GS15WA8PW8,2025-04-08T18:48:00Z,Villers-sur-Mer,,14640,BUY,APARTMENT,250000.0,60.64,3,2,"Entre mer et verdure, un cadre unique pour vivre l'authenticité balnéaire. Imaginez… Votre appartement neuf, ouvert sur un environnement verdoyant où 1 500 arbres seront plantés. Une architecture élé..."
25G27W9NBPIV,2025-06-21T08:09:00Z,Caen,Saint Jean,14000,BUY,APARTMENT,301000.0,60.6,3,,"Dernière opportunité à saisir&lt;-strong&gt; ! Découvrez un appartement 3 pièces de 60,6 m², baigné de lumière grâce à son exposition sud, et prolongé par un balcon de 6 m². 10 000 euros de remise + ..."
25UW8B3CALNH,2025-01-06T17:37:00Z,Fleury-sur-Orne,Secteur Périphérique,14123,BUY,APARTMENT,215000.0,47.51,2,,"Cassiopée - Fleury-sur-Orne Bonne nouvelle : les prix ont baissé ! Découvrez Cassiopée, une résidence idéalement située Rue de la Liberté à Fleury-sur-Orne, à seulement 10 minutes* du centre-ville de..."
252WSQN5DSWM,2025-06-20T06:11:00Z,Blonville-sur-Mer,,14910,BUY,APARTMENT,242000.0,43.0,2,1,"À seulement quelques minutes de la plage, ce nouveau programme immobilier propose un art de vivre rare dans un cadre paisible, au cœur de la charmante commune de Blonville-sur-Mer. Ce village côtier ..."
24PQR9AFHGKT,2024-05-31T18:39:00Z,Caen,Saint Jean Eudes-Saint Gilles,14000,BUY,APARTMENT,330000.0,69.29,3,2,"Éléonore - Vivre entre ville, lumière et verdure à Caen Et si vous choisissiez un quotidien plus doux, plus simple, mieux connecté ? Bienvenue à Éléonore, une résidence située au calme, dans le quart..."
254LH4KMNUBT,2025-11-19T15:32:00Z,Ifs,Nord,14123,BUY,APARTMENT,248000.0,79.0,4,1,"Résidence en TVA 5,5 % Découvrez un cadre de vie unique dans une charmante commune, où le confort moderne rencontre la tranquillité. Nous vous proposons des appartements T1 et T2, parfaits pour les j..."
25W2VWBY1GJV,2025-07-02T17:03:00Z,Deauville,,14800,BUY,APARTMENT,229000.0,38.5,2,,"Jusqu'à 10 000 euros DE REMISE + FRAIS DE NOTAIRE OFFERTS* !DEVENEZ PROPRIÉTAIRE À DEAUVILLE Élégance, bien-être, raffinement, profitez au quotidien, le temps d'un week-end ou pour vos vacances de l'..."
24CZQLZHLQC9,2023-11-20T07:43:00Z,Mondeville,Centre Ville,14120,BUY,APARTMENT,148866.0,43.41,2,1,"À deux pas du centre-ville et à 10 min de Caen, découvrez des appartements du 2 au 4 pièces pensés pour votre confort : Espaces lumineux & modernes Balcons, terrasses ou jardins privatifs (selon lots..."
25UCVPYT3IUM,2025-01-06T17:37:00Z,Fleury-sur-Orne,Secteur Périphérique,14123,BUY,APARTMENT,235000.0,65.59,3,,"Cassiopée - Fleury-sur-Orne Bonne nouvelle : les prix ont baissé ! Découvrez Cassiopée, une résidence idéalement située Rue de la Liberté à Fleury-sur-Orne, à seulement 10 minutes* du centre-ville de..."
24H6GC94FWZB,2024-05-31T18:39:00Z,Caen,Saint Jean Eudes-Saint Gilles,14000,BUY,APARTMENT,350000.0,86.57,4,3,"Éléonore - Vivre entre ville, lumière et verdure à Caen Et si vous choisissiez un quotidien plus doux, plus simple, mieux connecté ? Bienvenue à Éléonore, une résidence située au calme, dans le quart..."
25X9FA3PDXVE,2025-04-08T18:48:00Z,Villers-sur-Mer,,14640,BUY,APARTMENT,402000.0,86.5,4,3,"Entre mer et verdure, un cadre unique pour vivre l'authenticité balnéaire. Imaginez… Votre appartement neuf, ouvert sur un environnement verdoyant où 1 500 arbres seront plantés. Une architecture élé..."
24K8BWBVJ9UT,2024-03-11T19:31:00Z,Touques,,14800,BUY,APARTMENT,211000.0,45.07,2,1,"La résidence SEA'SIDE propose des appartements neufs du 2 au 3 pièces, pensés pour aujourd'hui et demain avec : Espaces extérieurs généreux Un cœur d'îlot paysager aux essences variées Des services p..."
24SK52QS85MK,2024-05-31T18:39:00Z,Caen,Saint Jean Eudes-Saint Gilles,14000,BUY,APARTMENT,480000.0,107.54,4,3,"Éléonore - Vivre entre ville, lumière et verdure à Caen Et si vous choisissiez un quotidien plus doux, plus simple, mieux connecté ? Bienvenue à Éléonore, une résidence située au calme, dans le quart..."
257Q75XJKJLU,2025-07-02T17:03:00Z,Deauville,,14800,BUY,APARTMENT,235000.0,33.5,1,,"Jusqu'à 10 000 euros DE REMISE + FRAIS DE NOTAIRE OFFERTS* !DEVENEZ PROPRIÉTAIRE À DEAUVILLE Élégance, bien-être, raffinement, profitez au quotidien, le temps d'un week-end ou pour vos vacances de l'..."
25MFPEWWWBX5,2025-11-09T15:23:00Z,Touques,,14800,BUY,APARTMENT,108000.0,41.0,2,1,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service d'exception. Découvrez une présentation soignée de ce bien : des photos du programme et un plan détaillé pour vous projeter. ..."
