id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
24QN44ZNKCPM,2024-01-03T11:07:00Z,Aurillac,Ponetie,15000,BUY,APARTMENT,298500,112.0,4,3,"Situé en bordure de centre-ville, le quartier de Baradel offre toutes les commodités au pied de la résidence, et la qualité d'un quartier résidentiel. La résidence est équipée d'un ascenseur, et l'en..."
24CU3YV44QWE,2024-01-03T11:07:00Z,Aurillac,Ponetie,15000,BUY,APARTMENT,220000,76.0,3,2,"Situé en bordure de centre-ville, le quartier de Baradel offre toutes les commodités au pied de la résidence, et la qualité d'un quartier résidentiel. La résidence est équipée d'un ascenseur, et l'en..."
2548SU3QLIA6,2025-06-12T07:24:00Z,Molompize,,15500,BUY,HOUSE,130000,118.0,5,4,Martin Veauléger vous présente cette maison en ossature bois de conception récente (2012) située au calme à Molompize (à l'abri des nuisances de la route nationale). Elle offre un cadre de vie modern...
256RNE19P3S2,2025-08-22T18:27:00Z,St Etienne de Maurs,,15600,BUY,HOUSE,126000,75.0,5,3,"Quel beau potentiel ! Une maison Auvergnate magnifiquement située sur un terrain de 4 432 m2. La maison est entourée d'un beau et spacieux jardin avec un petit étang et de vieux arbres, elle offre de..."
251G4XRA8WKD,2025-08-22T18:27:00Z,Maurs,,15600,BUY,HOUSE,165000,220.0,11,5,"Quel potentiel ! A quelques pas de Maurs-la-Jolie, en direction de Figeac, se trouve cette belle propriété. On traverse une rivière, et on suit une toute petite route pour arriver à ce corps de ferme..."
25HR8CWRAD8A,2025-11-10T08:32:00Z,Aurillac,Marmiers,15000,BUY,PROJECT,199000,,3,2,"A Aurillac, idéalement situé entre ville et nature, le quartier de Marmiers sud vous permet de bénéficier d'un emplacement de choix et d'un environnement calme et paisible. Sur un terrain de 726m², à..."
25J8R23XDGF8,2025-11-10T08:32:00Z,Aurillac,Marmiers,15000,BUY,PROJECT,234500,,4,3,"A Aurillac, idéalement situé entre ville et nature, le quartier de Marmiers sud vous permet de bénéficier d'un emplacement de choix et d'un environnement calme et paisible. Sur un terrain de 590m², à..."
25GY1HU4LCBZ,2025-11-19T10:00:00Z,Aurillac,Zone Verte,15000,BUY,PROJECT,330000,,5,5,"A Aurillac, idéalement situé entre ville et nature, le quartier de Baradel vous permet de bénéficier d'un emplacement de choix et d'un environnement calme et paisible. Sur un terrain de 672 m², à pro..."
259XU5QDEJWT,2025-11-14T16:06:00Z,Saint-Paul-des-Landes,,15250,BUY,PROJECT,260000,,5,4,"Saint Paul des Landes, idéalement situé entre ville et nature, à 15 minutes d'Aurillac, ce pavillon vous permet de bénéficier d'un emplacement de choix et d'un environnement calme et paisible. Sur un..."
25JUGBDVHIPN,2025-10-13T22:11:00Z,Arpajon sur Cere,,15130,BUY,HOUSE,267750,104.0,4,3,Je vous invite à venir découvrir sans attendre cette superbe maison de plain-pied édifiée en 2005 située dans un environnement calme et paisible à Arpjon-Sur-Cère. Les transports en commun ainsi que ...
25KU6F6QIYSR,2025-10-20T20:48:00Z,Marmanhac,,15250,BUY,HOUSE,110000,127.0,5,4,"Votre Agence LOMBARD AGIM vous propose d'acquérir une belle maison située sur la commune de Marmanhac. Construite en 1972, sur une parcelle de 607 m² de terrain, cette maison se décompose de la maniè..."
254LRBRM6T36,2025-08-19T21:38:00Z,Védrines-Saint-Loup,,15100,BUY,HOUSE,60000,100.0,1,1,"Maison À Rénover dans le Cantal 15100 Réf 70014RD : Ancien centre de vacances transformable en maison, à rénover intérieurement à votre gout avec petit terrain et place de parking. A découvrir et lai..."
25IPSAK7DIFB,2025-11-09T11:02:00Z,Laroquebrou,,15150,BUY,HOUSE,47000,145.0,6,4,"AFFAIRE A SAISIR : Au coeur d'un joli village touristique maison à vendre en viager libre immédiatement. Elle est composée d'une pièce de vie pleine de charme avec cheminée, une cuisine avec cantou, ..."
25UGVTXQIKZL,2025-11-18T11:18:00Z,Aurillac,Tivoli,15000,BUY,APARTMENT,90000,83.0,3,2,"Nouveauté dans une copropriété agréable et bien entretenue ! Venez découvrir ce bel appartement situé au 1er étage, offrant un cadre de vie calme et verdoyant grâce à sa vue directe sur le parc arbor..."
25XKC4LXVXQ5,2025-11-20T17:12:00Z,Ussel,,15300,BUY,HOUSE,155000,140.0,3,2,"Mandat By Orpi Orpi Immovince vous propose en exclusivité cette maison de 140 m², située à seulement 10 minutes de Saint-Flour. Au rez-de-chaussée, elle se compose d'un bureau, d'une chambre, d'une c..."
25M6FXI9NEQA,2025-11-08T17:24:00Z,Vieillevie,,15120,BUY,HOUSE,550000,390.0,13,7,"Dans les collines sereines qui bordent la rivière Lot, là où la lumière caresse les façades anciennes, se dresse une demeure aux multiples visages — un lieu chargé d'histoire, de charme et de promess..."
25VCF4ZGYRWP,2025-11-21T16:21:00Z,Saint-Flour,Sud,15100,BUY,HOUSE,292800,190.0,7,5,"Orpi Immovince vous propose en exclusivité cette spacieuse maison à proximité immédiate des commerces. D'une superficie de 190 m² habitables sur une parcelle d'environ 2400m2, ce bien familial saura ..."
25WGSACGBHGM,2025-09-09T16:46:00Z,Mauriac,,15200,BUY,HOUSE,98000,106.0,5,4,"Située à 50 minutes d'Aurillac, d'Ussel et de l'autoroute A89, et à seulement 20 minutes de la ville médiévale de Salers, cette maison de 106 m² habitables, de type foyer cantalien, est une belle opp..."
25EQERVX7FNY,2025-10-09T11:26:00Z,Cézens,,15230,BUY,HOUSE,249000,168.0,5,4,"Mandat By Orpi IMMOVINCE Votre agence ORPI IMMOVINCE vous propose en exclusivité cette magnifique maison de caractère située à Cézens (15320), à seulement 10 minutes du plomb du Cantal, 30 minutes du..."
253MY88MRS3Z,2025-09-01T14:39:00Z,Allanche,,15160,BUY,HOUSE,86000,150.0,3,,"Sur les hauteurs d'Allanche, en bordure du plateau du Cézallier, buron dans son état d'origine, complètement isolé, sans vis à vis, vue sur le puy du Sancy et facile d'accès, sans électricité eau de ..."
