id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25J31XB93H7V,2025-10-30T08:17:00Z,Ars,,16130,BUY,PROJECT,170596,,4,3,"Sur ce terrain, nous vous proposons cette maison neuve Aubetière Sud, un modèle traditionnel plain-pied qui fait partie du top 3 des modèles préférés de nos clients. Avec une surface de 88 m², cette ..."
2543S49I6M1H,2025-04-11T00:21:00Z,Cognac,Crouin,16100,BUY,PROJECT,324200,,4,3,"Maison prête à habiter / frais de notaire réduitsA Cognac, côté Faubourg Saint-Jacques, dans un environnement de qualité, découvrez cette maison de plain-pied sur un terrain de 657 m².La surface habi..."
25P4B8MJRQ81,2025-10-30T08:17:00Z,Genté,,16130,BUY,PROJECT,205344,,4,3,"Sur ce terrain, nous vous proposons cette maison neuve : l'Intimity L de la gamme Evasihome, un confort absolu. Parce qu'être parent n'est pas toujours facile quand la petite tribu remue dans la mais..."
25RH8B6EQBX2,2025-10-30T08:17:00Z,Ars,,16130,BUY,PROJECT,263790,,5,4,"Sur ce terrain, nous vous proposons cette maison neuve, la Provencière, conçue par Babeau-Seguin, constructeur offrant le meilleur rapport qualité/prix du marché. Inspirée par le charme de la Provenc..."
25QI9963BC18,2025-10-26T12:50:00Z,Rouillac,,16170,BUY,HOUSE,278000,103.0,5,3,"Optimhome vous présente une maison de plain-pied de 2006, située dans une commune calme à 25 minutes d'Angoulême et 20 minutes de Cognac. La maison offre 103 m² habitables et un cadre de vie conforta..."
255ALJ89GB9W,2025-11-17T13:49:00Z,Brettes,,16240,BUY,APARTMENT,0,,,,test
25RXHIC39QKZ,2025-08-05T12:52:00Z,Brettes,,16240,BUY,APARTMENT,320000,100.0,5,,Souvenez-vous : un descriptif détaillé c'est plus de contacts pour votre annonce. Souvenez-vous : un descriptif détaillé c'est plus de contacts pour votre annonce. Souvenez-vous : un descriptif détai...
249R2FYZFXTG,2024-01-22T23:28:00Z,Confolens,,16500,BUY,HOUSE,175500,178.0,7,5,"REF. 34345 : 175 500 euros H.A.I, Confolens (16), EXCLUSIVITÉ ! centre ville, Joli pavillon d'époque indépendant en pierre, belles prestations intérieures, à usage d'habitation, 178 m2 env. utilisabl..."
25GBINAKGINE,2025-11-10T14:15:00Z,La Rochefoucauld-en-Angoumois,,16110,BUY,HOUSE,525000,459.0,17,10,"Située au cœur d’une charmante ville historique, dans un environnement calme et recherché, cette élégante demeure d’environ 500 m² habitables séduit par son caractère majestueux, son raffinement d’ép..."
25MCHUSHU7XS,2025-08-15T13:41:00Z,Villebois-Lavalette,,16320,BUY,HOUSE,675000,266.0,8,4,"En exclusivité: Maxwell et Baynes vous propose une élégante maison de maître du XIX? siècle offrant 250 m² habitables, une dépendance, un bâtiment avec quatre garages, une piscine chauffée au sel et ..."
2527E51HPF2U,2025-11-13T08:59:00Z,Juillac-le-Coq,,16130,BUY,HOUSE,150000,162.0,6,4,"En exclusivité ce bien vous est présenté à la vente intéractive. Charentaise rénovée – 162 m² de charme et de lumière Située dans un cadre paisible, cette authentique charentaise rénovée allie le car..."
25WGEDAC32GD,2025-08-27T12:12:00Z,Montmoreau,,16190,BUY,HOUSE,477000,215.0,8,3,"Nichée au bout d’un petit chemin, entourée de bois et totalement à l’abri des regards, cette superbe maison charentaise rénovée avec goût offre une alliance rare entre confort haut de gamme, design s..."
25W8K1LUXTWZ,2025-11-01T10:06:00Z,Segonzac,,16130,BUY,HOUSE,350000,250.0,8,4,"En exclusivité, ce bien vous est présenté à la vente intéractive. Nichée en hauteur, au cœur des terres nobles de la Grande Champagne, cette authentique Charentaise de 250 m² offre un panorama à 360°..."
25CYUUFIDBYB,2025-11-06T13:18:00Z,Montrollet,,16420,BUY,HOUSE,189000,120.0,5,3,"Sur la charmante et recherchée commune de Montrollet, venez décrouvrir cette maison en pierre sur sous-sol complet, construite en 1968. A seulement dix minutes de Saint-Junien, vous profiterez d'une ..."
2548N8UF2J73,2025-07-01T07:53:00Z,Gimeux,,16130,BUY,HOUSE,284210,132.99,5,3,À seulement 5 km du centre Leclerc de Cognac. cette maison de plain-pied de 2023 est une véritable opportunité pour ceux qui recherchent le confort. la modernité et la tranquillité. Avec plus de 110 ...
257BW6ZD8Y9B,2025-10-17T16:05:00Z,Gond-Pontouvre,Ouest et Sud,16160,BUY,HOUSE,206700,98.0,4,3,"Dans un environnement calme, découvrez cette maisond'environ 98 m², offrant une entrée,séjour-salon lumineux avec cheminée,une cuisine,un dégagement avec placard, 3 chambres, une salle d'eau, un toil..."
25M2TWSAKIWV,2025-05-30T08:34:00Z,Mansle-les-Fontaines,,16230,BUY,HOUSE,667800,285.0,8,6,"Située à 30 mn d’Angoulême (gare TGV), dans une campagne belle et préservée, cette longère est une superbe propriété de caractère, au charme indiscutable. Offrant environ 285 m² habitables, elle comp..."
25VZ6UJ3DGE1,2025-11-05T00:53:00Z,La Couronne,Centre Ville,16400,BUY,HOUSE,185000,134.0,8,7,"Maison de plain pied avec 4 chambres sur un terrain d'environ 3000 m² proche des commodités. Annonce publiée par Frédéric Selme (EI) votre agent commercial en immobilier LF immo à Ronsenac, 16320 imm..."
25EGSVB5LYZF,2025-03-12T23:22:00Z,Confolens,,16500,BUY,HOUSE,286200,137.0,6,4,"RÉF. 34721 : 286 200 euros H.A.I, EXCLUSIVITÉ! A la recherche d'un bien rare alliant confort, indépendance et potentiel, Idéalement situé à Confolens (16), proximité du centre ville, quartier calme s..."
25DIV5SKIRVB,2025-01-22T22:59:00Z,Abzac,,16500,BUY,HOUSE,140400,141.0,6,3,"RÉF. 34698 : 140 400 euros HAI, Au calme dans un hameau sur la commune d'Abzac (16), proche Confolens, EXCLUSIVITÉ ! ancienne école rénovée en maison d'habitation, 141 m2 env. utilisables, composée a..."
24URNB3EZ3D2,2024-02-29T00:43:00Z,Boutiers-Saint-Trojan,,16100,BUY,HOUSE,208000,188.0,5,3,"Venez découvrir avec le Cabinet LEOTHÉMIS cette charmante villa d'architecte des années 80. Idéalement située en limite de COGNAC, dans un quartier prisé dans la commune de BOUTIERS-SAINT-TROJAN, à p..."
