id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25YFAE4RKCHB,2025-11-29T02:43:00Z,Saujon,Sud Est,17600,BUY,HOUSE,315000.0,133.0,4,3,"17600 SAUJON – ENVIRONNEMENT CALME – PROXIMITÉ CENTRE-VILLE – 3 CHAMBRES – 133 m² – TERRASSE COUVERTE – JARDINET – CARPORT effiCity, l'agence qui estime votre bien en ligne, vous propose cette maison..."
24B782GXG39I,2024-09-26T10:42:00Z,Clavette,,17220,BUY,HOUSE,520000.0,152.0,5,4,"Découvrez ce programme de 6 maisons individuelles vendu à l'achèvement. Maison 2 chambres 72 m², Maisons 3 chambres de 105 à 130 m² et Maison 4 chambres 152 m². Vous trouverez votre bonheur pour vivr..."
25L2R75Y4ET9,2025-10-29T13:12:00Z,Royan,Parc Maisonfort,17200,BUY,APARTMENT,165899.99,39.87,2,1,"Découvrez notre nouvelle résidence l'Éclat Marin, nichée au cœur d'un quartier pavillonnaire à la fois paisible et dynamique. Composée de 38 logements, elle propose des villas T4 avec garage, chacune..."
25YXFET8427Q,2025-10-29T11:25:00Z,La Rochelle,,17000,BUY,APARTMENT,196000.0,29.0,1,,"Ce programme contemporain se distingue par une écriture architecturale marine et raffinée, pensée pour s'inscrire avec justesse dans le tissu urbain rochelais. Conçu en quatre volumes de cinq niveaux..."
25BKY2Z1IDHV,2025-10-29T11:25:00Z,La Rochelle,,17000,BUY,APARTMENT,422000.0,66.0,3,,"Ce programme contemporain se distingue par une écriture architecturale marine et raffinée, pensée pour s'inscrire avec justesse dans le tissu urbain rochelais. Conçu en quatre volumes de cinq niveaux..."
253UBGFCR2VX,2025-10-29T11:25:00Z,La Rochelle,,17000,BUY,APARTMENT,280000.0,39.0,2,,"Ce programme contemporain se distingue par une écriture architecturale marine et raffinée, pensée pour s'inscrire avec justesse dans le tissu urbain rochelais. Conçu en quatre volumes de cinq niveaux..."
25CPQAEBI376,2025-05-14T12:27:00Z,La Rochelle,,17000,BUY,APARTMENT,211000.0,44.2,2,1,"Mélitée, une parenthèse rare entre ville et océan. Au cœur de l'écoquartier de Bongraine à La Rochelle, découvrez une résidence où chaque journée s'ouvre sur l'horizon. Depuis les derniers étages, de..."
24KY5JDV3DWW,2023-11-07T14:48:00Z,La Rochelle,Lafond,17000,BUY,APARTMENT,350000.0,52.81,2,,"Madame, Monsieur, Découvrez notre nouveau programme immobilier, haut de gamme à La Rochelle, idéalement situé dans un secteur prisé à proximité des commerces et du centre-ville Rochelais. Niché dans ..."
24D6UAJRTIPU,2024-05-16T05:32:00Z,La Rochelle,Saint Eloi,17000,BUY,APARTMENT,365000.0,60.8,3,,"[ TRAVAUX EN COURS ] // LA ROCHELLE – Bienvenue à COTE CANAL, votre future résidence alliant nature et vie urbaine, idéalement située aux portes du centre-ville de La Rochelle, le long du paisible ca..."
254L4YQE538Z,2025-09-23T04:52:00Z,La Jarrie,,17220,BUY,APARTMENT,274900.0,78.0,3,,"A 10 MIN* DE LA ROCHELLE ET 15 MIN* DES PLAGES DE CHÂTELAILLON-PLAGE DANS UNE COMMUNE RECHERCHEE, LA JARRIE ! Devenez propriétaire de votre appartement 4 pièces pour 1 109,75 euros/ mois (1) maison 5..."
257Y6EACTHFV,2025-06-25T14:20:00Z,La Tremblade,,17390,BUY,APARTMENT,229000.0,59.0,3,,"LES HAUBANS s'intègre harmonieusement à La Tremblade, commune prisée où nature, confort du quotidien et ambiance balnéaire s'associent tout au long de l'année. Ce programme moderne, constitué de deux..."
25V65YDFSLJS,2025-06-25T14:20:00Z,La Tremblade,,17390,BUY,APARTMENT,177000.0,43.0,2,,"LES HAUBANS s'intègre harmonieusement à La Tremblade, commune prisée où nature, confort du quotidien et ambiance balnéaire s'associent tout au long de l'année. Ce programme moderne, constitué de deux..."
25MWNZP5T1JU,2025-06-25T14:20:00Z,La Tremblade,,17390,BUY,APARTMENT,306000.0,79.0,4,,"LES HAUBANS s'intègre harmonieusement à La Tremblade, commune prisée où nature, confort du quotidien et ambiance balnéaire s'associent tout au long de l'année. Ce programme moderne, constitué de deux..."
