id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25WHYBSYIQ2X,2025-11-26T17:26:00Z,Cerbois,,18120,BUY,HOUSE,198000.0,122.47,6,5,"Longère du XVIII? siècle rénovée – Charme et confort cœur de village Située a 20 mn de Vierzon, au centre d'un village calme et vivant, cette jolie longère du XVIII? siècle d'environ 130 m² habitable..."
25HYY7R3J5EB,2025-10-19T14:26:00Z,Sancerre,,18300,BUY,HOUSE,370000.0,,8,3,"Répartie sur trois niveaux, cette demeure de caractère érigée au 18ème siècle séduit par ses volumes généreux et sa luminosité. Dès l'entrée, ayant conservé ses carreaux de ciment d'origine, le rez-d..."
247D1WZ5CFY6,2024-10-19T02:38:00Z,Bourges,Couronne Centrale,18000,BUY,APARTMENT,228000.0,58.12,3,,DERNIERES OPPORTUNITES - INVESTISSEZ DANS UNE RESIDENCE SENIORS - LIVRAISON IMMEDIATE Une adresse idéale pour réaliser votre investissement en loueur de meublé non-professionnel (fiscalité LMNP). Au ...
25ATQLS852UR,2025-10-26T16:21:00Z,Sury en Vaux,,18300,BUY,HOUSE,424000.0,300.0,8,4,"A 10mn de Sancerre et son vignoble, niché au cœur d'un écrin de verdure de près de 9 000 m², le Moulin de Ville déploie tout le charme des demeures d'exception. Datant des XIIe et XVIIIe siècles, cet..."
25YPS94ZAUFL,2025-11-08T13:30:00Z,Raymond,,18130,BUY,HOUSE,178000.0,206.0,5,3,"EXCLUSIVITÉ VISION IMMOBILIER MAISON FAMILIALE DE CARACTÈRE 206 m2 TERRAIN 1 490 m2 Située au calme, dans la commune de Raymond, cette belle maison individuelle de 206 m2 habitables offre un cadre de..."
25J4LUVAT7B5,2025-08-28T16:53:00Z,Sancerre,,18300,BUY,HOUSE,318000.0,180.0,7,4,"Exposée plein-sud, indépendante et sans vis à vis, cette ancienne maison de vigneron propose sur 3 niveaux : entrée par la terrasse sur la cuisine, entièrement aménagée avec baies vitrées. Salle de d..."
2553X8CC2NPL,2025-10-20T20:35:00Z,Sens Beaujeu,,18300,BUY,HOUSE,130000.0,155.0,6,3,"Au calme et exposée sud, maison de 1824 avec jardin arboré. Entrée sur salon-séjour avec poêle, autre salon avec cheminée insert, bureau ou chambre. Un WC avec buanderie complètent le RDC. A l'étage,..."
25F34I3QS95L,2025-10-20T20:35:00Z,Sancerre,,18300,BUY,HOUSE,150000.0,90.0,4,3,"Bénéficiant d’une belle lumière naturelle, cette maison datant de 1880 propose sur 4 niveaux : entrée, laverie, chambre et salle de douches avec WC. Au premier niveau, salon avec cuisine américaine a..."
255ELBHRKBG7,2025-11-02T18:51:00Z,Sancerre,,18300,BUY,HOUSE,89000.0,55.0,3,1,"Aux détours des ruelles du piton de Sancerre, maison fin 18ème à rénover. Bénéficiant d’un jardin exposé Ouest (cadastré pour 191m2), elle se compose sur env.55m2 de plain-pied : entrée par véranda, ..."
25AZCKNJ77CY,2025-11-28T01:05:00Z,Saint-Just,,18340,BUY,PROJECT,217000.0,,4,3,"Votre projet de construction d'une maison aux normes RT2012 à Saint Just, sur un terrain de 1136m2 proche de toutes commodités. Prix à partir de 217000 euros, le terrain vous est proposé en accord av..."
24D6TBK6MCTY,2019-10-04T01:26:00Z,Bourges,Couronne Centrale,18000,BUY,PROJECT,241000.0,,4,3,"Faire construire à Bourges dans le Cher (18) Votre maison individuelle à Bourges, préfecture d'art et d'histoire à taille humaine A 240 km au sud de Paris, la préfecture du département du Cher mérite..."
256QBSWX1E9L,2025-10-07T05:22:00Z,Allogny,,18110,BUY,PROJECT,285600.0,,6,4,"Allogny Votre projet de construction a 10 min de St Doulchard au calme sans vis a vis sur un terrain entièrement plat , votre projet constructif entièrement personnalisé sera a votre image En accord ..."
24R72JK9K89E,2019-10-04T01:26:00Z,Avord,,18520,BUY,PROJECT,211200.0,,4,3,"Votre projet de construction de maison situé à 21km de Bourges, dans un joli lotissement proche de tous commerces, sur un terrain viabilisé de 880m2. Photos non contractuelles. Prix à partir de 17600..."
25MF55TVH31Q,2025-10-07T05:04:00Z,Saint-Éloy-de-Gy,,18110,BUY,PROJECT,250000.0,,5,4,"A St Eloy de Gy commune a 5 min de St Doulchard Votre projet de construction RE 2020 de 120 m2 avec 4 chambres , grand salon séjour +garage Le terrain en lisière de bois vous offrent calme et charme ..."
243DLIL9YC1E,2019-10-08T23:37:00Z,Vasselay,,18110,BUY,PROJECT,178200.0,,3,2,"Votre projet de construction de maison à Vasselay, à 14 minutes de Bourges et de la zone commerciale de Saint Doulchard, sur un joli terrain plat de 570m2 au calme. Photos non contractuelles. Prix à ..."
24RP5MRGTWNE,2019-09-28T01:40:00Z,Bourges,Couronne Centrale,18000,BUY,PROJECT,236000.0,,3,2,"MAISONS DONA vous propose un projet de construction de maison RT2012 à Asnières les Bourges, sur un joli terrain plat viabilisé de 700m2, proche de toutes commodités. Photos non contractuelles. Prix ..."
256P6DI8JGZE,2025-10-07T05:49:00Z,Bourges,,18000,BUY,PROJECT,190350.0,,4,3,"Bourges Les Breuzes 4 Votre projet a Bourges dans un nouveau quartier proche de toutes les commodités , la maison aux normes RE 2020 vous séduira par son originalité et sa disposition des pièces ."
25XITHCJ2EJZ,2025-10-07T05:15:00Z,Marmagne,,18500,BUY,PROJECT,196200.0,,4,3,"A Marmagne commune a 10 min de Bourges Maisons Dona vous propose votre projet de vie sur tu terrain de 520 m2 , Le projets sera aux normes RE 2020 3 chambres , pompe a chaleur , garage N attendez plu..."
24VM8A2EP1M5,2019-10-05T00:12:00Z,Saint-Georges-sur-Moulon,,18110,BUY,PROJECT,201600.0,,1,3,Projet dans cette commune au nord de Bourges accolée à Saint Martin d Auxigny sur un lotissement entierement viabilisé. Maison RE 2020 tres lumineuse avec belle piece de vie ideale pour toute la fami...
24Z33LA6EVA1,2023-03-14T01:17:00Z,Bourges,Couronne Centrale,18000,BUY,PROJECT,197000.0,,4,3,Votre projet de construction RE 2020 sur une parcelle de 440 m2 envirrons a 2 min des commoditées
24IDAPG7ZMCA,2019-09-20T01:30:00Z,Trouy,,18570,BUY,PROJECT,217000.0,,1,3,"Votre projet de construction d une maison rt 2012 de 90 m² avec 3 chambres , belle piece de vie sdb garage et cellier. A 8 min de Bourges dans une commune tres agreable. Voir nos conditions en agence..."
25PUX4BYDP12,2025-07-09T18:39:00Z,Sancerre,,18300,BUY,HOUSE,326000.0,183.0,6,3,"Cette belle bâtisse d'env. 185m2 au sol propose une entrée sur spacieux salon avec cheminée. Cuisine aménagée, buanderie et WC. Lumineuse salle à manger avec baies vitrées. Toutes les pièces du RDC a..."
252YSGYAIQEX,2025-11-26T15:47:00Z,Saint Doulchard,Rural,18230,BUY,HOUSE,212000.0,115.0,5,3,"Votre agence ERA vous propose en exclusivité cette charmante maison idéalement située dans une impasse paisible de Saint-Doulchard, à proximité immédiate de la clinique Guillaume de Varye. Offrant un..."
25X2R8NTIPX3,2025-11-19T07:40:00Z,Orval,,18200,BUY,HOUSE,110000.0,96.0,5,3,"Votre agence ERA Avaricum, a trouvé le bon coin pour se loger avec cette Maison de 96 m² située sur la commune d'Orval au centre de la France, implantée sur un terrain de 339 m². Elle se compose de t..."
257G1KNTCWUG,2025-11-24T17:15:00Z,Bourges,Centre Ville,18000,BUY,APARTMENT,80000.0,48.0,2,1,"Votre agence ERA, à Bourges, a trouvé le bon coin pour se loger. Cet appartement en Duplex de 48 m² est un véritable bijou, laissant un potentiel de transformation. L'appartement se au fond d'une cou..."
25CY8HG6AHD1,2025-09-25T10:05:00Z,Germigny l Exempt,,18150,BUY,HOUSE,214000.0,127.0,5,3,"À vendre en exclusivité avec votre agence ERA : découvrez cette authentique longère pleine de charme située sur la commune de Germigny-l'Exempt. Offrant 127 m² habitables répartis sur deux niveaux, e..."
25EKNYDLVYXF,2025-11-18T14:46:00Z,Veaugues,,18300,BUY,HOUSE,185000.0,356.0,14,7,"Située à 15mn de Sancerre, dans un village dynamique avec commerces et services, cet ensemble immobilier se compose de 2 maisons: - Une maison principale très lumineuse sur sous sol de 256 m² : Au re..."
2556N3QBDD4L,2025-11-18T11:40:00Z,Aubigny-sur-Nère,,18700,BUY,HOUSE,142000.0,103.0,5,3,"Située au coeur d'Aubigny-sur-Nère, charmante ville historique, cette agréable maison de plain-pied offre un cadre de vie idéal. Vous profiterez d'un emplacement recherché, permettant de rejoindre à ..."
25EH4Z1GXS8K,2025-10-30T14:10:00Z,Vierzon,Bois Marteau-Grelet,18100,BUY,HOUSE,210000.0,120.0,5,3,"iad France - Eric Garnier vous propose: Une très belle opportunité à saisir à Vierzon. Au cOEur d'un quartier pavillonnaire calme et recherché, découvrez cette belle maison contemporaine, lumineuse, ..."
