id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25IBANUTFQG2,2025-09-30T03:44:00Z,Corrèze,,19800,BUY,HOUSE,199500,105,5,3,"iad France - Franck Monforte vous propose: Magnifique Maison Traditionnelle avec Terrasse, Garage et Jardin à Corrèze Vous cherchez une charmante maison traditionnelle, prête à vous accueillir et à v..."
255S478I9LVL,2025-11-19T08:28:00Z,Corrèze,,19800,BUY,HOUSE,145000,160,8,5,"Plongez dans le charme de cette maison individuelle de 160 m², parfaitement nichée dans une impasse paisible à Corrèze. Une perle rare offrant un fort potentiel pour répondre à vos aspirations de gra..."
25BQHUVEGPGI,2025-04-14T20:23:00Z,Corrèze,,19800,BUY,HOUSE,255000,159,6,4,"iad France - Cindy Legros vous propose: Exceptionnelle maison de 159m² sur un terrain de plus de 2000m² à Corrèze ! Rare sur le marché, cette splendide maison individuelle située à Corrèze est un vér..."
25P34IILPNI1,2025-08-05T22:34:00Z,Corrèze,,19800,BUY,HOUSE,255000,160,7,4,19800 CORREZE - PAVILLON DE 160M² HABITABLE - 4 CHAMBRES -7 PIECES - AU CALME - VERANDA- PISCINE ENTERREE - DOUBLE CARPORT BOIS - TERRAIN CLÔTURE DE 2112 M² Pascale Cessac vous présente : ce charmant...
253RHQS6XQQ9,2025-06-24T03:47:00Z,Corrèze,,19800,BUY,HOUSE,85000,120,4,3,"iad France - Manon Bourrel vous propose : Maison de village avec vue dégagée Située dans un environnement paisible, cette maison de village offre deux niveaux habitables, implantés sur un terrain en ..."
25ZCNK6G1R41,2025-10-15T17:14:00Z,Corrèze,,19800,BUY,HOUSE,199500,105,4,3,"Bien rare sur le secteur ! Maison de 105 m2 de PLAIN PIED au calme et à proximité immédiate du bourg avec crèche, école et collège Disposant d'un vaste espace de vie de 58m2 avec cuisine ouverte, sal..."
25VJCSJMZY6E,2025-11-13T16:32:00Z,Correze,,19800,BUY,HOUSE,183300,130,6,4,"IMMODU19.FR/ Maison d'habitation d'environ 130 m², elle est composée d'une grande entrée, un salon, une cuisine ouverte sur salle à manger, une chambre, une salle de bain avec Wc, à l'étage trois gra..."
25IJ9K4GD36J,2025-11-13T16:26:00Z,Correze,,19800,BUY,HOUSE,183300,130,6,4,"IMMODU19.FR/ Maison d'habitation d'environ 130 m², elle est composée d'une grande entrée, un salon, une cuisine ouverte sur salle à manger, une chambre, une salle de bain avec Wc, à l'étage trois gra..."
25388PNQ4QTN,2025-11-24T05:49:00Z,Correze,,19800,BUY,HOUSE,91800,108,6,4,"Au calme, jolie maison de bourg en pierres avec 2 entrées. Au 1 er étage: agréable salon avec pierres et poutres apparentes, cuisine séparée. Au-dessus: palier, 2 chambres, un bureau. Wc. Sous comble..."
251RARCY8E2H,2025-01-29T22:04:00Z,Corrèze,,19800,BUY,APARTMENT,220000,233,3,1,"Opportunité rare, à saisir : Immeuble de rapport clé en main, idéal investisseur. Complétement rénové. Rente annuelle des loyers : 21 000 € hors charges. Chauffage gaz basse consommation et poêles à ..."
