id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
252ZJGXMIR19,2025-11-04T15:27:00Z,Thoiry,,01710,BUY,APARTMENT,497900.0,88.0,4,,"Les Cimes du Mollard est un nouveau programme situé dans un environnement privilégié à Thoiry, au sein d'un quartier calme bénéficiant de vues dégagées sur les reliefs voisins. Cet ensemble propose d..."
25NITQIBNVC1,2025-11-04T15:27:00Z,Thoiry,,01710,BUY,APARTMENT,273900.0,42.0,2,,"Les Cimes du Mollard est un nouveau programme situé dans un environnement privilégié à Thoiry, au sein d'un quartier calme bénéficiant de vues dégagées sur les reliefs voisins. Cet ensemble propose d..."
25NDW344D8UB,2025-11-04T15:27:00Z,Thoiry,,01710,BUY,APARTMENT,367900.0,64.0,3,,"Les Cimes du Mollard est un nouveau programme situé dans un environnement privilégié à Thoiry, au sein d'un quartier calme bénéficiant de vues dégagées sur les reliefs voisins. Cet ensemble propose d..."
25QHZEIPJI1C,2025-10-22T10:51:00Z,Divonne-les-Bains,Centre,01220,BUY,APARTMENT,385000.0,48.0,2,,"Les Balcons de Divonne s'intègre harmonieusement dans le décor d'exception de Divonne-les-Bains, une commune réputée pour son cadre paisible et verdoyant, entre lac et montagne. Son architecture élég..."
25BCNGK1X3LT,2025-07-24T08:08:00Z,Bourg-en-Bresse,Baudières,01000,BUY,APARTMENT,190700.0,78.39,4,,Démarrage des travaux &amp; baisse de prix sur nos appartements neufs du 2 au 4 pièces avec espace extérieur à BOURG-EN-BRESSE ! Devenez propriétaire pour le même prix que votre loyer grâce à la TVA ...
25T11BLFFVW2,2025-06-18T08:10:00Z,Bourg-en-Bresse,Baudières,01000,BUY,APARTMENT,149000.0,59.89,3,,Démarrage des travaux &amp; baisse de prix sur nos appartements neufs du 2 au 4 pièces avec espace extérieur à BOURG-EN-BRESSE ! Devenez propriétaire pour le même prix que votre loyer grâce à la TVA ...
25GIZPGL7T56,2025-09-27T08:08:00Z,Bourg-en-Bresse,Baudières,01000,BUY,APARTMENT,125000.0,45.09,2,,Démarrage des travaux &amp; baisse de prix sur nos appartements neufs du 2 au 4 pièces avec espace extérieur à BOURG-EN-BRESSE ! Devenez propriétaire pour le même prix que votre loyer grâce à la TVA ...
25NGBY9XMJY8,2025-10-01T13:24:00Z,Ornex,,01210,BUY,APARTMENT,410000.0,63.0,3,,"Bienvenue à Symbiose, une résidence située dans un cadre privilégié, à seulement 15 minutes du centre de Genève. Placée à proximité immédiate de la douane, elle bénéficie d'un accès direct aux transp..."
25SX17ILQR8I,2025-09-12T18:42:00Z,Bourg-en-Bresse,,01000,BUY,APARTMENT,139000.0,43.0,2,1,Ville : Bourg-en-Bresse Code postal : 01000 nom du programme : PATIO BRESSE Stationnement : Stationnement inclus Offre : générique Transforme le texte donné plus bas et remplace le nom du programme p...
25Y2WDVTRSVK,2025-09-12T18:42:00Z,Bourg-en-Bresse,,01000,BUY,APARTMENT,88374.0,19.0,1,,Ville : Bourg-en-Bresse Code postal : 01000 nom du programme : PATIO BRESSE Stationnement : Stationnement inclus Offre : générique Transforme le texte donné plus bas et remplace le nom du programme p...
252BKWCC55RA,2025-09-12T18:42:00Z,Bourg-en-Bresse,,01000,BUY,APARTMENT,239000.0,79.0,4,,Ville : Bourg-en-Bresse Code postal : 01000 nom du programme : PATIO BRESSE Stationnement : Stationnement inclus Offre : générique Transforme le texte donné plus bas et remplace le nom du programme p...
25WLKR2YD6MT,2025-09-12T18:42:00Z,Bourg-en-Bresse,,01000,BUY,APARTMENT,165000.0,54.0,3,,Ville : Bourg-en-Bresse Code postal : 01000 nom du programme : PATIO BRESSE Stationnement : Stationnement inclus Offre : générique Transforme le texte donné plus bas et remplace le nom du programme p...
25PK1IBZTM3P,2025-07-28T18:23:00Z,Ornex,,01210,BUY,APARTMENT,321000.0,42.0,2,,"Bienvenue à Symbiose, une résidence située dans un cadre privilégié, à seulement 15 minutes du centre de Genève. Placée à proximité immédiate de la douane, elle bénéficie d'un accès direct aux transp..."
25P1L3NRVJGH,2025-07-23T14:26:00Z,Ferney-Voltaire,,01210,BUY,APARTMENT,290000.0,47.0,2,,"À Ferney-Voltaire, découvrez Équilibre Voltaire, une adresse d'exception au cœur de l'agglomération franco-genevoise. À deux pas du centre-ville et tout près de la frontière suisse, cette nouvelle ré..."
25J9HVF7BRE1,2025-07-23T14:26:00Z,Ferney-Voltaire,,01210,BUY,APARTMENT,380000.0,69.0,3,,"À Ferney-Voltaire, découvrez Équilibre Voltaire, une adresse d'exception au cœur de l'agglomération franco-genevoise. À deux pas du centre-ville et tout près de la frontière suisse, cette nouvelle ré..."
25KRL9TCFGTD,2025-05-23T10:26:00Z,Ambérieu-en-Bugey,Les Perouses-Triangle d'Activité,01500,BUY,APARTMENT,123000.0,39.0,2,,"Idéalement située sur la place Pierre Sémard, en plein cœur d'un projet de réaménagement urbain porté par la commune, LES TERRASSES D'AMBÉRIEU s'intègre avec élégance dans le paysage d'Ambérieu-en-Bu..."
25BKQMMLIWU4,2025-04-02T14:33:00Z,Ségny,,01170,BUY,APARTMENT,255000.0,48.0,2,,"L'architecture de Cœur de Segny marie élégamment des lignes contemporaines aux codes traditionnels locaux. Réparti entre maisons individuelles et résidences de faible hauteur, le programme a été conç..."
249C7VVSJKN6,2024-11-22T11:16:00Z,Sergy,,01630,BUY,APARTMENT,349676.0,69.0,3,2,"Vivez dans un cadre idyllique, entre montagnes et nature, tout en restant proche des commodités. Les Prairies du Jura est un programme immobilier en PSLA situé à Sergy qui s'inscrit dans un nouveau q..."
25819T8PGSM8,2025-11-26T10:09:00Z,Trévoux,Est,01600,BUY,APARTMENT,170000.0,53.0,3,2,"Découvrez cet appartement entièrement refait à neuf de 53 m² , situé en hyper-centre de Trévoux, au 13 boulevard des Combattants. Il se trouve au 1er étage d'une petite copropriété entièrement rénové..."
25F6RWTR1MEB,2025-11-26T10:09:00Z,Trévoux,Est,01600,BUY,APARTMENT,190000.0,91.0,5,3,"Découvrez cet appartement traversant de 91,02 m² Carrez, situé en hyper-centre de Trévoux, au 13 boulevard des Combattants. Il se trouve au 2 € et dernier étage d'une petite copropriété entièrement r..."
25MVCW2CB3AS,2025-11-26T10:09:00Z,Trévoux,Est,01600,BUY,APARTMENT,110000.0,38.0,2,1,"Découvrez cet appartement traversant de 38 m², situé en hyper-centre de Trévoux, au 13 boulevard des Combattants. Il se trouve au 1er étage d'une petite copropriété entièrement rénovée récemment : fa..."
2586QMKV2DUE,2025-10-06T12:12:00Z,Neyron,,01700,BUY,HOUSE,869000.0,256.0,6,5,"Maison de charme avec vue panoramique Villa de 256 m², nichée dans un écrin de verdure sur un terrain de 2400 m² clôturé et paysagé, offrant une vue panoramique exceptionnelle. Cette demeure est un v..."
24EMTW9Q6SX8,2024-11-25T19:36:00Z,Bourg-en-Bresse,,01000,BUY,APARTMENT,111083.0,43.0,2,,"[GRAND LANCEMENT - FRAIS DE NOTAIRE OFFERTS* POUR LES 20 PREMIERS]. Cette résidence située à Bourg-en-Bresse, dans un quartier en plein essor, bénéficie d'un emplacement stratégique. Elle se distingu..."
25ZJSHHE4ZFL,2025-10-01T13:24:00Z,Ornex,,01210,BUY,APARTMENT,560000.0,87.0,4,,"Bienvenue à Symbiose, une résidence située dans un cadre privilégié, à seulement 15 minutes du centre de Genève. Placée à proximité immédiate de la douane, elle bénéficie d'un accès direct aux transp..."
258E2MQ8B7HM,2025-05-23T10:26:00Z,Ambérieu-en-Bugey,Les Perouses-Triangle d'Activité,01500,BUY,APARTMENT,174000.0,65.0,3,,"Idéalement située sur la place Pierre Sémard, en plein cœur d'un projet de réaménagement urbain porté par la commune, LES TERRASSES D'AMBÉRIEU s'intègre avec élégance dans le paysage d'Ambérieu-en-Bu..."
25B5XC5GDCFC,2025-04-02T14:33:00Z,Ségny,,01170,BUY,APARTMENT,375000.0,68.0,3,,"L'architecture de Cœur de Segny marie élégamment des lignes contemporaines aux codes traditionnels locaux. Réparti entre maisons individuelles et résidences de faible hauteur, le programme a été conç..."
24UINLUCFIXY,2024-10-25T20:56:00Z,Ferney-Voltaire,,01210,BUY,APARTMENT,319000.0,50.0,2,,"Située à Ferney-Voltaire, cette résidence se trouve dans un cadre verdoyant et paisible, propice à un mode de vie équilibré. Ferney-Voltaire, charmante commune à deux pas de Genève, allie tranquillit..."
24CNCHBP3NE1,2024-10-25T20:56:00Z,Ferney-Voltaire,,01210,BUY,APARTMENT,312000.0,41.0,2,,"Nichée au cœur de Ferney-Voltaire, cette résidence se trouve dans un environnement verdoyant, propice à un mode de vie agréable. Divisée en 3 bâtiments avec un cœur d'îlot, elle est composée de logem..."
2596YLUN5AVJ,2025-10-31T13:15:00Z,Cessy,,01170,BUY,HOUSE,507900.0,81.0,4,3,La nouvelle résidence “Les Villas Seyssia” à Cessy propose des appartements neufs 4 pièces avec de très belles prestations : - Peinture lisse ; - Volets roulants électriques dans le séjour ; - Carrel...
24APXV1QF7DT,2024-05-22T12:29:00Z,Trévoux,Est,01600,BUY,APARTMENT,350000.0,95.0,4,3,FONTANEL IMMOBILIER propose à la vente des logements dans l'Ecoquartier des Orfèvres qui est le premier de l'Ain à s'engager dans la démarche nationale des Ecoquartiers. Bénéficiant d'un emplacement ...
25BVGGSA2BZQ,2025-11-26T12:46:00Z,Prévessin-Moëns,,01280,BUY,HOUSE,2200000.0,257.0,7,4,"VILLA DE PRESTIGE - ARCHITECTURE CONTEMPORAINE - PISCINE CHAUFFÉE - SOUS-SOL COMPLET - JARDIN PAYSAGÉ - HAUT DE GAMME - PRÉVESSIN-MOËNS 01280 Bienvenue chez L'Agence Immo, votre partenaire immobilier..."
25GYRE7ADY82,2025-11-28T11:28:00Z,Bourg-en-Bresse,Gare-Peloux Mail-Citadelle,01000,BUY,APARTMENT,206200.0,74.28,4,,"Vos frais de notaire offerts jusqu'à 70 000 euros ! Appartements neufs du studio au 4 pièces avec balcon, loggia, terrasse ou jardin privatif ! TRAVAUX EN COURS - À seulement 750 m de la gare. Progra..."
2554VLHV8D59,2025-11-05T11:28:00Z,Bourg-en-Bresse,Gare-Peloux Mail-Citadelle,01000,BUY,APARTMENT,146800.0,38.93,2,,"Vos frais de notaire offerts jusqu'à 70 000 euros ! Appartements neufs du studio au 4 pièces avec balcon, loggia, terrasse ou jardin privatif ! TRAVAUX EN COURS - À seulement 750 m de la gare. Progra..."
256SQYSZUE57,2025-11-24T01:39:00Z,Gex,,01170,BUY,HOUSE,545000.0,122.58,5,3,"CHALET INDIVIDUEL - VUE PANORAMIQUE - TERRASSE - JARDIN - FORET - T2 INDEPENDANT - GARAGE - ATELIER - GEX 01170 Bienvenue chez L'Agence Immo, votre partenaire immobilier de confiance. Steffie Rouvier..."
25I8RZKX8H1U,2025-07-22T10:43:00Z,Ségny,,01170,BUY,APARTMENT,279000.0,46.0,2,,"Découvrez notre nouvelle résidence à Segny, un lieu de vie exceptionnel situé à deux pas de la Suisse. Emplacement de choix, Segny est un village au fort potentiel, offrant une qualité de vie incompa..."
252EQM22V8JR,2025-07-22T10:43:00Z,Ségny,,01170,BUY,APARTMENT,249000.0,36.0,1,,"Découvrez notre nouvelle résidence à Segny, un lieu de vie exceptionnel situé à deux pas de la Suisse. Emplacement de choix, Segny est un village au fort potentiel, offrant une qualité de vie incompa..."
25CYZB5L3JMR,2025-04-01T14:25:00Z,Divonne-les-Bains,Centre,01220,BUY,APARTMENT,565000.0,72.0,3,,"Les Balcons de Divonne s'intègre harmonieusement dans le décor d'exception de Divonne-les-Bains, une commune réputée pour son cadre paisible et verdoyant, entre lac et montagne. Son architecture élég..."
24LW36ZKC3L5,2024-11-25T19:36:00Z,Bourg-en-Bresse,,01000,BUY,APARTMENT,149195.0,62.0,3,,"[GRAND LANCEMENT - FRAIS DE NOTAIRE OFFERTS* POUR LES 20 PREMIERS]. Cette résidence située à Bourg-en-Bresse, dans un quartier en plein essor, bénéficie d'un emplacement stratégique. Elle se distingu..."
2529H99RRBFM,2025-11-30T01:27:00Z,Crozet,,01170,BUY,HOUSE,1030000.0,201.7,8,5,"MAISON CONTEMPORAINE – VUE PANORAMIQUE ALPES – SUITES PARENTALES – GARAGE – JARDIN – PRESTATIONS HAUT DE GAMME – CROZET 01170 Bienvenue chez L'Agence Immo, votre partenaire immobilier de confiance. M..."
25M3KQML5HEK,2025-11-24T15:38:00Z,Saint-Denis-en-Bugey,,01500,BUY,APARTMENT,150000.0,40.0,2,1,"Un cadre villageois à proximité d'Ambérieu-en-Bugey et à seulement 40 minutes de Lyon en transports, ce programme immobilier neuf à Saint-Denis-en-Bugey offre un environnement calme et agréable, parf..."
24AJRM6P8PK8,2024-05-22T12:29:00Z,Trévoux,Est,01600,BUY,APARTMENT,525000.0,138.0,6,5,FONTANEL IMMOBILIER propose à la vente des logements dans l'Ecoquartier des Orfèvres qui est le premier de l'Ain à s'engager dans la démarche nationale des Ecoquartiers. Bénéficiant d'un emplacement ...
24ZH5VGA8PUP,2024-10-25T20:56:00Z,Ferney-Voltaire,,01210,BUY,APARTMENT,399000.0,69.0,3,,"Située à Ferney-Voltaire, cette résidence se trouve dans un cadre verdoyant et paisible, propice à un mode de vie équilibré. Ferney-Voltaire, charmante commune à deux pas de Genève, allie tranquillit..."
24Y6ZW9HBJRU,2024-10-25T20:56:00Z,Ferney-Voltaire,,01210,BUY,APARTMENT,398000.0,65.0,3,,"Nichée au cœur de Ferney-Voltaire, cette résidence se trouve dans un environnement verdoyant, propice à un mode de vie agréable. Divisée en 3 bâtiments avec un cœur d'îlot, elle est composée de logem..."
25KW9W4DFIKT,2025-05-23T10:26:00Z,Ambérieu-en-Bugey,Les Perouses-Triangle d'Activité,01500,BUY,APARTMENT,250000.0,77.0,4,,"Idéalement située sur la place Pierre Sémard, en plein cœur d'un projet de réaménagement urbain porté par la commune, LES TERRASSES D'AMBÉRIEU s'intègre avec élégance dans le paysage d'Ambérieu-en-Bu..."
253D1ALWR6LN,2025-11-25T12:28:00Z,Villereversure,,01250,BUY,HOUSE,520000.0,415.0,20,1,"Dans un cadre bucolique, découvrez cette maison de maître de 1850 en cours de rénovation, développant 415 m² au sol, accompagnée de son terrain attenant de 5,17 hectares. Au rez-de-chaussée, un vaste..."
25S9RWB3NXQQ,2025-11-28T01:38:00Z,Echenevex,,01170,BUY,HOUSE,985000.0,244.0,6,4,"DIVONNE SOTHEBY'S INTERNATIONAL REALTY vous présente une belle maison d'architecte, proche Genève, d'une superficie totale de 244 m², dont 140 m² habitables, implantée sur un terrain de 1074 m². Cett..."
256WHJYVENYR,2025-11-28T10:01:00Z,Echenevex,,01170,BUY,HOUSE,985000.0,244.0,6,4,"COUP DE COEUR À ÉCHENEVEX - MAISON D'ARCHITECTE AVEC VUE SUR LE MONT-BLANC Stéphane Plaza Immobilier vous propose cette maison d'architecte de 244 m² utiles (140 m² loi Carrez), construite en 1997, a..."
25GP56X9559Q,2025-07-22T10:43:00Z,Ségny,,01170,BUY,APARTMENT,379000.0,81.0,3,,"Découvrez notre nouvelle résidence à Segny, un lieu de vie exceptionnel situé à deux pas de la Suisse. Emplacement de choix, Segny est un village au fort potentiel, offrant une qualité de vie incompa..."
254HK3UVST68,2025-08-24T10:23:00Z,Bourg-en-Bresse,Gare-Peloux Mail-Citadelle,01000,BUY,APARTMENT,142100.0,35.1,1,,"Vos frais de notaire offerts jusqu'à 70 000 euros ! Appartements neufs du studio au 4 pièces avec balcon, loggia, terrasse ou jardin privatif ! TRAVAUX EN COURS - À seulement 750 m de la gare. Progra..."
252CQL1UR1XP,2025-11-20T14:29:00Z,Bey,,01290,BUY,HOUSE,160000.0,200.0,6,4,"L'agence IMMODICI propose à la vente un viager, occupé par deux hommes âgés de 80 et 85 ans. La maison présente une valeur vénale de 350 000 €. Le bouquet est fixé à 160 000 € (FAI) et la rente viagè..."
256PHWR8LMNZ,2025-11-21T18:55:00Z,Divonne-les-Bains,Sud Ouest,01220,BUY,HOUSE,2095000.0,287.0,8,6,"Réf. 1623SR Divonne-les-Bains, à quelques minutes du centre-ville de Divonne-les-Bains, dans un environnement calme et discret, cette somptueuse maison individuelle de 8 pièces vous séduira par ses p..."
251HEDB57ZQY,2025-11-29T00:57:00Z,Collonges,,01550,BUY,HOUSE,648000.0,180.0,7,6,"EXCLUSIVITÉ CABINET LANDECY IDÉAL INVESTISSEUR OU ARTISAN Située à COLLONGES, grande maison individuelle composée de deux appartements T3 et T5 d'une surface habitable totale d'environ 180m², implant..."
25ECK4N3HJ8F,2025-11-15T01:19:00Z,Divonne-les-Bains,,01220,BUY,APARTMENT,765000.0,100.0,4,3,"APPARTEMENT T4 - 100 €M² - BALCON - GARAGE - PARKING PRIVATIF - VUE MONTAGNE - DIVONNE?LES?BAINS?01220 Bienvenue chez L'Agence Immo, votre partenaire immobilier de confiance. Mickaël Lima, expert imm..."
254S3AN2JMW2,2025-09-30T10:13:00Z,Civrieux,,01390,BUY,APARTMENT,296000.0,94.0,5,4,L'agence Espaces et Lieux a le plaisir de vous proposer à la vente cet appartement traversant de 95 m² habitables situé au 1er et dernier étage d'une petite copropriété encore sous décennale et bien ...
25956NU9WY9U,2025-10-09T17:23:00Z,St Bernard,,01600,BUY,HOUSE,1450000.0,300.0,6,4,"Saint Bernard, village du val de Saône avec son futur port de plaisance fluvial , dans un environnement calme et résidentiel, cette superbe maison contemporaine construite en 2020 allie design, confo..."
23KRRF6T9WAX,2023-02-14T14:00:00Z,Amberieu en Bugey,,01500,BUY,APARTMENT,240000.0,84.6,4,3,"A quelques encablures du centre-ville, Dynacité vous propose son nouveau programme en Location-Accession*. L'archipel est un programme de 10 logements répartis sur 3 bâtiments de 3 étages. Cet appart..."
25D1CXHITB5B,2025-04-01T14:25:00Z,Divonne-les-Bains,Centre,01220,BUY,APARTMENT,695000.0,93.0,4,,"Les Balcons de Divonne s'intègre harmonieusement dans le décor d'exception de Divonne-les-Bains, une commune réputée pour son cadre paisible et verdoyant, entre lac et montagne. Son architecture élég..."
24YFICB1FQ45,2024-11-25T19:36:00Z,Bourg-en-Bresse,,01000,BUY,APARTMENT,175570.0,75.0,4,,"[GRAND LANCEMENT - FRAIS DE NOTAIRE OFFERTS* POUR LES 20 PREMIERS]. Cette résidence située à Bourg-en-Bresse, dans un quartier en plein essor, bénéficie d'un emplacement stratégique. Elle se distingu..."
254HAMTDEIKD,2025-11-27T21:25:00Z,Valserhône,,01200,BUY,HOUSE,615000.0,160.0,5,3,"Réf: 1726LC Valserhône, à quelques minutes des commodités (écoles, gare, centre-aéré, accès autoroute) et du centre-ville, vous serez charmé par cette maison individuelle 5 pièces d'une surface habit..."
25EII8GLWUXZ,2025-11-29T16:42:00Z,Divonne-les-Bains,Nord Ouest,01220,BUY,APARTMENT,695000.0,84.0,4,3,"Réf. 1202SR EN EXCLUSIVITE CHEZ SWIXIM INTERNATIONAL Divonne-les-Bains, à quelques minutes à pied du centre-ville, vous serez charmé par cet appartement 4 pièces de 84m2, orienté sud/ouest, situé au ..."
25ADJ667T6M1,2025-11-25T01:38:00Z,Chevry,,01170,BUY,APARTMENT,970000.0,160.0,5,4,DIVONNE SOTHEBY'S INTERNATIONAL REALTY vous propose ce magnifique appartement en duplex de 160m2 (143m2 Carrez) situé au deuxième étage avec ascenseur du Grand Domaine de Chevry. Entièrement rénové a...
25WRQ2WR7WY2,2024-02-01T04:40:00Z,Saint-Genis-Pouilly,Est,01630,BUY,APARTMENT,400000.0,67.01,3,,"Cette résidence à taille humaine se distingue par son équilibre subtil entre intimité et modernité. Composée de 19 logements répartis sur 2 étages, chaque appartement, du 2 au 5 pièces, dispose de gé..."
258LNTXE69CS,2025-06-25T03:41:00Z,Saint-Genis-Pouilly,Est,01630,BUY,APARTMENT,400000.0,67.04,3,,"Cette résidence à taille humaine se distingue par son équilibre subtil entre intimité et modernité. Composée de 19 logements répartis sur 2 étages, chaque appartement, du 2 au 5 pièces, dispose de gé..."
2575XTWGNR9M,2025-05-19T14:31:00Z,Sergy,,01630,BUY,APARTMENT,280000.0,43.0,2,,"Située à proximité de Bourg-en-Bresse, ne manquez pas cette nouvelle résidence de standing idéalement située à Sergy. Des espaces de vie spacieux et lumineux vous sont proposés, avec des prestations ..."
24RKPNX9F6NY,2024-10-25T20:56:00Z,Ferney-Voltaire,,01210,BUY,APARTMENT,449000.0,74.0,4,,"Nichée au cœur de Ferney-Voltaire, cette résidence se trouve dans un environnement verdoyant, propice à un mode de vie agréable. Divisée en 3 bâtiments avec un cœur d'îlot, elle est composée de logem..."
24EP4KRCUK6W,2024-10-25T20:56:00Z,Ferney-Voltaire,,01210,BUY,APARTMENT,475000.0,83.0,4,,"Située à Ferney-Voltaire, cette résidence se trouve dans un cadre verdoyant et paisible, propice à un mode de vie équilibré. Ferney-Voltaire, charmante commune à deux pas de Genève, allie tranquillit..."
252CYRHNAM3K,2025-11-13T11:03:00Z,Saint Trivier sur Moignans,,01990,BUY,HOUSE,249000.0,73.0,3,2,"EXCLUSIVITÉ AGENCE LAFORÊT CHÂTILLON SUR CHALARONNE À VENDRE. À SAINT-TRIVIER-SUR-MOIGNANS, située dans un village avec commerces de proximité et commodités, cette charmante fermette rénovée en 2023 ..."
25FTDJWM16YD,2025-11-28T06:57:00Z,Prévessin-Moëns,,01280,BUY,APARTMENT,580000.0,94.0,4,3,"Réf. 1740JB Prévessin-Moëns, proche du centre et de la frontière suisse, vous serez charmé par ce magnifique appartement T4 de 94m² situé au 2ème étage d'une résidence familiale sécurisée construite ..."
25XMPH3TH9YN,2025-11-16T22:11:00Z,Saint-Genis-Pouilly,Ouest,01630,BUY,HOUSE,599000.0,109.0,6,4,"Uniquement chez Alexandra & Damien. Située en toute dernière ligne dans le hameau paisible et très recherché de Pregnin à Saint-Genis-Pouilly, cette jolie maison mitoyenne T6 de 109,22 m² habitables ..."
25SKZ2WUWCU8,2025-11-29T08:11:00Z,Ferney-Voltaire,Est,01210,BUY,APARTMENT,325000.0,53.0,2,1,"Réf. 1743SR Ferney-Voltaire, à 2 minutes à pied du centre et des commodités (écoles, bus, commerces), vous serez charmé par cet appartement T2, bien entretenu, d'une surface habitable de 53m2 situé a..."
2565NZWCKNUD,2025-11-11T13:12:00Z,Divonne-les-Bains,,01220,BUY,APARTMENT,749000.0,101.37,4,3,"APPARTEMENT T4 - JARDIN - GARAGE DOUBLE - RÉSIDENCE DE STANDING - REZ-DE-JARDIN - DIVONNE-LES-BAINS 01220 Bienvenue chez L'Agence Immo, votre partenaire immobilier de confiance. Mélanie GUEYFFIER, ex..."
25U5ZVC3XHNP,2025-11-11T13:12:00Z,Thoiry,,01710,BUY,HOUSE,1590000.0,607.0,9,6,"GRANGE RÉNOVÉE - 6 CHAMBRES - TERRAIN DE 852 M² - GRAND SÉJOUR - GARAGE - CAVE - SOUS-SOL - THOIRY 01710 Bienvenue chez L'Agence Immo, votre partenaire immobilier de confiance. L'équipe de L'Agence I..."
