id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
253M9MWXT5QD,2025-10-13T10:30:00Z,Plombieres-les-Dijon,,21370,BUY,APARTMENT,159000.0,43.34,2,,[OFFRE EXCEPTIONNELLE] Bénéficiez pour l'achat de votre appartement de votre cuisine OFFERTE + frais de notaire OFFERTS Découvrez la nouvelle résidence signée Nexity à Plombières-lès-Dijon! Située da...
251VZ2R4B8KL,2025-09-05T18:29:00Z,Beaune,Blanches Fleurs,21200,BUY,APARTMENT,157000.0,38.0,2,1,"Découvrez 1ER CRU, votre NOUVELLE RÉSIDENCE de standing au cœur de Beaune ! Située au 72 avenue de la Sablière, à seulement 2 km de l'hypercentre de Beaune et à proximité immédiate de nombreux commer..."
25EABQYWPIRA,2025-09-10T12:29:00Z,Beaune,Blanches Fleurs,21200,BUY,APARTMENT,138000.0,24.0,1,,"Découvrez 1ER CRU, votre NOUVELLE RÉSIDENCE de standing au cœur de Beaune ! Située au 72 avenue de la Sablière, à seulement 2 km de l'hypercentre de Beaune et à proximité immédiate de nombreux commer..."
25PRFTJP4GGK,2025-11-27T09:38:00Z,Vic de Chassenay,,21140,BUY,HOUSE,525000.0,381.0,11,5,"Une propriété d'exception au cœur de la Bourgogne À Vic-de-Chassenay, à seulement 5 km de la cité médiévale de Semur-en-Auxois et 10 minutes de l'autoroute A6 comme de la gare TGV Paris Marseille, ce..."
25LB4IIYQ2A8,2025-09-05T18:29:00Z,Beaune,Blanches Fleurs,21200,BUY,APARTMENT,195000.0,61.0,3,2,"Découvrez 1ER CRU, votre NOUVELLE RÉSIDENCE de standing au cœur de Beaune ! Située au 72 avenue de la Sablière, à seulement 2 km de l'hypercentre de Beaune et à proximité immédiate de nombreux commer..."
25AVNAV949NG,2025-10-13T10:30:00Z,Plombieres-les-Dijon,,21370,BUY,APARTMENT,191000.0,61.36,3,,[OFFRE EXCEPTIONNELLE] Bénéficiez pour l'achat de votre appartement de votre cuisine OFFERTE + frais de notaire OFFERTS Découvrez la nouvelle résidence signée Nexity à Plombières-lès-Dijon! Située da...
25AJ4GYZJGCH,2025-11-24T14:06:00Z,Bretigny,,21490,BUY,PROJECT,326611.0,,4,3,"L'agence Primeâ Dijon vous propose cette belle parcelle de 658 m² constructible au coeur de l'écoquartier Les coteaux du Verger à Brétigny, charmante commune située à proximité de Dijon, offrant un c..."
25RGYY9Q5FMH,2025-11-24T14:06:00Z,Clénay,,21490,BUY,PROJECT,298821.0,,4,3,"L'agence Primeâ Dijon vous propose cette belle parcelle constructible de 754 m² à Clénay, charmante commune située à moins de 20 minutes de Dijon. Terrain vendu borné et viabilisé. . Terrain sous rés..."
2536BXNPVKSU,2023-05-15T07:55:00Z,Dijon,Carrieres Bacquin,21000,BUY,APARTMENT,183000.0,43.0,2,,"REMISES EXCEPTIONNELLES, hors dispositif logement prix abordables/maîtrisés remises déjà déduites sur les prix des lots affichés, prix hors annexes EMPLACEMENT D'EXCEPTION, proximité immédiate gare e..."
25W14N3ASK65,2025-09-10T12:29:00Z,Beaune,Blanches Fleurs,21200,BUY,APARTMENT,253000.0,79.0,4,3,"Découvrez 1ER CRU, votre NOUVELLE RÉSIDENCE de standing au cœur de Beaune ! Située au 72 avenue de la Sablière, à seulement 2 km de l'hypercentre de Beaune et à proximité immédiate de nombreux commer..."
255XN8KMUEFG,2025-11-24T14:06:00Z,Agencourt,,21700,BUY,PROJECT,204423.0,,3,2,"L'agence Primeâ Dijon vous propose cette belle parcelle constructible de 379 m2 à Agencourt, charmante commune limitrophe à Nuits-Saint-Georges et située à 25 minutes de Dijon. . Terrain sous réserve..."
2529QFAS2GNU,2023-05-15T07:55:00Z,Dijon,Carrieres Bacquin,21000,BUY,APARTMENT,267000.0,63.0,3,2,"REMISES EXCEPTIONNELLES, hors dispositif logement prix abordables/maîtrisés remises déjà déduites sur les prix des lots affichés, prix hors annexes EMPLACEMENT D'EXCEPTION, proximité immédiate gare e..."
25H5C927N66R,2025-11-24T14:06:00Z,Pasques,,21370,BUY,PROJECT,272304.0,,4,3,"L'agence Primeâ Dijon vous propose cette belle parcelle de 911 m² hors lotissement à Pasques, petit village niché dans un cadre naturel préservé en Côte-d'Or, offrant un environnement calme et verdoy..."
25FU9QKHANCH,2025-10-10T00:51:00Z,Dijon,Carrieres Bacquin,21000,BUY,APARTMENT,229000.0,83.77,3,2,"En exclusivité à DIJON au sein d´une résidence de standing rue de Talant (avec présence permanente d'un gardien) conçue par Paul Joly-Delvalat - architecte dijonnais emblématique des années 60, à deu..."
249YX479SE24,2024-10-18T10:39:00Z,Is-sur-Tille,,21120,BUY,APARTMENT,165000.0,40.0,2,1,"Ce programme immobilier neuf à Is-sur-Tille semble offrir un cadre de vie idéal pour ceux qui recherchent à la fois proximité avec Dijon et tranquillité. Is-sur-Tille, une commune réputée pour son en..."
24KQHUF85J28,2024-02-29T19:19:00Z,Perrigny-Lès-Dijon,,21160,BUY,APARTMENT,161000.0,40.0,2,1,"Situé à 15 minutes au sud de Dijon, le programme immobilier neuf à Perrigny-lès-Dijon s'érige comme un havre de paix aux portes des domaines viticoles. Implanté dans un environnement résidentiel pais..."
258BYUURPYYU,2025-11-24T14:06:00Z,Bretigny,,21490,BUY,PROJECT,321878.0,,4,3,"L'agence Primeâ Dijon vous propose cette belle parcelle de 658 m² constructible au coeur de l'écoquartier Les coteaux du Verger à Brétigny, charmante commune située à proximité de Dijon, offrant un c..."
25JN87EMBDQB,2025-11-24T14:06:00Z,Lantenay,,21370,BUY,PROJECT,210002.0,,2,1,"L'agence Primeâ Dijon vous propose cette belle parcelle de 1106 m² à Lantenay, charmante commune de Côte-d'Or nichée dans un écrin de verdure et offrant un cadre de vie paisible avec de magnifiques p..."
25L4MN4T9RVH,2025-11-24T14:06:00Z,Mirebeau-sur-Bèze,,21310,BUY,PROJECT,247342.0,,4,3,"L'agence Primeâ Dijon vous propose ce magnifique terrain constructible de 727m² au bord de la Bèze. Situé au coeur de Mirebeau-sur-Bèze, ce terrain vous offrira toutes les commodités nécessaires à pr..."
25SDZF113GMS,2025-11-24T14:06:00Z,Gissey-sur-Ouche,,21410,BUY,PROJECT,197646.0,,2,1,"L'agence Primeâ Dijon vous propose cette belle parcelle constructible de 644 m2 à Gissey-sur-Ouche, charmante commune située à 25 minutes de Dijon. Terrain sous réserve de disponibilité de notre part..."
25176MDX28LK,2025-11-24T14:06:00Z,Prenois,,21370,BUY,PROJECT,226552.0,,2,1,"L'agence Primeâ Dijon vous propose cette magnifique parcelle de 682 m² constructible situé dans la commune de Prenois, village au cadre verdoyant et paisible, offrant une vraie vie de campagne avec é..."
25WU289GI3XT,2025-11-24T14:06:00Z,Cessey-sur-Tille,,21110,BUY,PROJECT,193131.0,,2,1,"L'agence Primeâ Dijon vous propose cette belle parcelle de 511 m² à Cessey-sur-Tille, charmante commune située à 8 minutes de Genlis et 25 minutes de Dijon. . Terrain sous réserve de disponibilité de..."
256UC2DDHI37,2025-11-24T14:06:00Z,Varanges,,21110,BUY,PROJECT,188745.0,,3,2,"L'agence Primeâ Dijon vous propose cette belle parcelle de 762 m² à Varanges, charmante commune située à 6 minutes de Genlis et 25 minutes de Dijon. . Terrain sous réserve de disponibilité de notre p..."
25KMYJA4YGUD,2025-06-11T15:16:00Z,Clenay,,21490,BUY,HOUSE,257000.0,95.0,4,3,"Ne tardez pas à découvrir nos logements allant de 95m2 à 105m2 dans un secteur recherché pour son confort de vie et son calme à quelques km au nord de Dijon. Le Duplex-Jardin, Un concept exclusif qui..."
25IAH64A18BB,2025-04-23T05:04:00Z,Couternon,,21560,BUY,HOUSE,290000.0,89.41,4,,VOTRE MAISON OU VILLA-JARDIN DANS LA COMMUNE PRISEE DE COUTERNON AUX PORTES DE DIJON Prolongation exceptionnelle : Frais de notaire et courtage OFFERTS* jusqu'au 30 novembre + conditions exceptionnel...
247XXMXZ96TC,2024-02-29T19:19:00Z,Perrigny-Lès-Dijon,,21160,BUY,APARTMENT,139000.0,25.0,1,,"Situé à 15 minutes au sud de Dijon, le programme immobilier neuf à Perrigny-lès-Dijon s'érige comme un havre de paix aux portes des domaines viticoles. Implanté dans un environnement résidentiel pais..."
2523E6WBHCF6,2025-11-19T08:19:00Z,Marcilly-sur-Tille,,21120,BUY,PROJECT,247088.0,,3,2,"Sur ce terrain, nous vous proposons cette maison neuve, la Ménilière, un modèle plain-pied moderne qui saura répondre à toutes vos attentes. Avec une surface de 73 m², cette maison dispose de 3 pièce..."
25699BREISDY,2025-10-15T12:43:00Z,Dijon,Carrousel,21000,BUY,HOUSE,350000.0,130.0,6,4,"DIJON - SECTEUR CHEVREUL - Maison 6 pièces Maison 6 pièces d'environ 130 m2 construite en 1990, avec 4 chambres dont 1 au rez-de-chaussée, une pièce de vie de 39 m2, un garage de 30 m2, une buanderie..."
25IWZF5RFGIP,2025-11-24T14:06:00Z,Arceau,,21310,BUY,PROJECT,264002.0,,2,1,"L'agence Primeâ Dijon vous propose cette belle parcelle constructible de 560 m2 à Arceau, charmante commune située à 20 minutes de Dijon. . Terrain sous réserve de disponibilité de notre partenaire f..."
25XFH6A6TYGN,2025-11-24T14:06:00Z,Beaune,,21200,BUY,PROJECT,243295.0,,3,2,L'agence Primeâ Dijon vous propose cette belle parcelle constructible de 505 m2 à Beaune. Terrain vendu borné et viabilisé en lotissement. Terrain sous réserve de disponibilité de notre partenaire fo...
25DRIAXVXQVW,2025-11-24T14:06:00Z,Hauteville-Lès-Dijon,,21121,BUY,PROJECT,313926.0,,2,1,"L'agence Primeâ Dijon vous propose cette belle parcelle de 501 m² à Hauteville-les-Dijon, charmante commune située à 10 minutes de Dijon. Terrain sous réserve de disponibilité de notre partenaire fon..."
2591SFLZIH4P,2025-09-30T18:15:00Z,Dijon,Abattoirs,21000,BUY,APARTMENT,159000.0,45.04,2,,"LANCEMENT COMMERCIAL : FRAIS DE NOTAIRE OFFERTS !*Découvrez une nouvelle résidence à taille humaine située au cœur de l'écoquartier du Jardin des Maraîchers, sur le boulevard de Chicago. Ce quartier ..."
25GV7K31R6U9,2025-10-06T18:13:00Z,Dijon,Abattoirs,21000,BUY,APARTMENT,123000.0,25.24,1,,"LANCEMENT COMMERCIAL : FRAIS DE NOTAIRE OFFERTS !*Découvrez une nouvelle résidence à taille humaine située au cœur de l'écoquartier du Jardin des Maraîchers, sur le boulevard de Chicago. Ce quartier ..."
