id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25WUGUGKW4SI,2025-11-21T13:43:00Z,Saint-Brieuc,Centre Ville-Charner,22000,BUY,APARTMENT,239000.0,49.2,2,1,"En exclusivité la Résidence N38 : située boulevard Clémenceau, considérée comme la plus belle avenue de Saint-Brieuc, par ses édifices Art Déco, ses hôtels particuliers Belle Époque et son label Arch..."
25BQW3R9S63N,2025-11-21T13:43:00Z,Saint-Brieuc,Centre Ville-Charner,22000,BUY,APARTMENT,348000.0,68.9,3,2,"En exclusivité la Résidence N38 : située boulevard Clémenceau, considérée comme la plus belle avenue de Saint-Brieuc, par ses édifices Art Déco, ses hôtels particuliers Belle Époque et son label Arch..."
24ABIVG2DX5E,2024-05-15T08:23:00Z,Perros-Guirec,,22700,BUY,APARTMENT,169000.0,48.07,2,,BRS (Bail Réel Solidaire * ) : pour votre résidence principale à PERROS GUIREC Ce dispositif innovant vous permet d'acheter votre logement à un prix inférieur à celui du marché. Les atouts du bail ré...
24IESN6EMJLA,2024-05-15T08:23:00Z,Perros-Guirec,Nord Est,22700,BUY,APARTMENT,234000.0,40.86,2,,"« Mer Eden » est un programme de 66 logements répartis en 3 bâtiments du T1 au T4. À 200 mètres des premiers commerces, et à 5 minutes de la plage du Trestraou, vous serez idéalement situé pour profi..."
25DWATNAVMUR,2025-11-21T13:43:00Z,Saint-Brieuc,Centre Ville-Charner,22000,BUY,APARTMENT,479000.0,91.7,4,,"En exclusivité la Résidence N38 : située boulevard Clémenceau, considérée comme la plus belle avenue de Saint-Brieuc, par ses édifices Art Déco, ses hôtels particuliers Belle Époque et son label Arch..."
241VX9YK3KZ6,2024-05-15T08:23:00Z,Perros-Guirec,Nord Est,22700,BUY,APARTMENT,214000.0,38.37,1,,"« Mer Eden » est un programme de 66 logements répartis en 3 bâtiments du T1 au T4. À 200 mètres des premiers commerces, et à 5 minutes de la plage du Trestraou, vous serez idéalement situé pour profi..."
24TSQE8T36GT,2024-05-15T08:23:00Z,Perros-Guirec,,22700,BUY,APARTMENT,212000.0,60.37,3,,BRS (Bail Réel Solidaire * ) : pour votre résidence principale à PERROS GUIREC Ce dispositif innovant vous permet d'acheter votre logement à un prix inférieur à celui du marché. Les atouts du bail ré...
255L6P6FFIMK,2025-07-15T04:04:00Z,Plérin,Centre Ville,22190,BUY,APARTMENT,215000.0,46.6,2,1,Appartements disponibles du T2 au T5 de à partir de 215.000€uros. Profitez en : 500 euros TTC/mois remboursés sur votre prêt jusqu'en 2030* Nous avons le plaisir de vous présenter notre dernier immeu...
25F564PJWUT9,2025-07-01T09:41:00Z,Louannec,,22700,BUY,APARTMENT,235000.0,45.0,2,1,NOUVEAUTÉ D’EXCEPTION – PERROS-GUIREC Démarrage travaux ! 500€ TTC/mois remboursés sur votre prêt jusqu'en 2030 ! * Vue mer panoramique sur le port de Perros-Guirec Découvrez en avant-première PERLA ...
24CYE7P1VTTE,2024-05-15T08:23:00Z,Perros-Guirec,Nord Est,22700,BUY,APARTMENT,343000.0,62.71,3,,"« Mer Eden » est un programme de 66 logements répartis en 3 bâtiments du T1 au T4. À 200 mètres des premiers commerces, et à 5 minutes de la plage du Trestraou, vous serez idéalement situé pour profi..."
23XSEKPS6MK8,2023-07-08T05:03:00Z,Quevert,,22100,BUY,APARTMENT,184900.0,50.19,2,,"Aux portes de Dinan, Devenez propriétaire à partir de 856,85 euros/mois* à QUEVERT ! TRAVAUX EN COURS : découvrez nos deux dernières Villas-Jardins et notre dernière maison pour emménager début 2026 ..."
254RRDPMSUHL,2025-05-14T11:12:00Z,Lamballe,Saint Aaron-La Poterie-Tregomar,22400,BUY,HOUSE,195000.0,61.25,3,2,"LAMBALLE Nouvelle Opportunité Immobilière Découvrez notre nouvelle opération immobilière située dans la charmante commune de Lamballe. Nous vous proposons 6 maisons individuelles, entièrement terminé..."
25DS4GRS2RJE,2025-11-28T00:36:00Z,Dinan,Sainte Anne-Gare-Leconte de Lisle,22100,BUY,APARTMENT,100000.0,43.49,2,1,"À Dinan – Manson Properties vous propose un appartement T2 de 43,49 m² habitables (66 m² au sol), situé au coeur d'un quartier vivant et recherché. Profitez d'un cadre de vie agréable avec un accès f..."
25ETAQ3BUGDW,2025-11-16T01:53:00Z,St Guen,,22530,BUY,HOUSE,2887000.0,1150.0,17,10,"Ensemble immobilier unique ! Découvrez ce bien d'exception comprenant : Grange rénovée d'environ 180 m² : - Au rez-de-chaussée : un salon-séjour lumineux avec poêle, ouvert sur une grande terrasse, u..."
254YPX3EPG1V,2025-07-15T04:04:00Z,Plérin,Centre Ville,22190,BUY,APARTMENT,299000.0,74.0,3,2,Appartements disponibles du T2 au T5 de à partir de 215.000€uros. Profitez en : 500 euros TTC/mois remboursés sur votre prêt jusqu'en 2030* Nous avons le plaisir de vous présenter notre dernier immeu...
25DI2DQCXX2I,2025-05-16T04:30:00Z,Paimpol,Centre Ville,22500,BUY,APARTMENT,135000.0,40.8,2,1,"**Devenez propriétaire à Paimpol – 21 Appartements Neufs T2 & T3 en PSLA** Vivez dans un cadre paisible à deux pas du centre-ville de Paimpol ! Découvrez ce nouveau programme neuf, composé de 21 appa..."
25C13GVFWH53,2025-11-21T22:03:00Z,Penvenan,,22710,BUY,HOUSE,699400.0,164.0,6,4,"Découvrez cette belle maison baignée de lumière, offrant un cadre de vie privilégié et un accès direct à la mer. Idéalement située dans un quartier calme et très recherché, elle s'organise, au premie..."
25P6WTBMVJF7,2025-11-28T23:30:00Z,Kermaria Sulard,,22450,BUY,HOUSE,399000.0,169.0,5,4,"Découvrez cette maison contemporaine située en impasse, à proximité du bourg de Kermaria-Sulard, à moins de 15 minutes de Lannion et 10 minutes des plages de Louannec. Au rez-de-chaussée : une entrée..."
254Q7NSKN7C4,2025-07-01T09:41:00Z,Louannec,,22700,BUY,APARTMENT,325000.0,68.0,3,2,NOUVEAUTÉ D’EXCEPTION – PERROS-GUIREC Démarrage travaux ! 500€ TTC/mois remboursés sur votre prêt jusqu'en 2030 ! * Vue mer panoramique sur le port de Perros-Guirec Découvrez en avant-première PERLA ...
24RXFW1TVLF2,2024-03-12T03:25:00Z,Pléneuf-Val-André,,22370,BUY,APARTMENT,189000.0,45.4,2,1,SUCCES COMMERCIAL - TRAVAUX EN COURS DEVENEZ PROPRIÉTAIRE A PLÉNEUF-VAL-ANDRÉ Bénéficiez de l'offre d'automne : REMISE Black Friday et frais de notaires OFFERTS jusqu'au 30 novembre ! Votre futur app...
23XNYR6GZFQ9,2023-04-25T05:04:00Z,Quevert,,22100,BUY,APARTMENT,199900.0,63.3,3,,"Aux portes de Dinan, Devenez propriétaire à partir de 856,85 euros/mois* à QUEVERT ! TRAVAUX EN COURS : découvrez nos deux dernières Villas-Jardins et notre dernière maison pour emménager début 2026 ..."
25K4JPSYYURN,2025-11-25T23:37:00Z,Trebeurden,,22560,BUY,HOUSE,327050.0,86.0,3,2,"Découvrez en exclusivité dans nos agences cette charmante maison des années 1950 entièrement rénovée avec soin, à seulement 2 kilomètres de la plage. Une entrée couverte donne accès à une lumineuse p..."
25K7NP1NHFGU,2025-11-29T23:38:00Z,Plougrescant,,22820,BUY,HOUSE,326000.0,39.0,2,1,"Situé au gouffre de Plougrescant, sur l'un des sites les plus visités de BRETAGNE à savoir CASTEL MEUR, vous serez séduit par cette maison de pêcheur face à la plage. D'une surface utile de 52 m², el..."
24CFQ2SR8Y7L,2024-05-15T08:23:00Z,Perros-Guirec,Nord Est,22700,BUY,APARTMENT,456000.0,83.72,4,,"« Mer Eden » est un programme de 66 logements répartis en 3 bâtiments du T1 au T4. À 200 mètres des premiers commerces, et à 5 minutes de la plage du Trestraou, vous serez idéalement situé pour profi..."
25ZAHSHS5MJD,2025-11-20T01:46:00Z,Bégard,Le Menhir,22140,BUY,HOUSE,284900.0,96.73,4,3,Manson Properties vous propose à la vente cette maison neuve de plain-pied située sur la commune de Bégard (Trézélan). Cadre de vie idyllique et calme à seulement 15 minutes de Guingamp et 20 minutes...
25VBR9KXYMUA,2025-11-27T23:44:00Z,Perros Guirec,,22700,BUY,APARTMENT,294000.0,83.0,3,2,"Situé en plein cœur du centre-ville de PERROS-GUIREC à proximité immédiate des commerces, venez découvrir au premier étage cet appartement de type 3, Il comprend une entrée, un grand séjour idéalemen..."
25N51UM9C435,2025-07-15T04:04:00Z,Plérin,Centre Ville,22190,BUY,APARTMENT,395000.0,88.0,4,3,Appartements disponibles du T2 au T5 de à partir de 215.000€uros. Profitez en : 500 euros TTC/mois remboursés sur votre prêt jusqu'en 2030* Nous avons le plaisir de vous présenter notre dernier immeu...
25CN32GJQ996,2025-05-16T04:30:00Z,Paimpol,Centre Ville,22500,BUY,APARTMENT,194000.0,63.4,3,2,"**Devenez propriétaire à Paimpol – 21 Appartements Neufs T2 & T3 en PSLA** Vivez dans un cadre paisible à deux pas du centre-ville de Paimpol ! Découvrez ce nouveau programme neuf, composé de 21 appa..."
25YHUKMRSGHI,2025-05-14T11:12:00Z,Lamballe,Saint Aaron-La Poterie-Tregomar,22400,BUY,HOUSE,237000.0,79.74,4,3,"LAMBALLE Nouvelle Opportunité Immobilière Découvrez notre nouvelle opération immobilière située dans la charmante commune de Lamballe. Nous vous proposons 6 maisons individuelles, entièrement terminé..."
25N9TZPNUSCY,2025-11-10T14:27:00Z,Perros-Guirec,Sud Est,22700,BUY,APARTMENT,290000.0,49.1,2,1,"Vue mer imprenable sur le port de Perros-Guirec. En avant-première : Venez découvrir le cadre exceptionnel de notre nouveau programme VILLA ROZ. Entre élégance architecturale, prestations premium et ..."
25E6SIFYZ81G,2025-11-16T01:53:00Z,Locquemeau,,22300,BUY,HOUSE,1625000.0,450.0,15,11,"Ploumiliau-Idéalement situé entre la côte des bruyères et la côte de Granit rose, au cœur d'un parc arboré de plus de 4 hectares, majestueux manoir du XVII-XVIIIe siècle inscrit monument historique e..."
25AC9GKI57G8,2025-11-20T08:35:00Z,Lannion,Servel-Begleguer,22300,BUY,HOUSE,286000.0,87.58,4,3,"Maison contemporaine à Lannion avec studio indépendant. Idéalement située à Lannion dans un quartier recherché à proximité des plages bretonnes, cette maison contemporaine de 105 M2 (88M2 habitable) ..."
25WH7J3N55FN,2025-05-12T07:48:00Z,Erquy,,22430,BUY,APARTMENT,320000.0,66.9,3,2,"OFFRE COMMERCIALE EXCEPTIONNELLE : 500€ TTC/mois remboursés sur votre prêt jusqu'en 2030 ! * | Maison + terrain ""clé en main"" à ERQUY (22430) Succès commercial - Travaux en cours - Livraison 2eme sem..."
