id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25UMCHDKW8XF,2025-09-26T06:59:00Z,La Souterraine,Sud,23300,BUY,HOUSE,299000,220.0,5,3,"Dans un havre de paix, en plein centre ville, implantée sur une parcelle de 1900m2, venez découvrir cette magnifique grange entièrement rénovée développant 220 m2. Au rez-de-chaussée, vous trouverez ..."
25K531VHVBBC,2025-11-27T10:35:00Z,Guéret,Centre Ville,23000,BUY,HOUSE,172800,123.0,4,3,L'agence UDI immobilier GUERET vous propose en exclusivité cette maison entièrement rénovée à deux pas du centre ville et de l'étang de Courtilles. Elle se compose: - en rez-de-chaussée: un salon/sal...
25DSUYP2TYLR,2025-09-05T09:15:00Z,Nouzerines,,23600,BUY,HOUSE,30000,85.0,3,2,"Réf. 9865 - VIAGER OCCUPE - NOUZERINES (23) Dans un environnement de verdure à la campagne, au calme absolu, à 12 kms de tous commerces et commodités, commune de « BOUSSAC », joli potentiel pour cett..."
24X754IQRCJI,2024-08-14T10:38:00Z,Blessac,,23200,BUY,HOUSE,1200000,850.0,23,12,"Gaëlle BERTHAUD BRILLANT J'ai le plaisir de vous présenter cette somptueuse propriété de prestige, nichée dans un cadre idyllique. S'étendant sur une surface habitable d'environ 850 m², cette demeure..."
25GHP238FAI9,2025-11-24T18:19:00Z,Le Grand-Bourg,,23240,BUY,HOUSE,149000,149.0,7,3,"Charmante maison en pierre de 149 m² avec dépendances – sur un magnifique terrain clos de 2 177 m². Découvrez cette superbe maison en pierre pleine de caractère, offrant 149 m² habitables et de nombr..."
256FNNWB4WKS,2025-11-24T14:17:00Z,Bussière-Dunoise,,23320,BUY,HOUSE,39000,84.0,4,3,"Située au calme, au bout d'un petit cul-de-sac où se trouvent seulement quelques habitations, cette maison individuelle d'environ 84 m² est implantée sur une parcelle de 576 m². Elle offre un environ..."
25RTR9L2IPR1,2025-11-06T19:19:00Z,Aubusson,Rive Gauche,23200,BUY,HOUSE,127800,140.0,5,2,"C'est une jolie maison de famille située sur les hauteurs vertes d'Aubusson dans une rue sans issue, au calme, sans vis à vis. Au rez-de-chaussée, elle dispose d'une grande véranda chauffée, avec une..."
2588GK7BPPI5,2025-11-27T08:33:00Z,Fursac,,23290,BUY,HOUSE,78000,100.0,6,3,"Ravissante maison en pierre de 100 m², avec des dépendances de 68 m². L'ensemble sur 832 m² de terrain clos avec un accès. Le chauffage principal au fuel à condensation avec des radiateurs. Les fenêt..."
25GTCZCZ69SR,2025-11-22T12:55:00Z,Saint-Pierre-Bellevue,,23460,BUY,HOUSE,224500,260.0,12,,"**Maison de caractère en pierre, au calme absolu – À découvrir sans tarder !** Niché en bout de hameau, ce superbe corps de ferme creusois allie authenticité et potentiel, dans un cadre préservé entr..."
25KJPSXDTLM5,2025-10-13T19:05:00Z,Bourganeuf,,23400,BUY,HOUSE,149000,207.0,10,3,"Découvrez cette charmante maison pleine de cachet, idéalement située dans une commune paisible de la Creuse, à seulement cinq minutes de Bourganeuf. Entourée d'un jardin verdoyant, elle offre de nomb..."
25583KCMW883,2025-09-04T17:05:00Z,Felletin,,23500,BUY,HOUSE,55000,154.0,7,5,"Nous vous proposons un grand corps de bâtiment situé en pleine nature dans un petit village, à proximité de Felletin et non loin du plateau de Millevaches. Ce bâtiment offre de nombreuses possibilité..."
258TU2X7H7WE,2025-11-04T13:51:00Z,Bonnat,,23220,BUY,HOUSE,103500,180.0,5,2,"Situé au cœur de la commune de Bonnat, cet immeuble développe une surface totale d'environ 180 m² habitables et se compose de deux appartements indépendants, chacun disposant de ses propres équipemen..."
257EWN776I9C,2025-10-28T12:58:00Z,Guéret,Jouhet,23000,BUY,APARTMENT,90950,87.0,4,2,"Dernier étage avec vue dégagée – Grand 4 pièces lumineux – Quartier calme proche centre-ville Vous rêvez d'espace, de lumière et de tranquillité sans renoncer à la proximité du centre ? Cet apparteme..."
25KUZ2GNET4H,2025-09-02T21:37:00Z,Bourganeuf,,23400,BUY,HOUSE,23500,95.0,3,2,"Située aux Grandes Casernes, à Bosmoreau-les-Mines, cette maison mitoyenne se trouve au cœur d'une ancienne cité ouvrière bâtie en 1907 pour loger les corons creusois et leurs familles. Chargée d'his..."
25QX78DZRR34,2025-08-28T20:13:00Z,Guéret,Centre Ville,23000,BUY,HOUSE,155000,126.0,5,4,"Découvrez cette maison familiale située à Guéret, dans un quartier résidentiel prisé de la préfecture de la Creuse. Entièrement rénovée, cette demeure offre un cadre de vie idéal avec un jardin spaci..."
251AAA3W7BZH,2025-10-01T16:03:00Z,La Celle-Dunoise,,23800,BUY,HOUSE,462000,320.0,9,6,"Villard (23) : Superbe château du 16ème siècle, qui fût rénové entre 2010 et 2017. Ce château d'exception conjugue avec harmonie le charme de son histoire et le confort moderne. A ces côtés, la maiso..."
243KS39Q5YFE,2024-11-09T09:46:00Z,Fursac,,23290,BUY,HOUSE,45000,82.0,3,2,"Caroline Chanudet immobilier EXCLUSIVITE Tout renseignement complémentaire se fera exclusivement par téléphone, merci de votre compréhension. Pour voir plus de photos de ce bien, consultez notre site..."
256S5D4FPQZH,2025-11-30T14:18:00Z,Croze,,23500,BUY,HOUSE,110000,120.0,5,3,"iad France - Marie Spellemaeker vous propose: Charmante maison de 120m² à Croze Située dans la paisible commune de Croze, cette maison de caractère sur un vaste terrain de 5764m² offre un cadre de vi..."
25MMK995RW5F,2025-11-20T19:08:00Z,Mortroux,,23220,BUY,HOUSE,189000,120.0,5,3,"iad France - Sylvia Ballereau vous propose: Imaginez-vous chaque matin, prenant votre café sur une vaste terrasse exposée plein sud, face à une vue imprenable sur la nature creusoise qui s'étend à pe..."
25PS7496A2FH,2025-10-03T13:10:00Z,Janaillat,,23250,BUY,HOUSE,165000,170.0,7,4,"iad France - Cécile Doucet vous propose: Ensemble immobilier en pierres sur parcelle de 3390 m²comprenant une maison principale, un gîte ainsi que des dépendances. 1° Maison principale : 112 m² sur d..."
25WLG5EFD47U,2025-11-26T19:29:00Z,Saint-Sulpice-le-Guérétois,,23000,BUY,HOUSE,83000,73.0,3,2,"iad France - Rémi CRÉTIN vous propose: SAINT-SULPICE-Le-GÉRÉTOIS//5min centre-ville de Guéret//Ferme avec travaux et 5000m2 environ de terrain. À deux pas du centre-ville de Guéret, venez découvrir c..."
25MFCDNNGGIF,2025-11-25T21:51:00Z,Saint-Pardoux-les-Cards,,23150,BUY,HOUSE,129600,100.0,5,4,"iad France - Sébastien Gobin vous propose: À VENDRE – Maison 5 pièces d'environ 100 m² à Saint-Pardoux-les-Cards (Creuse 23) Située dans un environnement calme et verdoyant, cette maison offre un cad..."
25T15PRGW4SW,2025-11-26T08:18:00Z,Lupersat,,23190,BUY,HOUSE,42000,90.0,5,3,iad France - Bernard Lubese vous propose: MAISON EN PIERRE – 90 m² avec JARDIN & GARAGE | Le charme à réinventer Laissez libre cours à votre créativité avec cette maison en pierre pleine de potentiel...
25HENXLU88A9,2025-10-24T10:09:00Z,Aubusson,Rive Gauche,23200,BUY,APARTMENT,78500,56.0,5,2,"iad France - Françoise BARTAIRE vous propose: Situé en centre ville d'Aubusson 23200, Bel appartement avec grande terrasse aménagée, sans vis a vis et vue dégagée sur les hauteurs la ville. Cet appar..."
254624YKXI5Q,2025-09-29T18:29:00Z,Boussac-Bourg,,23600,BUY,HOUSE,283000,176.0,6,5,"iad France - Anthony Moiny vous propose: Magnifique longère rénovée avec goût sur un parc arboré avec prairies à Boussac-Bourg. Nichée dans un écrin de verdure, cette magnifique longère entièrement r..."
