id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25YR4FAA7K2H,2025-11-22T16:23:00Z,Saint-Laurent-des-Vignes,,24100,BUY,PROJECT,197000,,4,3,"Sur ce terrain, nous vous proposons cette maison neuve : le modèle Challenger, spécialement conçu pour les primo-accédants ou les couples souhaitant bénéficier du meilleur rapport qualité/prix du mar..."
25UXRJBZX87T,2025-11-24T16:27:00Z,Bergerac,,24100,BUY,HOUSE,680000,280.0,9,6,"À Bergerac, au cœur du Périgord Pourpre, cette élégante maison bourgeoise des années 30 offre environ 250 m² habitables au sein d'un magnifique parc clos et arboré de 2 921 m², agrémenté de cèdres ce..."
25F5TKASKWII,2025-02-03T14:27:00Z,Lamonzie-Saint-Martin,,24680,BUY,HOUSE,309000,183.0,8,4,"A 5 minutes de Bergerac, située dans la commune de Lamonzie-Saint-Martin, cette villa de plain-pied, de 2014, se compose d'une maison principale et d'une maison d'amis attenante, le tout sur un terra..."
25KEJ7KRJC6A,2025-05-02T09:24:00Z,Bergerac,Foirail,24100,BUY,HOUSE,283000,164.0,6,4,"Située à proximité immédiate du centre-ville de Bergerac, cette maison en pierre des années 1900 a été agrandie et entièrement rénovée. Elle offre une surface habitable de 164 m2, répartie sur plusie..."
25WAPX2HNL1U,2025-11-17T12:12:00Z,Bergerac,Pécharmant,24100,BUY,APARTMENT,149000,128.0,6,3,"Zefir vous propose à la vente cet immeuble de 128 m² situé Avenue Pasteur à Bergerac. Ce bien offre un espace unique, idéal pour divers projets, tels que l'exploitation d'une activité commerciale, la..."
25DJEBJBBTX9,2025-11-24T15:47:00Z,Saint Medard de Mussidan,,24400,BUY,HOUSE,306000,267.0,7,4,"Laissez-vous séduire par cette magnifique longère de 267m² habitables, entièrement rénovée depuis 2016 et offrant un cadre de vie harmonieux entre authenticité et confort moderne. La maison est compo..."
25BS3DC64IPQ,2025-11-12T13:47:00Z,Saint-Laurent-des-Hommes,,24400,BUY,HOUSE,600000,470.0,17,7,"Découvrez cette magnifique Maison de Maître du XIXème siècle, entre Bordeaux et Bergerac. Idéalement située, à proximité de tous les services nécessaires mais aussi, proche des grands axes pour décou..."
25FMLFAM9I4T,2025-11-22T13:15:00Z,Saint Martin de Gurson,,24610,BUY,HOUSE,117000,146.0,5,3,"Situés au calme, cet ensemble de deux habitations et son hangar non attenant offrent de nombreuses possibilités. Elle peuvent être regroupées afin de créer un seul logement ou de profiter de deux log..."
25RXEQWBDVHP,2025-10-20T14:39:00Z,Bergerac,Toutifaut,24100,BUY,HOUSE,318000,126.0,5,3,"Cette demeure de caractère, bâtie en 1897, appartient à l'histoire et au patrimoine de Bergerac. Les six bassins, encore visibles, rappellent son passé d'ancienne saumonerie, ils peuvent être réaména..."
25GQENER924N,2025-07-05T08:18:00Z,La Bachellerie,,24210,BUY,HOUSE,495000,191.0,6,4,"Rare et insolite, ce lieu de vie au charme inclassable se niche au bout d'un chemin sans voisins a l'horizon, dans un environnement de 15 ha de bois, prairies et jardins, à proximité de Montignac et ..."
259DZCVRLADQ,2025-08-01T12:41:00Z,Monbazillac,,24240,BUY,HOUSE,569000,170.0,5,3,"Cette belle chartreuse périgourdine a bénéficié d'une rénovation soignée, mêlant charme authentique et touches contemporaines. Matériaux nobles, volumes généreux et ambiance chaleureuse en font un li..."
25LUY4LF7PM7,2025-09-05T12:53:00Z,Lembras,,24100,BUY,HOUSE,239000,108.0,5,3,"À seulement 8 minutes de Bergerac, découvrez cette charmante maison de 108 m2 nichée au coeur d'un parc arboré de plus de 3 500 m2, entièrement clos et idéalement situé sur les hauteurs dans le quart..."
