id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25EJFPNW2BFL,2025-11-21T14:40:00Z,Grignan,,26230,BUY,HOUSE,549000.0,170.0,7,3,"Proche de Grignan, cette propriété de 9676 m2 pleine de potentiel, offre à la fois le calme, la proximité des commodités et de multiples possibilités d'aménagement. Sur un terrain constructible de 30..."
25Z2WR5CZLPF,2025-11-03T09:24:00Z,Grignan,,26230,BUY,HOUSE,795000.0,240.0,8,6,"Entre Grignan et Nyons, au cœur de la Drôme provençale, superbe mas en pierre restauré d’environ 240 m² habitables sur un terrain clos et arboré de 1 476 m² avec piscine 9 x 4 m. Idéalement situé en ..."
24K4WTD6WTMI,2023-06-05T13:00:00Z,Livron-sur-Drôme,Vieux Bourg,26250,BUY,APARTMENT,148579.0,54.0,2,1,"SDH Constructeur vous propose son nouveau programme de construction situé sur la commune de Livron-sur-Drôme, au cœur du centre-ville, proche de toutes commodités. Le rez-de-chaussée est destiné à de..."
25WA6DBL5Z3Y,2025-11-06T08:22:00Z,Montelimar,,26200,BUY,HOUSE,569000.0,230.0,8,4,"Provence Immobilier vous propose cette belle maison implantée sur un terrain clos et arboré de 1 624 m², un véritable havre de paix agrémenté d'une piscine et d'un pool house pour profiter pleinement..."
25XV24LLUAVR,2025-11-05T11:19:00Z,Suze la Rousse,,26790,BUY,HOUSE,636000.0,210.0,6,4,"SUZE LA ROUSSE Proche du village , de son château et de ses nombreuses commodités, nichée dans un cadre paisible et recherché, cette élégante villa construite en 2008 offre environ 210 m² habitables ..."
246BQ567AMC1,2023-01-12T14:39:00Z,Allan,,26780,BUY,HOUSE,214200.0,73.9,3,2,"Vous hésitez entre un appartement ou une villa ? Les Portes de Rouny propose des villas avec deux ou trois chambres ou encore des appartements possédants sa propre entrée avec une, deux ou trois cham..."
24VZZNY9Z2AY,2023-01-12T14:39:00Z,Allan,,26780,BUY,APARTMENT,212400.0,73.1,3,2,"Vous hésitez entre un appartement ou une villa ? Les Portes de Rouny propose des villas avec deux ou trois chambres ou encore des appartements possédants sa propre entrée avec une, deux ou trois cham..."
257JGWAWEEK1,2025-11-20T13:06:00Z,Montélimar,Les Blaches-Les Champs,26200,BUY,APARTMENT,145000.0,88.0,5,3,"Découvrez ce charmant T4 situé au quatrième étage d'une copropriété sécurisée, sans ascenseur. L'appartement, lumineux et agréable, offre un spacieux salon-salle à manger, trois chambres confortables..."
249NDS8NZBZ1,2023-06-05T13:00:00Z,Livron-sur-Drôme,Vieux Bourg,26250,BUY,APARTMENT,183746.0,71.2,3,2,"SDH Constructeur vous propose son nouveau programme de construction situé sur la commune de Livron-sur-Drôme, au cœur du centre-ville, proche de toutes commodités. Le rez-de-chaussée est destiné à de..."
25GA2V4CTLW7,2025-06-04T10:26:00Z,Merindol les Oliviers,,26170,BUY,HOUSE,426400.0,112.0,5,3,"BAISSE DE PRIX..SECTEUR VAISON LA ROMAINE Située en campagne d'un magnifique village provençal et touristique, à seulement 10 mn de Vaison la Romaine, à proximité du village de Faucon, vous apprécier..."
