id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
24M8AJDEBM9D,2024-09-12T00:07:00Z,Chartres,Beaulieu,28000,BUY,APARTMENT,189000.0,69.0,3,,"Bonus ! Une prime de 10 000 euros est déductible du prix de vente TTC pour tout achat en résidence principale. Nos appartements, du 3 au 4 pièces, offrent à chacun un espace extérieur privatif pour r..."
24X96LZFF635,2024-09-12T00:07:00Z,Chartres,Beaulieu,28000,BUY,APARTMENT,201100.0,80.0,4,,"Bonus ! Une prime de 10 000 euros est déductible du prix de vente TTC pour tout achat en résidence principale. Nos appartements, du 3 au 4 pièces, offrent à chacun un espace extérieur privatif pour r..."
23P6ZKT7BEN2,2023-03-16T09:58:00Z,Chartres,Haut Saumon-Bel Air,28000,BUY,APARTMENT,589900.0,140.44,4,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Appartements 3 et 4 pièces de standing, remise des clés au 4ème ..."
25PBA17AZX4Z,2025-03-04T13:15:00Z,Chartres,Beaulieu,28000,BUY,APARTMENT,169000.0,60.05,3,,"Offre exceptionnelle : Devenez propriétaire de votre 3 pièces à partir de 592 E - mois + Frais de notaire offerts jusqu'à 70 000 E + Eligible à la TVA à 5,5%* LIVRAISON 2026 - Inscrivez-vous pour vis..."
25LR7P2CMQI5,2025-03-04T13:15:00Z,Chartres,Beaulieu,28000,BUY,APARTMENT,155000.0,44.66,2,,"Offre exceptionnelle : Devenez propriétaire de votre 3 pièces à partir de 592 E - mois + Frais de notaire offerts jusqu'à 70 000 E + Eligible à la TVA à 5,5%* LIVRAISON 2026 - Inscrivez-vous pour vis..."
25ZC3Y2FQJMN,2025-03-04T13:15:00Z,Chartres,Beaulieu,28000,BUY,APARTMENT,145000.0,30.05,1,,"Offre exceptionnelle : Devenez propriétaire de votre 3 pièces à partir de 592 E - mois + Frais de notaire offerts jusqu'à 70 000 E + Eligible à la TVA à 5,5%* LIVRAISON 2026 - Inscrivez-vous pour vis..."
258UIKEE5NSH,2025-05-09T18:46:00Z,Châteauneuf-en-Thymerais,,28170,BUY,HOUSE,314000.0,160.0,6,4,"28170 - TREMBLAY-LES-VILLAGES - Maison 6 pièces - 160 m² - Ancienne École/Mairie Rénovée effiCity, l'agence qui estime votre bien en ligne, vous propose cette magnifique demeure du XIXème siècle, édi..."
25FWC9E4CM77,2025-11-22T01:16:00Z,Dammarie,,28360,BUY,HOUSE,159900.0,108.0,5,3,"MAISON FONCTIONELLE AVEC GARAGE ET DEPENDANCES - DAMMARIE ! Bienvenue chez vous , Bien Serein Immobilier vous présente cette maison à fort potentiel d'une surface habitable de 108 m², édifiée sur un ..."
243U54II9EXZ,2024-08-30T04:54:00Z,Champhol,,28300,BUY,APARTMENT,166600.0,45.76,2,,"Aux portes de Chartres, votre maison, appartement ou villa-jardin à partir de 825,83 euros/mois* à CHAMPHOL ! Jusqu'à 12 500 euros de remise* Prolongation exceptionnelle : Frais de notaire et courtag..."
25SWGW3FK6YS,2025-11-21T04:23:00Z,Vernouillet,Europe,28500,BUY,PROJECT,200000.0,,7,5,"PROFITEZ DU PTZ EN 2025 ! Saisissez l'opportunité de faire construire VOTRE MAISON INDIVIDUELLE : A VERNOUILLET sur un terrain de 400 m², MAISONS SESAME vous propose de réaliser cette maison neuve d'..."
