id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25F3M5WZ1444,2025-11-19T13:28:00Z,Brest,Saint Pierre,29200,BUY,APARTMENT,189000.0,46.0,2,1,"Appartement neuf à Brest : découvrez Reflets de la Rade, le nouveau projet immobilier d’exception Programme immobilier neuf à Sainte-Anne du Portzic – vue mer imprenable Découvrez Reflets de la Rade,..."
25CYNLJ5RE8V,2025-11-19T13:28:00Z,Brest,Saint Pierre,29200,BUY,APARTMENT,289000.0,61.03,3,1,"Appartement neuf à Brest : découvrez Reflets de la Rade, le nouveau projet immobilier d’exception Programme immobilier neuf à Sainte-Anne du Portzic – vue mer imprenable Découvrez Reflets de la Rade,..."
25VU5D27HMG6,2025-01-04T06:12:00Z,Brest,Saint Marc,29200,BUY,APARTMENT,395000.0,89.95,4,,"[- OFFRE EXCLUSIVE - ] Démarrage des travaux en cours. Devenez enfin propriétaire à BREST grâce à l'offre IMMOSTART* : Profitez du PRET À TAUX ZÉRO*, bénéficiez de tous les avantages de cette offre e..."
252G27WAGAYC,2025-01-04T06:12:00Z,Brest,Saint Marc,29200,BUY,APARTMENT,290000.0,62.0,3,,"[- OFFRE EXCLUSIVE - ] Démarrage des travaux en cours. Devenez enfin propriétaire à BREST grâce à l'offre IMMOSTART* : Profitez du PRET À TAUX ZÉRO*, bénéficiez de tous les avantages de cette offre e..."
25NIGR58E267,2025-01-04T06:12:00Z,Brest,Saint Marc,29200,BUY,APARTMENT,183000.0,38.0,2,,"[- OFFRE EXCLUSIVE - ] Démarrage des travaux en cours. Devenez enfin propriétaire à BREST grâce à l'offre IMMOSTART* : Profitez du PRET À TAUX ZÉRO*, bénéficiez de tous les avantages de cette offre e..."
25Q8AV27JIN3,2025-03-17T19:15:00Z,Moëlan-sur-Mer,Bourg Nord,29350,BUY,APARTMENT,178000.0,46.0,2,,"Le Hameau de Kerjean : appartements et maisons à Moëlan-sur-Mer Située au cœur de Moëlan-sur-Mer, à quelques pas des commerces et à proximité des villes de Concarneau et Guidel, découvrez votre nouve..."
24N98LEXF2SV,2023-09-06T12:05:00Z,Le Relecq-Kerhuon,Pont de l'Iroise-Rocade Sud,29480,BUY,APARTMENT,380000.0,49.22,2,1,"Programme d’exception situé dans un cadre unique, la résidence Rosalie s’élève au Moulin-Blanc, avec vue immédiate sur la rade de Brest. La structure du bâtiment s’inspire du style bord de mer, des c..."
249TMSQXBCNF,2023-09-06T12:05:00Z,Le Relecq-Kerhuon,Pont de l'Iroise-Rocade Sud,29480,BUY,APARTMENT,510000.0,61.7,3,2,"Programme d’exception situé dans un cadre unique, la résidence Rosalie s’élève au Moulin-Blanc, avec vue immédiate sur la rade de Brest. La structure du bâtiment s’inspire du style bord de mer, des c..."
25I933RSSEW7,2025-08-30T12:27:00Z,Concarneau,Porzambars-La Glaciere,29900,BUY,APARTMENT,355000.0,62.67,3,2,"BAHIA, UNE RÉSIDENCE D'EXCEPTION Habiter ou investir dans un joyau de la Bretagne. Imaginez…Quelques pas suffisent pour rejoindre les plages, respirer l'air iodé, marcher sur les sentiers côtiers. Et..."
259MIW65TYKS,2025-11-19T14:15:00Z,Brest,Saint Marc,29200,BUY,APARTMENT,204000.0,42.8,2,1,"Située au cœur de Brest Saint Marc, la Résidence Celton représente l’un des programmes neufs à Brest les plus attractifs du moment. Ce programme immobilier neuf propose 19 appartements neufs à Brest,..."
