id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25A51A4XYQJB,2025-10-23T10:58:00Z,Porto-Vecchio,Zone Eparse Est,20137,BUY,APARTMENT,346000,54.0,3,2,"CASA CHA Immobilier® vous présente en EXCLUSIVITÉ la Résidence SUARINA. Devenez propriétaire d'un logement neuf idéalement situé chemin d'Agnarella à Porto-Vecchio, dans un quartier calme, verdoyant ..."
25VKNT2AXL7Z,2025-10-23T10:58:00Z,Porto-Vecchio,Zone Eparse Est,20137,BUY,APARTMENT,560000,87.0,4,3,"CASA CHA Immobilier® vous présente en EXCLUSIVITÉ la Résidence SUARINA. Devenez propriétaire d'un logement neuf idéalement situé chemin d'Agnarella à Porto-Vecchio, dans un quartier calme, verdoyant ..."
2535QGDFAS7H,2025-10-23T10:58:00Z,Porto-Vecchio,Zone Eparse Est,20137,BUY,APARTMENT,285000,44.0,2,1,"CASA CHA Immobilier® vous présente en EXCLUSIVITÉ la Résidence SUARINA. Devenez propriétaire d'un logement neuf idéalement situé chemin d'Agnarella à Porto-Vecchio, dans un quartier calme, verdoyant ..."
2524BX85GCNF,2025-04-10T10:49:00Z,Ajaccio,Maréchal Juin,20090,BUY,APARTMENT,193900,48.1,2,1,"Avec la nouvelle résidence « U Candelu », devenez propriétaire d'un logement neuf idéalement situé, permettant d'entrer et sortir aisément d'Ajaccio sans subir les embouteillages. Le quartier Candia ..."
25NN485ZYGQ5,2025-04-10T10:49:00Z,Ajaccio,Maréchal Juin,20090,BUY,APARTMENT,243500,64.6,3,2,"Avec la nouvelle résidence « U Candelu », devenez propriétaire d'un logement neuf idéalement situé, permettant d'entrer et sortir aisément d'Ajaccio sans subir les embouteillages. Le quartier Candia ..."
23E5TDI1CI5A,2023-05-16T13:13:00Z,Propriano,,20110,BUY,APARTMENT,340000,73.0,3,2,"Surplombant le centre ville de Propriano, à moins de 500 mètres à pied de toutes les commodités, des plages et de la Marina, la résidence ATHENA vous séduira par son confort de vie exceptionnel ainsi..."
23ZLQWBM4PBI,2023-05-16T13:13:00Z,Propriano,,20110,BUY,APARTMENT,165000,36.0,1,,"Surplombant le centre ville de Propriano, à moins de 500 mètres à pied de toutes les commodités, des plages et de la Marina, la résidence ATHENA vous séduira par son confort de vie exceptionnel ainsi..."
23CPPPT6MXFF,2023-05-16T13:13:00Z,Propriano,,20110,BUY,APARTMENT,305000,67.0,2,1,"Surplombant le centre ville de Propriano, à moins de 500 mètres à pied de toutes les commodités, des plages et de la Marina, la résidence ATHENA vous séduira par son confort de vie exceptionnel ainsi..."
25BCFY8QGRD1,2025-04-10T10:49:00Z,Ajaccio,Maréchal Juin,20090,BUY,APARTMENT,313900,88.1,4,3,"Avec la nouvelle résidence « U Candelu », devenez propriétaire d'un logement neuf idéalement situé, permettant d'entrer et sortir aisément d'Ajaccio sans subir les embouteillages. Le quartier Candia ..."
25NWI49USYDL,2025-06-14T08:44:00Z,Figari,,20114,BUY,HOUSE,890000,184.0,6,4,"L’agence Accasà vous propose en exclusivité cette propriété d’exception à Figari, idéalement située dans le paisible hameau de Poghjala. La maison principale offre une superficie confortable de 127,5..."
259K9HHI8DF5,2025-06-24T00:01:00Z,Bastelicaccia,,20129,BUY,HOUSE,659000,116.0,4,3,"L'agence OC Investissements a le plaisir de vous présenter, en exclusivité à la vente, cette superbe villa avec vue sur le Golfe d'Ajaccio. Située sur la commune très prisée de Bastelicaccia, cette v..."
25SKRYRSWP33,2025-09-16T09:34:00Z,Bonifacio,,20169,BUY,APARTMENT,300000,68.0,3,2,"A vendre sur le port de Bonifacio, ce magnifique appartement en duplex de type T3 offre une surface de 61,45 m² loi Carrez (68,73 m² au sol). Entièrement rénové en 2022 avec des prestations de qualit..."
252EFNNSRS9G,2025-10-03T23:38:00Z,Figari,,20114,BUY,HOUSE,690000,204.0,6,3,"L’agence Accasà vous propose en exclusivité cette maison récente nichée dans un environnement calme et naturel sur la commune de Figari, offrant environ 204 m² habitables sur un terrain de 1 826 m². ..."
25JTGTYYGF3X,2025-11-24T10:02:00Z,Lecci,,20137,BUY,HOUSE,910000,224.0,7,5,"Découvrez cette très jolie propriété familiale d’environ 224 m², nichée au cœur d’un terrain arboré d’environ 4 367 m², composé d’essences naturelles corses. Idéalement située dans un secteur calme, ..."
25IKMNDHPS8F,2025-11-25T10:15:00Z,Porto Vecchio,,20137,BUY,APARTMENT,470000,105.0,4,3,"EN EXCLUSIVITE ! Situé au 2ème étage d'une résidence fermée, en plein cœur de Porto-Vecchio, découvrez ce spacieux appartement de plus de 105 m² offrant un potentiel rare et une vue imprenable sur la..."
25R59FKX84Y1,2025-11-13T14:21:00Z,Bonifacio,,20169,BUY,HOUSE,790000,98.0,5,3,"Au bout d'un petit chemin, au cœur d'un quartier résidentiel, se trouve cette propriété pleine de charme, comprenant une villa principale et son annexe indépendante. La parcelle de 1 518 m², entièrem..."
25RFF2C8B2FN,2025-11-26T08:28:00Z,Ajaccio,Parc Berthault,20090,BUY,APARTMENT,660000,100.0,3,2,"C'est au cœur du quartier prisé de parc Bertault à Ajaccio, que se trouve ce somptueux appartement T4 de 100 m², à quelques minutes seulement de la plage du Trottel. Plus qu'un simple appartement, il..."
25XRKICUCSN6,2025-07-04T16:10:00Z,Lecci,,20137,BUY,HOUSE,1298000,163.0,5,4,"SOUS OFFRE Située à quelques kilomètres des plages, cette villa contemporaine construite en Villa contemporaine construite en 2023, offre un cadre de vie idéal entre modernité, confort et proximité d..."
256MGCST6W9D,2025-09-08T20:38:00Z,Porto-Vecchio,,20137,BUY,APARTMENT,340000,52.47,2,1,"- maquette 3D, plans de vente et visite virtuelle sur demande - En plein cœur de la vieille ville de Porto-Vecchio, avec accès à pied à tous les commerces ainsi qu'au port de plaisance, nous vous pro..."
25NZQ2XBIUG8,2025-09-08T20:38:00Z,Porto-Vecchio,,20137,BUY,APARTMENT,265000,34.05,1,,"- maquette 3D, plans de vente et visite virtuelle sur demande - En plein cœur de la vieille ville de Porto-Vecchio, avec accès à pied à tous les commerces ainsi qu'au port de plaisance, nous vous pro..."
25YAVER1YG1Q,2025-09-08T20:38:00Z,Porto-Vecchio,,20137,BUY,APARTMENT,1190000,124.13,4,3,"- maquette 3D, plans de vente et visite virtuelle sur demande - En plein cœur de la vieille ville de Porto-Vecchio, avec accès à pied à tous les commerces ainsi qu'au port de plaisance, nous vous pro..."
255CA25BAFH6,2025-02-25T09:01:00Z,Porto-Vecchio,Zone Périphérique,20137,BUY,APARTMENT,465000,82.01,4,3,"VENTE INTERACTIVE : Situé à quelques minutes du centre de Porto-Vecchio , cet appartement T4 de 82m2, construit en 2016, offre des prestations de qualité dans un cadre résidentiel calme, sécurisé et ..."
257SSZSQUDQ5,2025-07-15T10:21:00Z,Viggianello,,20110,BUY,HOUSE,690000,124.0,4,3,"Nouveauté dans votre agence Coti Immobilier ! Découvrez cette très belle maison 4 pièces à Viggianello, dans un cadre calme et résidentiel, offrant des prestations haut de gamme et des espaces de vie..."
25AGRHIHKJQ5,2025-02-04T02:20:00Z,Porto Vecchio,,20137,BUY,HOUSE,3900000,316.0,9,4,"Un emplacement d'exception, entre mer et montagne, pour cette superbe propriété pieds dans l'eau, située sur la commune de Sari-Solenzara, à quelques kilomètres de la magnifique plage de Canella, des..."
25681EIHW1ZJ,2025-11-03T09:28:00Z,Bonifacio,,20169,BUY,HOUSE,9000000,466.72,11,7,"BONIFACIO – CORSE DU SUD Propriété d'architecte en position dominante sur le Golfe de Sant'Amanza Accès privé à la plage de Maora. Dans l'un des sites les plus préservés de Corse du Sud, cette propri..."
254P36WUVM13,2025-04-17T01:22:00Z,Lecci,,20137,BUY,HOUSE,995000,139.8,5,4,"Découvrez cette magnifique maison contemporaine et récente, située à Cala Rossa. Un havre de paix qui allie confort moderne et charme à quelques pas de la plage de Cala Rossa. Avec ses 4 chambres spa..."
25HX66Q1QIEB,2025-09-08T20:38:00Z,Porto-Vecchio,,20137,BUY,APARTMENT,420000,63.88,3,2,"- maquette 3D, plans de vente et visite virtuelle sur demande - En plein cœur de la vieille ville de Porto-Vecchio, avec accès à pied à tous les commerces ainsi qu'au port de plaisance, nous vous pro..."
24U5XVENH9J3,2024-11-26T02:17:00Z,Lecci,,20137,BUY,APARTMENT,245000,31.86,2,1,"Idéalement située dans une résidence à proximité immédiate de la plage de Saint-Cyprien et de ses commerces, nous vous proposons un bel appartement de deux pièces, entièrement rénové et vendu meublé...."
25YC1KNU3XDX,2025-07-15T10:21:00Z,Propriano,,20110,BUY,APARTMENT,245000,48.0,2,1,"Nouveauté dans votre agence Coti Immobilier ! Situé en plein centre-ville de Propriano, ce bel appartement T2 de 48,33 m² se trouve au deuxième étage d'un immeuble entièrement rénové récemment. Son e..."
249S1CPIFRRQ,2024-06-08T01:09:00Z,Zonza,,20124,BUY,HOUSE,930000,95.07,4,3,"Située à 5 minutes de la plage de St Cyprien, cette villa entièrement rénovée et agrandie, offre une jolie vue mer sur la baie de St Cyprien. Elle se compose d'une pièce de vie ouverte sur la terrass..."
248ZPDN5SFY2,2023-06-09T01:49:00Z,Zonza,,20144,BUY,HOUSE,2100000,146.0,5,4,"Avec une vue mer imprenable sur la baie de Saint Cyprien, cette villa nichée en plein c½ur d'un domaine de standing est à seulement quelques minutes à pied du Cabanon Bleu et 5 minutes de Pinarello. ..."
