id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25TAMM6P4SS9,2024-07-19T00:05:00Z,Furiani,,20600,BUY,APARTMENT,164000,41.0,2,,"La Résidence U Querciu sera le parfait reflet de vos envies ! Fièrement conçue par Corse Développement Immobilier, acteur engagé sur le territoire insulaire, la Résidence U Querciu est plus qu'une ré..."
25X4I75TMPDM,2025-07-30T14:21:00Z,Calvi,Centre,20260,BUY,APARTMENT,264577,47.0,2,,"Investir à Calvi ? Faites le choix du bon placement. Un emplacement premium, à deux pas de la baie. Une résidence neuve, moderne, pensée pour séduire vos futurs locataires ou valoriser votre patrimoi..."
25WU3W8KJ2VN,2024-07-08T07:44:00Z,Lucciana,,20290,BUY,APARTMENT,109000,36.25,1,,"Début des travaux en été 2025 & lancement de la nouvelle tranche ! Découvrez Le Parc de Papalia, un lieu de vie exceptionnel situé à Lucciana. La résidence s’articule autour de nombreux espaces verts..."
25QV657AS9HC,2024-07-08T07:44:00Z,Lucciana,,20290,BUY,APARTMENT,124900,43.3,2,,"Début des travaux en été 2025 & lancement de la nouvelle tranche ! Découvrez Le Parc de Papalia, un lieu de vie exceptionnel situé à Lucciana. La résidence s’articule autour de nombreux espaces verts..."
25UGK6N3KIY4,2025-06-14T00:05:00Z,Furiani,,20600,BUY,APARTMENT,299000,80.0,4,,"La Résidence U Querciu sera le parfait reflet de vos envies ! Fièrement conçue par Corse Développement Immobilier, acteur engagé sur le territoire insulaire, la Résidence U Querciu est plus qu'une ré..."
25553RLMDTQS,2025-11-17T17:47:00Z,Belgodere,,20226,BUY,APARTMENT,210000,47.0,3,2,APPARTEMENT DUPLEX 3 PIECES AVEC TERRASSE ET EMPLACEMENT DE PARKING- A DEUX PAS DE LA MER - COPROPRIETE AVEC PISCINE MARE IMMO vous propose de découvrir ce charmant appartement duplex de type 3 pièce...
25LWR95FG6CN,2025-07-30T14:21:00Z,Calvi,Centre,20260,BUY,APARTMENT,368853,66.0,3,,"Investir à Calvi ? Faites le choix du bon placement. Un emplacement premium, à deux pas de la baie. Une résidence neuve, moderne, pensée pour séduire vos futurs locataires ou valoriser votre patrimoi..."
25BNMQFLGHWE,2025-11-28T11:27:00Z,Sisco,,20233,BUY,HOUSE,262000,94.0,4,3,"Maison T4 avec studio indépendant - 76 m² habitables - 94 m² surface totale – parcelle de 789 m² Nous vous proposons une maison individuelle de 94 m², située sur la commune de Sisco, au cœur du Cap C..."
25QVM7CUL2LJ,2024-07-08T07:44:00Z,Lucciana,,20290,BUY,APARTMENT,215900,65.05,3,,"Début des travaux en été 2025 & lancement de la nouvelle tranche ! Découvrez Le Parc de Papalia, un lieu de vie exceptionnel situé à Lucciana. La résidence s’articule autour de nombreux espaces verts..."
25SEIW6BP5J4,2025-11-28T15:03:00Z,Furiani,,20600,BUY,APARTMENT,220000,70.0,3,2,"Votre Agence Era Immobilier Bastia vous propose en exclusivité ce bel appartement de type T3 de 70m² situé au 1er étage avec ascenseur d'une résidence récente, sécurisée et bien entretenue sur la com..."
253JRNYBHJQY,2025-11-19T15:44:00Z,Calvi,Secteur Périphérique,20260,BUY,APARTMENT,350000,44.93,2,1,"Découvrez ce magnifique appartement vendu meublé, situé dans une résidence de standing avec piscine, dans un quartier calme de Calvi, à seulement 5 minutes en voiture de la plage et du centre-ville. ..."
25YFQNNF36MI,2025-11-28T16:28:00Z,Santa Maria Di Lota,,20200,BUY,APARTMENT,225000,82.0,4,3,"A vendre uniquement dans votre agence ERA Immobilier Bastia : Appartement de type T4 situé dans une petite copropriété entièrement rénovée, surplombant la mer à quelques mètres des plages de Miomo. L..."
25744PV2XUQQ,2025-01-13T14:46:00Z,Calvi,,20260,BUY,APARTMENT,285000,54.0,2,1,"Découvrez cet appartement d'exception situé à Calvi, au sein d'un immeuble moderne et sécurisé. Situé au dernier étage avec ascenseur, ce bien de 54m² au style loft offre des prestations haut de gamm..."
24V9RNEBJXKZ,2024-12-12T07:13:00Z,Calenzana,,20214,BUY,HOUSE,749000,223.0,5,4,"Idéalement située à proximité immédiate du village de Calenzana, cette propriété pleine de caractère s'étend sur une parcelle de 1000m². Une opportunité rare, idéale pour une résidence principale ou ..."
259T6W6P4TLH,2025-07-30T14:21:00Z,Calvi,Centre,20260,BUY,APARTMENT,442508,80.0,4,,"Investir à Calvi ? Faites le choix du bon placement. Un emplacement premium, à deux pas de la baie. Une résidence neuve, moderne, pensée pour séduire vos futurs locataires ou valoriser votre patrimoi..."
