id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25LCXMHZFY25,2025-11-23T08:14:00Z,Ciry-Salsogne,,02220,BUY,PROJECT,191199.0,,5,4,"Sur ce terrain, nous vous proposons cette maison neuve, le modèle Ménilière, une maison plain-pied moderne qui intègre de base un garage et une longue galerie sur la face avant. Avec une surface de 1..."
257TISL2EQQS,2025-11-15T12:20:00Z,Montigny le Franc,,02250,BUY,HOUSE,162500.0,128.0,5,4,"AISNE - MONTIGNY-LE-FRANC - Maison de village rénovée Dans un charmant village entre Marle et Montcornet, à 20 minutes de Laon, belle maison familiale typique du secteur, construite en pierres. Au RD..."
25PC59EUTAK1,2025-11-23T08:14:00Z,Villers-Cotterêts,Avenue de Compiegne,02600,BUY,PROJECT,211098.0,,5,4,"Sur ce terrain, nous vous proposons cette maison neuve, la Boissière, construite par Babeau-Seguin, le constructeur offrant le meilleur rapport qualité/prix du marché. Cette élégante maison à étage d..."
2591SZQBDZ5Q,2025-11-23T08:14:00Z,Villers-Cotterêts,Avenue de Compiegne,02600,BUY,PROJECT,200352.0,,5,4,"Sur ce terrain, nous vous proposons cette maison neuve Aubetière, un modèle traditionnel signé Babeau-Seguin, constructeur reconnu pour offrir le meilleur rapport qualité/prix du marché. Avec une sur..."
259PMC7RA9HV,2025-11-23T08:14:00Z,Villers-Cotterêts,Avenue de Compiegne,02600,BUY,PROJECT,260254.0,,5,4,"Sur ce terrain, nous vous proposons cette maison neuve : la Chacenière, un modèle de 100 m² conçu par Babeau-Seguin, constructeur reconnu pour offrir le meilleur rapport qualité/prix du marché. Cette..."
25DYCKHW6463,2025-11-21T12:26:00Z,Villers-Cotterêts,Avenue de Compiegne,02600,BUY,PROJECT,258000.0,,7,5,"Contactez Nicolas au O624697531 À VENDRE – Modèle Sioux 8 – La maison familiale par excellence, conforme RE2020 Vous rêvez d'un grand espace pour accueillir votre famille dans un cadre moderne, confo..."
253UQ6I9W82Q,2025-08-25T10:19:00Z,Marly Gomont,,02120,BUY,HOUSE,244000.0,174.0,10,4,"AISNE - MARLY-GOMONT - Charmante maison de campagne sur 7590 m² de terrain Dans un village dynamique au coeur de la Vallée de l'Oise avec toutes les commodités (boulangerie, boucherie, pharmacie, méd..."
25BCMH8IIQD5,2025-08-25T10:19:00Z,Vervins,,02140,BUY,HOUSE,313500.0,185.0,8,3,"AISNE - VERVINS - CORPS DE FERME sur plus de 8500 m² de terrain Cette propriété entièrement rénovée, idéale pour les amoureux de la nature et des grands espaces n'attend que vous. Offrant plud de 850..."
252JQIFXM5X8,2025-08-25T10:19:00Z,Franqueville,,02140,BUY,HOUSE,169500.0,190.0,6,4,"AISNE - FRANQUEVILLE - Maison de campagne individuelle En exclusivité, dans un village paisible proche de Vervins, maison en grande partie rénovée. Au RDC : une grande pièce de 54 m² avec poële à boi..."
25ENL2LY4HZG,2025-08-27T07:38:00Z,Colonfay,,02120,BUY,HOUSE,190000.0,90.0,5,2,AISNE Colonfay Tranquilité absolue pour cette belle maison Plongez dans un havre de paix et de sérénité avec cette magnifique propriété nichée sur un terrain de 2900m². Offrant une tranquillité absol...
