id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25WR5NKJBEQD,2025-11-19T15:32:00Z,Villeneuve-Lès-Avignon,Charbonnières-Montagnié,30400,BUY,APARTMENT,249900,65.0,3,2,"Vivez le charme authentique de Villeneuve-lès-Avignon avec nos appartements T4?! Installez-vous dans une ville au charme médiéval incomparable, réputée pour son atmosphère paisible, son riche patrimo..."
25U9FXPMVISJ,2025-11-06T12:29:00Z,Le Grau-du-Roi,Nord,30240,BUY,APARTMENT,290700,47.0,2,1,"Une nouvelle adresse d’exception au cœur du Grau-du-Roi, entre les plages, la pinède et les salins. À seulement 500 mètres de la plage et à quelques pas du centre-ville. Découvrez AKOYA, un projet ar..."
25IG1B9DKV6U,2025-07-16T06:39:00Z,Uzès,Nord,30700,BUY,APARTMENT,480000,77.29,4,3,"Bienvenue à La résidence L’Amistat, votre nouvelle adresse à Uzès Située avenue des Cévennes, L’Amistat est une résidence à taille humaine, composée de seulement 12 appartements. Pensée pour offrir u..."
2529YFDUBAJN,2025-07-16T06:39:00Z,Uzès,Nord,30700,BUY,APARTMENT,415000,14.54,3,2,"Bienvenue à La résidence L’Amistat, votre nouvelle adresse à Uzès Située avenue des Cévennes, L’Amistat est une résidence à taille humaine, composée de seulement 12 appartements. Pensée pour offrir u..."
24G8BB5M1PI5,2024-11-04T06:51:00Z,Nîmes,Capouchiné,30900,BUY,APARTMENT,393000,99.4,5,4,"Au cœur d 'un quartier résidentiel et chaleureux, la Résidence AGATE BLANCHE bénéficie d'une situation géographique idéale pour ses occupants. A quelques minutes de la plus belle avenue de Nîmes, ""l'..."
24ZY7QHNGZ4V,2024-11-04T06:51:00Z,Nîmes,Capouchiné,30900,BUY,APARTMENT,395000,84.2,4,3,"Au cœur d 'un quartier résidentiel et chaleureux, la Résidence AGATE BLANCHE bénéficie d'une situation géographique idéale pour ses occupants. A quelques minutes de la plus belle avenue de Nîmes, ""l'..."
24IIHYUZRICI,2024-11-04T06:51:00Z,Nîmes,Capouchiné,30900,BUY,APARTMENT,276000,74.4,3,2,"Au cœur d 'un quartier résidentiel et chaleureux, la Résidence AGATE BLANCHE bénéficie d'une situation géographique idéale pour ses occupants. A quelques minutes de la plus belle avenue de Nîmes, ""l'..."
24JW7NXHWATW,2024-11-04T06:51:00Z,Nîmes,Capouchiné,30900,BUY,APARTMENT,185000,47.1,2,1,"Au cœur d 'un quartier résidentiel et chaleureux, la Résidence AGATE BLANCHE bénéficie d'une situation géographique idéale pour ses occupants. A quelques minutes de la plus belle avenue de Nîmes, ""l'..."
25B6V2QZEXF9,2025-06-17T10:23:00Z,Beaucaire,La Plaine,30300,BUY,APARTMENT,124500,39.38,2,,"VOS FRAIS DE NOTAIRE OFFERTS JUSQU'A 70 000 EUROS* Votre 2 pièces à partir de 401 euros- mois* ÉLIGIBLE A LA TVA A 5,5% - Devenez propriétaire à Beaucaire, à quelques centaines de mètres du coeur his..."
24833R1FS4MD,2023-10-04T07:52:00Z,Nîmes,Camplanier,30000,BUY,APARTMENT,210000,46.8,2,1,"GESIMCO Promotion vous invite à découvrir sa réalisation d’exception « Les Hauts de Camplanier » – LIVRAISON IMMEDIATE. Dans un cadre résidentiel, une adresse privilégiée au cœur du secteur de Campla..."
24HMMTVHA2Z8,2023-10-04T07:52:00Z,Nîmes,Camplanier,30000,BUY,APARTMENT,300000,66.5,3,2,"GESIMCO Promotion vous invite à découvrir sa réalisation d’exception « Les Hauts de Camplanier » – LIVRAISON IMMEDIATE. Dans un cadre résidentiel, une adresse privilégiée au cœur du secteur de Campla..."
24R59B2ZASAP,2023-10-04T07:52:00Z,Nîmes,Camplanier,30000,BUY,APARTMENT,420000,96.4,4,3,"GESIMCO Promotion vous invite à découvrir sa réalisation d’exception « Les Hauts de Camplanier » – LIVRAISON IMMEDIATE. Dans un cadre résidentiel, une adresse privilégiée au cœur du secteur de Campla..."
25GR4ZI3F3E6,2025-01-27T11:39:00Z,Nîmes,Capouchiné,30000,BUY,APARTMENT,196166,45.0,2,1,"Vous rêvez d'un appartement avec terrasse ? Découvrez notre toute nouvelle sélection d'appartements, idéalement situés en plein cœur de Nîmes. Nous vous offrons une occasion unique de devenir proprié..."
25FZVNK3HF3F,2025-01-21T11:27:00Z,Nîmes,Camplanier,30000,BUY,APARTMENT,210000,41.0,2,,"Vivez l'Exceptionnel au Cœur de Nîmes ! Offrez-vous un art de vivre unique dans une résidence qui conjugue raffinement, confort et modernité, idéalement située au centre de Nîmes. Cette nouvelle copr..."
25583T3X28YB,2025-11-06T12:29:00Z,Le Grau-du-Roi,Nord,30240,BUY,APARTMENT,353800,62.0,3,2,"Une nouvelle adresse d’exception au cœur du Grau-du-Roi, entre les plages, la pinède et les salins. À seulement 500 mètres de la plage et à quelques pas du centre-ville. Découvrez AKOYA, un projet ar..."
25JHHM5DUAJZ,2025-01-27T11:39:00Z,Nîmes,Capouchiné,30000,BUY,APARTMENT,240000,64.0,3,2,"Vous rêvez d'un appartement avec terrasse ? Découvrez notre toute nouvelle sélection d'appartements, idéalement situés en plein cœur de Nîmes. Nous vous offrons une occasion unique de devenir proprié..."
25PKPU4QS2IJ,2025-01-21T11:27:00Z,Nîmes,Camplanier,30000,BUY,APARTMENT,336000,73.0,3,,"Vivez l'Exceptionnel au Cœur de Nîmes ! Offrez-vous un art de vivre unique dans une résidence qui conjugue raffinement, confort et modernité, idéalement située au centre de Nîmes. Cette nouvelle copr..."
24JVD2NQK167,2024-11-05T13:18:00Z,Nîmes,Capouchiné,30000,BUY,APARTMENT,210000,58.0,3,,"Investissez à Nîmes, la Rome française ! Vous recherchez un placement immobilier sûr et rentable dans une ville pleine de charme et de dynamisme ??Novanéa vous ouvre les portes de Nîmes, capitale rom..."
257Z82H4DJ2U,2025-11-06T12:29:00Z,Le Grau-du-Roi,Nord,30240,BUY,APARTMENT,414200,77.0,4,3,"Une nouvelle adresse d’exception au cœur du Grau-du-Roi, entre les plages, la pinède et les salins. À seulement 500 mètres de la plage et à quelques pas du centre-ville. Découvrez AKOYA, un projet ar..."
257DPU5IKU94,2025-04-23T14:15:00Z,Nîmes,Camplanier,30900,BUY,APARTMENT,310000,66.0,3,2,"Vous rêvez d'un appartement moderne, fonctionnel et bien situé ? Ne cherchez plus, Novanéa a ce qu'il vous faut ! Découvrez un grand choix d'appartements T3/T4 dans une résidence intime. Profitez d'e..."
24K8AQDPV41R,2024-07-19T10:17:00Z,Nîmes,La Gazelle,30000,BUY,APARTMENT,247075,62.0,3,,"Découvrez Nîmes et son climat méditerranéen ! Notre nouvelle résidence à Nîmes vous accueille dans un quartier verdoyant et dynamique, avec son architecture moderne et élégante, ses trois étages au c..."
25668ZIQPY34,2025-03-06T00:54:00Z,Saint-Laurent-d'Aigouze,,30220,BUY,HOUSE,1130000,233.0,7,5,"Proche d'Aigues-Mortes la petite commune de Saint Laurent d'Aigouze offre la particularité d'y posséder un patrimoine naturel remarquable avec quatre sites Natura 2000, située en pleine Camargue elle..."
25GRNQZLQ5WW,2025-11-25T15:09:00Z,Poulx,,30320,BUY,PROJECT,227000,,4,3,"Votre maison familiale à étage – moderne, lumineuse et 100 % personnalisable ! Vous rêvez d'un foyer spacieux, contemporain et pensé pour le bien-être de votre famille ? MAISON MACE vous propose un p..."
25BWWMZ7TN7F,2025-11-25T15:09:00Z,Uzès,,30700,BUY,PROJECT,224900,,4,3,"Construisez votre maison neuve sur mesure – moderne, lumineuse et performante proche Uzès ! Ne cherchez plus : votre futur cocon familial est ici. MAISON MACE vous propose un projet 100 % personnalis..."
25QMSIM2WF4I,2025-11-24T16:31:00Z,Langlade,,30980,BUY,PROJECT,257600,,4,3,"Votre maison familiale à étage – moderne, lumineuse et 100 % personnalisable ! Vous rêvez d'un foyer spacieux, contemporain et pensé pour le bien-être de votre famille ? MAISON MACE vous propose un p..."
25CXEWS28SSG,2025-01-27T11:39:00Z,Nîmes,Capouchiné,30000,BUY,APARTMENT,319500,75.0,4,3,"Vous rêvez d'un appartement avec terrasse ? Découvrez notre toute nouvelle sélection d'appartements, idéalement situés en plein cœur de Nîmes. Nous vous offrons une occasion unique de devenir proprié..."
24ZHJKQU1CB2,2024-11-05T13:18:00Z,Nîmes,Capouchiné,30000,BUY,APARTMENT,288000,87.0,4,,"Investissez à Nîmes, la Rome française ! Vous recherchez un placement immobilier sûr et rentable dans une ville pleine de charme et de dynamisme ??Novanéa vous ouvre les portes de Nîmes, capitale rom..."
252S8BP8LAGG,2025-11-21T14:17:00Z,Montignargues,,30190,BUY,PROJECT,235900,,4,3,"Votre maison familiale à étage – moderne, lumineuse et 100 % personnalisable ! Vous rêvez d'un foyer spacieux, contemporain et pensé pour le bien-être de votre famille ? MAISON MACE vous propose un p..."
25ILXKB1HWED,2025-11-21T12:12:00Z,Uzès,,30700,BUY,PROJECT,217900,,4,3,"Votre maison familiale à étage – moderne, lumineuse et 100 % personnalisable proche Uzès ! Vous rêvez d'un foyer spacieux, contemporain et pensé pour le bien-être de votre famille ? MAISON MACE vous ..."
