id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25T8CD9W3WAB,2025-11-28T11:09:00Z,Ramonville-Saint-Agne,La Peyrade,31520,BUY,APARTMENT,283359.0,71.0,3,2,"Appartement disponible à Ramonville-Saint-Agne ! Et si vous choisissiez de vivre à deux pas de Toulouse, dans un appartement T3 ou T4 lumineux et spacieux, au cœur d'une résidence neuve, calme et ver..."
253SA225QYGS,2025-11-28T11:09:00Z,Toulouse,Pont des Demoiselles-Montaudran-La Terrasse,31000,BUY,APARTMENT,251900.0,49.0,2,1,"Et si votre futur logement était éco-responsable ? Dans un écoquartier verdoyant à 7 km du Capitole, choisissez un appartement 2 ou 3 pièces lumineux avec balcon, terrasse, loggia ou jardin. Confort ..."
25RMJ2ST15J6,2025-11-28T11:09:00Z,Quint-Fonsegrives,,31130,BUY,APARTMENT,228900.0,45.0,2,1,"Envie de découvrir l'appartement de vos rêves ? Lisez la suite, vous ne serez pas déçu ! Novanéa vous propose à Quint-Fonsegrives des appartements lumineux du T2 au T4, tous avec balcon ou terrasse. ..."
252BXEP25UGJ,2025-11-26T13:04:00Z,Toulouse,Fontaine Lestang-Bagatelle-Papus-Tabar-Bordelongue,31100,BUY,APARTMENT,81750.0,21.7,1,,"Sous compromis : Studio meublé de 21,70m² en résidence étudiante avec bail commercialDécouvrez ce studio lumineux de 21,70m², situé au 3 € et dernier étage d'une résidence étudiante bien entretenue. ..."
252HU3K53DJF,2025-11-28T19:25:00Z,Toulouse,Purpan-Saint Martin du Touch,31300,BUY,APARTMENT,207000.0,40.0,2,,"Appartements neufs à Toulouse – Saint-Martin-du-Touch Et si vous choisissiez de vivre dans un appartement moderne et lumineux, du 2 au 4 pièces, avec balcon ou terrasse, au cœur d'un quartier en plei..."
25VCHSMAXQC4,2025-11-28T11:09:00Z,Toulouse,Pont des Demoiselles-Montaudran-La Terrasse,31000,BUY,APARTMENT,307900.0,62.0,3,2,"Et si votre futur logement était éco-responsable ? Dans un écoquartier verdoyant à 7 km du Capitole, choisissez un appartement 2 ou 3 pièces lumineux avec balcon, terrasse, loggia ou jardin. Confort ..."
25P1J72EBFFU,2025-11-28T11:09:00Z,Ramonville-Saint-Agne,La Peyrade,31520,BUY,APARTMENT,378537.0,98.0,4,3,"Appartement disponible à Ramonville-Saint-Agne ! Et si vous choisissiez de vivre à deux pas de Toulouse, dans un appartement T3 ou T4 lumineux et spacieux, au cœur d'une résidence neuve, calme et ver..."
257KTIB44W47,2025-11-28T11:09:00Z,Quint-Fonsegrives,,31130,BUY,APARTMENT,292900.0,62.0,3,2,"Envie de découvrir l'appartement de vos rêves ? Lisez la suite, vous ne serez pas déçu ! Novanéa vous propose à Quint-Fonsegrives des appartements lumineux du T2 au T4, tous avec balcon ou terrasse. ..."
23AKRC4226C3,2022-11-24T03:36:00Z,Escalquens,Périphérique Nord,31750,BUY,APARTMENT,215000.0,46.95,2,,"Escalquens, déjà en ville encore à la campagne ! Hautement prisée par le lien idéal entre ville et campagne, Escalquens est une petite ville harmonieuse conciliant vitalité et calme. Bâtie à quelques..."
232RAQZCQLEQ,2022-06-17T02:24:00Z,Toulouse,Croix Daurade-Borderouge-Paleficat-Trois Cocus ,31200,BUY,APARTMENT,328000.0,72.75,3,2,"Située à Croix Daurade, OMBELLE est une résidence intime de 19 logements répartis sur 2 étages. dont 3 en prix maîtrisé. Elle offre des logements du T2 au T4 duplex avec jardin, balcon, terrasse, et ..."
