id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25KZBTN59DVM,2025-11-28T11:09:00Z,Mérignac,La Glacière-Bourdillot,33700,BUY,APARTMENT,505000.0,90.0,4,3,"Ce T4 est-il le coup de cœur que vous attendiez ? Je pense que oui ! Spacieux, fonctionnel et baigné de lumière, cet appartement vous offre tout le confort que vous recherchez : * Un beau séjour/cuis..."
25NLL9SK3AR3,2025-11-28T11:09:00Z,Bordeaux,Le Lac-Bacalan,33300,BUY,APARTMENT,334000.0,55.0,3,2,"T3 & T4 – Idéal pour les familles Entre Chartrons et Bassins à flot, profitez d'un cadre de vie complet : écoles, crèches, commerces, tramway, pistes cyclables et parcs à proximité immédiate. Apparte..."
25SJC6ZDMHZF,2025-10-31T11:36:00Z,La Teste-de-Buch,,33260,BUY,APARTMENT,519000.0,81.0,4,,"Situé en plein centre de La Teste-de-Buch, La Clairance Dignac offre un cadre de vie privilégié, à proximité immédiate des commerces, services publics et lieux de vie du Bassin. L'architecture élégan..."
2529DBR8KZPP,2025-10-31T11:36:00Z,La Teste-de-Buch,,33260,BUY,APARTMENT,280000.0,43.0,2,,"Situé en plein centre de La Teste-de-Buch, La Clairance Dignac offre un cadre de vie privilégié, à proximité immédiate des commerces, services publics et lieux de vie du Bassin. L'architecture élégan..."
257UUU28ZR9D,2025-10-30T11:25:00Z,Villenave-d'Ornon,,33140,BUY,APARTMENT,328800.0,35.0,4,,"Bosquet 7 vous propose une nouvelle adresse à Villenave-d'Ornon (33140), à proximité immédiate des espaces naturels, des équipements du quotidien et des axes permettant de rejoindre facilement Bordea..."
25R7158NW6XM,2025-10-30T09:06:00Z,Mérignac,,33700,BUY,APARTMENT,414000.0,80.0,4,,"Les Marnières propose des appartements du 2 au 5 pièces conçus pour offrir confort et fonctionnalité. Chaque logement bénéficie d'une exposition optimale, traversante ou doublement orientée, favorisa..."
25QKNTJHGTGT,2025-10-30T09:06:00Z,Mérignac,,33700,BUY,APARTMENT,147000.0,26.0,1,,"Les Marnières propose des appartements du 2 au 5 pièces conçus pour offrir confort et fonctionnalité. Chaque logement bénéficie d'une exposition optimale, traversante ou doublement orientée, favorisa..."
25XNSUT79ELQ,2025-11-28T11:00:00Z,Bordeaux,Hôtel de Ville-Quinconce-Saint Seurin-Fondaudège,33000,BUY,APARTMENT,495000.0,83.98,4,1,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service immobilier d'exception. Faites confiance à notre expertise pour transformer vos projets immobiliers en réussites remarquables..."
25DNC6QPC3KM,2025-10-30T09:06:00Z,Mérignac,,33700,BUY,APARTMENT,258000.0,44.0,2,,"Les Marnières propose des appartements du 2 au 5 pièces conçus pour offrir confort et fonctionnalité. Chaque logement bénéficie d'une exposition optimale, traversante ou doublement orientée, favorisa..."
25FYT78H6ZIL,2025-10-29T15:35:00Z,Arcachon,,33120,BUY,APARTMENT,639000.0,74.0,3,,"Les Pins Méran s'inscrit dans l'architecture balnéaire qui fait l'âme d'Arcachon. Situé à la rencontre de deux axes vivants, ce projet propose un mode de vie conciliant proximité des commerces, douce..."
