id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
255J6V11JGJK,2025-11-28T15:23:00Z,Vias,Peripherie,34450,BUY,APARTMENT,177900.0,40.0,2,,"COUP DE CŒUR NOVANÉA Un projet d'investissement ? Novanéa est là pour vous ! Découvrez Vias, charmante commune méditerranéenne entre Béziers et Agde, appréciée pour son authenticité, ses plages et so..."
25166WIW5GVZ,2025-11-28T15:23:00Z,Montpellier,Alco,34080,BUY,APARTMENT,234737.0,59.0,3,2,"Envie de vivre ou d'investir au soleil ? Novanéa vous propose des appartements T3 à prix avantageux, éligibles à la TVA réduite à 5,5 %, une opportunité rare pour devenir propriétaire ou réaliser un ..."
2512A767QTD8,2025-11-28T01:50:00Z,Montpellier,Comédie,34000,BUY,APARTMENT,295000.0,62.0,3,2,34000 MONTPELLIER - GARE - T3 CALME ET LUMINEUX ENTIEREMENT RENOVE A DEUX PAS DE LA PLACE DE LA COMEDIE - Adel Nafa et Efficity l'agence qui estime votre bien en ligne vous propose cet appartement 3 ...
259ZX3VQKDW3,2025-11-21T15:14:00Z,Sète,Parc aquatechnique de Sète,34200,BUY,APARTMENT,192000.0,37.0,2,,"Un quartier connecté, entre mer et ville À l'entrée est de Sète, ce quartier harmonise tranquillité et accessibilité. Centre-ville et gare SNCF sont à 15 minutes à pied, les plages du Lido à 10–15 mi..."
25WPFG4QMU38,2025-11-28T15:23:00Z,Vias,Peripherie,34450,BUY,APARTMENT,250900.0,65.0,3,,"COUP DE CŒUR NOVANÉA Un projet d'investissement ? Novanéa est là pour vous ! Découvrez Vias, charmante commune méditerranéenne entre Béziers et Agde, appréciée pour son authenticité, ses plages et so..."
25XHS3YLLB25,2025-11-22T12:09:00Z,Portiragnes,,34420,BUY,HOUSE,575000.0,185.0,7,5,"Votre Agence Nouveau Propriétaire vous présente en exclusivité : À Portiragnes village, découvrez cette villa familiale 4 faces avec piscine, garage et prestations haut de gamme. Située dans un envir..."
259Q3WQ1W2IQ,2025-11-28T15:23:00Z,Valras-Plage,,34350,BUY,APARTMENT,257284.0,51.0,2,,"Envie d'un chez-vous dans une station balnéaire ? Découvrez la résidence de la Roseraie à Valras-Plage ! Cette résidence intimiste propose des appartements du T2 au T4, tous conçus pour un confort op..."
25WSP88NBHTV,2025-11-21T15:14:00Z,Sète,Parc aquatechnique de Sète,34200,BUY,APARTMENT,260000.0,55.0,3,,"Un quartier connecté, entre mer et ville À l'entrée est de Sète, ce quartier harmonise tranquillité et accessibilité. Centre-ville et gare SNCF sont à 15 minutes à pied, les plages du Lido à 10–15 mi..."
2517KEZ6LXIM,2025-11-25T19:16:00Z,Montpellier,Pompignane,34000,BUY,APARTMENT,239000.0,45.0,2,1,"Le meilleur de Montpellier vous attend dans un T2 moderne ! Dans le quartier prisé du Millénaire, découvrez des appartements T2 modernes et lumineux. Chaque logement dispose d'un balcon ou d'une terr..."
25UURUXNGBX1,2025-11-28T15:23:00Z,Valras-Plage,,34350,BUY,APARTMENT,325413.0,66.0,3,,"Envie d'un chez-vous dans une station balnéaire ? Découvrez la résidence de la Roseraie à Valras-Plage ! Cette résidence intimiste propose des appartements du T2 au T4, tous conçus pour un confort op..."
25APZ8QV2QNY,2025-11-05T08:01:00Z,Valras-Plage,,34350,BUY,APARTMENT,191900.0,43.75,2,1,"À quelques pas des plages de sable fin et du cœur vibrant de Valras-Plage, découvrez une résidence d’exception alliant élégance, confort et modernité. Nichée dans un environnement calme et résidentie..."
2529QLTHJE9R,2025-11-28T15:24:00Z,Marseillan,,34340,BUY,APARTMENT,233900.0,48.0,2,2,"Découvrez une résidence moderne à Marseillan et son climat méditerranéen. Située dans un quartier dynamique, notre nouvelle résidence vous accueille dans des logements T2 et T3, spacieux, modernes et..."
25FLEJZ7BDTK,2025-08-13T18:46:00Z,Béziers,Ancien Hôpital,34500,BUY,APARTMENT,98000.0,37.0,2,1,Thézan-lès-Béziers – Immeuble rénové en larges appartements T2 à T4 avec stationnements privatifs Emplacement privilégié à 10 minutes de Béziers Situé en plein cœur du charmant village historique de ...
251PEHQJ4LD8,2025-08-13T18:46:00Z,Béziers,Ancien Hôpital,34500,BUY,APARTMENT,167500.0,59.0,3,2,Thézan-lès-Béziers – Immeuble rénové en larges appartements T2 à T4 avec stationnements privatifs Emplacement privilégié à 10 minutes de Béziers Situé en plein cœur du charmant village historique de ...
253E14U8ZREV,2025-09-15T18:06:00Z,Castelnau-le-Lez,Castelnau-Centre Ville,34170,BUY,APARTMENT,290000.0,44.0,2,1,"TDS PROMOTION - l'opportunité unique de vivre ou investir en plein cœur de la ville de Castelnau le Lez ! Située aux portes de Montpellier, Castelnau-le-Lez est la ville la plus recherchée parmi les ..."
25AEDUFG4H9L,2025-02-17T11:07:00Z,Castries,Sud,34160,BUY,APARTMENT,375000.0,77.0,3,2,"Côté coeur, PIETRA est une résidence intimiste et conviviale dans un cadre aéré et paysagé. Elle propose seulement 31 appartements du T1 au T4 aux surfaces confortables, prolongés par de belles terra..."
24L9Y8ZBTQ9C,2022-07-05T14:28:00Z,Baillargues,Centre Ville,34670,BUY,APARTMENT,350000.0,75.0,3,2,"Baillargues / TDS - PROMOTION : Résidence Domaine de Canastel. Il y a des emplacements qui suscitent un véritable coup de cœur. Le Domaine de Canastel, avec sa localisation privilégiée dans le coeur ..."
25Y57871CTXI,2023-03-15T09:49:00Z,Saint Jean de Vedas,Sud,34430,BUY,APARTMENT,259200.0,45.53,2,1,"TRAVAUX EN COURS - Gros œuvre terminé ! Idéalement située à l'entrée de Saint-Jean-de-Védas, face au parc arboré de la Peyrière, la résidence ROCCA BELLA s'érige en 2 bâtiments en R+3 dévoilant 51 ap..."
24LURMRFATFR,2022-07-05T14:28:00Z,Baillargues,Centre Ville,34670,BUY,APARTMENT,890000.0,132.0,4,3,"Baillargues / TDS - PROMOTION : Résidence Domaine de Canastel. Il y a des emplacements qui suscitent un véritable coup de cœur. Le Domaine de Canastel, avec sa localisation privilégiée dans le coeur ..."
25YHU1CW3K4E,2025-05-13T10:06:00Z,Castries,Sud,34160,BUY,APARTMENT,720000.0,120.0,4,3,"Côté coeur, PIETRA est une résidence intimiste et conviviale dans un cadre aéré et paysagé. Elle propose seulement 31 appartements du T1 au T4 aux surfaces confortables, prolongés par de belles terra..."
25V6WVVU5ZYM,2025-05-15T10:09:00Z,Baillargues,Centre Ville,34670,BUY,APARTMENT,620000.0,126.0,4,3,Une résidence intimiste dans un îlot de verdure. TDS Promotion propose un projet unique : une résidence aux prestations exclusives dont l'architecture a été dessinée pour s'inscrire harmonieusement d...
