id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
2561KHWMVDB2,2025-11-07T13:12:00Z,Pacé,Est,35740,BUY,APARTMENT,299000.0,63.8,3,2,"[NOUVEAUTÉ] Pacé – Résidence AN DISKUIZ – Appartements neufs du T2 au T5 avec terrasse, jardin ou balcon. Le GROUPE LAUNAY et GIBOIRE vous présente AN DISKUIZ, une nouvelle résidence idéalement situé..."
25EXVUCNNAHE,2025-11-07T13:12:00Z,Pacé,Est,35740,BUY,APARTMENT,199000.0,38.61,2,1,"[NOUVEAUTÉ] Pacé – Résidence AN DISKUIZ – Appartements neufs du T2 au T5 avec terrasse, jardin ou balcon. Le GROUPE LAUNAY et GIBOIRE vous présente AN DISKUIZ, une nouvelle résidence idéalement situé..."
25CDM33MAGMB,2025-11-19T15:32:00Z,Thorigné-Fouillard,Nord Est,35235,BUY,APARTMENT,170502.0,42.0,2,,"APPARTEMENTS NEUFS DU T2 AU T4 – CADRE NATUREL ET PRATIQUE AUX PORTES DE RENNES Située dans une commune paisible de la première couronne rennaise, cette résidence contemporaine propose des logements ..."
25TA9LF9DCVU,2025-11-19T15:32:00Z,Thorigné-Fouillard,Nord Est,35235,BUY,APARTMENT,170502.0,42.0,2,,"Vous cherchez un appartement alliant confort et nature aux portes de Rennes ? Découvrez cette résidence neuve, idéalement située dans une commune paisible de la première couronne rennaise, pensée pou..."
25XFCZCMD3SG,2025-05-23T00:50:00Z,Rennes,Francisco-Vern-Poterie,35000,BUY,APARTMENT,643500.0,113.75,5,4,"Découvrez EPICURE : Résidence neuve située Rue de Vern, à 2 pas de St Hélier - éligible PTZ, LMNP et frais d'acte réduits Notre programme EPICURE est prêt à l'été 2026. Il propose ainsi des apparteme..."
25CV9C7FGL23,2025-07-23T18:29:00Z,Dinard,Port Blanc-Saint Enogat la Malouine,35800,BUY,APARTMENT,320000.0,36.53,2,1,"Emplacement exceptionnel, entre le centre-ville de Dinard et Saint-Enogat, à quelques minutes à pied des plages et des commerces ! Le Domaine des Corbières offre un cadre de vie unique et rare, entre..."
25WVCVXPEVBS,2025-06-18T08:09:00Z,Rennes,Maurepas-Patton,35000,BUY,APARTMENT,359000.0,83.58,4,,"OFFRE SPECIALE PRIMO-ACCEDANT à RENNES : achetez votre appartement neuf 2P. à 180000euros avec balcon et parking, 700m du métro ! &lt;-b&gt; Investissez dans l'immobilier neuf avec le dispositif LLI ..."
244G3K58PDGK,2024-07-23T12:32:00Z,Vitre,Champ de Foire-La Fleuriais,35500,BUY,APARTMENT,209000.0,49.22,2,1,"APPARTEMENTS DECORES A VISITER SUR RDV FRAIS DE NOTAIRE OFFERTS* Au coeur de Vitré, a quelques pas du centre historique et de la gare, En Scène vient s'inscrire sur le plateau des Jardins de la Trémo..."
24NALLN22LMI,2024-07-23T12:32:00Z,Vitre,Champ de Foire-La Fleuriais,35500,BUY,APARTMENT,347000.0,73.94,4,3,"APPARTEMENTS DECORES A VISITER SUR RDV FRAIS DE NOTAIRE OFFERTS* Au coeur de Vitré, a quelques pas du centre historique et de la gare, En Scène vient s'inscrire sur le plateau des Jardins de la Trémo..."
24PYFTU196VI,2024-07-23T12:32:00Z,Vitre,Champ de Foire-La Fleuriais,35500,BUY,APARTMENT,195000.0,39.1,1,,"APPARTEMENTS DECORES A VISITER SUR RDV FRAIS DE NOTAIRE OFFERTS* Au coeur de Vitré, a quelques pas du centre historique et de la gare, En Scène vient s'inscrire sur le plateau des Jardins de la Trémo..."
