id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25NWJEEPNX56,2025-10-24T18:10:00Z,Indre,,44610,BUY,HOUSE,358000,138.0,7,5,"iad France - Estelle Perriot vous propose: Charmante Maison traditionnelle à Indre Située au calme, au fond d'une impasse dans la jolie commune d'Indre, cette maison traditionnelle de 1970 séduit par..."
25NWYEUFLAXU,2025-11-21T11:03:00Z,Basse Indre,,44610,BUY,HOUSE,344850,111.0,5,4,"Sur les bords de Loire, à proximité de toutes les commodités et du bac de Basse-Indre, jolie maison ancienne d'environ 110m². Exposée Sud/Sud-Est, elle se compose d'une entrée sur la pièce de vie, cu..."
25VE6AVYR9WX,2025-11-29T17:29:00Z,Indre,,44610,BUY,APARTMENT,156000,43.12,2,1,"Stéphane GODARD de 3% Immobilier, vous présente ce beau T2 en plein centre ville de INDRE . Situé au 2è étage avec ascenseur d'un immeuble résidentiel comprenant 3 étages, cet appartement de 43,12 m2..."
253KG7ATE5HJ,2025-11-13T19:13:00Z,Indre,,44610,BUY,HOUSE,430000,123.0,5,4,"iad France - Delphine Coussaud vous propose: À saisir : Maison authentique de 4 chambres avec jardin. Vous cherchez un lieu de vie chaleureux, rénové avec goût, à proximité immédiate de Nantes ? Cett..."
25GQA5ZV7ZZN,2025-11-27T15:22:00Z,Indre,,44610,BUY,APARTMENT,159000,65.0,3,2,"À seulement 8 minutes du centre de Nantes – Appartement T3 en duplex avec vue sur la Loire, vendu loué Situé à Haute-Indre, en bord de Loire, ce charmant appartement T3 en duplex de 65 m² se trouve d..."
2539CLKCDD2B,2025-11-21T12:44:00Z,Indre,,44610,BUY,HOUSE,468000,135.0,6,3,"Très belle maison bourgeoise du début du XXe siècle, située à Indre. Plongez dans l'élégance intemporelle de cette maison de 135m² construite en 1911 et érigée sur un terrain de 664m². Au RDC, la mai..."
259HU7WN1W3C,2025-11-28T21:48:00Z,Indre,,44610,BUY,HOUSE,194500,44.0,2,1,iad France - Delphine Coussaud vous propose: Nouveauté en exclusivité à Haute-Indre ! Vous rêvez de votre premier nid douillet ou vous êtes un as du bricolage prêt à relever un nouveau défi ? Cette p...
25HKTGQ65Y2S,2025-05-17T07:12:00Z,Indre,,44610,BUY,HOUSE,365000,135.0,5,3,iad France - Marie Barotin vous propose: MAISON - HAUTE-INDRE - 3 CHAMBRES - JARDIN - GARAGE Venez découvrir cette maison offrant une agréable vie de plain-pied sur 90m2. Elle se compose d'une entrée...
25DGMQG3LVJ4,2025-11-27T15:22:00Z,Indre,,44610,BUY,APARTMENT,118000,50.0,3,2,"À 8 minutes du centre de Nantes – Appartement T3 avec vue sur Loire (6 960 euros de rapport/an de loyer) Situé à Haute-Indre, à deux pas des bords de Loire, cet appartement T3 de 50 m² se trouve au 1..."
258HSZ9MPV3S,2025-11-27T15:22:00Z,Indre,,44610,BUY,APARTMENT,96500,31.0,2,1,"5 500 euros de rapport/an de loyer_ À seulement 8 minutes du centre de Nantes – Appartement T2 avec vue sur la Loire Situé à Haute-Indre, en bord de Loire, cet appartement T2 de 31 m² se niche au 2 €..."
25RINW7T8FGH,2025-08-30T10:26:00Z,Indre,,44610,BUY,HOUSE,217000,90.0,5,3,"Le Cabinet Biens à Nantes vous propose de visiter sur le Quai de Basse Indre cette charmante maison de 90 m² au sol offrant au premier étage : une entrée, un salon -séjour de près de 25 m², une cuisi..."
25LU7WNIVG4V,2025-11-27T15:22:00Z,Indre,,44610,BUY,APARTMENT,97500,29.0,2,1,"5 500 euros de rapport/an de loyer_À seulement 8 minutes du centre de Nantes – Appartement T2 avec vue sur la Loire, vendu loué Idéalement situé à Haute-Indre, en bord de Loire, cet appartement T2 de..."
25HBPAK1QRFX,2025-11-24T19:00:00Z,Basse Indre,,44610,BUY,APARTMENT,181900,67.0,3,2,"Situé sur le secteur très recherché de Basse Indre, à proximité immédiate des commerces, des transports et de son célèbre marché, ce bel appartement de trois pièces offre un cadre de vie agréable, lu..."
258T978SE5KC,2025-10-18T09:37:00Z,Indre,,44610,BUY,APARTMENT,156000,43.12,2,1,"Coup de coeur garanti pour ce très beau T2 de 43 m², situé au 2ème étage sur 3 avec ascenseur dans une petite résidence parfaitement entretenue ! (ravalement récent). Exposé Sud-Est, cet appartement ..."
255V36HTBBWA,2025-10-08T13:51:00Z,Indre,,44610,BUY,HOUSE,665600,227.0,6,5,"Située au cœur d'un quartier résidentiel recherché, calme et familial, à seulement 10 minutes de Nantes et à proximité immédiate du bourg, cette propriété d'environ 227 m² habitables conjugue volumes..."
25VAVNJNLLWC,2025-02-01T04:19:00Z,Indre,,44610,BUY,HOUSE,470750,135.0,5,3,Immobilier.notaires® et l'office notarial JANNIN et associés vous proposent : Maison / villa à vendre - INDRE (44610) - - - - - - - - - - - Maison de Caractère du XIX siècle à étage d'une superficie ...
25X9GZNPX586,2025-10-01T06:26:00Z,Indre,,44610,BUY,APARTMENT,439500,200.0,4,3,"Appartement sur deux étage, de 200 m², lumineux et spacieux. Cet appartement parfaitement adaptée aux besoins d'une famille, comprend 3 chambres et un bureau, offrant ainsi de nombreux espaces de vie..."
25SG5912T6IK,2025-10-23T13:18:00Z,Indre,,44610,BUY,APARTMENT,61000,16.0,1,,"À seulement 8 minutes du centre de Nantes – Studio bord de Loire, vendu loué Situé à Haute-Indre, en bord de Loire, ce studio de 16 m² d'une petite résidence, dans un cadre paisible et verdoyant, ave..."
25MR59QNQKD1,2025-11-27T13:08:00Z,Indre,,44610,BUY,HOUSE,669980,227.0,7,5,"INDRE : Maison familiale avec de beaux volumes comprenant une entrée, salon-séjour, cuisine A/E, arrière cuisine, dégagement, salle de bain, wc séparés, 2 chambres. A l'étage, mezzanine, couloir, 3 g..."
25GX4368I8MV,2025-11-27T18:11:00Z,Indre,,44610,BUY,HOUSE,669980,227.0,7,5,"INDRE : Maison familiale avec de beaux volumes comprenant une entrée, salon-séjour, cuisine A/E, arrière cuisine, dégagement, salle de bain, wc séparés, 2 chambres. A l'étage, mezzanine, couloir, 3 g..."
