id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
242MG9V5CCDE,2024-03-28T13:40:00Z,Tours,Les Fontaines,37000,BUY,APARTMENT,233800.0,60.0,3,2,DÉCOUVREZ UNE ADRESSE STRATÉGIQUE POUR INVESTIR A TOURS Pour les appartements 162- 174-186 et 267 une place de stationnement est comprise dans le prix Investissez ou devenez propriétaire dans une rés...
23AAVP4DMJLM,2022-06-12T06:02:00Z,La Riche,Louis Xi,37520,BUY,APARTMENT,237700.0,68.22,3,2,"(1) TVA à 5,5% 3 pièces à 252 400€ (lot B302) PROFITEZ de la TVA réduite et d'un PRIX ATTRACTIF pour DEVENIR PROPRIETAIRE (1) ! Des appartements neufs 3 et 4 pièces en tva réduite (1). Un moyen concr..."
24HDFJC2I7PD,2024-08-21T18:28:00Z,La Riche,Louis Xi,37520,BUY,APARTMENT,305100.0,83.02,4,3,"(1) TVA à 5,5% 3 pièces à 252 400€ (lot B302) PROFITEZ de la TVA réduite et d'un PRIX ATTRACTIF pour DEVENIR PROPRIETAIRE (1) ! Des appartements neufs 3 et 4 pièces en tva réduite (1). Un moyen concr..."
24WCIDQPYRCY,2024-10-18T16:40:00Z,Joue les Tours,Morier-Rigny-Pont Volant-Joué Centre,37300,BUY,APARTMENT,179900.0,42.38,2,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Remise des clés en juin 2026 ! Une situation privilégiée aux por...
25FHTRKIM7BQ,2025-04-02T12:56:00Z,Tours,Giraudeau,37000,BUY,APARTMENT,181109.0,38.92,2,1,"DERNIERES OPPORTUNITES. Vous cherchez dans l'ancien … emménagez dès aujourd'hui dans le neuf ! Cogedim vous offre votre déménagement * À Tours, le renouveau du site des Casernes est initié par un ens..."
244NTK7M5FMY,2024-10-18T16:40:00Z,Fondettes,Tiers Restant,37230,BUY,APARTMENT,194000.0,40.13,2,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Travaux en cours, livraison l'année prochaine ! Fondettes, une c..."
251MIK6FFTYY,2025-06-21T08:38:00Z,Fondettes,Tiers Restant,37230,BUY,APARTMENT,409000.0,83.34,4,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Travaux en cours, livraison l'année prochaine ! Fondettes, une c..."
24C9RMN71YZK,2024-07-11T12:49:00Z,Saint-Cyr-sur-Loire,Historique,37540,BUY,APARTMENT,0.0,,,,"UNE JOLIE RÉSIDENCE DANS UN ÉCRIN DE VERDURE Classique et d’une élégance intemporelle, Aristide a de l’allure avec ses toits d’ardoises naturelles et la teinte délicatement dorée de ses façades rappe..."
242IVY8GR74L,2024-07-11T12:49:00Z,Saint-Cyr-sur-Loire,Historique,37540,BUY,APARTMENT,229500.0,38.0,2,,"UNE JOLIE RÉSIDENCE DANS UN ÉCRIN DE VERDURE Classique et d’une élégance intemporelle, Aristide a de l’allure avec ses toits d’ardoises naturelles et la teinte délicatement dorée de ses façades rappe..."
248D1DHBI62W,2024-10-18T16:40:00Z,Amboise,Ouest-Sud Ouest,37400,BUY,APARTMENT,265000.0,59.29,3,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Les travaux sont en cours ! L'exception s'offre à vous ! Devenez...
25DUBM3XED9N,2025-10-01T08:37:00Z,Fondettes,Tiers Restant,37230,BUY,APARTMENT,425000.0,83.5,3,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Travaux en cours, livraison l'année prochaine ! Fondettes, une c..."
