id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
251HXM6JTNXF,2025-11-21T15:16:00Z,Vienne,,38200,BUY,APARTMENT,303000.0,87.0,4,3,"!!! Baisse de prix et frais de notaire offerts !!! À Vienne (38200), L'ANCÉOLE propose un cadre de vie privilégié, où la nature s'invite au cœur d'un environnement urbain recherché. Pensée comme un l..."
25LFT7ESHIZ9,2025-11-21T15:16:00Z,Vienne,,38200,BUY,APARTMENT,242000.0,74.0,3,2,"!!! Baisse de prix et frais de notaire offerts !!! À Vienne (38200), L'ANCÉOLE propose un cadre de vie privilégié, où la nature s'invite au cœur d'un environnement urbain recherché. Pensée comme un l..."
252EJLXYRM16,2025-11-21T15:16:00Z,Vienne,,38200,BUY,APARTMENT,335000.0,101.0,5,4,"!!! Baisse de prix et frais de notaire offerts !!! À Vienne (38200), L'ANCÉOLE propose un cadre de vie privilégié, où la nature s'invite au cœur d'un environnement urbain recherché. Pensée comme un l..."
25ZDXH79XDIC,2025-11-21T15:14:00Z,Grenoble,Allies-Clos d'Or,38100,BUY,APARTMENT,203000.0,44.0,2,,"Vivez l'exception au cœur de Grenoble, entre nature et modernité Imaginez votre quotidien dans une résidence unique, nichée au pied des montagnes, dans une ville reconnue pour son engagement écologiq..."
252TUH82SXCY,2025-11-21T15:14:00Z,Grenoble,Allies-Clos d'Or,38100,BUY,APARTMENT,254000.0,64.0,3,,"Vivez l'exception au cœur de Grenoble, entre nature et modernité Imaginez votre quotidien dans une résidence unique, nichée au pied des montagnes, dans une ville reconnue pour son engagement écologiq..."
25MVQ1G12NKM,2025-11-20T09:42:00Z,Moidieu-Detourbe,,38440,BUY,HOUSE,410000.0,163.0,5,3,"Votre agence GALLO IMMOBILIER vous propose en exclusivité sur la commune prisée de MOIDIEU-DETOURBE cette charmante maison individuelle construite en 1997 et rénovée en 2017. Si vous rêvez d'espace, ..."
25S2YQ1J8MIB,2025-11-26T12:56:00Z,Pressins,,38480,BUY,HOUSE,430000.0,145.0,5,4,"Maison contemporaine de plain-pied ? 145 m? (2024) ? Terrain 1 495 m? ? Garage ind?pendant Situ?e dans un secteur calme et recherch?, ? proximit? imm?diate de l'?cole et des arr?ts de bus, et ? moins..."
256TCTLZ6AN3,2025-11-24T14:07:00Z,Villefontaine,,38090,BUY,HOUSE,270000.0,96.46,4,3,"? vendre ? Charmante Maison T4 de 96,46 m? r?nov?e en 2021 € Terrasse, Jardin & Suite Parentale D?couvrez cette belle maison de type 4, d'une surface de 96,46 m? r?partis sur deux niveaux, offrant de..."
25X4BRE6QRFL,2025-11-24T17:41:00Z,Villefontaine,,38090,BUY,HOUSE,275000.0,105.0,5,3,"Votre agence GALLO IMMOBILIER vous propose en exclusivité sur la commune de VILLEFONTAINE ce pavillon de 105 m² situé dans un quartier calme et résidentiel. Au rez-de-chaussée, le hall d'entrée doté ..."
25XKWXCTYG75,2025-11-24T21:02:00Z,Villefontaine,,38090,BUY,HOUSE,415000.0,142.0,5,4,"Votre agence GALLO IMMOBILIER vous propose en exclusivité sur la commune de VILLEFONTAINE, au sein du quartier prisé et résidentiel de la Noyéra, cette superbe maison individuelle. Dès l'entrée vous ..."
