id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
2517LUNW1V74,2025-11-24T14:06:00Z,Champvans,,39100,BUY,PROJECT,201832,,4,3,"L'agence Primeâ Dijon vous propose cette belle parcelle de 612 m² constructible à Champvans, situé à seulement 5 km de Dole dans le Jura. Cette commune offre un cadre de vie verdoyant avec 740 ha de ..."
25PC79LP76S5,2025-07-22T08:23:00Z,Septmoncel les Molunes,,39310,BUY,HOUSE,1200000,300.0,7,3,"DIVONNE SOTHEBY'S INTERNATIONAL REALTY vous propose cette belle ferme traditionnelle jurassienne rénovée avec goût, soin et des matériaux de qualité. Dès l'entrée vous serez saisi par les volumes off..."
25E9HA6V5812,2025-05-28T08:56:00Z,La Loye,,39380,BUY,HOUSE,335000,140.0,6,3,"Nouvelle opportunité à saisir dans notre agence ERA Dole Immobilier. Vous recherchez une maison de qualité, offrant de beaux volumes, des extérieurs magnifiques, une maison au gout du jour au niveau ..."
25TF99DI2U7J,2025-07-19T10:02:00Z,Dole,Plumont-Val Fleuri,39100,BUY,HOUSE,319000,156.0,6,4,"Vous souhaitez acquérir une maison de caractère , différente des autres avec 156 m2 habitable, de beaux volumes et du potentiel en plein coeur de Dole, n'hésitez plus et contacter nous. Vous n'êtes q..."
25I8V9IMI9NV,2025-11-25T10:09:00Z,Saint-Claude,Centre Ville Sud,39200,BUY,HOUSE,130000,95.0,4,2,"Saint-Claude, maison de ville composée de deux appartements avec jolie vue dominante : Studio de 25 m² : séjour avec coin cuisine, salle d'eau. F3 de 70 m² en duplex : cuisine intégrée, grand séjour,..."
255C8E3FMYZ4,2025-11-21T10:12:00Z,Lons le Saunier,Préfecture,39000,BUY,APARTMENT,89000,54.0,3,2,"EXCLUSIVITE À Lons-le-Saunier, à proximité immédiate des commodités, découvrez cet appartement au 1er étage situé au sein d'une petite copropriété. Entièrement rénové. Il se compose d'un espace prêt ..."
25WS17W8PT7Q,2025-11-21T10:12:00Z,Lons le Saunier,Préfecture,39000,BUY,APARTMENT,94800,52.0,3,2,"EXCLUSIVITE À Lons-le-Saunier, à proximité immédiate des commodités, découvrez cet appartement au 2ème étage situé au sein d'une petite copropriété. Entièrement rénové. Il se compose d'un espace prêt..."
25HN79PPW5I3,2025-11-28T17:29:00Z,Les Rousses,,39220,BUY,APARTMENT,245000,56.0,3,2,"Appartement 3 pièces Réf : 70181EP - Les Rousses, dans une petite copropriété proche centre-ville, commodités et lac, venez découvrir cet appartement d'environ 56m² offrant tout le confort pour une r..."
24LGB3KH6GEL,2023-12-04T11:02:00Z,Dole,Plumont-Val Fleuri,39100,BUY,HOUSE,90000,134.0,6,3,Opportunité d'investissement Vente à terme occupée (réserve d'un droit d'usage et d'habitation) à DOLE au profit d'une Dame de 77 ans : Vous souhaitez investir dans l'immobilier à prix réduit ? Et vo...
25D82TV6CV2S,2025-11-29T00:14:00Z,Le Deschaux,,39120,BUY,HOUSE,169000,125.0,6,4,"MAISON A HAUTE PERFORMANCE ENERGETIQUE Réf 19228 : Sur un terrain de plus de 2000m², cette maison est équipée de panneaux photovoltaïques, pompe à chaleur, chaudière bois, poêle à pellets. Elle se co..."
259F7CCGJGPQ,2025-11-20T13:05:00Z,Varessia,,39270,BUY,HOUSE,60000,89.0,3,2,"Nous vous présentons proche de VARESSIA, cette maison de 3 pièces au calme de 89,49 m². Il s'agit d'une maison mitoyenne construite avant 1945 sur 2 niveaux. Elle est composée de deux chambres, d'une..."
258DMKRMBISP,2025-11-21T10:12:00Z,Lons le Saunier,Préfecture,39000,BUY,APARTMENT,79800,47.0,2,1,"EXCLUSIVITE À Lons-le-Saunier, à proximité immédiate des commodités, découvrez cet appartement au 3ème et dernier étage situé au sein d'une petite copropriété. Il se compose d'un espace de vie compre..."
25PZVB4RF5MD,2025-11-21T10:12:00Z,Lons le Saunier,Préfecture,39000,BUY,APARTMENT,74800,58.0,2,1,"EXCLUSIVITE À Lons-le-Saunier, à proximité immédiate des commodités, découvrez cet appartement au 2ème étage situé au sein d'une petite copropriété. Entièrement rénové. Il se compose d'un grand espac..."
25SDLPCS3I88,2025-11-28T08:21:00Z,Lons le Saunier,Nord,39000,BUY,HOUSE,395200,137.0,7,4,"À Lons-le-Saunier, dans l'un des secteurs les plus recherchés, découvrez cette superbe maison familiale alliant calme, confort et qualité de construction. Située à seulement 5 minutes du centre-ville..."
253MPEDR4QUE,2025-11-21T10:11:00Z,Lons le Saunier,Préfecture,39000,BUY,APARTMENT,89000,53.0,2,1,"EXCLUSIVITE À Lons-le-Saunier, à proximité immédiate des commodités, découvrez cet appartement en rez-de-chaussée situé au sein d'une petite copropriété. Entièrement rénové, il a été conçu pour répon..."
25QLJWPCAZKM,2025-07-10T16:18:00Z,Dole,Saint Ylie,39100,BUY,HOUSE,515000,380.0,11,8,"Vous recherchez un bien d'exception avec une histoire, du cachet et un fort potentiel , nous avons la maison qu'il vous faut. Que vous recherchiez une grande maison pour votre famille ou que vous aye..."
253D9T4MXIIU,2025-11-18T15:50:00Z,Lons le Saunier,Les Mouillères,39000,BUY,APARTMENT,159000,97.0,4,2,"A deux pas du centre-ville de Lons-le-Saunier et de tous les commerces, cet appartement se situe au 6ème étage avec ascenseur (neuf) d'une copropriété calme et bien entretenue. En Hauteur avec une vu..."
25J1EYM7MVIL,2025-09-30T21:48:00Z,Damparis,,39500,BUY,HOUSE,415000,181.0,8,4,Villa confortable aux portes de DOLE Réf 19183 FB - DAMPARIS - Belle opportunité. Si vous cherchez une maison confortable et spacieuse pour vivre à l'abri des regards alors ce bien est fait pour vous...
25MTJ78WGT9N,2025-11-21T10:12:00Z,Lons le Saunier,Préfecture,39000,BUY,APARTMENT,69800,63.0,2,1,"EXCLUSIVITE À Lons-le-Saunier, à proximité immédiate des commodités, découvrez cet appartement en rez-de-chaussée situé au sein d'une petite copropriété. En bon état général il est actuellement loué ..."
25LWHBECVVTX,2025-10-10T23:22:00Z,Brevans,,39100,BUY,HOUSE,690000,378.0,9,5,"Maison/Villa 9 pièces Réf 19193 FB - Un petit coin de paradis à 2 minutes de DOLE. Implantée sur un agréable parc de 37a harmonieusement paysagé et à l'abri des regards, cette villa d'architecte est ..."
25ZA5GVEYWC1,2025-09-08T16:23:00Z,Saint-Claude,Capucine-Gare-Miroir,39200,BUY,APARTMENT,62000,78.2,3,2,"Appartement T3 vendu loué. Réf 69976MBB ; A Saint Claude, bel appartement T3 de 78 m2. Situé près de la gare, dans une copropriété au calme, il se compose d'un grand séjour, d'une cuisine indépendant..."
25KKTG62DK38,2025-11-14T13:22:00Z,Dole,Centre Ville,39100,BUY,APARTMENT,149000,114.0,5,4,"VENTE APPARTEMENT À DOLE Réf. 19214 LG Situé au 2 € étage d'une copropriété en centre-ville de Dole, cet appartement se compose de quatre chambres, d'un séjour, d'une cuisine, d'une salle d'eau, d'un..."
25D6JP6234FD,2025-09-30T16:25:00Z,Moissey,,39290,BUY,HOUSE,399000,234.0,8,5,"Maison/Villa 8 pièces Réf 19185 TF - MOISSEY - Maison contemporaine de 234m2 habitable, sur un terrain clos de plus de 1000m2. Au rez de chaussée, une vaste pièce de vie de plus de 60m2 avec sa cuisi..."
25VP7TILPF9L,2025-09-26T08:23:00Z,Champagnole,,39300,BUY,HOUSE,305000,207.85,8,6,"Grande maison familiale – Vaste séjour, 6 chambres, 2 garages, jardin clos Réf 69861VM: Volumes généreux caractérisent cette belle maison construite en 1976 sur 3 niveaux. Elle dispose, sur le premie..."
25AK78A34VZW,2025-08-05T12:22:00Z,Dole,Plumont-Val Fleuri,39100,BUY,HOUSE,135000,300.0,4,3,Bâtisse à rénover entièrement Réf 19111SP : Cette grange dispose d'une très belle surface habitable à rénover intégralement dans laquelle vous pourrez réaliser votre intérieur comme vous l'imaginiez....
25UFM4DQSHEN,2025-10-28T17:22:00Z,Champagnole,Centre Ville-Zone Industrielle,39300,BUY,HOUSE,350000,154.3,7,5,"Maison/Villa 7 pièces Réf 69934FV : Au coeur de Champagnole, proche de toutes les commodités, découvrez cette superbe maison familiale au style bourgeois. L'espace de vie traversant vous propose une ..."
25WQZDLH7N19,2025-06-17T12:21:00Z,Dole,Saint Ylie,39100,BUY,HOUSE,560000,188.0,6,4,"Villa contemporaine spacieuse Réf 19084FB - Proche de la zone des EPENOTTES de DOLE, cette spacieuse villa de 188m² saura faire le bonheur d'une famille recherchant l'intimité, le confort et la moder..."
