id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
254QIFBNITGA,2025-11-28T23:58:00Z,Vichy,France et Rosieres,03200,BUY,APARTMENT,371000,122.0,5,4,"03200 VICHY APPARTEMENT DUPLEX 5 PIÈCES AVEC CAVE COEUR DE VILLE. 03200 VICHY APPARTEMENT DUPLEX 5 PIÈCES AVEC CAVE COEUR DE VILLE. Bienvenue chez eXp Realty France, le plus grand réseau immobilier i..."
25LMZEBTWF28,2025-11-22T16:19:00Z,Vendat,,03110,BUY,PROJECT,190900,,4,3,"Nous vous proposons cette maison neuve, baptisée Focus 80, un modèle phare de notre gamme qui se distingue par son excellent rapport qualité/prix. Conçue pour répondre aux attentes des familles moder..."
25SH6DWN6JK8,2025-11-05T21:54:00Z,Montlucon,,03100,BUY,APARTMENT,115000,137.0,6,3,"MONTLUCON Boulevard de Courtais bel appartement de 137 m² comprenant : Hall d'entrée , cuisine, séjour très lumineux de 32 m² , 3 chambres, bureau, salle de bain et salle d'eau , WC, 9 placards pende..."
25E9MRSCHUTJ,2025-10-15T21:12:00Z,Domerat,,03410,BUY,HOUSE,195000,172.0,6,4,"17 minutes de MONTLUCON située entre DOMERAT et HURIEL , grange rénovée avec goût et matériaux de qualité comprenant: Hall d'entrée , cuisine américaine-séjour de 48 m² , chambre parentale avec salle..."
2598G6Z2JYGV,2025-11-20T03:52:00Z,Vichy,Deniere les Romains,03200,BUY,APARTMENT,129900,43.91,2,,"Black friday ! du 21 au 28 novembre uniquement, bénécifiez de 4% de remise + frais de notaire offerts* ! Envie d'un pied à terre à Vichy ? Découvrez 'Hepha'. Cette jolie résidence est située au coeur..."
25BNKIFIYR54,2025-11-21T03:52:00Z,Vichy,Deniere les Romains,03200,BUY,APARTMENT,104900,30.16,1,,"Black friday ! du 21 au 28 novembre uniquement, bénécifiez de 4% de remise + frais de notaire offerts* ! Envie d'un pied à terre à Vichy ? Découvrez 'Hepha'. Cette jolie résidence est située au coeur..."
25MUNZ4LJ1B2,2025-11-20T03:52:00Z,Vichy,Deniere les Romains,03200,BUY,APARTMENT,189000,64.19,3,,"Black friday ! du 21 au 28 novembre uniquement, bénécifiez de 4% de remise + frais de notaire offerts* ! Envie d'un pied à terre à Vichy ? Découvrez 'Hepha'. Cette jolie résidence est située au coeur..."
257MNTKWSHAY,2025-11-20T03:52:00Z,Vichy,Deniere les Romains,03200,BUY,APARTMENT,299900,80.51,4,,"Black friday ! du 21 au 28 novembre uniquement, bénécifiez de 4% de remise + frais de notaire offerts* ! Envie d'un pied à terre à Vichy ? Découvrez 'Hepha'. Cette jolie résidence est située au coeur..."
254L3MYYBRNK,2025-09-23T12:06:00Z,Bellerive sur Allier,Exterieur Bas,03700,BUY,HOUSE,359000,164.0,7,5,"Maison 164 m² à Bellerive-sur-Allier, 5 minutes de Vichy Située dans un secteur calme et recherché, cette maison de 164 m² habitables construite en 1970 offre un cadre de vie idéal pour une famille o..."
25T2ANRB1YXN,2025-09-17T20:46:00Z,La Chapelaude,,03380,BUY,HOUSE,290000,175.0,8,5,20 minutes NORD-OUEST de MONTLUCON . Propriété comprenant: une belle batisse en position dominante à usage d'habitation proposant une vaste cuisine ouverte sur séjour d'une surface de 90 m² avec chem...
25GIUEGK4EI9,2025-11-27T09:25:00Z,Prémilhat,,03410,BUY,HOUSE,227900,119.0,4,3,"Situé dans un environnement calme et apprécié, cette maison individuelle de 2007, offre un cadre de vie idéal pour une famille ou pour toute personne recherchant le confort d'un plain-pied moderne et..."
25RFG43GIIHP,2025-11-26T08:25:00Z,Montluçon,Ville Gozet,03100,BUY,HOUSE,124260,70.0,3,2,"Montluçon, à deux pas du centre ville, belle maison de ville rénovée avec goût en 2022 de type 3 de 70 m² comprenant de plain pied : entrée, belle pièce de vie avec cuisine ouverte aménagée donnant d..."
25XK93GCS9WK,2025-11-28T10:00:00Z,Montluçon,Montcourtais,03100,BUY,HOUSE,136250,102.0,4,3,"Maison de ville située dans une impasse au calme, offrant trois chambres ainsi qu'un bureau. Vous apprécierez sa belle pièce de vie ouverte sur la cuisine, créant un espace convivial et fonctionnel. ..."
25PIKXV48CW7,2025-05-22T09:45:00Z,Montluçon,Cité Bretonnie-Chatelet-Favieres-Conches,03100,BUY,APARTMENT,39500,49.0,2,1,"Hyper centre de Montluçon, aux pieds des commerces et bus, idéal premier achat ou investissement locatif, situé au premier étage d'une petite résidence sécurisée avec interphone et ascenseur, apparte..."
25X7DKBNUNGX,2025-06-19T06:24:00Z,Montluçon,Montgacher-Cordeliers,03100,BUY,HOUSE,149000,225.0,7,6,"Maison de ville des années 1950 d'une superficie habitable de 226,75 m², élevée sur un sous-sol complet de 151 m², comprenant : une entrée, un séjour double avec parquet, une cuisine aménagée, une ch..."
25A9V45C85PV,2025-05-27T13:35:00Z,Montluçon,Fontbouillant,03100,BUY,HOUSE,130800,104.0,4,3,"Située dans le quartier recherché de Buffon, cette maison habitable de suite offre 104 m² de surface, avec un agencement fonctionnel et des prestations soignées. Elle se compose de trois chambres, de..."
25ENQN7QV58P,2025-04-16T14:58:00Z,Désertines,,03630,BUY,HOUSE,109000,135.0,6,4,"Désertines, dans une rue calme proche des commodités, venez découvrir cette grande maison de 135 m² sur deux niveaux comprenant à l'étage : entrée, bel espace séjour avec parquets de chênes, 3 chambr..."
25TMLZJ2IKU7,2025-05-11T12:11:00Z,Montluçon,Cité Bretonnie-Chatelet-Favieres-Conches,03100,BUY,APARTMENT,169000,83.0,3,2,"Ce superbe appartement lumineux situé en plein cœur de Montluçon, alliant confort moderne et cachet atypique, se compose d'une grande pièce à vivre avec accès direct à une terrasse et un jardin priva..."
25PSSWHID1TY,2025-11-21T01:29:00Z,Bellerive sur Allier,,03700,BUY,HOUSE,250000,181.0,7,5,Belle construction traditionnelle des années 70 sur un terrain de 1300 m² avec vue dégagée au sein d'un quartier prisé - Cette villa bien entretenue bénéficie d'une vie de plain pied composée d'une v...
25NVBDUZ359W,2025-09-16T10:17:00Z,Gannat,Centre Ouest et Exterieurs,03800,BUY,HOUSE,229950,182.72,7,5,"Notre agence a le plaisir de vous présenter ce bien rare sur la commune de Gannat, idéalement situé à seulement 2 minutes du centre-ville (800 m) et 3 minutes de l'autoroute (1 km). Cette maison saur..."
25CXQ6UMD7JA,2025-04-02T02:49:00Z,St Remy en Rollat,,03110,BUY,HOUSE,353600,177.0,6,3,"Bellerive Immo vous propose cette charmante maison traditionnelle, située sur la communue de St Rémy en Rollat, proche de tous commerces et commodités. Elevée sur un terrain entièrement clos et arbor..."
25X23C55B4CM,2025-05-07T23:18:00Z,Bellerive sur Allier,,03700,BUY,HOUSE,530000,158.0,5,4,"Centre de Bellerive à proximité de commerces : magnifique longère de 158 m² entièrement rénovée. Composée au rdc d'une entrée sur cuisine ouverte sur salle à manger, grand séjour traversant, dégageme..."
25NB7KKEGXTU,2025-09-16T08:31:00Z,Vichy,Thermal-Vieux-Vican,03200,BUY,APARTMENT,139920,55.2,2,1,"Alpes Horizon vous propose en exclusivité cet appartement de type 2 idéalement situé, à deux pas de l'Opéra et face au Monument aux Morts. Il se compose d'une entrée, d'une cuisine, d'une buanderie, ..."
255WFRDT3DTQ,2025-09-04T00:47:00Z,Bellerive sur Allier,,03700,BUY,HOUSE,237000,121.0,4,4,"Bellerive, dans quartier résidentiel calme et recherché : maison de plain pied de 121 m² composée d'une entrée, cuisine équipée, séjour, dégagement, 3 chambres, salle de bains, wc. Grand garage. Sur ..."
25UGY7U5661Y,2025-07-24T00:40:00Z,Vichy,,03200,BUY,HOUSE,240000,110.0,5,3,"Au sein d'un quartier avec tous les commerces, maison de ville années 30 de 110 m² hab, composée au rdc d'une vaste entrée, un garage, chaufferie et cave, accès jardinet 50 m², au 1er : double séjour..."
25XP3QE14MD1,2025-09-10T12:17:00Z,Neuilly en Donjon,,03196,BUY,HOUSE,24000,55.0,3,2,"Maison à rénover (INTEGRALEMENT) – Neuilly-en-Donjon (03) 57 m² habitables sur 1 000 m² de terrain, environnement calme et verdoyant. Maison mitoyenne également disponible : idéal investisseur, proje..."
23N9Q1GWTVSD,2023-04-24T11:05:00Z,Yzeure,Centre Ville,03400,BUY,APARTMENT,74940,46.0,2,1,"Investissement locatif en résidence sénior : rentabilité 8.30%. Appartement 2 pièces de 46.69m² meublé, équipé et doté d'un balcon et d'une place de parking en extérieur. La résidence est idéalement ..."
25WCP12MTEEE,2025-04-22T23:24:00Z,Bellerive sur Allier,,03700,BUY,HOUSE,159000,85.0,4,3,"Maison des années 50 en excellent état d'entretien, proche de toutes commodités à pied, composée : au 1 er étage : salon, salle à manger (ou chambre), chambre, salle d'eau avec wc, cuisine simple, et..."
25UPLQPWSKIX,2025-03-05T09:42:00Z,Montluçon,Fours à Chaux,03100,BUY,HOUSE,88000,105.0,5,4,"Située proche du centre-ville de Montluçon, cette maison de 105 m² offre un cadre de vie pratique avec de beaux volumes. Au rez-de-chaussée, elle se compose d'une entrée, d'un séjour lumineux avec in..."
25K1V45W7U86,2025-05-13T14:33:00Z,Montluçon,Dienat-Forges,03100,BUY,APARTMENT,73700,85.0,3,2,"Appartement traversant situé au 1er étage d'une maison bourgeoise des années 30 et dans l'hypocentre de Montluçon. Il comprend un double séjour, un cuisine équipée, une chambre, un bureau, une salle ..."
25WGLXA38YW6,2025-02-15T10:51:00Z,Montluçon,Montcourtais,03100,BUY,APARTMENT,49900,71.0,3,2,"Situé à proximité du quartier des Marais, cet appartement de 71,02 m², au sein d'une résidence propre et sécurisée, offre un cadre de vie pratique et agréable. Il se compose d'un séjour lumineux avec..."
258HUIY16XDS,2025-05-22T09:13:00Z,Montluçon,Marais-Villars,03100,BUY,APARTMENT,57200,59.0,3,2,"Montluçon, à proximité des commerces et écoles, appartement d'environ 60 m² comprenant : entrée, cuisine aménagée, séchoir, séjour avec balcon, 2 chambres, salle d'eau et toilettes. Ce type 3 lumineu..."
24HXAEPKBIHC,2024-07-01T07:17:00Z,Villebret,,03310,BUY,HOUSE,142000,107.0,5,4,"Découvrez cette maison pleine de potentiel située dans la charmante commune de Villebret. Avec ses 107 m² habitables, cette propriété est idéale pour une famille à la recherche d'espace et de tranqui..."
25QPR89H9REK,2025-03-15T15:57:00Z,Montluçon,Cité Bretonnie-Chatelet-Favieres-Conches,03100,BUY,APARTMENT,45000,79.0,4,3,"Cet appartement de type F4 est situé au premier étage d'une résidence sans ascenseur, en plein centre-ville, à proximité immédiate de l'ensemble des commerces et services. Il s'agit de deux apparteme..."
25GGAD1A6MFK,2025-01-21T11:09:00Z,Vichy,Thermal-Vieux-Vican,03200,BUY,APARTMENT,479900,130.01,5,3,"Découvrez cet exceptionnel appartement de type 4 de 130 m², situé au sein de la résidence prestigieuse ""L’International"". Offrant des volumes généreux et un cadre de vie élégant, cet appartement comp..."
259BXTLQS1A1,2025-04-30T13:54:00Z,Montluçon,Bien Assis,03100,BUY,APARTMENT,35000,51.0,2,1,"Situé en rez-de-chaussée d'une résidence sécurisée, cet appartement de 51,96 m² offre un cadre de vie pratique et agréable. Il se compose d'une entrée, d'un séjour lumineux, d'une cuisine meublée, d'..."
25GN5RU734AD,2025-07-08T16:45:00Z,Vichy,France et Rosieres,03200,BUY,APARTMENT,129320,40.56,2,1,"Notre agence a le plaisir de vous proposer en exclusivité une nouvelle opportunité, idéale aussi bien pour une résidence principale, une résidence secondaire ou un investissement locatif rentable. Ce..."
24ZK9746MZP9,2024-11-24T21:38:00Z,Prémilhat,,03410,BUY,HOUSE,29500,40.0,3,2,"À proximité de l'étang de Sault à Prémilhat, cette propriété offre un potentiel unique pour les amateurs de rénovation. Avec ses 40 m² au rez-de-chaussée et ses combles de la même surface aménageable..."
25R6XRFKJIVQ,2025-05-14T12:56:00Z,Montluçon,Cité Bretonnie-Chatelet-Favieres-Conches,03100,BUY,APARTMENT,89650,86.0,3,2,"Appartement T3 de caractère situé dans le vieux Montluçon. Il possède 1 entrée indépendante en rez-de-chaussée, au 1er étage : 1 grande cuisine ouverte sur un vaste séjour. Au 2ème étage : 2 chambres..."
252ZAJJ5ZK7G,2025-01-08T02:27:00Z,Vichy,,03200,BUY,HOUSE,399000,242.0,9,6,"Maison coup de coeur des années 30, située à quelques minutes à pied du centre ville. Vous serez charmé par ses beaux volumes et son style conservé. Elevée sur 3 niveaux, au rez-de-chaussée vous disp..."
25JYIYB3GH7Y,2025-06-28T01:20:00Z,Vichy,,03200,BUY,APARTMENT,76000,52.0,3,2,"Proche gare - hôpital : appartement T3 en duplex de 52.60 m² au 1er étage d'une petite copropriété. Composé d'une entrée, cuisine équipée ouverte sur séjour, wc. A l'étage : dégagement, 2 chambres, s..."
25WIMFKP8CS2,2025-08-07T01:55:00Z,Vichy,,03200,BUY,APARTMENT,250000,100.0,4,3,"Situé face au Fer à Cheval au 2nd étage avec ascenseur d’un ancien un hôtel de fin de siècle réhabilité en immeuble depuis 2016, seul appartement sur le palier de plus de 100 m2 composé d’un hall d’e..."
25NP5F2GMUJA,2025-01-17T10:54:00Z,Montluçon,Bien Assis,03100,BUY,APARTMENT,49000,80.0,4,3,"Appartement lumineux avec balcon et terrasse habitable en l'état. Il possède une salle de séjour baignée de lumière, une cuisine spacieuse ouvrant sur la terrasse, trois chambres, une salle de douche..."
25EYM3196THQ,2025-03-20T02:10:00Z,Bellerive sur Allier,,03700,BUY,HOUSE,349000,139.0,5,4,"Maison de plain-pied de 139 m², composée d'une grande pièce de vie de 58 m² avec cuisine équipée ouverte baignée de lumière donnant sur terrasse, 4 chambres, salle de bains, salle d'eau et wc. Garage..."
25FNP6EW2BT6,2025-07-08T16:45:00Z,Vichy,Thermal-Vieux-Vican,03200,BUY,APARTMENT,239900,130.01,5,3,"Rare sur le marché, Appartement de type 5 de 130 m2 au sein de la résidence ""L’International"". Cet appartement est composé d’une très grande entrée, une cuisine, un grand séjour/salle à manger, une s..."
25FX28A3KJWG,2025-11-20T19:55:00Z,Bransat,,03500,BUY,HOUSE,303000,218.0,5,2,"Charmante longère rénovée – 5 pièces – 781 m² de terrain clos avec piscine Très proche de Saint Pourçain sur Sioule, la commune abrite une école primaire, avec accueil périscolaire et les transports ..."
25IGZTYDH11Z,2025-11-26T20:59:00Z,Varennes-sur-Allier,,03150,BUY,HOUSE,162000,160.0,6,4,"Fabrice Carrasco vous présente en EXCLUSIVITÉ la Longère Aurora, un havre de lumière et d'authenticité d'environ 160 m² habitables à Varennes-sur-Allier. Construite sur un vaste terrain entièrement c..."
25J28VMSVT5Z,2025-11-28T13:57:00Z,Vichy,Deniere les Romains,03200,BUY,APARTMENT,90338,29.0,1,,"Bienvenue dans cet adorable appartement d'une pièce, niché au cœur de Vichy, une ville au charme incontestable de l'Auvergne-Rhône-Alpes ! Avec une superficie de 29 m², cet espace bien pensé vous off..."
25D6XTK7M2RD,2025-11-21T16:33:00Z,Souvigny,,03210,BUY,HOUSE,98000,84.0,4,2,"Laetitia Guyot vous présente en exclusivité, à Souvigny, cette maison de bourg d'environ 82 m², idéalement située au cœur du village. Le rez-de-chaussée se compose d'une grande pièce de vie, d'une cu..."
2584HL2HJT1L,2025-11-24T20:13:00Z,Vichy,France et Rosieres,03200,BUY,APARTMENT,238500,108.3,5,3,"Votre agence ORPI Vichy Les Sources est ravie de vous présenter ce bel appartement T4/5 avec un grand garage, idéalement situé au 2 € étage d'une résidence calme, bien entretenue et récemment rénovée..."
25WFFXVBRKLC,2025-11-28T08:05:00Z,Arfeuilles,,03120,BUY,HOUSE,89000,133.0,8,5,"REF 2560 ! Située au coeur de la Montagne Bourbonnaise dans un hameau du village d'Arfeuilles, cette maison en pierre offre un cadre de vie paisible. Vous profitez ici d'une nature préservée, idéale ..."
25S4MKF7VY8P,2025-11-25T16:57:00Z,Vichy,France et Rosieres,03200,BUY,APARTMENT,139100,134.0,4,3,"L'agence Orpi Bellerive vous présente cet appartement ou pourquoi pas vos futurs bureaux professionnels! À moins de 10 minutes des parcs et du coeur de ville, ce bien nécessite des travaux : système ..."
2518YTRPSWVJ,2025-11-25T09:12:00Z,Saint-Prix,,03120,BUY,HOUSE,57000,85.0,1,1,"À vendre – Havre de paix à la campagne, proche Lapalisse Au bout d'un petit chemin tranquille, découvrez cette ancienne ferme pleine de caractère, prête à reprendre vie. Située à proximité immédiate ..."
25VYR858IYS3,2025-11-07T11:31:00Z,Bellerive-sur-Allier,Centre Ville Haut,03700,BUY,HOUSE,186200,113.14,3,2,"Cette maison située à Bellerive sur Allier est faite pour vous ! Quartier résidentiel proche des écoles et commerces, une vie de plain pied. Se compose d'une entrée, une pièce de vie d'environ 30 m2,..."
25J2BQEQIDLX,2025-10-24T08:01:00Z,Vichy,Les Bains-République,03200,BUY,APARTMENT,130000,61.0,2,1,"Martine DUGAT et Philippe MOGIER vous présentent, en EXCLUSIVITE, cet appartement en duplex d'une surface Carrez de 61,21 m² avec pièce RDC pouvant être aménagée en chambre supplémentaire indépendant..."
252WMYMQF9S1,2025-10-15T16:35:00Z,Vichy,Thermal-Vieux-Vican,03200,BUY,APARTMENT,160500,43.0,2,1,"À Vichy, en plein cœur du quartier Thermal, face au Lac et au Parc Napoléon, je vous invite à découvrir ce T2 rénové et meublé avec goût. Situé dans un ancien hôtel réhabilité en résidence, sa situat..."
25BN9A2UR3KZ,2025-11-25T14:49:00Z,Vichy,Marche,03200,BUY,APARTMENT,192000,92.43,3,2,"Votre agence Orpi Vichy vous propose cet appartement de 92 m² qui se compose d'une grande pièce de vie avec une cuisine aménagée-équipée, Une buanderie, wc, 2 chambres. Ascenseur, 2 places de parking..."
25LVCMIA575R,2025-01-07T11:45:00Z,Le Mayet-de-Montagne,,03250,BUY,HOUSE,139000,142.0,4,3,"Magnifique opportunité! Maison rénovée de 142m² située dans un hameau calme et paisible à 20 minutes de Vichy, en plein cœur de la Montagne Bourbonnaise, entre Le Mayet de Montagne et Arronnes. Ce bi..."
25SSFBT21UCC,2025-11-28T12:10:00Z,Diou,,03290,BUY,HOUSE,125000,130.0,4,3,"Maison 3 chambres, avec véranda, sur un terrain clos de 1250 m². Cette maison propose une entrée desservant une belle pièce de vie traversante, agrémentée d'un insert. La cuisine donne un accès direc..."
