id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25848DLDI1X7,2025-11-23T19:12:00Z,Tosse,,40230,BUY,HOUSE,1872000.0,295.0,10,8,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service immobilier d'exception. Découvrez une présentation soignée de ce bien : des photos professionnelles et une visite virtuelle i..."
25BJRU8CGNLM,2025-11-26T12:09:00Z,Dax,La Torte-Berre,40100,BUY,APARTMENT,162000.0,39.5,2,1,"Au cœur de Dax, charmante cité thermale des Landes réputée pour son art de vivre et son patrimoine chaleureux, un nouveau lieu de vie se distingue par son ambiance contemporaine et son atmosphère dou..."
25ZS5868QIKB,2025-11-26T12:09:00Z,Dax,La Torte-Berre,40100,BUY,APARTMENT,207000.0,58.88,3,2,"Au cœur de Dax, charmante cité thermale des Landes réputée pour son art de vivre et son patrimoine chaleureux, un nouveau lieu de vie se distingue par son ambiance contemporaine et son atmosphère dou..."
244E8FUEK5JE,2024-02-20T12:11:00Z,Bénesse-Maremne,,40230,BUY,APARTMENT,279000.0,59.65,3,2,"PLUS QUE 2 LOTS DISPONIBLES / TRAVAIX EN COURS / ACTABLE IMMEDIATEMENT Proche des plages de Capbreton, nous vous proposons à Benesse-Maremne, au fond de cette grande parcelle, un ensemble de 24 logem..."
25TN5XAPP5UD,2025-10-28T11:28:00Z,Saint-Vincent-de-Tyrosse,,40230,BUY,APARTMENT,230000.0,62.0,3,,"À seulement 15 km de Dax et 25 km de Bayonne, Saint-Vincent-de-Tyrosse offre un cadre de vie privilégié entre nature et dynamisme. Situé sur la Voie Romaine, le programme Les Voies d'Aquitaine s'insc..."
25VU3ILERXYK,2025-10-28T11:28:00Z,Saint-Vincent-de-Tyrosse,,40230,BUY,APARTMENT,190000.0,41.0,2,,"À seulement 15 km de Dax et 25 km de Bayonne, Saint-Vincent-de-Tyrosse offre un cadre de vie privilégié entre nature et dynamisme. Situé sur la Voie Romaine, le programme Les Voies d'Aquitaine s'insc..."
25HACQHUVHYY,2025-10-28T11:28:00Z,Saint-Vincent-de-Tyrosse,,40230,BUY,APARTMENT,285000.0,86.0,4,,"À seulement 15 km de Dax et 25 km de Bayonne, Saint-Vincent-de-Tyrosse offre un cadre de vie privilégié entre nature et dynamisme. Situé sur la Voie Romaine, le programme Les Voies d'Aquitaine s'insc..."
25X4ACMDJX9W,2025-05-21T02:10:00Z,Capbreton,La Plage,40130,BUY,APARTMENT,540000.0,52.36,2,,DEVENEZ PROPRIÉTAIRE D'UN APPARTEMENT D'EXCEPTION À CAP BISCAYE À 50 M DE LA PLAGE. ?? Cap Biscaye : Une résidence qui incarne l'élégance et la sérénité. Avec son architecture en bardage bois gris et...
24TTZ73XYJ86,2024-10-10T02:11:00Z,Capbreton,La Plage,40130,BUY,APARTMENT,690000.0,82.87,4,,DEVENEZ PROPRIÉTAIRE D'UN APPARTEMENT D'EXCEPTION À CAP BISCAYE À 50 M DE LA PLAGE. ?? Cap Biscaye : Une résidence qui incarne l'élégance et la sérénité. Avec son architecture en bardage bois gris et...
241PPVXDITAM,2024-10-10T02:11:00Z,Capbreton,La Plage,40130,BUY,APARTMENT,830000.0,77.04,3,,DEVENEZ PROPRIÉTAIRE D'UN APPARTEMENT D'EXCEPTION À CAP BISCAYE À 50 M DE LA PLAGE. ?? Cap Biscaye : Une résidence qui incarne l'élégance et la sérénité. Avec son architecture en bardage bois gris et...
