id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
256U68PQX5IM,2025-11-26T08:42:00Z,Saint-Viâtre,,41210,BUY,HOUSE,630000.0,230.0,7,5,"VENTE DIRECTE PAR LE PROPRIETAIRE OCCUPANT A ST-VIATRE, joli village de SOLOGNE DES ETANGS avec commerces, médecin et pharmacien. En sortie de village, très calme mais non isolée et sans nuisances, p..."
258BF8FA4EK5,2025-09-26T09:53:00Z,Blois,,41000,BUY,HOUSE,450000.0,150.0,7,5,"Découvrez cette élégante maison individuelle située à Blois, véritable havre de paix offrant un cadre de vie exceptionnel. Nichée sur un grand terrain avec vue dégagée, elle séduit par ses beaux volu..."
25F9HDL8LPRK,2025-11-18T16:01:00Z,Vallieres les Grandes,,41400,BUY,HOUSE,574750.0,249.0,8,5,"Venez découvrir cette magnifique longère en pierre de 1850 située à Vallières les Grandes, offrant un cadre de vie paisible et agréable. D'une superficie de 249.70 m², entièrement restaurée, la maiso..."
249EP8XRQVWK,2024-07-10T08:53:00Z,Blois,,41000,BUY,HOUSE,249000.0,123.0,5,3,"Maison Individuelle à Blois - Opportunité Exceptionnelle ! Venez découvrir cette charmante maison individuelle idéalement située à Blois, nichée sur un terrain de 580m². Dès l'entrée, vous serez sédu..."
25923C4PADFL,2025-10-01T11:35:00Z,Vineuil,Centre Ville,41350,BUY,HOUSE,230000.0,115.0,5,4,"Imaginez une maison baignée de lumière, où chaque espace a été pensé pour s'adapter à vos envies. Une maison contemporaine, chaleureuse, fonctionnelle — mais surtout, pleine de potentiel pour devenir..."
25FME8IVN2ZH,2025-11-25T17:42:00Z,Blois,Centre Ville,41000,BUY,APARTMENT,206000.0,86.0,4,2,"Niché dans une cour intérieure paisible, ce duplex de caractère de 86m2 est situé au deuxième étage d'un immeuble à l'architecture préservée. Offrant une vue dégagée sur les toits et les hauteurs de ..."
246U9YBDHDXD,2024-12-12T12:40:00Z,Vineuil,,41350,BUY,HOUSE,328000.0,246.0,8,6,"Nichée au cœur de Vineuil, cette charmante maison de village datant de 1781 vous séduira par son caractère authentique et ses prestations de qualité. Dès l'entrée, laissez-vous charmer par un vaste s..."
25F12ZUS3E8H,2025-07-12T14:24:00Z,Blois,,41000,BUY,APARTMENT,134000.0,52.0,3,2,"Découvrez ce charmant appartement F3 niché au dernier étage, offrant une vue dégagée sans aucun vis-à-vis. Avec une exposition Nord/Sud, profitez d'une luminosité optimale tout au long de la journée...."
25YDBMEQQYHI,2025-04-05T18:49:00Z,Blois,,41000,BUY,HOUSE,265957.0,147.0,6,4,"Découvrez cette propriété contemporaine située à Blois, offrant un cadre de vie idéal pour votre famille. Construite en 2011, cette maison de plain-pied en bon état général vous séduira par ses volum..."
25FPQUL8QVXR,2025-01-10T19:22:00Z,Blois,,41000,BUY,APARTMENT,139000.0,113.0,5,3,"Découvrez cet élégant appartement situé à Blois, offrant des volumes généreux et une luminosité exceptionnelle grâce à son séjour double de 42m2 exposé plein sud. Cet espace de vie comprend un salon,..."
25X4CVR4JZ6F,2025-06-18T15:09:00Z,Vineuil,,41350,BUY,HOUSE,338600.0,116.0,4,2,"Découvrez cette charmante maison individuelle de plain-pied à Vineuil, offrant un cadre de vie moderne et confortable. Construite en 2023, cette demeure séduit par ses beaux volumes et son agencement..."
2518Z6DGE3MM,2025-10-02T13:51:00Z,Blois,,41000,BUY,HOUSE,280000.0,98.0,4,3,"QUARTIER DU FOIX !! À Blois, découvrez cette charmante maison offrant une qualité de vie remarquable. Elle compose d'une entrée accueillante, d'un séjour spacieux avec une exposition idéale nord/sud,..."
25P46N45U82M,2025-09-19T16:31:00Z,Villebarou,,41000,BUY,HOUSE,276595.0,121.0,6,3,"À Villebarou, découvrez cette maison contemporaine, idéalement située à proximité de Blois. Profitez d'une vaste pièce de vie de 52 m² avec cuisine équipée, parfaite pour recevoir. Cette propriété of..."
25T14QU1EQSC,2025-07-15T16:53:00Z,Saint-Gervais-la-Forêt,,41350,BUY,HOUSE,220000.0,109.0,6,4,"Découvrez cette charmante maison située au cœur de Saint-Gervais-la-Forêt, un véritable havre de paix à proximité immédiate des commodités. Dès l'entrée, vous serez séduit par un spacieux séjour baig..."
259BHQGEL8YQ,2025-06-06T16:07:00Z,Blois,,41000,BUY,HOUSE,299000.0,179.0,7,4,"Découvrez cette superbe maison individuelle à Blois, un véritable cocon familial alliant confort et modernité. Édifiée sur un terrain de 571 m², elle vous séduira par ses beaux volumes et sa luminosi..."
25N4KNFXTRIP,2025-11-25T18:16:00Z,Blois,Centre Ville,41000,BUY,HOUSE,400000.0,171.0,8,4,"Située en centre-ville de Blois, dans le recherché quartier des écoles, cette maison de ville d'environ 170 m² combine charme ancien et touches contemporaines en harmonie. Élevée sur plusieurs niveau..."
259Q1FFSPVMY,2025-10-21T10:23:00Z,Chouzy-sur-Cisse,,41150,BUY,HOUSE,578950.0,183.0,11,6,"Découvrez cette superbe propriété à Chouzy-sur-Cisse, idéale pour ceux en quête de tranquillité et d'espace. Nichée dans un cadre verdoyant sans vis-à-vis, cette maison principale vous accueille avec..."
25ELIPTM152Y,2025-04-26T16:03:00Z,Blois,,41000,BUY,HOUSE,192500.0,88.0,4,3,"Découvrez cette charmante maison à Blois, un véritable havre de paix alliant confort et modernité. Construite en 2012, cette demeure vous séduira par son séjour double baigné de lumière grâce à son e..."
2552965EK77W,2025-04-03T18:09:00Z,Vineuil,,41350,BUY,HOUSE,237000.0,110.0,6,4,"Découvrez cette superbe maison individuelle à Vineuil, un véritable bijou de modernité et de confort ! Construite en 2021, elle vous offre un cadre de vie idéal avec son agencement intelligent et ses..."
25F23WP68MIU,2025-06-10T11:28:00Z,Couetron Au Perche,,41170,BUY,HOUSE,259875.0,256.0,5,3,"Proche COUËTRON AU PERCHE - Ensemble immobilier avec dépendances sur terrain clos !! À la campagne, sur un terrain clos d'environ 4 679m², venez découvrir cet ancien CORPS DE FERME composé de plusieu..."
246FMZ9K1IUZ,2024-05-03T18:26:00Z,Blois,,41000,BUY,HOUSE,275500.0,147.0,7,5,"Découvrez cette charmante maison située dans un agréable lotissement de Blois, parfaitement entretenue et prête à accueillir votre famille. Ce bien offre un espace de vie généreux, répartis harmonieu..."
