id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25CYYBCUFCHZ,2025-11-27T15:36:00Z,Saint-Étienne,Bellevue-Solaure,42100,BUY,APARTMENT,95000,41.66,3,2,"Idéalement situé, à Saint Etienne sud - secteur Bellevue, place, tram, Stas, gare, marché de Bellevue à proximité immédiate, vous est proposé EN EXCLISIVITE, par votre agence ORPI DE CHATEAUCREUX, au..."
25S8XG7C7JW8,2025-03-18T19:07:00Z,Andrézieux-Bouthéon,Agglomeration Sud,42160,BUY,APARTMENT,130000,52.0,2,1,"Appartement de type T2 (F2 / 2 pièces / 1 chambre) d'une surface habitable totale de 52,10 m², situé au 1er étage, idéalement exposé Sud avec espace extérieur. La résidence Clos des Arts, vous offre ..."
25UWGB3C4NDU,2025-07-15T10:06:00Z,Andrézieux-Bouthéon,Agglomeration Sud,42160,BUY,APARTMENT,179000,71.0,3,,"La résidence Clos des Arts, vous offre un cadre de vie dynamique, alliant confort moderne et qualité de vie au cœur d'un quartier en pleine évolution. Le programme, composé de 23 appartements, allie ..."
25GJUR5YSY3J,2025-11-28T16:05:00Z,Saint-Étienne,Monthieu-Saint François,42100,BUY,APARTMENT,75000,63.91,3,2,"Idéalement situé, Saint Etienne Sud, proximité Fauriel, et des écoles, avec accès très rapide voie rapide, vous est proposé par votre agence ORPI CHATEAUCREUX, ce T3 de 64 m² / 2 ch / 2 balcons ( sur..."
25AUG9A55QRR,2025-09-24T04:53:00Z,Saint-Jean-Bonnefonds,Nord Est,42650,BUY,APARTMENT,165000,45.81,2,,"AUX PORTES DE SAINT-ÉTIENNE, DEVENEZ PROPRIETAIRE DE VOTRE APPARTEMENT OU MAISON À SAINT-JEAN-BONNEFONDS GRACE À NOS PRIX DE LANCEMENT ! JUSQU'À 25 000 euros DE REMISE POUR LES 7 PREMIERS RESERVATAIR..."
251V4615VPIJ,2025-09-24T04:53:00Z,Saint-Jean-Bonnefonds,Nord Est,42650,BUY,APARTMENT,215000,62.58,3,,"AUX PORTES DE SAINT-ÉTIENNE, DEVENEZ PROPRIETAIRE DE VOTRE APPARTEMENT OU MAISON À SAINT-JEAN-BONNEFONDS GRACE À NOS PRIX DE LANCEMENT ! JUSQU'À 25 000 euros DE REMISE POUR LES 7 PREMIERS RESERVATAIR..."
25SLAPRAXYF8,2025-11-12T12:04:00Z,Saint-Chamond,La Valette-Croix Berthaud-Saint Martin,42400,BUY,APARTMENT,189000,97.74,3,2,"Très bel emplacement, Charme, Lumineux, Classe, Excellent état, De bon gout, dans une bâtisse qui l'est tout autant, sont les qualificatifs que l'on peut attribuer à ce T4 de 98 m²/2 ou 3 chambres qu..."
25KXFQ2QUGQR,2025-09-24T04:53:00Z,Saint-Jean-Bonnefonds,Nord Est,42650,BUY,HOUSE,323000,101.14,4,,"AUX PORTES DE SAINT-ÉTIENNE, DEVENEZ PROPRIETAIRE DE VOTRE APPARTEMENT OU MAISON À SAINT-JEAN-BONNEFONDS GRACE À NOS PRIX DE LANCEMENT ! JUSQU'À 25 000 euros DE REMISE POUR LES 7 PREMIERS RESERVATAIR..."
25UZIAYG5F7S,2025-09-24T04:53:00Z,Saint-Jean-Bonnefonds,Nord Est,42650,BUY,APARTMENT,284000,83.95,4,,"AUX PORTES DE SAINT-ÉTIENNE, DEVENEZ PROPRIETAIRE DE VOTRE APPARTEMENT OU MAISON À SAINT-JEAN-BONNEFONDS GRACE À NOS PRIX DE LANCEMENT ! JUSQU'À 25 000 euros DE REMISE POUR LES 7 PREMIERS RESERVATAIR..."
25FIDV9DWTZ3,2025-03-24T13:23:00Z,Andrézieux-Bouthéon,Agglomeration Sud,42160,BUY,APARTMENT,165000,51.0,2,1,ANDRÉZIEUX CENTRE - Venez découvrir cette nouvelle résidence sécurisée située à quelques pas de la Place du Forez. Les Terrasses d'Astrée sauront vous séduire par ses nombreux atouts : dimension huma...
25CRYSDQ5SK9,2025-09-24T04:53:00Z,Saint-Jean-Bonnefonds,Nord Est,42650,BUY,HOUSE,377000,113.74,5,,"AUX PORTES DE SAINT-ÉTIENNE, DEVENEZ PROPRIETAIRE DE VOTRE APPARTEMENT OU MAISON À SAINT-JEAN-BONNEFONDS GRACE À NOS PRIX DE LANCEMENT ! JUSQU'À 25 000 euros DE REMISE POUR LES 7 PREMIERS RESERVATAIR..."
25Y71FQPX21L,2025-05-27T13:32:00Z,Andrézieux-Bouthéon,Agglomeration Sud,42160,BUY,APARTMENT,137000,40.96,2,,"Livraison 4 ème trimèstre 2027 - Découvrez votre futur chez-vous à Andrézieux-Bouthéon ! Située dans un cadre idéal entre nature et urbanisme, notre nouvelle résidence vous offre une qualité de vie e..."
25VGA4YFJ3ZL,2025-06-17T10:23:00Z,Saint-Etienne,Méons-Le Soleil,42000,BUY,APARTMENT,114000,46.7,2,,"NOUVEAUX APPARTEMENTS DISPONIBLES EN TVA 5,5% Vos frais de notaire offerts jusqu'à 70 000 euros ! Éligible au LLI A Saint-Étienne, à 3 min en tramway de la gare de Châteaucreux, en passe de devenir l..."
25C97YB54928,2025-09-23T10:31:00Z,Saint-Etienne,Méons-Le Soleil,42000,BUY,APARTMENT,167000,65.42,3,,"NOUVEAUX APPARTEMENTS DISPONIBLES EN TVA 5,5% Vos frais de notaire offerts jusqu'à 70 000 euros ! Éligible au LLI A Saint-Étienne, à 3 min en tramway de la gare de Châteaucreux, en passe de devenir l..."
25I3G3ARZ97S,2025-01-30T12:38:00Z,Andrézieux-Bouthéon,Bourg d'Andrezieux,42160,BUY,APARTMENT,161000,48.8,2,1,"Au Cœur de village d'Andrézieux, L'HERMES se situe à 3 minute à pied de la place du Forez et à proximité immédiate de toutes les commodités. Cette résidence intimiste de 19 logements offre des presta..."
24ZMQSV4V9K3,2024-12-02T06:46:00Z,Veauche,Bourg Nord,42340,BUY,APARTMENT,155000,49.4,2,1,"RÉSIDENCE NEUVE DE STANDING – LE PARC ANTOINE À VEAUCHE Découvrez Le Parc Antoine, une résidence neuve d'exception nichée dans l'une des plus belles adresses de Veauche, rue Max de Saint Genest (Allé..."
25M1UX2QFJR4,2025-05-27T13:32:00Z,Andrézieux-Bouthéon,Agglomeration Sud,42160,BUY,APARTMENT,186000,62.12,3,,"Livraison 4 ème trimèstre 2027 - Découvrez votre futur chez-vous à Andrézieux-Bouthéon ! Située dans un cadre idéal entre nature et urbanisme, notre nouvelle résidence vous offre une qualité de vie e..."
25ADS5DJ2F7S,2025-01-30T12:38:00Z,Andrézieux-Bouthéon,Bourg d'Andrezieux,42160,BUY,APARTMENT,251000,76.37,3,2,"Au Cœur de village d'Andrézieux, L'HERMES se situe à 3 minute à pied de la place du Forez et à proximité immédiate de toutes les commodités. Cette résidence intimiste de 19 logements offre des presta..."
25N9HXSLYZHI,2025-11-20T00:38:00Z,St Just St Rambert,,42170,BUY,HOUSE,567000,201.0,7,3,"Située au cœur de Saint-Rambert, cette maison de maître de 201 m² (280 m² surface utile) s'étend sur un terrain de 579 m² et bénéficie d'un emplacement privilégié, à pied de tous les commerces et ser..."
24RRLBXX9658,2024-11-15T15:18:00Z,La Talaudiere,Le Roule-La Grande Vaure,42350,BUY,APARTMENT,232000,61.9,3,,"EN CE MOMENT : FRAIS DE NOTAIRE OFFERTS !*LES TERRASSES D'ELYNN – Vivez l'élégance au cœur de La Talaudière À seulement 300 mètres de la mairie et des commerces, cette résidence contemporaine bénéfic..."
25RP3DG7YM54,2025-04-02T10:06:00Z,Andrézieux-Bouthéon,Agglomeration Sud,42160,BUY,APARTMENT,189000,71.0,3,2,"Appartement de type T3 (F3 / 3 pièces / 2 chambres) d'une surface habitable totale de 71,70 m², situé au rez-de-chaussée, exposé Nord-Ouest avec jardin privatif de 250m² et loggia. [AVANTAGES FINANCI..."
25CT369VKZB4,2025-10-23T10:34:00Z,Saint-Chamond,Izieux-La Varizelle-La Chabure-Le Creux,42400,BUY,APARTMENT,170000,67.6,3,2,"Nouvelle résidence neuve dans secteur calme avec vue dégagée sur les monts du Pilat. Devenez propriétaire et bénéficiez sous conditions de prix uniques en TVA réduite 5,5% (sous conditions). 8 maison..."
253ZR3T2AYUA,2025-09-23T14:21:00Z,Montbrison,Les Purelles,42600,BUY,PROJECT,219200,,4,1,Maison 95m2 - 3 Chambres - Montbrison Découvrez notre nouveau programme immobilier « Les jardins de l'Aube » situé au lieu-dit Le Bouchet à Montbrison. Nous vous proposons 5 magnifiques maisons à éta...
25RUG6JYYLCT,2025-05-27T13:32:00Z,Andrézieux-Bouthéon,Agglomeration Sud,42160,BUY,APARTMENT,233000,81.46,4,,"Livraison 4 ème trimèstre 2027 - Découvrez votre futur chez-vous à Andrézieux-Bouthéon ! Située dans un cadre idéal entre nature et urbanisme, notre nouvelle résidence vous offre une qualité de vie e..."
24NF3I79Y2KM,2024-11-15T15:18:00Z,La Talaudiere,Le Roule-La Grande Vaure,42350,BUY,APARTMENT,323000,81.2,4,,"EN CE MOMENT : FRAIS DE NOTAIRE OFFERTS !*LES TERRASSES D'ELYNN – Vivez l'élégance au cœur de La Talaudière À seulement 300 mètres de la mairie et des commerces, cette résidence contemporaine bénéfic..."
25MFBB8CFLMB,2025-04-02T10:06:00Z,Andrézieux-Bouthéon,Agglomeration Sud,42160,BUY,APARTMENT,231500,88.0,4,3,"Appartement de type T4 (F4 / 4 pièces / 3 chambre) d'une surface habitable totale de 88m², situé au premier étage avec espace extérieur. [AVANTAGES FINANCIERS] Sur le programme Clos des Arts, bénéfic..."
256NVDFILT51,2025-01-30T12:38:00Z,Andrézieux-Bouthéon,Bourg d'Andrezieux,42160,BUY,APARTMENT,485000,124.0,4,3,"Au Cœur de village d'Andrézieux, L'HERMES se situe à 3 minute à pied de la place du Forez et à proximité immédiate de toutes les commodités. Cette résidence intimiste de 19 logements offre des presta..."
255C1VFSLV8N,2025-10-23T10:34:00Z,Saint-Chamond,Izieux-La Varizelle-La Chabure-Le Creux,42400,BUY,HOUSE,250000,93.8,4,3,"Nouvelle résidence neuve dans secteur calme avec vue dégagée sur les monts du Pilat. Devenez propriétaire et bénéficiez sous conditions de prix uniques en TVA réduite 5,5% (sous conditions). 8 maison..."
24IX2GL4HJ2I,2024-09-10T15:21:00Z,La Talaudiere,Le Roule-La Grande Vaure,42350,BUY,HOUSE,434000,115.6,4,,"EN CE MOMENT : FRAIS DE NOTAIRE OFFERTS !*LES TERRASSES D'ELYNN – Vivez l'élégance au cœur de La Talaudière À seulement 300 mètres de la mairie et des commerces, cette résidence contemporaine bénéfic..."
25H1BUU17MVU,2025-03-24T13:23:00Z,Andrézieux-Bouthéon,Agglomeration Sud,42160,BUY,APARTMENT,279000,88.0,4,3,ANDRÉZIEUX CENTRE - Venez découvrir cette nouvelle résidence sécurisée située à quelques pas de la Place du Forez. Les Terrasses d'Astrée sauront vous séduire par ses nombreux atouts : dimension huma...
25XA63FVN8JX,2025-09-23T14:21:00Z,Montbrison,Les Purelles,42600,BUY,PROJECT,235000,,5,1,Maison 102 m2 - 4 Chambres - Montbrison Découvrez notre nouveau programme immobilier « Les jardins de l'Aube » situé au lieu-dit Le Bouchet à Montbrison. Nous vous proposons 5 magnifiques maisons à é...
2516QEVX4XJD,2024-12-02T06:46:00Z,Veauche,Bourg Nord,42340,BUY,APARTMENT,540000,131.7,5,4,"RÉSIDENCE NEUVE DE STANDING – LE PARC ANTOINE À VEAUCHE Découvrez Le Parc Antoine, une résidence neuve d'exception nichée dans l'une des plus belles adresses de Veauche, rue Max de Saint Genest (Allé..."
25XQTZBCVF4S,2025-11-28T14:54:00Z,St Etienne,Crêt de Roc,42000,BUY,APARTMENT,51000,144.0,5,3,"Découvrez une opération patrimoniale rare permettant d’acquérir un ensemble de 3 appartements idéalement situés à Saint-Étienne, tout en bénéficiant d’une décote significative liée au démembrement. C..."
25HK41P1YJFF,2025-05-27T13:32:00Z,Andrézieux-Bouthéon,Agglomeration Sud,42160,BUY,APARTMENT,331000,106.57,5,,"Livraison 4 ème trimèstre 2027 - Découvrez votre futur chez-vous à Andrézieux-Bouthéon ! Située dans un cadre idéal entre nature et urbanisme, notre nouvelle résidence vous offre une qualité de vie e..."
24N1C991UH2C,2024-10-04T10:42:00Z,Saint-Chamond,Izieux-La Varizelle-La Chabure-Le Creux,42400,BUY,PROJECT,288000,,4,3,"Neuf-Villa 3 chambres à Saint-Chamond Je propose, à 20 minutes de Saint Etienne et 40 minutes de Lyon, sur les hauteurs de St Chamond dans un lotissement paisible, une charmante maison neuve de plain..."
25LA2SFK7XKC,2025-04-02T10:06:00Z,Andrézieux-Bouthéon,Agglomeration Sud,42160,BUY,APARTMENT,305900,118.0,5,4,"Appartement de type T5 (F5 / 5 pièces / 4 chambre) d'une surface habitable totale de 118,70 m², situé au 4ème et dernier étage, idéalement exposé Ouest avec belle terrasse de 51m². [AVANTAGES FINANCI..."
25JY5PMYL7K3,2025-01-27T11:10:00Z,Saint-Just-Saint-Rambert,Grande Couronne,42170,BUY,APARTMENT,164000,46.0,2,,"La résidence Villa Artmony se situe sur la commune de Saint-Just Saint-Rambert, à proximité du centre et de ses commerces et services, écoles, collège. Au cœur d'un environnement privilégié, calme et..."
256C4A28NVVY,2025-10-23T10:34:00Z,Saint-Chamond,Izieux-La Varizelle-La Chabure-Le Creux,42400,BUY,HOUSE,270000,103.6,5,3,"Nouvelle résidence neuve dans secteur calme avec vue dégagée sur les monts du Pilat. Devenez propriétaire et bénéficiez sous conditions de prix uniques en TVA réduite 5,5% (sous conditions). 8 maison..."
24AN17SCMUYK,2024-03-12T13:53:00Z,Saint-Jean-Bonnefonds,Baraillere,42650,BUY,APARTMENT,224000,69.8,3,2,"Commune proche de Saint-Etienne et à 50 min de LYON, Saint-Jean-Bonnefonds profite de son positionnement géographique pour être proche de grandes villes de la région. Résidence intimiste composée de ..."
25CPC7FHD5FM,2025-11-01T07:02:00Z,Saint-Étienne,Monthieu-Saint François,42100,BUY,APARTMENT,285822,74.31,4,,"Remise exceptionnelle de 3 000 euros + frais de notaire offerts jusqu'au 30 novembre ! Destinés aux étudiants et aux jeunes actifs, seuls ou en colocation, les appartements sont meublés, équipés et d..."
255SRJ5EL3VT,2025-01-27T11:10:00Z,Saint-Just-Saint-Rambert,Grande Couronne,42170,BUY,APARTMENT,299000,85.0,4,3,"L'appartement n°A16 fait partie du programme immobilier ''Villa Artmony'', situé dans la ville de Saint-Just-Saint-Rambert et sa date de livraison est le 4ème trimestre 2025. C'est un appartement de ..."
2432S9EEI35Q,2023-11-13T14:59:00Z,Bellegarde-en-Forez,,42210,BUY,APARTMENT,199000,62.0,3,2,"BELLEGARDE-EN-FOREZ au cœur du village, L'OPALINE se situe à proximité immédiate du centre bourg du village de Bellegarde avec un environnement calme et verdoyant. Cette résidence intimiste de seulem..."
25L7D9LZTQKA,2025-06-24T10:07:00Z,Saint-Just-Saint-Rambert,Grande Couronne,42170,BUY,APARTMENT,96000,32.0,1,,"La résidence Villa Artmony se situe sur la commune de Saint-Just Saint-Rambert, à proximité du centre et de ses commerces et services, écoles, collège. Au cœur d'un environnement privilégié, calme et..."
