id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25K1GEUJQ3RH,2025-11-27T08:15:00Z,Saint-Pierre-Eynac,,43260,BUY,PROJECT,206600,,5,4,"Nous vous proposons cette maison neuve, baptisée Focus 91, une demeure qui réinvente l'art de vivre en famille. Avec ses 91 m² judicieusement répartis, cette maison est l'incarnation parfaite du célè..."
25ITFYFU4H99,2025-11-12T08:17:00Z,Rosières,,43800,BUY,PROJECT,240100,,5,4,"Nous vous proposons cette maison neuve, baptisée Eolia, un modèle d'habitation qui allie élégance et fonctionnalité dans un design en L distinctif. Avec une surface habitable de 102 m², cette maison ..."
25CGB5GQEYDQ,2025-09-12T07:38:00Z,Lorlanges,,43360,BUY,HOUSE,260000,170.0,6,4,"À la recherche d'un cadre de vie paisible et authentique ? Martin Veauléger vous propose : Cette maison de village entièrement rénovée, édifiée sur une parcelle de 376 m2, allie cachet de l'ancien et..."
24W859C2928D,2024-11-08T14:47:00Z,Yssingeaux,Sud,43200,BUY,APARTMENT,159000,50.4,2,,"La résidence SWEET LIFE à Yssingeaux vous propose des appartements spacieux, lumineux et fonctionnels dans un environnement où chaque détail a été pensé pour garantir un bien-être quotidien. Sweet Li..."
24P7ABS2U3EA,2024-11-08T14:47:00Z,Yssingeaux,Sud,43200,BUY,APARTMENT,219000,73.7,3,,"La résidence SWEET LIFE à Yssingeaux vous propose des appartements spacieux, lumineux et fonctionnels dans un environnement où chaque détail a été pensé pour garantir un bien-être quotidien. Sweet Li..."
247Y8J1G3S58,2024-11-08T14:47:00Z,Yssingeaux,Sud,43200,BUY,APARTMENT,289000,90.2,4,,"La résidence SWEET LIFE à Yssingeaux vous propose des appartements spacieux, lumineux et fonctionnels dans un environnement où chaque détail a été pensé pour garantir un bien-être quotidien. Sweet Li..."
24LQQZ41HZE5,2022-06-13T11:48:00Z,Yssingeaux,Sud,43200,BUY,PROJECT,239500,,4,3,"Maison plain pied - Yssingeaux centre Dans le centre de la ville, nous vous proposons de réaliser votre maison neuve construite aux normes RE2020, sur un terrain viabilisé d'une surface environ de 1 ..."
24AQUF234NQF,2024-05-30T18:26:00Z,Monistrol-sur-Loire,Zone Periurbaine,43120,BUY,PROJECT,419000,,6,5,"Magnifique maison à Monistrol sur loire Envie de vous installer dans un quartier résidentiel et calme à Monistrol, avec une vue dégagée plein Sud/EST ? Nous avons le terrain idéal pour vous, d'une su..."
24BNVYWJAMNG,2024-04-09T21:09:00Z,Beauzac,,43590,BUY,PROJECT,239000,,,3,Superbe projet Maison + Terrain à Beauzac Une maison mêlant praticité et rapport qualité/prix. Ce projet dispose de 16 m² de garage et de 85 m² habitables. (Modulable) Version sans garage à 230 000 e...
25U37LWWA1Z3,2025-01-09T13:53:00Z,Chadron,,43150,BUY,HOUSE,160000,175.72,6,4,"Ferme en pierre avec 2 habitations Vous trouverez dans un petit village pittoresque de la commune de Chadron, une maison en pierre pleine de caractère et de potentiel. Cette demeure entourée d'un ter..."
25C9744KEJSJ,2025-08-01T16:38:00Z,Pradelles,,43420,BUY,HOUSE,62000,110.0,5,3,"Maison de village charmante à Pradelles Située à Pradelles, entre une impasse paisible et axe accessible, cette maison de bourg en pierre dévoile un potentiel incroyable. Elle est réparti sur 4 nivea..."
24MAV9WYHWMP,2024-10-04T09:33:00Z,Chadrac,,43770,BUY,HOUSE,473000,259.0,7,4,"CHADRAC - Maison de maître Située dans la commune prisée de Chadrac, cette magnifique maison de 259 m² offre un cadre de vie exceptionnel à seulement 10 minutes du centre-ville du Puy-en-Velay. Avec ..."
25R6FG1KQ9HX,2025-06-11T23:25:00Z,Chadrac,,43770,BUY,APARTMENT,180000,112.0,5,3,"CHADRAC Appartement lumineux Cet élégant appartement de 112 m² situé à Chadrac offre une atmosphère accueillante avec ses cinq pièces spacieuses. Il comprend trois chambres confortables, dont l'une e..."
25N9QX1DHD7G,2025-09-22T11:17:00Z,Le Brignon,,43370,BUY,HOUSE,67000,125.0,6,3,"Maison de village a rénover Commune du Brignon, maison en pierre crépis de 125 m² habitables sur deux niveaux, complétée par un grenier. L'ensemble se compose de 6 pièces dont 3 chambres, un bureau e..."
25BYA8RKJFVP,2025-11-06T17:23:00Z,Le Brignon,,43370,BUY,HOUSE,295000,143.0,4,2,"Maison en pierre au calme Maison en pierre de 143 m² habitable pour 212 m² total située au cœur d'un parc arboré de 2 000 m², offrant un cadre paisible à 20 min du Puy-en-Velay. Double accès véhicule..."
25PR65U1N1ZT,2025-10-30T18:22:00Z,Saint-Maurice-de-Lignon,,43200,BUY,HOUSE,339000,156.0,9,6,"Votre conseillère 43ème Avenue Immobilier, Solange ROMERA vous propose: SAINT MAURICE DE LIGNON..Maison individuelle, offrant env. 156m² habitables sur deux niveaux. La maison se compose d'une entrée..."
25STVXFSWRCZ,2025-10-30T13:53:00Z,Retournac,,43130,BUY,HOUSE,230000,237.0,9,5,"Votre conseillère 43ème Avenue Immobilier, Solange ROMERA vous propose: RETOURNAC..Dans un environnement résidentiel calme, à deux pas du centre-ville, maison familiale de 1973 offrant 237 m² habitab..."
25JTWQ38QAC7,2025-10-30T13:53:00Z,Monistrol-sur-Loire,Zone Periurbaine,43120,BUY,HOUSE,999000,460.0,15,7,"Votre conseillère 43ème Avenue Immobilier, Solange ROMERA vous propose en exclusivité: Ferme en pierre entièrement rénovée avec potentiel de gîte – Monistrol-sur-Loire (Haute-Loire) La Ferme d'Arcan ..."
25HKYWZCITKU,2025-05-06T21:32:00Z,Monistrol-sur-Loire,Zone Periurbaine,43120,BUY,HOUSE,620000,298.0,9,4,"Votre conseillère 43ème Avenue Immobilier, Solange ROMERA vous propose en exclusivité: MONISTROL SUR LOIRE..À moins de 30 minutes de Saint-Étienne et environ 1h30 de Lyon, découvrez cette superbe fer..."
255IV41VUDX4,2025-10-10T04:23:00Z,Cayres,,43510,BUY,HOUSE,185500,556.0,15,3,"Maison spacieuse avec charme rustique à Cayres Un joyau d'histoire à faire revivre! Au cœur d'un cadre authentique, découvrez cette exceptionnelle propriété médiévale à restaurer, composée de trois c..."
25SL5ZH1QTMM,2025-04-04T10:53:00Z,Sainte-Sigolène,Centre Ouest,43600,BUY,APARTMENT,55000,77.0,4,2,"Votre conseillère 43ème Avenue Immobilier, Solange ROMERA vous propose en exclusivité: SAINTE-SIGOLENE..Au deuxième et dernier étage d'une petite copropriété en cours de création, plateau à aménager,..."
25123HBM4NMN,2025-04-04T10:52:00Z,Sainte-Sigolène,Centre Ouest,43600,BUY,APARTMENT,99000,90.0,6,3,"Votre conseillère 43ème Avenue Immobilier, Solange ROMERA vous propose en exclusivité: Sainte-Sigolène, au 1er étage d'une petite copropriété en cours de création, appartement de 90m² habitables, off..."
25TIMJ5AAH72,2025-11-18T16:49:00Z,Monistrol-sur-Loire,Zone Periurbaine,43120,BUY,HOUSE,335000,148.0,6,3,"** 43120- Monistrol-Sur-Loire - Maison Coup de Cœur - 148 m² de surfaces au sol - Terrain 963 m² - Belles terrasses et piscine ossature bois - Double garage ** Lumineuse, rénovée, et pleine de surpri..."
25CEIU2GRY8B,2025-11-27T09:28:00Z,Yssingeaux,Sud,43200,BUY,HOUSE,430000,157.0,4,3,"Bien Rare en exclusivité : Située à 2 minutes à pied du centre bourg de Saint-Maurice de Lignon, à 10 Minutes d'Yssingeaux et de Monistrol, j'ai le plaisir de vous présenter cette très belle maison c..."
255LD4KHU3IX,2025-11-07T18:57:00Z,Monistrol-sur-Loire,Zone Periurbaine,43120,BUY,HOUSE,305000,162.0,6,3,"** 43120 - Monistrol-sur-Loire, secteur prisé - Maison individuelle - 162 m² habitables - Terrain clos et arboré - 1358 m² - 3 chambres - 1 salle de jeux, espace détente ** Efficity, l'agence qui est..."
252UM2DJQ9EZ,2025-08-15T16:45:00Z,La Chaise-Dieu,,43160,BUY,HOUSE,230000,756.0,19,13,"À VENDRE – Hôtel-Restaurant à fort potentiel à La Chaise-Dieu (Haute-Loire) Immeuble polyvalent à rénover – idéal projet de gîte, hébergement touristique, résidence de tourisme ou restauration Situé ..."
254LZ2EZ56KQ,2025-02-07T19:10:00Z,Brioude,Nord,43100,BUY,HOUSE,249900,150.0,5,3,"BRIOUDE – MAISON DE CARACTÈRE DE 150 m² HABITABLES – 3 CHAMBRES – 1000 m² DE TERRAIN – AUCUN VIS-À-VIS Efficity, l'agence qui estime votre bien en ligne, et Éric Pons vous présentent cette magnifique..."
254KUBUFGN83,2025-09-27T10:52:00Z,Chambezon,,43410,BUY,HOUSE,271800,174.0,5,4,"Venez découvrir cette superbe maison de caractère en pierre, située au cœur du charmant village de Chambezon, à seulement quelques minutes de l'A75 . Habitable immédiatement, elle ne nécessite aucun ..."
25A94GUHG6R3,2025-11-27T14:32:00Z,Le Puy-en-Velay,Centre Historique,43000,BUY,APARTMENT,117500,51.0,2,1,"iad France - Aurore Souef vous propose: EXCLUSIVITÉ – Centre historique du Puy-en-Velay – T2 rénové 50,67 m² – Vendu loué & meublé – 4 € et dernier étage L'entrée dessert un séjour lumineux de plus d..."
256IXXLHQIKY,2025-11-28T14:22:00Z,Le Puy-en-Velay,Val Vert,43000,BUY,APARTMENT,128000,68.0,3,2,iad France - Priscille Branquinho vous propose: À VENDRE – LE PUY-EN-VELAY – Quartier Val-vert Appartement rénové de 68 m² avec terrasse de 20 m² et grand garage. Idéalement situé à deux pas des comm...
25W9VFB9ZCRF,2025-11-26T15:46:00Z,Saint-Jean-Lachalm,,43510,BUY,HOUSE,249000,140.0,1,5,"iad France - Édouard Vauthey vous propose: Située aux portes du village de Saint-Jean-Lachalm, à proximité immédiate de la vallée de l'Allier, cet ancien lieu de réception, pensé comme un lieu de vie..."
2545USY5GWQN,2025-11-28T19:23:00Z,Saint-Julien-Molhesabate,,43220,BUY,HOUSE,180000,228.0,11,10,"iad France - Gaëlle Barbe vous propose: Au cOEur du village, immeuble composé de 3 appartements indépendants, sur 3 niveaux, avec jardin attenant de 550 m², terrasse, garage commun, et cave. Détails ..."
252KQXLL5MUV,2025-11-24T21:54:00Z,Saint-Germain-Laprade,,43700,BUY,HOUSE,248000,123.0,5,4,"iad France - Pierre Lebouchard vous propose: Vous recherchez une maison à la campagne à 10 minutes de Brives-Charensac avec une magnifique vue dans un village calme, j'ai ce qu'il vous faut. Maison c..."
2562WA9QP6FA,2025-10-02T22:46:00Z,St Maurice de Lignon,,43200,BUY,HOUSE,266000,172.0,9,4,"EN EXCLUSIVITE, vous recherchez une maison spacieuse, lumineuse et pleine de charme, dans un cadre calme mais proche des commodités ? Cette belle bâtisse en pierre rénovée en 2007 est faite pour vous..."
25ZP9PXB26Q5,2025-11-29T19:19:00Z,Cayres,,43510,BUY,HOUSE,294000,87.0,4,3,"iad France - Yannick Martin vous propose: Maison de 87m² habitables, jardin arboré et garage Cette habitation de 2006 se situe à Cayres, dans un environnement calme, à seulement 5 minutes du lac du B..."
253HKM6WPJU8,2025-09-24T01:58:00Z,Le Monteil,,43700,BUY,HOUSE,190000,123.0,4,3,"LE MONTEIL Maison mitoyenne avec jardin arboré À moins de 10 minutes du centre du Puy-en-Velay, découvrez cette charmante maison mitoyenne d'un coté, de 120 m2 habitables sur deux niveaux, idéalement..."
25EQMZPWY9WA,2025-11-12T05:12:00Z,Saint-Paulien,,43350,BUY,HOUSE,185000,83.0,4,2,"iad France - Sonia Lavastre vous propose: À VENDRE – Agréable maison de plain-pied à Nolhac (Saint-Paulien) Située à Nolhac, commune de Saint-Paulien, cette maison individuelle de 82 m² habitables (h..."
25EJINQMFMN6,2025-09-29T13:23:00Z,Beauzac,,43590,BUY,HOUSE,325000,142.0,5,4,"iad France - Corinne Hospital vous propose: 43590 - BEAUZAC / BRENAS - Maison familiale 142 m² - 4 chambres - terrain 1800 m² avec PISCINE et JACUZZI Nichée dans un véritable écrin de verdure, secteu..."
25JL4N45DXTA,2025-09-24T20:03:00Z,Le Puy en Velay,Val Vert,43000,BUY,APARTMENT,165000,84.0,4,3,"iad France - Audrey Poineau vous propose: **Appartement T4 Spacieux avec Terrasse, Balcon et Garage au Puy En Velay proche de toutes les commodités** Situé dans la charmante ville du Puy En Velay, ce..."
