id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25H5EDXDNTP3,2025-11-28T11:00:00Z,Nantes,Breil - Contrie,44100,BUY,APARTMENT,175000.0,64.46,3,2,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service immobilier d'exception. Profitez de photos professionnelles, d'un plan détaillé et d'une visite virtuelle pour vous projeter ..."
254R81I4XLK9,2025-11-26T01:18:00Z,Saint-Herblain,Nord-Beauséjour,44800,BUY,APARTMENT,209066.0,45.0,2,,"Saint-Herblain accueille votre nouveau logement : des T2 au T5 lumineux, chacun avec balcon, terrasse ou jardin privatif.? Résidence sécurisée et conviviale : digicode, parking, ascenseurs et locaux ..."
25IEVL1FMBTE,2025-02-20T19:12:00Z,Saint-Herblain,Nord-Beauséjour,44800,BUY,APARTMENT,316500.0,81.0,4,3,Fiche d'identité de votre appartement : •Lot n° : B403 •Type : T4 (F4 / 4 pièces / 3 chambres) •Surface : 81.27 m² •Étage : 4ème étage •Exposition : Sud-Est •Date de livraison : 4ème trimestre 2024 •...
25HIRUGJ456C,2025-02-20T19:12:00Z,Saint-Herblain,Nord-Beauséjour,44800,BUY,APARTMENT,391230.0,108.0,5,4,"Près du parc de la Chézine et ses balades conduisant au parc de Procé, la résidence est à 10 minutes du centre-ville de Nantes. Elle bénéficie de la proximité des commerces (boulangerie, pharmacie, t..."
25NU5TJHUBGI,2025-06-18T08:10:00Z,Nantes,Bottière - Chénaie,44300,BUY,APARTMENT,166000.0,36.9,2,,BAISSE DE PRIX pour votre appartement neuf à NANTES du studio au 2 pièces ! Profitez de nos offres exceptionnelles du moment ! Remise de 5 000 euros sur les studios. Remise de 6 000 euros sur les 2 p...
25IB64CP14BZ,2025-08-21T08:09:00Z,Nantes,Nantes Erdre,44300,BUY,APARTMENT,175000.0,33.9,1,,NOUVEAU à NANTES ! Soyez parmi les premiers à choisir votre appartement neuf du 2 au 4 pièces avec extérieur et parking ! Profitez de nos offres exceptionnelles du moment ! Remise de 6 000 euros sur ...
2339MLPULPJM,2022-10-16T16:36:00Z,Clisson,Rive Gauche de la Sèvre,44190,BUY,APARTMENT,299000.0,82.97,4,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Travaux en cours ! Cette résidence à Clisson, au Sud-Est de Nant..."
2599SNA4DWSF,2025-09-03T00:07:00Z,Bouguenais,La Croix-Jeannette,44340,BUY,APARTMENT,124000.0,39.0,2,1,"39.13 m² (surface Habitable). Découvrez ce bel appartement T2 de 39 m² exposé Est, situé au 2ème étage du programme neuf L Atelier à Bouguenais au 33 rue de Bellevue. La future résidence est constitu..."
23GVILPLJBX8,2022-09-09T12:22:00Z,Nantes,Zola,44000,BUY,APARTMENT,590000.0,88.22,4,3,"Visitez nos logements décorés ! Découvrez Coeur Zola, une résidence de 22 appartements et 2 maisons sur un site entièrement réinventé aux différentes ambiances. Cette petite copropriété marie dans so..."
24Z99L85U1MH,2024-06-13T12:37:00Z,Nantes,Zola,44000,BUY,APARTMENT,703000.0,119.57,5,3,"Visitez nos logements décorés ! Découvrez Coeur Zola, une résidence de 22 appartements et 2 maisons sur un site entièrement réinventé aux différentes ambiances. Cette petite copropriété marie dans so..."
