id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
23KBY7EU5KTE,2023-06-02T08:37:00Z,Olivet,Centre,45160,BUY,APARTMENT,779900.0,139.91,5,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Appartements jusqu'au 6 pièces, remise des clés au 4ème Trimestr..."
24QTR56F1DBB,2024-01-16T09:38:00Z,Olivet,Centre,45160,BUY,APARTMENT,319900.0,73.53,3,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Appartements jusqu'au 6 pièces, remise des clés au 4ème Trimestr..."
2388F3C2RYAA,2023-06-02T08:37:00Z,Olivet,Centre,45160,BUY,APARTMENT,424900.0,93.07,4,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Appartements jusqu'au 6 pièces, remise des clés au 4ème Trimestr..."
25UQRXT3HX9R,2025-02-25T06:17:00Z,Orleans,Carmes Sud,45000,BUY,APARTMENT,274000.0,62.51,3,,"[ ORLÉANS | CENTRE-VILLE HISTORIQUE ] Située à deux pas de la Loire, la résidence HÉRITAGE bénéficie d'un emplacement urbain et patrimonial remarquable. Venez nous rencontrer au sein de notre ESPACE ..."
257U22PUWVR4,2025-02-25T06:17:00Z,Orleans,Carmes Sud,45000,BUY,APARTMENT,169000.0,28.26,1,,"[ ORLÉANS | CENTRE-VILLE HISTORIQUE ] Située à deux pas de la Loire, la résidence HÉRITAGE bénéficie d'un emplacement urbain et patrimonial remarquable. Venez nous rencontrer au sein de notre ESPACE ..."
25563G3LT8K6,2025-02-25T06:17:00Z,Orleans,Carmes Sud,45000,BUY,APARTMENT,195000.0,42.48,2,,"[ ORLÉANS | CENTRE-VILLE HISTORIQUE ] Située à deux pas de la Loire, la résidence HÉRITAGE bénéficie d'un emplacement urbain et patrimonial remarquable. Venez nous rencontrer au sein de notre ESPACE ..."
25QZSUKZWT2D,2025-02-25T06:17:00Z,Orleans,Carmes Sud,45000,BUY,APARTMENT,380000.0,87.16,4,,"[ ORLÉANS | CENTRE-VILLE HISTORIQUE ] Située à deux pas de la Loire, la résidence HÉRITAGE bénéficie d'un emplacement urbain et patrimonial remarquable. Venez nous rencontrer au sein de notre ESPACE ..."
256SPM4RD75W,2025-04-16T10:17:00Z,Orleans,Beaumont-Vauquois,45000,BUY,APARTMENT,86635.0,16.69,1,,"Investissez dans l'avenir avec la résidence étudiante Living Saint Laurent à Orléans : un placement sûr et rentable Idéalement située à quelques pas du campus Madeleine et du centre-ville d'Orléans, ..."
23UVE1KS9CV1,2023-06-02T08:37:00Z,Olivet,Centre,45160,BUY,APARTMENT,799900.0,130.9,6,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Appartements jusqu'au 6 pièces, remise des clés au 4ème Trimestr..."
24BW7MRJMKQG,2024-04-25T17:25:00Z,Orléans,Argonne-Champ Chardon-Fontaine-Nécotin,45000,BUY,APARTMENT,153000.0,40.44,2,1,"Choisissez l'appartement qui vous ressemble à partir de 160 000 euros et devenez propriétaire ! Idéal pour HABITER, profitez du Prêt à Taux 0 et de la TVA à 5,5% (sous conditions d'éligibilité). Prix..."
24EJDN115NDR,2024-04-25T17:25:00Z,Orléans,Argonne-Champ Chardon-Fontaine-Nécotin,45000,BUY,APARTMENT,161000.0,34.21,1,,"Choisissez l'appartement qui vous ressemble à partir de 160 000 euros et devenez propriétaire ! Idéal pour HABITER, profitez du Prêt à Taux 0 et de la TVA à 5,5% (sous conditions d'éligibilité). Prix..."
24V95D4FUISZ,2024-04-25T17:25:00Z,Orléans,Argonne-Champ Chardon-Fontaine-Nécotin,45000,BUY,APARTMENT,160000.0,34.06,1,,"Choisissez l'appartement qui vous ressemble à partir de 160 000 euros et devenez propriétaire ! Idéal pour HABITER, profitez du Prêt à Taux 0 et de la TVA à 5,5% (sous conditions d'éligibilité). Prix..."
25EB949WQRDA,2025-07-28T14:53:00Z,La Chapelle-Saint-Mesmin,Est,45380,BUY,APARTMENT,109000.0,23.77,1,,Baisse de prix + offres exceptionnelles !! * - Nouvelle baisse de prix - Frais de notaire offerts - Cuisine aménagée et équipée offerte - Pack mobilier LMNP offert ou une remise de prix équivalente a...
24ANK71K6YPJ,2024-11-26T16:22:00Z,Orléans,Fiacre-Chenault,45100,BUY,APARTMENT,184040.0,34.33,2,2,"Directement reliée au centre-ville historique d'Orléans et au pôle universitaire via le tramway, la résidence So Study bénéficie d'un emplacement stratégique à proximité des commerces, services et ét..."
239DUAH6FB61,2023-04-21T09:16:00Z,Orleans,Beaumont-Vauquois,45000,BUY,APARTMENT,289900.0,61.94,3,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Appartements jusqu'au 5 pièces, remise des clés au 4ème trimestr..."
24NWP8NIY6P7,2024-11-26T16:22:00Z,Orléans,Fiacre-Chenault,45100,BUY,APARTMENT,114400.0,16.98,1,,"Directement reliée au centre-ville historique d'Orléans et au pôle universitaire via le tramway, la résidence So Study bénéficie d'un emplacement stratégique à proximité des commerces, services et ét..."
2477NNREUNQR,2024-10-15T18:14:00Z,Saran,Sud Ouest,45770,BUY,APARTMENT,210000.0,61.62,3,2,"L'Escapade : votre nouvelle résidence au coeur du quartier Les Promenades d'Éole à Saran ! OFFRE DE LANCEMENT : Pack cuisine Exia offert pour les 5 premières ventes !* NOUVEAU!! Idéalement situé, à 5..."
24F5DF27N429,2024-10-15T18:14:00Z,Saran,Sud Ouest,45770,BUY,APARTMENT,211000.0,61.62,3,2,"L'Escapade : votre nouvelle résidence au coeur du quartier Les Promenades d'Éole à Saran ! OFFRE DE LANCEMENT : Pack cuisine Exia offert pour les 5 premières ventes !* NOUVEAU!! Idéalement situé, à 5..."
25HUKVU3843V,2025-11-20T11:44:00Z,Orléans,Bannier-Coligny,45000,BUY,HOUSE,546000.0,148.0,7,4,"Jolie maison de ville bourgeoise de 148 m² habitables avec jardin , idéalement située proche place Dunois. Distribuée sur trois niveaux, la maison offre une organisation particulièrement fonctionnell..."
24T2X4YK73AG,2024-04-25T17:25:00Z,Orléans,Argonne-Champ Chardon-Fontaine-Nécotin,45000,BUY,APARTMENT,204000.0,58.95,3,2,"Choisissez l'appartement qui vous ressemble à partir de 160 000 euros et devenez propriétaire ! Idéal pour HABITER, profitez du Prêt à Taux 0 et de la TVA à 5,5% (sous conditions d'éligibilité). Prix..."
25F44Q7UY4KY,2025-11-27T11:27:00Z,Orléans,Bannier-Coligny,45000,BUY,APARTMENT,229000.0,80.0,3,2,"ORLEANS, proche médiathèque, boulevard Rocheplatte, bel appartement de 80 m², une vue imprenable et dégagée avec balcon plein sud. Il offre une atmosphère moderne et chaleureuse. Baigné de lumière gr..."
25G6GQS5YAUM,2025-11-24T12:40:00Z,Orléans,Bannier-Coligny,45000,BUY,HOUSE,807000.0,150.0,6,4,"ORLEANS Dunois, EXCEPTIONNEL, Rue Chanzy, très belle maison bourgeoise avec jardin, rénovée dans le respect de l'ancien, dans un esprit résolument contemporain offrant de beaux volumes et de très bel..."
25JFN7PQXVAN,2025-09-05T07:24:00Z,Orléans,Bourgogne-Châtelet,45000,BUY,APARTMENT,225000.0,105.0,4,2,"RARE à la vente et uniquement chez Corinne LASSERRE. ORLEANS HYPER CENTRE, Excellent rapport qualité/prix pour cet appartement en duplex, idéalement situé, proche des lieux de vie de la ville d'Orléa..."
25TGTQIWCJ59,2025-11-27T16:04:00Z,Orléans,Martroi-Cathédrale,45000,BUY,APARTMENT,315000.0,90.0,3,2,"ORLEANS, rue de la République, exceptionnel , très bel appartement bourgeois de 90 m², baigné de lumière, rénové dans le respect de l 'ancien : long balcon fuyant orienté est et sud , superbe vue sur..."
255LBG7GV4GD,2025-11-24T21:35:00Z,Orléans,Carmes Sud,45000,BUY,APARTMENT,349000.0,103.0,4,3,"Orléans centre, Rue Royale, Bel appartement à vendre de 103 m², idéalement situé : rue Emblématique d Orléans avec ses jolies arcades. Au premier étage d'une petite copropriété en cœur de ville. Appa..."
234VHMJXF18S,2023-04-14T08:48:00Z,Orleans,Beaumont-Vauquois,45000,BUY,APARTMENT,399900.0,94.18,4,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Appartements jusqu'au 5 pièces, remise des clés au 4ème trimestr..."
24AXQ8GGRW3L,2024-04-08T16:10:00Z,La Chapelle Saint-Mesmin,Est,45380,BUY,APARTMENT,119000.0,24.15,1,,Découvrez nos prestations en visitant l'appartement témoin décoré ! Baisse de prix + offres exceptionnelles !! * - Nouvelle baisse de prix - Frais de notaire offerts - Cuisine aménagée et équipée off...
25J2GH8RMYB6,2025-11-24T18:54:00Z,Orléans,Bourgogne-Châtelet,45000,BUY,HOUSE,795000.0,182.0,6,4,"Orléans, quartier St Aignan, jolie maison de ville à vendre, singulière et atypique, édifiée en 1947 pour Louis-Joseph Soulas : un lieu de vie unique: l'histoire, l'art et l'architecture pour séduire..."
259EITLZA3KV,2025-09-25T17:50:00Z,Orléans,Carmes Sud,45000,BUY,APARTMENT,790000.0,188.0,6,3,"Magnifique appartement loft, en hyper centre, situé dans une copropriété sécurisée et résidentielle, à deux pas des bords de Loire. Issu de la réhabilitation d'un ancien atelier, il conjugue esprit i..."
23QWBJY9R4X2,2023-04-14T08:48:00Z,Orleans,Beaumont-Vauquois,45000,BUY,APARTMENT,799900.0,139.04,5,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Appartements jusqu'au 5 pièces, remise des clés au 4ème trimestr..."
25UM3TF5XEFT,2025-10-25T09:18:00Z,Orléans,Martroi-Cathédrale,45000,BUY,APARTMENT,339000.0,75.0,3,2,"Orléans proche Mairie, tres bel appartement à vendre, entièrement rénové en 2022 dans le respect de l 'ancien et aux couleurs actuelles : de belles prestations alliant le confort moderne et charme de..."
24I5FHAHMQ6H,2023-10-05T13:16:00Z,La Chapelle Saint-Mesmin,Est,45380,BUY,APARTMENT,209000.0,63.1,3,2,Découvrez nos prestations en visitant l'appartement témoin décoré ! Baisse de prix + offres exceptionnelles !! * - Nouvelle baisse de prix - Frais de notaire offerts - Cuisine aménagée et équipée off...
259VVS24LZMT,2025-09-03T00:00:00Z,Orléans,,45000,BUY,HOUSE,1850000.0,380.0,11,6,"Olivet, bord du Loiret, propriété d'exception à acheter, nichée dans un cadre idyllique et préservé où l'élégance intemporelle rencontre le confort moderne. Anciennement connue sous le nom de Château..."
25FZZXBGSRVB,2025-10-31T21:42:00Z,Orleans,Fiacre-Chenault,45100,BUY,APARTMENT,224000.0,76.0,4,3,"Quartier Saint-Marceau, à moins de 250 m du pont Royal d'Orléans, découvrez cet appartement T4 de 76 m² offrant une belle vue sur la Loire. Situé au 1 €? étage d'une petite copropriété bien entretenu..."
258E21UBWVU7,2025-10-08T00:04:00Z,Saint-Jean-de-Braye,Picardière-Bionne-Roche,45800,BUY,APARTMENT,275600.0,91.0,4,3,"St Jean de Braye, proche Orleans , bel appartement d'architecte de 92 m², de belles prestations et de beaux volumes baignés de lumière. L'appartement conjugue avec élégance le cachet historique du li..."
254A16GUVTWC,2025-09-25T13:12:00Z,Orleans,Bannier-Coligny,45000,BUY,APARTMENT,152900.0,59.0,3,2,"Venez découvrir cet appartement T3 dans un immeuble construit en 2008 avec balcon et parking Situé au premier étage, il est constitué d'une entrée avec placard, d'un salon séjour donnant sur balcon, ..."
2411YX57DB4H,2024-04-25T12:35:00Z,Orleans,Cigogne,45100,BUY,APARTMENT,259900.0,54.09,3,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Démarrage des travaux imminent ! Votre future adresse d'exceptio...
25H3LM9KES23,2025-10-28T20:09:00Z,Vennecy,,45760,BUY,HOUSE,505000.0,204.0,6,4,"Vennecy, proche Orléans, jolie propriété nichée au cœur d'un beau parc arboré et paysagé de 3189 m² à l'esprit bucolique. La propriété marie avec raffinement le cachet et l élégance de la maison de M..."
257N45BAV3WZ,2025-09-26T22:44:00Z,Orléans,Martroi-Cathédrale,45000,BUY,HOUSE,945000.0,365.0,12,6,"Orléans Centre, très bel hôtel particulier du XIX ème, idéalement situé en plein cœur d'Orléans. Beaucoup de charme et de cachet, les éléments d'époque sont préservés : jolie façade en pierre de tail..."
24G5NMGN9IZI,2024-12-04T15:17:00Z,St Jean de la Ruelle,Sud Petite Espere,45140,BUY,APARTMENT,279000.0,67.81,3,,"DEVENEZ PROPRIETAIRE PROCHE DE L'HYPERCENTRE D'ORLEANS ! Face à la Loire et à 8 min de l'hypercentre d'Orléans, devenez propriétaire votre appartement neuf 3 ou 5 pièces situé le long des berges. A c..."
24E7LVCYGQRK,2024-03-28T13:40:00Z,St Jean de Braye,Mermoz Clos du Hameau-Vieux Bourg,45800,BUY,APARTMENT,229900.0,64.32,3,,"Appartements 2 et 3 pièces encore disponibles ! Appartements prêts à louer, avec une cuisine déjà installée. Ces logements sont prêts à être loués, avec une cuisine déjà installée. Chaque appartement..."
24NM9TSXFDRJ,2024-12-16T11:03:00Z,Orléans,Bannier-Coligny,45000,BUY,APARTMENT,299000.0,60.0,3,2,"Découvrez le charme unique d'Orléans, une ville vibrante traversée par la Loire, où patrimoine historique et dynamisme moderne se rencontrent. Offrant un cadre de vie exceptionnel, cette cité convivi..."
255KKB3XS7YB,2025-05-15T09:59:00Z,Vienne-en-Val,,45510,BUY,PROJECT,193989.0,,5,3,"Maisons Le Masson vous propose de réaliser cette belle maison de plain-pied de plus de 75 m² habitables avec trois chambres, ainsi que son garage intégré. Ce modèle particulièrement adapté aux jeunes..."
25FY7HSJ2646,2025-05-14T19:38:00Z,Vienne-en-Val,,45510,BUY,PROJECT,199917.0,,5,3,"Maisons Le Masson vous propose ce projet de construction sur la commune de Vienne en Val composé d'une maison de 105 m² utiles et de ses trois chambres. Au rez-de-chaussée, un très bel espace de vie ..."
25MX49EXZ6AA,2025-04-11T16:02:00Z,Poilly-Lez-Gien,,45500,BUY,PROJECT,173969.0,,5,3,"Maisons Le Masson vous propose de réaliser cette belle maison de plain-pied de plus de 83 m² habitables avec trois chambres, ainsi que son garage intégré. Ce modèle particulièrement adapté aux jeunes..."
25GT47GL228Z,2025-10-02T13:32:00Z,Orleans,Bourgogne-Pasteur,45000,BUY,APARTMENT,118800.0,56.0,3,2,"EXCLUSIVITE ! Proximité immédiate des commerces, écoles et transports, appartement lumineux de 56 m² dans une résidence entretenue avec ascenseur, ravalement à venir payé par le vendeur. Pas de trava..."
251WBNJ6M9F1,2025-09-20T02:39:00Z,Sermaises,,45300,BUY,PROJECT,223500.0,,7,4,"A SERMAISES sur un terrain de 491 m², Maisons Clairval vous propose de réaliser cette maison neuve d'une surface de 100 m² habitables avec 4 chambres. Informations du terrain : — Les maisons CLAIRVAL..."
25CQ75UCH8W6,2025-07-04T16:26:00Z,Viglain,,45600,BUY,PROJECT,154961.0,,4,2,Maisons Le Masson vous propose de réaliser cette charmante maison de plain-pied de 70 m² habitables avec deux chambres. Ce modèle particulièrement adapté aux jeunes couples saura vous séduire par la ...
252RYDZCSEX2,2025-06-14T08:37:00Z,Orleans,Cigogne,45100,BUY,APARTMENT,449900.0,81.15,4,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Démarrage des travaux imminent ! Votre future adresse d'exceptio...
25RK8E8IK1A9,2023-09-01T09:06:00Z,St Jean de la Ruelle,Grand Centre Ville,45140,BUY,APARTMENT,143200.0,28.45,1,,"Venez découvrir notre programme immobilier sur place : visitez le site, consultez les plans en exclusivité et échangez avec notre conseiller commercial. TRAVAUX EN COURS - LANCEMENT DE LA DEUXIÈME TR..."
25P2FECPM5RU,2025-08-27T16:14:00Z,Auxy,,45340,BUY,HOUSE,1100000.0,535.0,20,8,"A seulement 100km de Paris, à la frontière de la Seine et Marne, dans un petit village du Loiret, au coeur d'un parc de plus de 3 hectares, cette propriété de l'époque Directoire développe 465m² de s..."
25B59J5E9JM5,2025-10-07T10:03:00Z,Montargis,Saint Dominique-Forêt,45200,BUY,HOUSE,690000.0,314.0,11,6,"Au coeur de Montargis, cette maison d'architecte inspirée des travaux de Le Corbusier, construite en 1929 et rénovée dans un style contemporain haut de gamme conjugue avec élégance architecture moder..."
252D4Q4Q5FBS,2025-03-29T00:13:00Z,St Jean de la Ruelle,Grand Centre Ville,45140,BUY,APARTMENT,171600.0,39.64,2,,"Venez découvrir notre programme immobilier sur place : visitez le site, consultez les plans en exclusivité et échangez avec notre conseiller commercial. TRAVAUX EN COURS - LANCEMENT DE LA DEUXIÈME TR..."
254164PE1XF7,2025-09-30T23:35:00Z,Orléans,Cigogne,45100,BUY,HOUSE,785000.0,284.0,9,6,"Orléans Sud St Marceau, jolie maison des années 60 repensée et agrandie en 2008 :un style contemporain design et lumineux au caractère unique, de beaux et grands volumes résolument ouvert sur un magn..."
