id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25AMA7IGVHJ7,2025-11-15T19:46:00Z,Salviac,,46340,BUY,HOUSE,349800,135.0,3,2,"L'agence IMMO46 Prayssac vous propose à la vente cette grange entièrement rénovée avec goût., d'une superficie de 135m² habitables sur 2 niveaux, Elle dispose, en rez-de-chaussée, d'une cuisine entiè..."
25HZQ653DEPF,2025-11-17T13:22:00Z,Boissières,,46150,BUY,HOUSE,266250,153.0,1,5,"Maison 153 m² 5 chambres, jardin, garage et piscine. Maison d'architecte à Boissières, 153 m² habitables, 5 chambres, terrain 8 800 m², garage et piscine Sur les hauteurs de Boissières, cette maison ..."
25IN9MR7AG6T,2025-10-22T18:45:00Z,Labastide du Vert,,46150,BUY,HOUSE,212000,105.1,,2,"L?agence IMMO46 vous propose à seulement 5 minutes de Prayssac, villages tous commerces et commodités, cette charmante maison en pierre. Entièrement rénovée, vous serez séduits par son charme, sa vue..."
25HL72DVPCNN,2025-09-02T16:35:00Z,Gignac,,46600,BUY,PROJECT,375680,,4,3,"Sur ce terrain, nous vous proposons cette maison neuve : le modèle Domme, parfait pour vous qui aimez la tradition périgourdine. Vous rêvez d'une magnifique maison typique du Périgord ? Ce modèle va ..."
25HM5UW23SJQ,2025-09-01T18:47:00Z,Prayssac,,46220,BUY,HOUSE,565000,278.01,10,6,"L'agence IMMO46 Prayssac vous propose à la vente cette propriété des années 70 en parfait état d'entretien, d'une superficie de 280m² habitables, implantée sur un parc arboré de 2 895m². Située à seu..."
25DNYNL32GF9,2025-10-02T18:48:00Z,Anglars Juillac,,46140,BUY,HOUSE,249100,147.6,4,3,"L?agence IMMO46 Prayssac vous propose à la vente en exclusivité cette maison rénovée comptant près de 150m² habitables, sur un sous-sol total. Située sur une parcelle de terrain de 1200m² close, vous..."
247JCKZCPS5E,2024-03-02T19:46:00Z,Luzech,,46140,BUY,HOUSE,369000,194.12,6,5,"L'agence IMMO46 a le plaisir de vous proposer à la vente cette maison entièrement rénovée d'environ 195m² habitables, et composée de la manière suivante : En rez-de-jardin : un local technique, une c..."
25N9RJ9DA5GH,2025-10-08T18:48:00Z,Catus,,46150,BUY,HOUSE,264000,144.52,7,4,"L'agence IMMO46 Prayssac vous propose à la vente cet ensemble immobilier composé d'une maison 6pièces de 115m² habitables environ, d'une dépendance de 30m² habitable pouvant faire office de gîte ou c..."
25Z3T9CYHXPU,2025-03-20T19:51:00Z,Gramat,,46500,BUY,HOUSE,425250,150.0,6,5,L'agence IMMO46 vous propose à la vente cette magnifique propriété de 150 m² rénovée avec des matériaux de qualité à 10 minutes de Rocamadour. Vous trouverez au rez-de-chaussée une grande pièce de vi...
256C99BYMUT8,2025-07-02T18:46:00Z,Prayssac,,46220,BUY,HOUSE,349800,153.0,5,2,"L'agence IMMO46 Prayssac vous propose à la vente cette maison en pierre de 153m² habitables sur 2 niveaux. Située dans un environnement exceptionnel, non loin du centre de PRAYSSAC, et sur un terrain..."
257USQS2TIGL,2025-09-04T18:46:00Z,Carennac,,46110,BUY,HOUSE,307400,144.0,10,6,"L'agence IMMO46 vous propose à la vente cette maison de famille située en plein c?ur de Carennac, classé parmi les plus beaux villages de France. Premier étage, entièrement rénové en 2019 et 2020, ce..."
25DE2IZ8MLYL,2025-03-14T19:50:00Z,Gramat,,46500,BUY,HOUSE,348740,143.99,12,4,"L'agence IMMO46 vous propose à la vente cette maison neuve , située sur un vaste terrain de 2 000 m² à 5 minutes de Gramat Avec une surface habitable de 144 m², cette maison contemporaine spacieuse o..."
