id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25NE9P6XB9RM,2025-09-24T11:22:00Z,Casteljaloux,,47700,BUY,HOUSE,449000.0,154.0,5,3,"Idéalement située entre Casteljaloux et Marmande, et à 1h de Bordeaux, nichée dans un cadre paisible et verdoyant, cette propriété offre un art de vivre unique où nature et bien-être se conjuguent. S..."
25V8L1LIPBJ5,2025-09-19T17:11:00Z,Agen,,47000,BUY,HOUSE,1490000.0,885.0,22,15,"BAISSE DE PRIX pour ce magnifique Domaine ! À l'entrée, une imposante grille en fer forgé, une longue allée permettant une tranquillité absolue, donnent accès à cette propriété. Dominant la vallée et..."
25QYDGS7RMB4,2025-10-09T17:57:00Z,Meilhan-sur-Garonne,,47180,BUY,HOUSE,263750.0,227.0,7,4,"Située à Meilhan sur Garonne, environnement calme pour cette Girondine d'environ 230 m² habitables. Depuis la grande allée, vous découvrez le jardin d'environ 7 300 m² et son verger parfaitement entr..."
2521M38J3V23,2025-07-22T18:41:00Z,Astaffort,,47220,BUY,HOUSE,88000.0,178.0,7,2,"Située au cœur du village d'Astaffort, cette maison en pierre de 178 m² offre un beau potentiel pour un projet familial ou locatif. Vous apprécierez la proximité immédiate des commerces, des écoles e..."
252FHWSLQZ68,2025-07-03T12:19:00Z,Miramont-de-Guyenne,,47800,BUY,HOUSE,125000.0,150.0,5,4,"Transaxia immobilier vous présente cette maison de ville restaurée, très bien entretenue, proche de toutes les commodités à pied. Au rez-de chaussée : grand séjour/salon lumineux, cuisine aménagée, c..."
257SZFKG3ARX,2025-10-13T12:19:00Z,Saint-Sernin,,47120,BUY,PROJECT,136442.0,,4,3,"À Saint-Sernin, joli terrain de 766 m² proposé à 18 834 EUR, idéal pour un premier projet de construction. Situé dans un environnement calme, il offre le charme d'un petit village entouré de nature e..."
257WTD1F52QP,2025-10-17T02:25:00Z,Villeneuve-sur-Lot,Sainte Catherine,47300,BUY,APARTMENT,240780.0,63.07,3,,"Découvrez la nouvelle résidence services seniors Nexity à Villeneuve sur Lot, en partenariat avec Domitys, le gestionnaire leader sur ce marché. Un emplacement idéal pour investir en toute sérénité s..."
25D3C9Q9PQKT,2025-04-28T11:54:00Z,Miramont-de-Guyenne,,47800,BUY,HOUSE,70000.0,60.0,3,2,"**SOUS OFFRE ACCEPTÉE - le bien n'est plus disponible à la visite** Transaxia immobilier vous propose, au coeur de la bastide de Miramont et à deux pas des commodités, cette maison entièrement restau..."
25V3CNRKTZPW,2025-10-21T16:59:00Z,Saumont,,47600,BUY,HOUSE,790000.0,300.0,11,8,"Sud Ouest - Lot et Garonne entre Agen et Nérac, bel ensemble en pierre comprenant une maison d'habitation d'environ 300m² et ses dépendances. Une rénovation de qualité a permis de rendre les lieux co..."
25V7X63R1ZBD,2025-11-03T18:24:00Z,Nérac,,47600,BUY,HOUSE,495000.0,280.0,8,4,"Sud Ouest, Lot et Garonne au centre de Nérac. Élégante demeure du 16 ième siècle ayant conservé ses attributs historiques comme les boiseries, parquets et cheminées. Les pièces lumineuses sont répart..."
254JP5DL3IY7,2025-11-03T18:24:00Z,Clermont-Dessous,,47130,BUY,HOUSE,680000.0,390.0,11,6,"Lot et Garonne, à l'ouest d'Agen dans un village pittoresque, cet ancien prieuré est devenu une confortable maison de famille. les propriétaires actuels ont su révéler le meilleur des lieux en faisan..."
25Q4591T1VXE,2025-09-05T14:10:00Z,Allemans-du-Dropt,,47800,BUY,HOUSE,145000.0,100.0,5,3,"PROCHE DE BERGERAC En vente : KW TRIANON vous propose cette maison de 5 pièces de 100 m² à ALLEMANS DU DROPT (47800). La maison propose trois chambres, salon, salle à manger, une cuisine aménagée équ..."
25979V824AW9,2025-03-08T18:07:00Z,Astaffort,,47220,BUY,HOUSE,297000.0,130.0,5,3,"Vous aimez la belle pierre, le calme, le confort moderne ; c'est ce que vous propose cette maison de plain-pied de 130 m2. Sa pièce de vie lumineuse de 50 m², climatisée, s'ouvre sur une cuisine équi..."
25YW563R8FF1,2025-10-10T12:34:00Z,Cocumont,,47250,BUY,HOUSE,193000.0,230.0,6,5,"A VENDRE - 47250 COCUMONT - MAISON EN PIERRE DE TYPE 6 D'ENVIRON 230 M² AVEC DEPENDANCES, BATIE SUR UN TERRAIN DE PLUS DE 7500 M². Elle se compose d'une entrée, d'une cuisine équipée séparée de 23 m²..."
2518Z232TP62,2025-10-23T23:14:00Z,Condezaygues,,47500,BUY,HOUSE,215000.0,105.0,5,3,"EXCLUSIVITÉ Authentique propriété en pierre au cœur de la campagne Laissez-vous séduire par cette charmante propriété en pierre, véritable havre de paix niché au cœur d'un cadre verdoyant et paisible..."
25MR68Q1FWE8,2025-09-04T23:53:00Z,Le Mas-d'Agenais,,47430,BUY,HOUSE,650000.0,644.0,25,9,"La Belle Image – un voyage au cœur de l'histoire Il est des demeures qui ne se visitent pas seulement, mais qui se vivent. La Belle Image en fait partie. Érigée au début du dix-septième siècle, sur l..."
25FZSMZ1SUP1,2025-06-23T08:09:00Z,Villeréal,,47210,BUY,HOUSE,1895000.0,535.6,18,12,"EXCLUSIF À CHRISTIE'S INTERNATIONAL REAL ESTATE : Niché dans l'une des plus belles régions de la Nouvelle-Aquitaine, ce Domaine dispose de cinq maisons indépendantes, d'un pigeonnier architectural in..."
253KYACRR4TY,2025-07-04T00:48:00Z,Agen,,47000,BUY,HOUSE,407000.0,162.0,7,5,"Maison de charme en hyper-centre d'Agen 5 chambres Terrasse 3 niveaux Située en plein cœur d'Agen, cette maison de ville de caractère vous séduira par son emplacement idéal, ses volumes généreux et s..."
25RX5QTHPD34,2025-09-25T15:57:00Z,Seyches,,47350,BUY,HOUSE,208000.0,175.0,6,5,"SEYCHES, Ana Immo vous présente cette maison familiale, en pierre, proposant des prestations soignées au coeur de la ville. Située à proximité immédiate du centre et des services de proximité, cette ..."
24RB3D6FDGIY,2024-12-24T03:58:00Z,Duras,,47120,BUY,HOUSE,685000.0,199.6,6,3,"EXCLUSIF À MAXWELL BAYNES CHRISTIE'S INTERNATIONAL REAL ESTATE Nichée au bout d'une charmante impasse, cette propriété exceptionnelle est une découverte rare. Construite à l'origine en 1790, ce charm..."
25IN6YIPY358,2025-11-22T21:35:00Z,Le Mas d Agenais,,47430,BUY,HOUSE,85000.0,114.0,4,2,"Située au coeur du centre ville du Mas d'Agenais 47430, maison de ville mitoyenne d'un côté comprenant au rez-de-chaussée cuisine, salon-séjour, cellier, salle de bains et WC, et au premier étage, de..."
2574GDWCCHAZ,2025-06-09T09:16:00Z,Agen,,47000,BUY,HOUSE,1554000.0,642.79,16,9,"EXCLUSIVEMENT chez CHRISTIE'S INTERNATIONAL REAL ESTATE Découvrez deux maisons élégantes et modernes ainsi qu'un studio indépendant niché sur une colline pittoresque, offrant une vue imprenable sur l..."
25TTL1NSIJ3E,2025-10-30T23:11:00Z,Fumel,,47500,BUY,APARTMENT,50000.0,64.0,4,2,"EXCLUSIVITÉ Appartement T3 traversant avec deux balcons et garage Dans une résidence , découvrez cet agréable appartement de type T3 de 64 m², situé au 4ème étage avec ascenseur. Il se compose comme ..."
252FN1EWZUV6,2025-10-22T22:41:00Z,Montayral,,47500,BUY,HOUSE,140000.0,105.0,5,3,"À vendre : Maison semi-enterrée en exclusivité à Montayral Découvrez cette charmante maison semi-enterrée de 105 m², située sur un terrain de 612 m². Ce bien immobilier comprend : Un salon-séjour spa..."
24ED4LTIHCJA,2024-08-30T10:25:00Z,Fumel,,47500,BUY,HOUSE,202000.0,260.0,12,9,"EXCLUSIVITÉ : Cette grande maison de ville entièrement restaurée, se situe dans le centre de FUMEL Elle vous offre un hall d'entrée, desservant cuisine équipée ouverte sur séjour / salle à manger, dé..."
25I193AK88TQ,2025-06-24T23:02:00Z,Marmande,,47200,BUY,HOUSE,117700.0,135.0,4,3,"Plein coeur de Marmande, cette maison de ville à rafraichir offre de très beaux volumes avec en rez de chaussée un salon/séjour, une cuisine donnant sur une agréable cour exterieure sans vis à vis, d..."
25W1JNSCQQJU,2025-10-10T07:25:00Z,Agen,École maternelle Sentini,47000,BUY,HOUSE,785000.0,177.59,5,3,"EXCLUSIF : MAXWELL BAYNES REAL ESTATE: La vieille ferme et ses granges sont situées au cœur de 35 hectares de terrain, comprenant dix arbres de truffes, une forêt et un charmant lac. Le lac, d'enviro..."
25MQTITYBQER,2025-09-29T15:45:00Z,Agen,École Paul Bert-Lycée Bernard Palissy,47000,BUY,HOUSE,1680000.0,955.0,23,14,"Un charmant ensemble de QUATRE propriétés, comprenant une maison en pierre datant du XVIIIe siècle, avec une maison de gardien et des granges, un studio en pierre & une cuisine d'été donnant sur la p..."
25P6SJC3NTPU,2025-09-25T15:56:00Z,Lévignac-de-Guyenne,,47120,BUY,HOUSE,128500.0,126.0,4,2,ON ADORE ! LEVIGNAC DE GUYENNE CENTRE HISTORIQUE. Ana Immo vous propose cette belle et très ancienne bâtisse en pierre a deux pas de la place de la Halle. Ce bien offre 126 m² habitables et propose d...
24LXGBI6VAV4,2024-08-30T09:22:00Z,Fumel,,47500,BUY,HOUSE,224000.0,145.0,6,3,"DE BELLES PRESTATIONS VOUS SONT PROPOSEES POUR CETTE VILLA CONTEMPORAINE CONSTRUCTION 2008 DE 145 M² HABITABLE AVEC TOUT LE CONFORT. 3 CHAMBRES, SALON SALLE A MANGER DE 33 M² , CUISINE EQUIPEE DE 15 ..."
25G7VI6AGPMR,2025-08-27T08:47:00Z,Agen,,47000,BUY,HOUSE,776000.0,533.0,15,6,"Situé à distance de marche d'une boulangerie, ce élégant manoir bourgeois du XVIe et XVIIIe siècle est niché dans un petit village dynamique le long de la rivière Lot. Il offre une opportunité unique..."
