id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25MLNCU112II,2025-10-22T23:46:00Z,Châteauneuf-de-Randon,,48170,BUY,HOUSE,549000,404.0,16,11,"Idéalement située au coeur de la Margeride, venez découvrir cette charmante maison en pierre, à Châteauneuf-de-Randon, village de Lozère apprécié pour son cadre de vie unique et préservé. Cette demeu..."
25KQULM9VTDD,2025-10-08T19:53:00Z,Grandrieu,,48600,BUY,HOUSE,591000,700.0,12,11,château médiéval restauré vendu entièrement meublé 500 m² habitables plus 200 m² de dépendances Vivez le rêve médiéval dans cette magnifique propriété en plein cœur du Gévaudan et de la très prisée r...
25Y6I9YNUUCH,2025-10-22T23:46:00Z,Marvejols,Nord Est,48100,BUY,HOUSE,699000,274.0,9,7,"Idéalement située entre l'Aubrac et la Margeride, venez découvrir cette propriété d'exception à Marvejols, ville de Lozère disposant d'un cadre de vie privilégié. Cette demeure de charme de 274 m2 s'..."
255JC7GZ1KTC,2025-02-13T01:54:00Z,Langogne,,48300,BUY,HOUSE,120000,115.0,6,4,"À Vendre : Maison de Bourg avec Terrain et Dépendances à Langogne Au cœur de Langogne, cette maison de bourg mitoyenne de 115 m² habitables, répartie sur 4 niveaux vous invite à réaliser un projet un..."
24AM7F6LFT1Z,2024-09-09T20:14:00Z,Monts-de-Randon,,48700,BUY,HOUSE,165000,178.0,10,4,"En plein cœur de la Margeride en Lozère (48) Ensemble immobilier de 1850 composé de 3 maisons en pierres de granit attenantes dont 2 communicantes tout en restant indépendantes , Implantées sur plus ..."
25KZDE9A783D,2025-11-28T09:49:00Z,Mende,Centre Ville,48000,BUY,APARTMENT,150000,120.0,6,3,"À vendre : ensemble de trois studios meublés, déjà loués, au dernier étage d'une petite copropriété. Situés au 3 € et dernier étage, ces trois appartements bénéficient d'un historique locatif irrépro..."
25MNQ4UE47TX,2025-11-29T15:00:00Z,Marvejols,Sud Ouest,48100,BUY,HOUSE,335000,282.0,7,6,"IDEAL AMOUREUX DE CALME - Emplacement privilégié - En position dominante. Dans un cadre idyllique et paisible, laissez-vous séduire par cette superbe propriété, une villa principale conçue par un arc..."
25DVX5G47I6T,2025-11-10T19:04:00Z,Bédouès,,48400,BUY,HOUSE,895000,415.0,16,8,"iad France - Gilles BOURGINE vous propose : Situé sur les hauteurs de Bédouès-Cocurès, au cOEur d'un environnement naturel préservé, ce manoir d'origine médiévale inscrit aux Monuments Historiques do..."
256WSPBJ5YJ5,2025-11-14T21:18:00Z,Le Malzieu-Forain,,48140,BUY,HOUSE,295000,121.0,4,3,"iad France - Angélique Bouard vous propose: Maison récente d'environ 121 m² – Vue panoramique & grand confort – 48200 Le Malzieu-Forain Située dans un petit village calme et agréable, cette maison ré..."
25YCZ57RTFYF,2025-10-20T07:41:00Z,Montrodat,,48100,BUY,HOUSE,415000,180.0,7,6,"iad France - Jihane Rahmani vous propose: **Magnifique Maison de 180m² à Montrodat - Charme et Espace au Rendez-vous** Splendide maison individuelle située à Montrodat, offrant une vue imprenable sur..."
25IMT4Y1FCI4,2025-09-12T20:19:00Z,Le Collet de Deze,,48160,BUY,HOUSE,195000,143.0,6,5,iad France - Fabien Dillenschneider vous propose: Charmante Maison Traditionnelle de 143m² sur un Vaste Terrain de 457m² à LE COLLET DE DEZE Offrez-vous un véritable havre de paix dans les Cévennes a...
25EQANLKJL9E,2025-09-12T13:12:00Z,Mende,Nord-Rieucros,48000,BUY,HOUSE,345000,150.0,4,3,"iad France - Anne-Lise Raynaud vous propose: 'SOUS OFFRE' Découvrez ce bien rare sur les hauteurs de Mende qui conjugue à la fois confort d'habitation et annexes focntionnelles, idéal pour collection..."
25DPIFKMLHS4,2025-09-07T10:12:00Z,Serverette,,48700,BUY,HOUSE,220000,210.0,5,4,"iad France - Angélique Bouard vous propose: Maison atypique coeur de village à Serverette(48700), vue sur rivière et parc, avec puit. Maison de caractère en pierre, au charme authentique au coeur du ..."
