id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
249JKAALD8R2,2024-02-16T19:32:00Z,Trelaze,Goducière-Maraichère,49800,BUY,APARTMENT,179000.0,43.98,2,1,"Profitez d'un prix attractif en investissant sur la résidence ATELIER LUCINA, et assurez-vous une RENTABILITE LOCATIVE en choisissant le statut LMNP. Demandez des informations et une étude personnali..."
2592ILMVQRF6,2025-06-20T10:24:00Z,Avrille,Centre Ville,49240,BUY,APARTMENT,179000.0,41.84,2,,Propriétaire de votre 3 pièces à partir de 589E -mois + Vos frais de notaire offerts jusqu'à 70 000* (offre cumulable avec le PTZ de l'état) TRAVAUX EN COURS PRIX MAITRISES ATTRACTIFS. IDÉAL PRIMO-AC...
25FYEIM3HB45,2025-10-22T10:20:00Z,Avrille,Centre Ville,49240,BUY,APARTMENT,215100.0,58.58,3,,Propriétaire de votre 3 pièces à partir de 589E -mois + Vos frais de notaire offerts jusqu'à 70 000* (offre cumulable avec le PTZ de l'état) TRAVAUX EN COURS PRIX MAITRISES ATTRACTIFS. IDÉAL PRIMO-AC...
254QF2HB364H,2024-10-25T16:02:00Z,Angers,Saint Serge-Ney-Chalouère,49100,BUY,APARTMENT,261800.0,84.0,4,3,"Hissez les voiles dans un quartier résidentiel et dynamique ! À proximité du Parc Desjardins, la résidence l'Hermione prendra place dans un environnement qui a connu au fil des années une transformat..."
25LKH5LQXFK6,2025-09-17T10:23:00Z,Angers,Hauts de Saint Aubin,49100,BUY,APARTMENT,130712.0,22.11,1,,"Vivez à Angers, cité d'histoire et d'innovation, où les bords de Loire verdoyants croisent des rues charmantes, des musées vivants, des universités attractives et une vie culturelle riche. À quelques..."
25HLI3MVPTI7,2025-09-17T10:23:00Z,Angers,Hauts de Saint Aubin,49100,BUY,APARTMENT,210114.0,33.91,2,1,"Vivez à Angers, cité d'histoire et d'innovation, où les bords de Loire verdoyants croisent des rues charmantes, des musées vivants, des universités attractives et une vie culturelle riche. À quelques..."
244D9N4SX1ZR,2024-04-05T05:12:00Z,Angers,Centre,49000,BUY,APARTMENT,192000.0,30.01,1,,"[ - UNE ADRESSE DE PRESTIGE - ] // ANGERS – Situé au cœur du centre historique d'Angers, découvrez LE CINQ FOCH, un programme immobilier neuf offrant des appartements uniques. Cette résidence propose..."
24GBTTUDXBTU,2024-04-05T05:12:00Z,Angers,Centre,49000,BUY,APARTMENT,355000.0,58.2,3,,"[ - UNE ADRESSE DE PRESTIGE - ] // ANGERS – Situé au cœur du centre historique d'Angers, découvrez LE CINQ FOCH, un programme immobilier neuf offrant des appartements uniques. Cette résidence propose..."
24X3SYFT5SRR,2024-04-05T05:12:00Z,Angers,Centre,49000,BUY,APARTMENT,250000.0,41.55,2,,"[ - UNE ADRESSE DE PRESTIGE - ] // ANGERS – Situé au cœur du centre historique d'Angers, découvrez LE CINQ FOCH, un programme immobilier neuf offrant des appartements uniques. Cette résidence propose..."
25V3YK6QBHNT,2025-04-09T14:08:00Z,Angers,Hauts de Saint Aubin,49100,BUY,APARTMENT,170500.0,46.0,2,1,"NOUVEAU à Angers ! Arcadia, 30 appartements au cœur des Capucins Idéalement situé dans la ZAC des Capucins, à Angers, Arcadia est un programme immobilier résolument tourné vers l'avenir. Composé de 3..."
23B4D3CD5JYH,2022-04-08T12:44:00Z,Bouchemaine,Bourg la Pointe,49080,BUY,APARTMENT,369000.0,97.4,4,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. A vendre, appartements 4 pièces avec jardins paysagers et clôtur..."
25418N2WSU9E,2025-10-07T10:29:00Z,Angers,Hauts de Saint Aubin,49000,BUY,APARTMENT,194000.0,40.0,2,,"Vivez Angers autrement – Du T1 au T4 avec espaces extérieurs ! Découvrez une résidence contemporaine au cœur d'Angers (49000), pensée pour ceux qui veulent conjuguer confort, convivialité et qualité ..."
25F6CNDLWBVY,2025-11-27T15:57:00Z,Les Garennes sur Loire,,49610,BUY,HOUSE,779500.0,165.0,5,4,"Une maison neuve, contemporaine, spacieuse et un cadre de vie exceptionnel pour toute la famille, qui sera entièrement finaliser pour la vente avec extérieur clos et paysagé. Située dans l'un des qua..."
25RS86W5BDYJ,2024-10-25T16:02:00Z,Angers,Saint Serge-Ney-Chalouère,49100,BUY,APARTMENT,174000.0,61.0,3,2,"Hissez les voiles dans un quartier résidentiel et dynamique ! À proximité du Parc Desjardins, la résidence l'Hermione prendra place dans un environnement qui a connu au fil des années une transformat..."
241RNTNGXVLN,2024-06-26T14:06:00Z,Angers,Belle Beille,49000,BUY,APARTMENT,225000.0,40.0,2,1,DOMAINE comprend 3 immeubles collectifs soit 45 logements du T1 au T5 répartis sur 2 ou 4 niveaux dont un attique avec places de stationnement privatives en parking souterrain et une place équipée d'...
258GPSBEZG7L,2025-06-08T00:06:00Z,Angers,Hauts de Saint Aubin,49000,BUY,APARTMENT,191000.0,41.0,2,1,"Blüm, située au coeur de la ZAC du Plateau de la Mayenne à la lisière d'Avrillé, dans un quartier en plein essor, se compose de 2 bâtiments en R 2 avec attique, accueillant 54 logements du T1 bis au ..."
255I44MY22Q1,2025-06-17T10:23:00Z,Avrille,Centre Ville,49240,BUY,APARTMENT,275100.0,77.14,4,,Propriétaire de votre 3 pièces à partir de 589E -mois + Vos frais de notaire offerts jusqu'à 70 000* (offre cumulable avec le PTZ de l'état) TRAVAUX EN COURS PRIX MAITRISES ATTRACTIFS. IDÉAL PRIMO-AC...
25G6W3VLRW9Q,2025-04-09T14:08:00Z,Angers,Hauts de Saint Aubin,49100,BUY,APARTMENT,198000.0,55.0,3,2,"NOUVEAU à Angers ! Arcadia, 30 appartements au cœur des Capucins Idéalement situé dans la ZAC des Capucins, à Angers, Arcadia est un programme immobilier résolument tourné vers l'avenir. Composé de 3..."
25HLMEWENDAT,2025-06-08T00:06:00Z,Angers,Hauts de Saint Aubin,49000,BUY,APARTMENT,149000.0,29.0,1,,"Blüm, située au coeur de la ZAC du Plateau de la Mayenne à la lisière d'Avrillé, dans un quartier en plein essor, se compose de 2 bâtiments en R 2 avec attique, accueillant 54 logements du T1 bis au ..."
25LS1PTSUMCL,2024-06-26T14:06:00Z,Angers,Belle Beille,49000,BUY,APARTMENT,163000.0,30.0,1,,DOMAINE comprend 3 immeubles collectifs soit 45 logements du T1 au T5 répartis sur 2 ou 4 niveaux dont un attique avec places de stationnement privatives en parking souterrain et une place équipée d'...
