id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25CTHP1SAN6C,2025-11-21T12:45:00Z,Sainte-Croix-du-Verdon,,04500,BUY,HOUSE,670000,160.0,5,4,"Découvrez cette magnifique maison de grand standing à Sainte-Croix-du-Verdon, entièrement meublée et construite en 2024. Avec une surface habitable de 160 m² répartie sur deux niveaux, cette demeure ..."
259BF583IA7D,2025-11-03T15:54:00Z,Riez,,04500,BUY,HOUSE,139000,74.0,4,2,"Riez, Maison de Village de 74 m² environ, entièrement rénovée avec goût, sur quatre niveaux, avec une cave voutée, comprenant : - En rez-de-chaussée, une salle à manger avec cuisine ouverte de 13 m²...."
259NJFXSASQY,2025-10-14T23:54:00Z,Manosque,Les Chauvinets,04100,BUY,APARTMENT,151000,46.01,2,,"VOTRE 2 PIECES A 151 000 euros en TVA 5.5% avec FRAIS DE NOTAIRE OFFERTS* Manosque, ville emblématique de la Haute-Provence, charme par son authenticité, ses ruelles animées et son ouverture sur le g..."
255SUARVX7LM,2025-11-18T15:52:00Z,Quinson,,04500,BUY,HOUSE,127200,55.0,2,1,"Quinson - Au coeur du village, venez découvrir cette maison de village sur 2 niveaux à l'intérieur rénové ambiance cocooning. Surface 55 m2 comprenant une pièce à vivre avec cuisine ouverte, 1 chambr..."
25VFHHAKHM5D,2025-10-14T23:54:00Z,Manosque,Les Chauvinets,04100,BUY,APARTMENT,203000,63.86,3,,"VOTRE 2 PIECES A 151 000 euros en TVA 5.5% avec FRAIS DE NOTAIRE OFFERTS* Manosque, ville emblématique de la Haute-Provence, charme par son authenticité, ses ruelles animées et son ouverture sur le g..."
25TY7GB4KNMQ,2025-11-04T09:11:00Z,Cruis,,04230,BUY,HOUSE,285000,140.0,7,4,"Au coeur du parc naturel de la Montagne de Lure, cette bâtisse prend racine dans le charmant village de Cruis. Dès l'entrée, le cachet des matériaux traditionnels mêlés à une décoration soignée créen..."
25ASBA168DIU,2025-09-12T11:44:00Z,Pierrevert,,04860,BUY,HOUSE,1090000,250.0,6,4,"Située 35 minutes au nord d'Aix en Provence, dans un charmant village, belle bastide et dépendance de 290 m² habitables au total, en haut d'une colline sur un terrain de 2200 m², avec vue à 360 °. La..."
251IG9LXPQZZ,2025-09-10T10:13:00Z,Gréoux-les-Bains,,04800,BUY,HOUSE,175000,90.0,4,3,"À VENDRE MAISON DE VILLAGE 3 NIVEAUX GRÉOUX-LES-BAINS 185 000 EUR Emplacement idéal au coeur de Gréoux-les-Bains, charmant village thermal très prisé, à deux pas des commerces, écoles et commodités. ..."
25HSNAQJYSPZ,2025-09-20T00:52:00Z,Pierrevert,,04860,BUY,HOUSE,1890000,650.0,15,10,"Authentique ferme du XVème siècle entièrement rénovée avec goût et matériaux haut de qualité. -Au Rez-de-chaussée: une entrée avec un escalier majestueux, deux salons, deux cuisines, une salle à mang..."
25W3X5V27S14,2025-09-12T11:44:00Z,Forcalquier,,04300,BUY,HOUSE,1670000,600.0,15,6,"Moulin entièrement rénové avec SPA Forcalquier - Parc naturel du Luberon. Au cœur d'un parc privé de 7500m2, moulin rénové du XVIIe siècle de 600m2 (400m2 habitables) avec piscine au sel chauffée et ..."
