id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25I9XLW97VZE,2025-01-21T04:55:00Z,Barneville-Carteret,,50270,BUY,APARTMENT,850000.0,114.53,4,,"LIVRAISON 2025 - Vivre au rythme de la mer, au coeur de Barneville-Carteret Une conception technique pensée pour la tranquillité et la fonctionnalité La résidence Horizon propose des appartements du ..."
247226QYU1EN,2023-12-15T13:02:00Z,Barneville-Carteret,,50270,BUY,APARTMENT,650000.0,87.96,3,2,"LIVRAISON 2025 - Vivre au rythme de la mer, au coeur de Barneville-Carteret Une conception technique pensée pour la tranquillité et la fonctionnalité La résidence Horizon propose des appartements du ..."
25WMC81HUFIM,2025-11-21T08:27:00Z,Saint-Martin-de-Bonfossé,,50750,BUY,HOUSE,189000.0,140.0,7,4,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service d'exception. Découvrez une présentation soignée de ce bien : des photos pro, un plan détaillé et une visite virtuelle immersi..."
25TIQXTL6F6X,2025-09-18T18:27:00Z,Barneville-Carteret,,50270,BUY,APARTMENT,175000.0,42.18,2,1,"Entre terre et mer, découvrez notre nouveau domaine à Barneville-Carteret. Dans cette station balnéaire emblématique du Cotentin, célèbre pour son authenticité préservée, tout est accessible à pied o..."
257F7689GUH2,2025-04-02T12:57:00Z,Granville,Agora,50400,BUY,APARTMENT,197000.0,38.3,2,1,"A Granville, devenez propriétaire pour la 1ère fois grâce à Cogedim Access : sans apport, seulement 500€ à la réservation et 0 frais avant d'emménager ! Dans un quartier résidentiel proche du centre,..."
251LBLL14EXS,2025-11-08T19:12:00Z,Barneville-Carteret,,50270,BUY,HOUSE,219000.0,59.55,3,2,"Entre terre et mer, découvrez notre nouveau domaine à Barneville-Carteret. Dans cette station balnéaire emblématique du Cotentin, célèbre pour son authenticité préservée, tout est accessible à pied o..."
255UPIPHPUXE,2025-04-02T12:57:00Z,Granville,Agora,50400,BUY,APARTMENT,166500.0,33.86,1,,"A Granville, devenez propriétaire pour la 1ère fois grâce à Cogedim Access : sans apport, seulement 500€ à la réservation et 0 frais avant d'emménager ! Dans un quartier résidentiel proche du centre,..."
25MRT35ZBDT2,2025-07-31T18:28:00Z,Barneville-Carteret,,50270,BUY,APARTMENT,235000.0,59.84,3,2,"Entre terre et mer, découvrez notre nouveau domaine à Barneville-Carteret. Dans cette station balnéaire emblématique du Cotentin, célèbre pour son authenticité préservée, tout est accessible à pied o..."
253G72FEQDQL,2025-04-02T12:57:00Z,Granville,Agora,50400,BUY,APARTMENT,190000.0,57.17,3,2,"A Granville, devenez propriétaire pour la 1ère fois grâce à Cogedim Access : sans apport, seulement 500€ à la réservation et 0 frais avant d'emménager ! Dans un quartier résidentiel proche du centre,..."
234LJZ6ITFP8,2023-06-02T08:37:00Z,Cherbourg en Cotentin,Hôpital,50100,BUY,APARTMENT,275000.0,61.29,3,,"Un emplacement idéal à deux pas du cœur historique de Cherbourg, découvrez Cap de Saire, une résidence confortable et familiale de 28 appartements neufs du 2 au 4 pièces. Surfaces généreuses, places ..."
