id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
24J35JNKEHYH,2022-06-29T08:12:00Z,Reims,Centre Ville,51100,BUY,APARTMENT,350000.0,67.61,3,2,"La première tranche de la résidence Les Promenades d'Olène est désormais achevée, donnant vie à un ensemble contemporain et cohérent, signé par le Groupe FIC, SPI Promotion et Nacarat. La commerciali..."
23WLZZ89N4TC,2021-09-29T18:58:00Z,Epernay,Centre Est,51200,BUY,APARTMENT,263000.0,63.11,3,2,"PORTES OUVERTES LES SAMEDIS 15, 22, 29 MARS | À l'occasion de la livraison prochaine de la résidence Les Champélites à Epernay, vous êtes invité(e) à visiter en avant-première, notre appartement déco..."
23L8B12FCWVQ,2021-09-29T18:58:00Z,Epernay,Centre Est,51200,BUY,APARTMENT,194000.0,42.56,2,1,"PORTES OUVERTES LES SAMEDIS 15, 22, 29 MARS | À l'occasion de la livraison prochaine de la résidence Les Champélites à Epernay, vous êtes invité(e) à visiter en avant-première, notre appartement déco..."
24AJ23WYMLCI,2022-06-29T08:12:00Z,Reims,Centre Ville,51100,BUY,APARTMENT,250000.0,49.67,2,,"La première tranche de la résidence Les Promenades d'Olène est désormais achevée, donnant vie à un ensemble contemporain et cohérent, signé par le Groupe FIC, SPI Promotion et Nacarat. La commerciali..."
238MEJE4GWWF,2022-02-28T12:16:00Z,Reims,Centre Ville,51100,BUY,APARTMENT,192000.0,44.0,2,1,LIVRAISON IMMEDIATE APPARTEMENTS VISITABLES SUR RDV Dispositif fiscal en cours: LMNP (Location Meublé Non Professionnelle) ou LLI (Logement Locatif Intermédiaire) Une résidence tournée vers la nature...
25FFUMZND5L4,2025-11-28T16:25:00Z,Sarry,,51520,BUY,PROJECT,231199.0,,5,4,"Sur ce terrain, nous vous proposons cette maison neuve, le modèle Ménilière, une maison plain-pied moderne qui intègre de base un garage et une longue galerie sur la face avant. Avec une surface de 1..."
2443KE7K7SFP,2022-06-29T08:12:00Z,Reims,Centre Ville,51100,BUY,APARTMENT,990000.0,162.76,5,4,"La première tranche de la résidence Les Promenades d'Olène est désormais achevée, donnant vie à un ensemble contemporain et cohérent, signé par le Groupe FIC, SPI Promotion et Nacarat. La commerciali..."
25I71KE2JBU4,2025-11-28T16:25:00Z,Les Grandes-Loges,,51400,BUY,PROJECT,216699.0,,4,3,"Sur ce terrain, nous vous proposons cette maison neuve, la Ménilière Sud, conçue par Babeau-Seguin, constructeur offrant le meilleur rapport qualité/prix du marché. Cette superbe maison traditionnell..."
23L4GJE69C5E,2022-02-28T12:16:00Z,Reims,Centre Ville,51100,BUY,APARTMENT,500000.0,109.0,4,,LIVRAISON IMMEDIATE APPARTEMENTS VISITABLES SUR RDV Dispositif fiscal en cours: LMNP (Location Meublé Non Professionnelle) ou LLI (Logement Locatif Intermédiaire) Une résidence tournée vers la nature...
25ZD5X3F4M7K,2025-11-05T06:42:00Z,Reims,Chemin Vert-Europe,51100,BUY,APARTMENT,235400.0,86.28,4,2,"A REIMS secteur HENRI VASNIER/POMMERY, à vendre EN EXCLUSIVITE un Appartement de type IV dans une résidence bien entretenue . Il se compose d'une entrée, un agréable salon séjour, une cuisine aménagé..."
23F9J29B1QH8,2023-05-09T07:21:00Z,Reims,Maison Blanche-Wilson,51100,BUY,APARTMENT,158400.0,40.0,2,,"Le Clos des Lumières – Reims Maison Blanche Dernières opportunités – Appartements livrables immédiatement ! OFFRE BLACK FRIDAY : Pou toute réservation avant le 31 novembre, la cuisine vous est offert..."
25P5R48MFIQX,2025-11-28T16:25:00Z,La Veuve,,51520,BUY,PROJECT,228870.0,,4,3,"Sur ce terrain, nous vous proposons cette maison neuve Perrière Sud, un modèle de plain-pied au design typique du sud, alliant tradition et modernité. Avec une surface de 97 m², cette maison est idéa..."
25I4EU99TT9G,2025-11-05T06:42:00Z,Reims,Barbâtre-Saint Remy-Verrerie,51100,BUY,APARTMENT,102600.0,27.35,1,,"A REIMS secteur BARBATRE, à vendre EN EXCLUSIVITE un Appartement de type I bis dans un immeuble à deux pas de la Cathédrale . Il se compose d'une agréable pièce de vie, un coin cuisine, une chambre, ..."
23F8YI5GMSEK,2023-05-09T07:21:00Z,Reims,Maison Blanche-Wilson,51100,BUY,APARTMENT,349000.0,99.0,3,,"Le Clos des Lumières – Reims Maison Blanche Dernières opportunités – Appartements livrables immédiatement ! OFFRE BLACK FRIDAY : Pou toute réservation avant le 31 novembre, la cuisine vous est offert..."
25QUVHINLKJ5,2025-11-19T10:36:00Z,Reims,Centre Ville,51100,BUY,APARTMENT,399000.0,125.0,5,3,"À vendre – Appartement bourgeois 125 m² – Hypercentre de Reims En plein cœur de Reims, venez découvrir ce superbe appartement de 125 m² habitables, situé au premier étage d'une copropriété bien entre..."
25QL327RDAWL,2025-03-23T06:21:00Z,Epoye,,51490,BUY,HOUSE,338000.0,219.0,7,5,"Aux portes de Reims, venez découvrir les 219m2 habitables de cette magnifique maison en pierres, accompagnée de ses dépendances et de son agréable cour intérieure, le tout posée sur une parcelle d'en..."
256HVCWCU6WK,2025-11-28T16:25:00Z,Suippes,,51600,BUY,PROJECT,161020.0,,5,4,"Sur ce terrain, nous vous proposons cette maison neuve : la Focus Family Sud. Conçue par Babeau-Seguin, constructeur reconnu pour offrir le meilleur rapport qualité/prix du marché, cette maison de 89..."
25VE5YQG53MN,2025-04-26T03:31:00Z,Reims,Cernay Jamin-Jean Jaurès-Epinettes,51100,BUY,APARTMENT,174900.0,39.0,2,,"OFFRE COMMERCIALE : REMISE DE 3 000 EUROS PAR PIECE jusqu'au 30 novembre 2025 ! Devenez propriétaire d'un appartement de grand standing, dans une résidence intimiste située au coeur de Reims et pensé..."
25746DFB9KEF,2025-04-26T03:31:00Z,Reims,Cernay Jamin-Jean Jaurès-Epinettes,51100,BUY,APARTMENT,149900.0,26.7,1,,"OFFRE COMMERCIALE : REMISE DE 3 000 EUROS PAR PIECE jusqu'au 30 novembre 2025 ! Devenez propriétaire d'un appartement de grand standing, dans une résidence intimiste située au coeur de Reims et pensé..."
25RQZPGV1ABX,2025-04-26T03:31:00Z,Reims,Cernay Jamin-Jean Jaurès-Epinettes,51100,BUY,APARTMENT,259900.0,66.0,3,,"OFFRE COMMERCIALE : REMISE DE 3 000 EUROS PAR PIECE jusqu'au 30 novembre 2025 ! Devenez propriétaire d'un appartement de grand standing, dans une résidence intimiste située au coeur de Reims et pensé..."
25DABHFB6Q3V,2025-07-31T18:27:00Z,Reims,Clairmarais-Charles Arnould,51100,BUY,APARTMENT,312000.0,79.0,4,3,"Vivez une expérience immobilière unique en devenant propriétaire dans le nouveau quartier des Magasins Généraux. Situé sur les rives du canal entièrement réaménagées et piétonnisées, ce site de verdu..."
25JNS5A5EMG8,2025-07-31T18:27:00Z,Reims,Clairmarais-Charles Arnould,51100,BUY,APARTMENT,176000.0,41.54,2,1,"À Reims, sur les promenades du canal, dans le nouveau quartier des Magasins Généraux, découvrez une nouvelle résidence contemporaine bercée par la nature environnante. Ce quartier innovant et respons..."
25BLSBWQU3LL,2025-10-22T08:14:00Z,Saint-Masmes,,51490,BUY,PROJECT,244526.0,,5,4,"Sur ce terrain, nous vous proposons cette maison neuve : la Versière. Avec ses 112 m² de surface habitable, cette maison se distingue par son plan en V, offrant un brin d'originalité et une grande ha..."
