id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25ZKYXH44JAH,2025-11-20T18:04:00Z,Saint-Dizier,Centre-Gigny-Noue Centre,52100,BUY,APARTMENT,108000,30.0,1,,"OFFRE DE LANCEMENT: Jusqu'à 4 000 euros de remise/pièce et Frais de notaire offerts*DEVENEZ PROPRIÉTAIRE À SAINT-DIZIER (52) –Découvrez Le Clos d'Alice, la nouvelle résidence du groupe Pichet, dans u..."
25ZDHRWRRYA8,2025-11-20T18:04:00Z,Saint-Dizier,Centre-Gigny-Noue Centre,52100,BUY,APARTMENT,139000,40.0,2,,"OFFRE DE LANCEMENT: Jusqu'à 4 000 euros de remise/pièce et Frais de notaire offerts*DEVENEZ PROPRIÉTAIRE À SAINT-DIZIER (52) –Découvrez Le Clos d'Alice, la nouvelle résidence du groupe Pichet, dans u..."
25UKPIJNEY5T,2025-11-20T18:04:00Z,Saint-Dizier,Centre-Gigny-Noue Centre,52100,BUY,APARTMENT,189000,60.5,3,,"OFFRE DE LANCEMENT: Jusqu'à 4 000 euros de remise/pièce et Frais de notaire offerts*DEVENEZ PROPRIÉTAIRE À SAINT-DIZIER (52) –Découvrez Le Clos d'Alice, la nouvelle résidence du groupe Pichet, dans u..."
25X1RKLXT46G,2025-11-29T01:33:00Z,Villiers-sur-Suize,,52210,BUY,PROJECT,245000,,5,3,"MAISON NEUVE À CONSTRUIRE Construisez votre maison sur mesure avec Maisons Alsebat. Qu'il s'agisse d'un projet traditionnel, contemporain ou créatif, nous vous proposons une large gamme de modèles de..."
252M1MSN9XSC,2025-11-20T18:04:00Z,Saint-Dizier,Centre-Gigny-Noue Centre,52100,BUY,APARTMENT,272000,84.5,4,,"OFFRE DE LANCEMENT: Jusqu'à 4 000 euros de remise/pièce et Frais de notaire offerts*DEVENEZ PROPRIÉTAIRE À SAINT-DIZIER (52) –Découvrez Le Clos d'Alice, la nouvelle résidence du groupe Pichet, dans u..."
2561BCF2QJ33,2025-11-29T01:33:00Z,Cuves,,52240,BUY,PROJECT,222000,,6,4,"MAISON NEUVE À CONSTRUIRE Modèle LAVANDULA Type : Maison à étage Emplacement : Commune de CUVES, entre NOGENT et LAMARCHE, à proximité de NINVILLE et LONGCHAMP Caractéristiques principales •Surface d..."
25NG8GQYH83X,2025-01-24T00:51:00Z,Chaumont,,52000,BUY,APARTMENT,200000,121.0,4,3,"A l'entrée de Chaumont, proche de toutes les commodités, venez découvrir cet appartement de standing dans une résidence recherchée. L'appartement, situé au troisième étage avec ascenseur est entièrem..."
259XYSA31WVA,2025-07-02T00:03:00Z,Chaumont,Centre-Faubourgs Sud,52000,BUY,HOUSE,355000,380.0,6,4,"Située à proximité du centre ville et de toutes ses commodités, cet ensemble immobilier composé d'une charmante maison avec étage et ses dépendances, vous séduira par ses beaux volumes, sa luminosité..."
252JM6ZXZ8VU,2025-08-19T12:00:00Z,Arc-en-Barrois,,52210,BUY,HOUSE,213000,161.35,5,4,"Venez découvrir dans plus tarder cette maison familiale de 160 m², idéalement située dans un village avec toutes les commodités (écoles, commerces, transports…). Caractéristiques principales : 4 gran..."
25ZP3C5J3RRV,2025-10-14T23:35:00Z,Luzy-sur-Marne,,52000,BUY,HOUSE,170000,107.0,4,3,"A 10 minutes de Chaumont et ses commodités, charmante maison individuelle sur deux niveaux. Au rez-de-chaussée, vous trouverez deux chambres confortables ainsi qu'une buanderie. A l'étage, un espace ..."
