id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25QDEL2T56K9,2025-06-24T22:34:00Z,Mayenne,,53100,BUY,HOUSE,149600,89.0,5,3,"Maison de plain pied avec terrain clos. Située à Mayenne côté Est, nous vous proposons à la vente une maison de plain pied à rafraichir. Cette maison vous offre une entrée, une cuisine aménagée et éq..."
25W6LLI54J2J,2025-02-14T13:18:00Z,Mayenne,,53100,BUY,HOUSE,267900,139.0,7,4,"Centre ville de Mayenne À proximité des commerces et des écoles, nous vous proposons à la vente une belle maison de T7 de 138.56 m² habitables avec une véranda et une terrasse sur un terrain de 480 m..."
25UVCE92XR6L,2025-07-18T21:36:00Z,Mayenne,,53100,BUY,HOUSE,180800,99.0,4,3,"Maison de plain pied avec garage 2 voitures. Située dans une impasse au calme à 5 minutes de Mayenne, dans un village avec école et commerce, nous vous proposons à la vente une maison de plain pied o..."
251G8PJ47HGU,2025-11-21T10:32:00Z,Mayenne,Sud Est,53100,BUY,HOUSE,178000,80.0,5,3,"En Exclusivité, Sandra Bouglé vous présente une maison sur sous sol, à Mayenne dans un quartier paisible. Cette maison de 80 m2 sur un terrain de 458 m2 se compose d'une entrée, salon séjour avec une..."
25DNIQVZG8GS,2025-10-06T14:35:00Z,Mayenne,Sud Ouest,53100,BUY,HOUSE,124500,73.0,5,2,"À vendre, maison individuelle située dans un quartier calme de Mayenne, à proximité immédiate du centre commercial Leclerc, des écoles et du centre-ville. L'emplacement est idéal pour profiter du cal..."
25Q9NNIAQBJJ,2025-11-24T21:08:00Z,Mayenne,Saint Martin,53100,BUY,HOUSE,265000,150.0,6,4,"Exceptionnel ! En exclusivité ! Ce pavillon en plain pied d'année de construction 2000 avec piscine sécurisée par un Dôme coulissant, sur un terrain de 1200 m2 avec vue sur la campagne. Vous accédere..."
252Y4T5KISN8,2025-11-24T21:08:00Z,Mayenne,Nord Ouest,53100,BUY,HOUSE,259000,110.0,5,4,"Découvrez cette charmante villa de 2003, idéalement implantée dans un quartier résidentiel très prisé, offrant calme, confort et intimité. Edifiée sur un terrain d'environ 1200 m2, cette maison se co..."
25RDNMZ5F5K5,2025-11-20T12:09:00Z,Mayenne,Sud Ouest,53100,BUY,HOUSE,126800,73.0,5,3,"Je vous présente cette maison des années 70 située à proximité immédiate des commerces. Cette maison sur sous-sol comprend au RDC : entrée, cuisine ouverte sur salon/SAM. Cette grande pièce de vie lu..."
25APVYT2PLZD,2025-11-26T12:27:00Z,Mayenne,Sud Ouest,53100,BUY,HOUSE,125500,102.0,5,3,"Une tres belle surface habitable sur une belle surface de terrain. Une renovation est à prevoir (isolation, electricité, pose cuisine, sol..) mais un potentiel interessant ! Chauffage gaz de ville, c..."
259ML6RHYIBT,2025-05-15T23:39:00Z,Mayenne,,53100,BUY,HOUSE,455000,170.0,8,4,"Réf.4585 : Beau Manoir du XIVème siècle et ses dépendances Ce ravissant manoir situé à 270 km de Paris, se cache dans une belle campagne bocagère et vallonnée, à 5 km d'une petite ville offrant les p..."
25ITU5XR55DA,2025-10-29T18:55:00Z,Mayenne,Sud Ouest,53100,BUY,HOUSE,89900,99.0,5,4,"Je vous propose en exclusivité une maison d'environ 99m2 située dans un quartier recherché proche commerces, commodités et Pôle Santé. Au RDC, vous trouverez un salon/SAM, une cuisine aménagée et équ..."
25T5J8K6BJBE,2025-11-27T10:07:00Z,Mayenne,Notre-Dame,53100,BUY,HOUSE,419900,257.0,9,5,"Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 19188 Cette maison individuelle offre une vue imprenable sur son jardin a..."
25VYEQTIU5N6,2025-11-30T20:42:00Z,Mayenne,Bras-Bretagne-Brosselette-Mauhitière,53100,BUY,HOUSE,138000,91.0,5,3,"Pavillon lumineux de 92 m² situé à Mayenne, dans un quartier calme et recherché, à proximité immédiate des écoles et des commerces. Édifiée en 1977 sur un terrain clos et arboré de 450 m², cette mais..."
25FVQXMEUX2Y,2025-11-25T13:24:00Z,Mayenne,Nord Ouest,53100,BUY,HOUSE,149700,91.0,4,3,"Maison 4 pièces 91 m2 Maison 4 pièces 91 m2 À MAYENNE (53100), je vous invite à venir découvrir cette belle maison à fort potentiel et située à proximité des commerces et des écoles. Au rez-de-chauss..."
25PYJ66FUNLF,2025-11-12T13:55:00Z,Mayenne,Notre-Dame,53100,BUY,HOUSE,269500,160.0,8,5,"Rare sur le secteur ! Située en plein cœur de Mayenne, dans un quartier prisé, cette maison de caractère offre 160 m² habitables sur un terrain clos et paysagé de 819 m², exposé sud-est. Édifiée sur ..."
257AIEYYX7ZM,2025-03-07T20:11:00Z,Mayenne,Sud Ouest,53100,BUY,HOUSE,468000,160.0,6,3,"Située à Mayenne (53100), cette maison moderne se trouve dans une zone artisanale dynamique, offrant un équilibre entre tranquillité et accessibilité. À proximité des commerces et des services essent..."
25GKRZ9ECNGU,2025-06-29T12:53:00Z,Mayenne,Notre-Dame,53100,BUY,HOUSE,147000,105.0,7,4,"Amateurs de biens anciens pleins de caractère, cette maison est faite pour vous ! Située en plein cœur de la ville de Mayenne, à deux pas des commerces, des écoles, des services et de toutes les comm..."
25BF8FGTN1V6,2025-07-25T01:21:00Z,Mayenne,,53100,BUY,HOUSE,795000,480.0,16,7,"Réf.4668 : Château de villégiature et sa maison de gardien sur 5,2 ha à vendre en Mayenne Situé à proximité de la ville de Mayenne, proche de la rivière et dans le département éponymes, se dresse ce ..."
25A1Z76U6114,2025-07-05T13:12:00Z,Mayenne,Notre-Dame,53100,BUY,APARTMENT,84500,70.0,3,2,"iad France - Audrey Mainfray vous propose: ** APPARTEMENT T3 DE 70m² environ ** CENTRE VILLE DE MAYENNE ** 1ER ETAGE ** Situé au premier étage d'une petite copropriété, cet appartement d'environ 70 m..."
24241RZX1ZIG,2024-10-15T19:09:00Z,Mayenne,,53100,BUY,HOUSE,24699,120.0,4,2,Offrez-vous une maison de 120 m² pour seulement 24 699 EUR !! Référence 422453015 Age : Homme de 73 ans / Femme de 79 ans Bouquet : 24699 EUR Rente : 400 EUR/mois Prix d'achat : 79065 EUR Nous vous r...
