id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
23P7VJE6FVNK,2021-11-24T07:29:00Z,Nancy,Saint Pierre-René II,54000,BUY,APARTMENT,169000.0,39.92,1,,"Il ne reste plus que 3 studios et un dernier appartement 4 pièces dans la résidence Rose Wild ! Située entre le Quai de la Bataille et Saurupt, cette adresse offre calme et qualité de vie au cœur d'u..."
251W74C3VPKH,2025-02-04T13:39:00Z,Nancy,Haut du Lièvre-Gentilly,54100,BUY,APARTMENT,187678.0,59.49,3,,"REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Les travaux ont démarré ! Livraison : Septembre 2025 - A Nancy, ..."
25U828SBESII,2025-05-12T22:37:00Z,Mexy,,54135,BUY,APARTMENT,144000.0,43.3,2,1,"Découvrez le lot A3, un appartement de type F2 situé au rez-de-chaussée de la résidence. Il offre une surface habitable totale de 43,3 m², complétée par une terrasse de 9,06 m², parfaite pour profite..."
25MYDQHV5RVK,2025-05-12T22:37:00Z,Mexy,,54135,BUY,APARTMENT,144000.0,43.52,1,,"Découvrez le lot B19, un appartement de type F2 situé au 2e étage de la résidence. Il offre une surface habitable totale de 43,52 m2, complétée par une terrasse de 7,14 m2, parfaite pour profiter des..."
25QAALWW6433,2025-11-19T16:34:00Z,Villers les Nancy,,54600,BUY,APARTMENT,265000.0,117.0,5,3,MA BEAUTE !! Visitez ce bien autrement en vous rendant de suite sur notre site internet ! Promenez-vous dedans grâce à la visite virtuelle afin d'en apprécier toutes les caractéristiques et découvrez...
257NLC6HM6R5,2025-10-23T10:09:00Z,Laxou,Mareville Asnee,54520,BUY,APARTMENT,159000.0,39.0,2,1,"Découvrez notre résidence Le Domaine du Parc à Laxou et devenez propriétaire de votre appartement neuf. Bâtie sur les flancs des coteaux qui descendent de la Forêt de la Haye, poumon de l'agglomérati..."
25MSCTU9HEMP,2025-11-14T08:26:00Z,Nancy,,54000,BUY,APARTMENT,125000.0,39.0,2,1,"LE KLEBER CLUB : ADHESION IMMEDIATE Rue Kléber, on ne rigole pas avec le style. Et cet appart, c’est un peu le combo parfait entre un épisode de « Mad Men » et une saison de « D&CO » version 2024. Si..."
259Q5HQ7MZNY,2025-09-11T17:22:00Z,Villerupt,Verdun,54190,BUY,APARTMENT,166000.0,41.0,2,,FRAIS DE NOTAIRE OFFERTS + 2 000 euros DE REMISE/PIÈCE*BELLE OPPORTUNITÉ À VILLERUPT (54) – Devenez propriétaire à proximité immédiate de la frontière luxembourgeoise ! Découvrez la nouvelle résidenc...
25IDAKMI85XT,2025-03-06T09:36:00Z,Art sur Meurthe,,54510,BUY,APARTMENT,330000.0,126.0,3,2,A COUPER LE SOUFFLE Visitez ce bien autrement en vous rendant de suite sur notre site internet ! Vous cherchez un cocon tout neuf et lumineux ? Ce superbe appartement de 126 m² en rez-de-jardin en se...
25C5WZG1XYKP,2025-08-18T13:42:00Z,Houdreville,,54330,BUY,HOUSE,225000.0,165.0,8,5,"MAISON DE VILLAGE AU CALME, CONFORT AU TOP ! VISITEZ CE BIEN AUTREMENT en vous rendant de suite sur notre site internet ! PROMENEZ-VOUS A L'INTERIEUR GRACE A LA VISITE VIRTUELLE afin d'en apprécier t..."
234BFT9AI3NY,2022-10-13T09:10:00Z,Villers-les-Nancy,Gec Village,54600,BUY,APARTMENT,172000.0,36.37,1,,OFFRES BLACK FRIDAY : jusqu'à 30 000 € de remise + frais de notaire offerts !*Appartement meublé et décoré à venir visiter sur place - livraison en 2026 ! Travaux en cours et livraison en 2026 ! Déco...
25GKTYPNWRCF,2025-11-14T17:40:00Z,Jarville la Malgrange,,54140,BUY,APARTMENT,77000.0,43.0,2,1,LE BON PLAN DU 2EME !! Visitez ce bien autrement en vous rendant de suite sur notre site internet ! Promenez-vous dedans grâce à la visite virtuelle afin d'en apprécier toutes les caractéristiques et...
253JRDS24PQ7,2025-09-22T09:24:00Z,Richardmenil,,54630,BUY,HOUSE,470000.0,158.0,6,4,L'EXCELLENCE… Visitez ce bien autrement en vous rendant de suite sur notre site internet ! Promenez-vous dedans grâce à la visite virtuelle afin d'en apprécier toutes les caractéristiques et découvre...
25Z4CE4JGDSR,2025-11-03T18:34:00Z,Nancy,,54000,BUY,APARTMENT,167000.0,83.0,4,3,"BOUFFLERS, L'APPART QUI NE TOURNE PAS AUTOUR DU POT Visitez ce bien autrement en vous rendant de suite sur notre site internet ! Promenez-vous dedans grâce à la visite virtuelle afin d'en apprécier t..."
25QA6843E8LT,2025-10-23T10:09:00Z,Laxou,Mareville Asnee,54520,BUY,APARTMENT,135000.0,33.0,1,,"[LIVRAISON 2025] Proche du square des Bosquets et du Jardin du Belvédère, Le Domaine du Parc, notre programme immobilier neuf à Laxou, offre un cadre de vie paisible, entouré d'espaces paysagers dans..."
24JV72Z6XYVD,2024-09-10T09:07:00Z,Villers-les-Nancy,Gec Village,54600,BUY,APARTMENT,190000.0,46.21,2,,OFFRES BLACK FRIDAY : jusqu'à 30 000 € de remise + frais de notaire offerts !*Appartement meublé et décoré à venir visiter sur place - livraison en 2026 ! Travaux en cours et livraison en 2026 ! Déco...
25WZNECKMEJK,2025-05-12T22:37:00Z,Mexy,,54135,BUY,APARTMENT,144000.0,43.3,3,2,"Découvrez le lot B4, un appartement de type F2 situé au rez-de-chaussée de la résidence. Il offre une surface habitable totale de 43,3 m2, complétée par une terrasse de 10,88 m2, parfaite pour profit..."
25TGGKZTLBYL,2025-07-23T07:48:00Z,Richardmenil,,54630,BUY,HOUSE,250000.0,139.0,5,3,ON VOUS EMMÈNE À RICHARDMÉNIL… Visitez ce bien autrement en vous rendant de suite sur notre site internet ! Promenez-vous dedans grâce à la visite virtuelle afin d'en apprécier toutes les caractérist...
255DA3A2QU1W,2025-02-28T15:05:00Z,Cosnes et Romain,,54400,BUY,APARTMENT,157000.0,43.41,2,1,"Découvrez le Lot A14, un appartement de type T2 situé au 1er étage de la résidence. Il offre une surface habitable de 43,41m², complétée par une terrasse de 7,23m², parfaite pour profiter des beaux j..."
25S578JXZHWU,2025-09-29T07:36:00Z,Dieulouard,,54380,BUY,HOUSE,275000.0,160.0,5,4,Ce n’est pas Versailles ici… ah bah si. Visitez ce bien autrement en vous rendant de suite sur notre site internet ! Promenez-vous dedans grâce à la visite virtuelle afin d’en apprécier toutes les ca...
25JQT476854S,2025-06-01T10:22:00Z,Art sur Meurthe,,54510,BUY,APARTMENT,165000.0,89.0,3,2,L'ART ET LA MANIERE ! Visitez ce bien autrement en vous rendant de suite sur notre site internet ! Promenez-vous dedans grâce à la visite virtuelle afin d'en apprécier toutes les caractéristiques et ...
2596QAJP6U1B,2025-09-02T11:21:00Z,Frouard,Sud,54390,BUY,APARTMENT,149804.0,50.18,2,,"Offre commerciale en cours : jusqu'à - 10 000 euros, contactez nous dès maintenant. Offre valable pour tout contrat signé avant le 31/10/2025.A VENIR : Maisons et appartements modernes, confortables ..."
25PCJ36X7WVJ,2025-10-27T08:32:00Z,Villers les Nancy,,54600,BUY,HOUSE,650000.0,261.0,8,7,"GRANDE MAISON, GRAND KIF !! Visitez ce bien autrement en vous rendant de suite sur notre site internet ! Promenez-vous dedans grâce à la visite virtuelle afin d'en apprécier toutes les caractéristiqu..."
24SA3LRD5279,2024-09-10T09:07:00Z,Villers-les-Nancy,Gec Village,54600,BUY,APARTMENT,264000.0,70.33,3,,OFFRES BLACK FRIDAY : jusqu'à 30 000 € de remise + frais de notaire offerts !*Appartement meublé et décoré à venir visiter sur place - livraison en 2026 ! Travaux en cours et livraison en 2026 ! Déco...
