id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25EDM3532NHB,2025-11-29T01:33:00Z,Commercy,,55200,BUY,PROJECT,265000,,5,3,"MAISON NEUVE À CONSTRUIRE Construisez votre maison sur mesure avec Maisons Alsebat. Que votre projet de vie soit traditionnel, contemporain ou créatif, votre constructeur de maisons individuelles vou..."
25CJC7E79ZR4,2025-11-29T01:33:00Z,Bar-le-Duc,,55000,BUY,PROJECT,222000,,6,4,"MAISON NEUVE À CONSTRUIRE Construisez votre maison sur mesure avec Maisons Alsebat. Qu'il s'agisse d'un projet traditionnel, contemporain ou créatif, nous vous proposons une large gamme de modèles de..."
25FAVC48853X,2025-11-29T01:33:00Z,Commercy,,55200,BUY,PROJECT,224000,,4,2,"MAISON NEUVE À CONSTRUIRE Construisez votre maison sur mesure avec Maisons Alsebat. Que votre projet de vie soit traditionnel, contemporain ou créatif, votre constructeur de maisons individuelles vou..."
255YHT1JUADK,2025-11-29T01:33:00Z,Verdun,,55100,BUY,PROJECT,313000,,6,4,"MAISON NEUVE À CONSTRUIRE Construisez votre maison sur mesure avec Maisons Alsebat. Qu'il s'agisse d'un projet traditionnel, contemporain ou créatif, nous vous proposons une large gamme de modèles de..."
259BPLXV6NDD,2025-09-04T11:47:00Z,Pagny-sur-Meuse,,55190,BUY,HOUSE,189000,120.0,5,3,"En exclusivité, à 15 min de TOUL, 35 min de NANCY, Cindy DEVIS vous invite à découvrir cette charmante maison mitoyenne d'un côté de 120 m² à PAGNY-SUR-MEUSE, paisible village proche des axes autorou..."
25TM6NWWS38S,2025-10-12T00:52:00Z,Commercy,,55200,BUY,HOUSE,135000,88.1,4,2,"Maison Charmante et Lumineuse Exclusivité, située dans un quartier paisible et bien desservi de COMMERCY, proche de toutes commodités avec accès facile aux axes autoroutiers. Villes proches : SAINT-M..."
25CS2IF8RQEV,2025-11-22T01:22:00Z,Châtillon-sous-les-Côtes,,55400,BUY,HOUSE,155000,89.0,5,3,Chatillon sous les cotes pavillon comprenant entrée séjour salon cuisine équipée salle de bains trois chambres a l étage deux grande pièces pouvant servir de chambre sous sol avec garage buanderie et...
25DR8EAKSIBM,2025-10-31T00:48:00Z,Haudainville,,55100,BUY,HOUSE,229000,105.0,5,3,"Découvrez cette charmante maison individuelle semi-plain-pied de 105 m², nichée sur un terrain spacieux de 1200 m². Cette propriété allie élégance et fonctionnalité, offrant un cadre de vie idéal pou..."
25PA147KDEM6,2025-11-27T00:50:00Z,Foameix-Ornel,,55400,BUY,HOUSE,392200,234.0,7,1,Fameux Villa individuelle de 234 m2 habitable comprenant entrée avec placard vaste séjour salon ouvert sur cuisine équipée avec accès direct sur deux terrasses dont une couverte bureau avec placard 3...
25DT9QT47LQH,2025-09-04T11:49:00Z,Saint-Mihiel,,55300,BUY,HOUSE,88000,95.0,1,2,"Découvrez cette maison de caractère, construite en 1948, qui allie charme d'antan et confort moderne. Avec ses 95 m² habitables répartis sur trois niveaux, cette propriété vous offre un cadre de vie ..."
25IG9W7UU296,2025-09-04T11:49:00Z,Étain,,55400,BUY,HOUSE,168000,112.0,1,3,"Située au coeur d'Étain, cette charmante maison de caractère vous séduira par ses volumes généreux, son cachet authentique et son beau potentiel d'aménagement. Dès l'entrée, laissez-vous séduire par ..."
255XK23A4CFN,2025-10-22T11:42:00Z,Commercy,,55200,BUY,HOUSE,141000,148.0,6,2,"Charmante Maison Mitoyenne de 148 m² à Réinventer En exclusivité, située au coeur de la ville de VOID-VACON, proche de toutes commodités avec accès facile aux axes autoroutiers. Villes proches : VAUC..."
257NTPAEYFVQ,2025-09-04T11:49:00Z,Heippes,,55220,BUY,HOUSE,80000,115.0,1,3,- MAISON 7 PIÈCES AVEC TERRASSE En vente : découvrez à HEIPPES (55220) cette maison de 7 pièces de 115 m² et de 215 m² de terrain. Elle est aménagée comme suit : Une entrée qui dessert un salon avec ...
2511PT7B2G9K,2025-09-04T11:49:00Z,Billy-sous-Mangiennes,,55320,BUY,HOUSE,173000,200.0,6,4,"Je vous propose dans la commune de Billy-sous-Mangiennes, une ancienne maison rénovée pleine de charme d'environ 200 m² comprenant : Au RDC : Un hall d'entrée avec des pierres de Meuse qui donne accè..."
25DTKRJLKP1C,2025-09-04T11:49:00Z,Dombasle-en-Argonne,,55120,BUY,HOUSE,93000,98.0,1,3,"? À Vendre – Maison avec local commercial à Dombasle-en-Argonne (55120) Située dans un charmant village de l'Argonne, cette maison aux multiples possibilités conviendra aussi bien à une famille qu'à ..."
25K47YX6VFAS,2025-09-04T11:49:00Z,Verdun,,55100,BUY,APARTMENT,249000,164.0,3,5,PRODUIT RARE !! Je vous propose un plateau comprenant 3 appartements entièrement rénovée pour une superficie totale de 164.4 m² comprenant : - 1 er LOT :un appartement avec cuisine ouverte sur un vas...
25W6Q13M1DMY,2025-09-04T11:49:00Z,Verdun,,55100,BUY,APARTMENT,129900,108.0,5,2,"À quelques pas du centre-ville de Verdun, découvrez ce bel appartement entièrement rénové de 108 m², situé dans un environnement calme et pratique. ? Composition : Entrée Cuisine équipée ouverte sur ..."
25SFAB6B2M7F,2025-09-04T11:49:00Z,Dun-sur-Meuse,,55110,BUY,HOUSE,88000,88.0,1,3,"Située dans un environnement paisible, cette maison de 5 pièces offre 88 m² habitables sur un terrain généreux de 3 480 m². Un cadre idéal pour les amateurs de tranquillité et d'espace. Elle se compo..."
252KMNCTREF1,2025-10-22T23:46:00Z,Verdun,,55100,BUY,HOUSE,296800,132.0,6,3,Verdun quartier best village pavillon de plain pied de 132 m2 habitable et individuel comprenant séjour salon ouvert sur cuisine équipée avec accès direct a une terrasse véranda de 20 m2 environ buan...
253I3P39165Q,2025-09-04T11:49:00Z,Verdun,,55100,BUY,HOUSE,145800,103.0,1,3,"Emplacement privilégié : Située en plein centre-ville de Verdun (Meuse), cette maison individuelle offre confort, fonctionnalité et attractivité locative. ? Description du bien : Surface habitable : ..."
259U9HKBXINC,2025-10-07T12:02:00Z,Saint-André-en-Barrois,,55220,BUY,HOUSE,129900,90.0,4,2,Saint André en barrois maison de village en bon état comprenant entrée cuisine équipée donnant sur séjour salon véranda deux chambres salle de bains grenier entièrement aménageable terrasse et terrai...
25R2ADQ67Q9S,2025-10-23T11:49:00Z,Bras-sur-Meuse,,55100,BUY,HOUSE,275600,135.0,7,5,Bras sur Meuse pavillon individuel de plain pied de 146 m2 habitable comprenant entrée séjour salon cuisine équipée accès terrasse du séjour ainsi que de la cuisine trois chambres salle de bains étag...
258EFS9U3U52,2025-09-10T11:28:00Z,Verdun,,55100,BUY,APARTMENT,43500,47.0,1,,Je vous propose en coeur de ville un appartement duplex situé au 2-ème étage d'une petite copropriété d'une superficie de 47 m² qui se compose de la façon suivante : Une entrée avec pièce de vie lumi...
25L3ZV35KUZ6,2025-09-04T11:49:00Z,Bras-sur-Meuse,,55100,BUY,HOUSE,229000,90.0,1,3,Bras sur Meuse pavillon individuel sur sous sol entrée cuisine équipée ouverte sur séjour salon salle de bains aménagée trois chambres sous sol avec garage deux voitures cuisine d'été cave terrasse e...
25SAL27AT7CG,2025-09-09T11:22:00Z,Verdun,,55100,BUY,APARTMENT,104000,100.0,1,4,"À saisir ! Spacieux appartement de 100 m² en état impeccable, situé à Verdun, dans un environnement calme et agréable. Il comprend : Un séjour/salon lumineux avec balcon Quatre chambres Une salle de ..."
25ECY58DGVKB,2025-09-04T11:49:00Z,Verdun,,55100,BUY,APARTMENT,99000,71.0,1,,"Je vous propose en coeur de ville un appartement au 1 er étage proche de toutes commodités, d'une superficie d'environ 71 m² comprenant : Une entrée, un salon-séjour, une cuisine, salle d'eau, WC, un..."
25ACN1IUDJH2,2025-09-04T11:49:00Z,Nixéville-Blercourt,,55120,BUY,HOUSE,164000,100.0,6,3,"Située à seulement 10 minutes de Verdun, sur la commune paisible de Blercourt, cette maison de 100 m² habitables (loi Carrez) offre un cadre de vie agréable avec de beaux volumes. ? Elle se compose d..."
25YBT5TYC1KL,2025-09-04T11:49:00Z,Verdun,,55100,BUY,APARTMENT,54500,30.8,1,,Verdun centre ville appartement de type f2 comprenant kitchenette ouvert sur séjour salle de bains wc renseignement et visites Honoraires à la charge du vendeur. Dans une copropriété de 6 lots. Aucun...
