id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25PN7ABFQKRH,2025-10-30T19:12:00Z,Ploemeur,Centre Ville Nord Est,56270,BUY,APARTMENT,489000.0,100.18,4,3,"Découvrez la Résidence Le Cottage à Ploemeur, une parfaite synthèse d'élégance et de confort moderne. Située à quelques pas de la Place de l'Église et des commerces, la résidence Le Cottage est un li..."
25JNAIAPMQWM,2025-06-13T18:25:00Z,Lorient,Keroman-Merville,56100,BUY,APARTMENT,303000.0,65.69,3,2,"LIVRAISON IMMINENTE - VISITEZ NOTRE APPARTEMENT AMÉNAGÉ ET DÉCORÉ ! Découvrez nos appartements disponibles 3 et 4 pièces - Emplacement idéal, Quai du Péristyle, sur les rives du Scorff, à 10min à pie..."
2446DYIE71ML,2024-01-25T07:19:00Z,Crac'H,,56950,BUY,APARTMENT,303000.0,67.49,3,2,"ACHETER VOTRE APPARTEMENT NEUF À PROXIMITÉ DU GOLFE DU MORBIHAN Crac'h, la ville entre terre et mer ""Douar ha Mor"" est l'autre nom de la ville de Crac'h - Douar en breton signifie terre et Mor signif..."
25IDHAA565VH,2025-05-26T12:29:00Z,Sarzeau,Golfe Nord,56370,BUY,APARTMENT,259000.0,46.63,2,1,"À 300 M DU CENTRE-BOURG DE SARZEAU - VISITEZ NOTRE APPARTEMENT TÉMOIN MEUBLÉ ET DÉCORÉ Emplacement privilégié, à quelques minutes à pied de toutes les commerces et services de proximité. Le confort d..."
24JIAB646UA2,2024-01-25T07:19:00Z,Crac'H,,56950,BUY,APARTMENT,220000.0,42.11,2,1,"ACHETER VOTRE APPARTEMENT NEUF À PROXIMITÉ DU GOLFE DU MORBIHAN Crac'h, la ville entre terre et mer ""Douar ha Mor"" est l'autre nom de la ville de Crac'h - Douar en breton signifie terre et Mor signif..."
247I3R1AZ37J,2024-04-05T18:33:00Z,Le Palais,,56360,BUY,APARTMENT,203000.0,41.6,2,1,"Le Saint-Louis à Belle-Île-en-Mer : dernier appel avant embarquement ! Et si vous emménagiez cette année, dans un lieu hors du commun ? Bienvenue au Saint-Louis, une résidence réhabilitée avec soin, ..."
2466CRNFEYUY,2024-04-05T18:33:00Z,Le Palais,,56360,BUY,APARTMENT,389000.0,87.0,4,3,"Le Saint-Louis à Belle-Île-en-Mer : dernier appel avant embarquement ! Et si vous emménagiez cette année, dans un lieu hors du commun ? Bienvenue au Saint-Louis, une résidence réhabilitée avec soin, ..."
24MT7CB4DN4W,2024-11-27T13:41:00Z,Le Palais,,56360,BUY,APARTMENT,379000.0,84.8,3,2,"Le Saint-Louis à Belle-Île-en-Mer : dernier appel avant embarquement ! Et si vous emménagiez cette année, dans un lieu hors du commun ? Bienvenue au Saint-Louis, une résidence réhabilitée avec soin, ..."
25N98W59RSKK,2025-01-04T06:12:00Z,Arzon,,56640,BUY,APARTMENT,365000.0,60.98,3,,"[ - DERNIÈRES OPPORTUNITÉS - ] APPARTEMENT DÉCORÉ À VISITER SUR RENDEZ-VOUS ! Découvrez notre appartement témoin et laissez-vous séduire par un art de vivre unique à Arzon, au cœur de la presqu'île d..."
25VIPEW6576A,2025-10-09T05:14:00Z,Arzon,,56640,BUY,APARTMENT,259000.0,40.33,2,,"[ - DERNIÈRES OPPORTUNITÉS - ] APPARTEMENT DÉCORÉ À VISITER SUR RENDEZ-VOUS ! Découvrez notre appartement témoin et laissez-vous séduire par un art de vivre unique à Arzon, au cœur de la presqu'île d..."
