id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25F77V43XZZ6,2025-05-12T18:09:00Z,Montigny-Lès-Metz,Blory Vacons Horgne,57950,BUY,APARTMENT,116000,23.0,1,,"Riche en boutiques et artisans, Montigny-lès-Metz dispose d'un tissu économique dynamique. Les habitants peuvent ainsi profiter aisément des nombreux commerces et services de proximité. De plus, la c..."
24DXGEC6IPAR,2024-02-26T06:50:00Z,Metz,Sablon,57000,BUY,APARTMENT,677238,146.22,5,3,Découvrez un nouvel art de vivre à Metz où le bien être prend tout son sens ! En hypercentre à 2 minutes à pied de la gare TGV Metz centre ville qui relie le Luxembourg en 49 minutes et Paris en 84 m...
24KL76TMRZAH,2024-02-26T06:50:00Z,Metz,Sablon,57000,BUY,APARTMENT,211000,44.0,2,1,Découvrez un nouvel art de vivre à Metz où le bien être prend tout son sens ! En hypercentre à 2 minutes à pied de la gare TGV Metz centre ville qui relie le Luxembourg en 49 minutes et Paris en 84 m...
247EEYH8VX84,2024-02-26T06:50:00Z,Metz,Sablon,57000,BUY,APARTMENT,293490,66.91,3,2,Découvrez un nouvel art de vivre à Metz où le bien être prend tout son sens ! En hypercentre à 2 minutes à pied de la gare TGV Metz centre ville qui relie le Luxembourg en 49 minutes et Paris en 84 m...
24TCL9QZJNGE,2024-02-26T06:50:00Z,Metz,Sablon,57000,BUY,APARTMENT,168268,34.0,1,,Découvrez un nouvel art de vivre à Metz où le bien être prend tout son sens ! En hypercentre à 2 minutes à pied de la gare TGV Metz centre ville qui relie le Luxembourg en 49 minutes et Paris en 84 m...
25MZZGMRQKTT,2024-02-26T06:50:00Z,Metz,Sablon,57000,BUY,APARTMENT,446000,111.87,4,2,Découvrez un nouvel art de vivre à Metz où le bien être prend tout son sens ! En hypercentre à 2 minutes à pied de la gare TGV Metz centre ville qui relie le Luxembourg en 49 minutes et Paris en 84 m...
24MVXTT6HLMN,2024-01-09T15:11:00Z,Thionville,Zone Verte-Thionville Ouest,57100,BUY,APARTMENT,305000,64.0,3,2,"Vivez le meilleur de Thionville avec Blue Habitat ! Un lieu d'exception à l'angle de l'avenue Georges Clémenceau et de la rue de Villars. Une réalisation de 62 appartements de haut standing, répartis..."
24G4VM4UU3J3,2024-01-09T15:11:00Z,Thionville,Zone Verte-Thionville Ouest,57100,BUY,APARTMENT,475000,106.0,4,3,"Vivez le meilleur de Thionville avec Blue Habitat ! Un lieu d'exception à l'angle de l'avenue Georges Clémenceau et de la rue de Villars. Une réalisation de 62 appartements de haut standing, répartis..."
242UA3JL56Z4,2024-01-09T15:11:00Z,Thionville,Zone Verte-Thionville Ouest,57100,BUY,APARTMENT,466000,63.0,2,2,"Vivez le meilleur de Thionville avec Blue Habitat ! Un lieu d'exception à l'angle de l'avenue Georges Clémenceau et de la rue de Villars. Une réalisation de 62 appartements de haut standing, répartis..."
253T8MQLU7EI,2025-02-28T15:05:00Z,Apach,,57480,BUY,APARTMENT,225000,69.45,4,3,"Découvrez ''Horizon'', une résidence d'exception signée Cengiz Promotion, située au coeur de la prisée commune d'Apach, jouissant d'une proximité immédiate avec le Luxembourg tout en profitant du cal..."
25UIR1C4FXA1,2025-02-28T15:05:00Z,Volmerange les Mines,,57330,BUY,HOUSE,650000,121.92,5,4,"Un nouveau joyau à Volmerange les Mines ! Bienvenue à Volmerange les Mines aux portes du Luxembourg, commune prisée et recherchée où il fait bon vivre, proche des commodités, écoles et nombreux comme..."
25R4WJA5EEXQ,2025-02-28T15:05:00Z,Apach,,57480,BUY,APARTMENT,220000,68.67,3,2,"Découvrez ''Horizon'', une résidence d'exception signée Cengiz Promotion, située au coeur de la prisée commune d'Apach, jouissant d'une proximité immédiate avec le Luxembourg tout en profitant du cal..."
