id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25XY4LHU14PQ,2025-11-08T01:04:00Z,Brassy,,58140,BUY,PROJECT,325332,,5,4,"Les Compagnons Constructeurs ont le plaisir de vous présenter une nouvelle opportunité sur la Commune de Brassy. Dans un charmant petit Hameau, proche de Brassy, au coeur du Parc Naturel Régional du ..."
25X37FC11U9P,2025-09-03T13:18:00Z,Moux-en-Morvan,,58230,BUY,HOUSE,454650,144.0,6,5,"En exclusivité :Située dans un cadre naturel exceptionnel, cette propriété, ancien moulin entièrement rénové, se trouve au cœur du Parc du Morvan, à proximité des sentiers forestiers qui mènent au la..."
25J8PSXKJDXS,2025-05-08T08:55:00Z,Montsauche-les-Settons,,58230,BUY,HOUSE,230000,260.0,7,5,"Morvan des Lacs, à 10 minutes du Lac des Settons. Propriété composée de 2 maisons d'habitation avec terrain boisé pour une surface totale de 7500 m². La première maison d’habitation d'une surface hab..."
25YQK9HZ1D33,2025-11-13T19:10:00Z,Cosne-cours-sur-Loire,Centre Ville,58200,BUY,HOUSE,312000,146.0,5,4,"iad France - Nathalie Sallan vous propose: COSNE-COURS-SUR-LOIRE : 5 PIECES - Exceptionnelle et très élégante maison bourgeoise des années 30, entièrement rénovée et en plein centre ville (10 000 hab..."
25JMWW2X8I3V,2025-01-03T18:09:00Z,Ouroux-en-Morvan,,58230,BUY,HOUSE,99000,142.0,6,3,"Exclusivité/Bourgogne, Parc du Morvan, OUROUX EN MORVAN, entre le lac de Pannecière et le lac des Settons, ancienne gare 142 m² env habitable sur plus de 2000 m² de terrain. Elevée en partie sur cave..."
25C2KR8DKHVP,2025-11-18T15:24:00Z,Chaulgnes,,58400,BUY,HOUSE,209000,177.0,7,4,"Vous rêvez d'une maison spacieuse, lumineuse et idéale pour accueillir toute votre famille ? Découvrez cette belle demeure de 177 m², située dans un environnement calme, parfaite pour offrir à chacun..."
25Z74D3L85IV,2025-11-25T18:24:00Z,Challuy,,58000,BUY,HOUSE,84000,65.0,3,2,"Votre agence ERA a déniché pour vous le lieu idéal pour vous installer : une charmante maison individuelle située sur la commune de Challuy, à seulement 5 minutes de Nevers et à 2 heures de Paris. Id..."
25J7IP16D7P8,2025-11-26T23:10:00Z,La Marche,,58400,BUY,HOUSE,90400,240.0,5,3,Maison d'architecte vue sur Loire - Piscine Bourgogne Franche Comté Référence 422558036 Bouquet : 90400 EUR Rente : 686 EUR/mois Prix d'achat : 172800 EUR Nous vous rappelons qu'en Vente à terme occu...
2555MY9YMD1A,2025-05-31T07:26:00Z,Dun-les-Places,,58230,BUY,HOUSE,449000,257.0,8,5,"Bourgogne, Parc du Morvan, Secteur DUN LES PLACES, idéalement situé entre le lac des Settons et le lac de Chaumeçon. Bel ensemble immobilier comprenant deux habitations récemment rénovées et dépendan..."
25JV62A2K52T,2025-07-17T12:53:00Z,Ouroux-en-Morvan,,58230,BUY,HOUSE,262000,240.0,9,5,"Exclusivité/Bourgogne, Parc du Morvan, Secteur OUROUX EN MORVAN, belle maison de campagne 240 m² env dont 5 chambres sur plus de 5000 m² de terrain. Idéalement située dans un cadre verdoyant entre le..."
25LYI972RQU2,2025-09-10T08:06:00Z,Planchez,,58230,BUY,HOUSE,195000,135.63,4,2,"En Bourgogne, Morvan des Lacs, Secteur Planchez, maison rénovée sur environ 6000 m2 de terrain arboré. Située au calme et sans vis-à-vis, cette maison ancienne, entièrement rénovée vous séduira par s..."
24BCI2YEIR4I,2024-11-20T10:13:00Z,Saint Amand en Puisaye,,58310,BUY,HOUSE,84900,229.0,8,3,"**Maison avec grand Potentiel à Dampierre-sous-Bouhy* Découvrez cette propriété à Dampierre-sous-Bouhy, une opportunité idéale pour une résidence principale ou secondaire. Anciennement exploitée comm..."
2571JTUH2LEG,2025-11-12T08:25:00Z,Saint Andelain,,58150,BUY,HOUSE,139000,159.0,5,3,"Située au coeur de SAINT ANDELAIN, cette maison offre un espace de vie agréable et fonctionnel. Au rez-de-chaussée, vous trouverez un spacieux salon/séjour de 31 m² avec cheminée, ainsi qu'une cuisin..."
25A322BVW3Q9,2025-08-04T16:16:00Z,Urzy,,58130,BUY,HOUSE,198000,125.0,6,3,"A URZY - Proche Coulanges-Les-Nevers, en exclusivité dans votre Agence GBImmobilier, nous vous proposons un pavillon de type 6 de 125m² des années 80 élevé sur sous-sol semi-enterré de bonne qualité...."
