id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25GR7JJ1VWJU,2025-06-25T06:11:00Z,Valenciennes,Cheminots-Acacias-Faubourg de Lille,59300,BUY,APARTMENT,184772.91,62.27,3,2,Vous êtes en quête d'une résidence principale ? Découvrez notre offre d'appartements du studio au 5 pièces avec balcon ou terrasse et place de stationnement. Découvrez Es_Ko... Située Quai des Mines ...
25BE8EK2L9NY,2025-06-25T06:11:00Z,Wasquehal,L'Allumette,59290,BUY,HOUSE,319000.0,75.49,4,3,"Découvrez Les Jardins de St Clément... Idéalement située rue Vauban, dans un quartier en plein renouveau, à proximité immédiate du secteur du Triez, découvrez cette résidence neuve composée de maison..."
25LZWYILH75P,2025-06-25T06:11:00Z,Wasquehal,L'Allumette,59290,BUY,HOUSE,449000.0,103.83,5,3,"Découvrez Les Jardins de St Clément... Idéalement située rue Vauban, dans un quartier en plein renouveau, à proximité immédiate du secteur du Triez, découvrez cette résidence neuve composée de maison..."
24KRQD355KT7,2023-10-19T06:03:00Z,Valenciennes,Saint Michel-Tertiales-Le Rôleur,59300,BUY,APARTMENT,219000.0,62.52,3,2,Venez nous rencontrer les 18 & 19 octobre pour discuter de votre projet immobilier !La fin des dispositifs Pinel & Pinel + approche à grand pas. Ne perdez pas une occasion d'économiser jusqu'à 63 000...
23SLLXQEGM73,2023-02-10T07:19:00Z,Valenciennes,Saint Michel-Tertiales-Le Rôleur,59300,BUY,APARTMENT,159000.0,42.4,2,1,Venez nous rencontrer les 18 & 19 octobre pour discuter de votre projet immobilier !La fin des dispositifs Pinel & Pinel + approche à grand pas. Ne perdez pas une occasion d'économiser jusqu'à 63 000...
25L7ENNIES1W,2025-10-20T22:00:00Z,Villereau,,59530,BUY,HOUSE,249900.0,147.0,9,4,"“L'expresso, c'est le bien en 30 secondes…” : Maison de 147m² habitables avec prairie de 4650m², boxs et 128m² d'annexes. La maison est sur 3 niveaux dont un sous-sol de 55m² 4 Chambres - Véranda lum..."
25CQTI7SJ758,2025-02-26T07:24:00Z,Saint-André-Lez-Lille,Sainte Helene,59350,BUY,APARTMENT,212000.0,46.36,2,1,"Découvrez en exclusivité votre nouvelle résidence FLOW idéalement situé à Saint-André-lez-Lille, une commune prisée aux portes de Lille ! Ce programme neuf vous propose des appartements du T1 au T5, ..."
25D3R5IZP3M1,2025-02-26T07:24:00Z,Saint-André-Lez-Lille,Sainte Helene,59350,BUY,APARTMENT,162000.0,31.2,1,,"Découvrez en exclusivité votre nouvelle résidence FLOW idéalement situé à Saint-André-lez-Lille, une commune prisée aux portes de Lille ! Ce programme neuf vous propose des appartements du T1 au T5, ..."
25WSH3FPL1WP,2025-11-28T18:44:00Z,Cysoing,,59830,BUY,HOUSE,649000.0,167.0,7,5,"Située à proximité de Cysoing, dans un environnement calme et verdoyant, cette maison familiale construite en 2010 offre un cadre de vie paisible sans aucun vis-à-vis, idéal pour ceux qui recherchent..."
257JEQW74CPY,2025-11-27T15:26:00Z,Lille,Centre,59000,BUY,APARTMENT,745000.0,145.02,4,3,"Découvrez ce T4 d'exception de 145,02m² loi Carrez, situé au 2 € étage d'un immeuble bourgeois avec ascenseur et gardien, offrant une vue imprenable sur la Place de la République et le Palais des Bea..."
