id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25IJNQJW7JLY,2025-02-27T14:41:00Z,Vars,,05560,BUY,APARTMENT,724000.0,90.35,4,3,"Un lieu véritablement unique à VARS Les Claux – ski aux pieds Découvrez une véritable Résidence d’exception : Les Chalets de l’Or Blanc, un ensemble exclusif composé de trois chalets distincts, chacu..."
25W9HKSAKLHW,2025-02-27T14:41:00Z,Vars,,05560,BUY,APARTMENT,499000.0,65.2,3,2,"Un lieu véritablement unique à VARS Les Claux – ski aux pieds Découvrez une véritable Résidence d’exception : Les Chalets de l’Or Blanc, un ensemble exclusif composé de trois chalets distincts, chacu..."
24SMQY9NZB8K,2023-07-19T14:21:00Z,Gap,Bayard,05000,BUY,APARTMENT,350000.0,77.9,4,3,"Carré Vapincum, une résidence qui réinvente l'art de vivre en ville ! Au cœur de la ville, à deux pas des transports publics et du charmant Parc de la Pépinière, découvrez Carré Vapincum, un projet d..."
23TVVDUXLM9F,2023-07-19T14:21:00Z,Gap,Bayard,05000,BUY,APARTMENT,260000.0,65.7,3,2,"Carré Vapincum, une résidence qui réinvente l'art de vivre en ville ! Au cœur de la ville, à deux pas des transports publics et du charmant Parc de la Pépinière, découvrez Carré Vapincum, un projet d..."
23FBSBWWBUH2,2023-07-19T14:21:00Z,Gap,Bayard,05000,BUY,APARTMENT,170000.0,38.5,2,1,"Carré Vapincum, une résidence qui réinvente l'art de vivre en ville ! Au cœur de la ville, à deux pas des transports publics et du charmant Parc de la Pépinière, découvrez Carré Vapincum, un projet d..."
23NGZ1YI1ZPH,2023-07-19T14:21:00Z,Gap,Bayard,05000,BUY,APARTMENT,145000.0,26.1,1,,"Carré Vapincum, une résidence qui réinvente l'art de vivre en ville ! Au cœur de la ville, à deux pas des transports publics et du charmant Parc de la Pépinière, découvrez Carré Vapincum, un projet d..."
246JF1CYL8VF,2024-09-16T11:09:00Z,Briancon,Briancon Sud,05100,BUY,APARTMENT,278500.0,50.14,2,,"LES TRAVAUX ONT DÉMARRÉ Les Terrasses du Parc, du T2 au T5 offrent de beaux volumes intérieurs avec une distribution des pièces optimale, conjuguant fonctionnalité et convivialité. Avec une majorité ..."
24LHMTMFXH4N,2024-09-16T11:09:00Z,Briancon,Briancon Sud,05100,BUY,APARTMENT,373500.0,74.06,3,,"LES TRAVAUX ONT DÉMARRÉ Les Terrasses du Parc, du T2 au T5 offrent de beaux volumes intérieurs avec une distribution des pièces optimale, conjuguant fonctionnalité et convivialité. Avec une majorité ..."
23HFKKWJCFT4,2021-04-24T05:04:00Z,Briancon,Grande Boucle,05100,BUY,APARTMENT,379000.0,81.0,4,,"DERNIÈRES OPPORTUNITÉS À SAISIR PROGRAMME LIVRÉ T4 d'exception à Briançon, au coeur de l'écoquartier des 15/9 dans notre programme Les Coteaux du Galibier. Situés sur les hauteurs du coeur de la vill..."
252X65FNXQ6S,2025-02-27T14:41:00Z,Vars,,05560,BUY,APARTMENT,1049000.0,122.0,5,4,"Un lieu véritablement unique à VARS Les Claux – ski aux pieds Découvrez une véritable Résidence d’exception : Les Chalets de l’Or Blanc, un ensemble exclusif composé de trois chalets distincts, chacu..."
24CVJV5LP2N3,2024-05-31T18:39:00Z,Briancon,Grande Boucle,05100,BUY,APARTMENT,194000.0,39.54,2,1,"Découvrez ORMA, une adresse d'exception en plein cœur du quartier des 15/9 à Briançon. Une architecture qui danse entre histoire et modernité, portée par l'énergie de la montagne, pour créer un décor..."
24AQS5F6J8DG,2024-09-16T11:09:00Z,Briancon,Briancon Sud,05100,BUY,APARTMENT,450500.0,89.59,4,,"LES TRAVAUX ONT DÉMARRÉ Les Terrasses du Parc, du T2 au T5 offrent de beaux volumes intérieurs avec une distribution des pièces optimale, conjuguant fonctionnalité et convivialité. Avec une majorité ..."
25PCPLQPKJJ5,2025-11-27T03:41:00Z,Gap,Bayard,05000,BUY,APARTMENT,238000.0,53.58,2,,Baisse de prix ! Prenez rendez-vous dès maintenant pour choisir votre appartement ! Emplacement exceptionnel Secteur Crève Coeur entre la polyclinique et le collège Saint Joseph. Au coeur du parc nat...
251L7UPEJS3K,2025-02-27T14:41:00Z,Vars,,05560,BUY,APARTMENT,1295000.0,131.2,6,5,"Un lieu véritablement unique à VARS Les Claux – ski aux pieds Découvrez une véritable Résidence d’exception : Les Chalets de l’Or Blanc, un ensemble exclusif composé de trois chalets distincts, chacu..."
243YLEJU3XCZ,2024-05-31T18:39:00Z,Briancon,Grande Boucle,05100,BUY,APARTMENT,284000.0,58.02,3,2,"Découvrez ORMA, une adresse d'exception en plein cœur du quartier des 15/9 à Briançon. Une architecture qui danse entre histoire et modernité, portée par l'énergie de la montagne, pour créer un décor..."
2564YWHRBLC9,2025-11-27T03:41:00Z,Gap,Bayard,05000,BUY,APARTMENT,253000.0,58.26,3,,Baisse de prix ! Prenez rendez-vous dès maintenant pour choisir votre appartement ! Emplacement exceptionnel Secteur Crève Coeur entre la polyclinique et le collège Saint Joseph. Au coeur du parc nat...
25EMS61VZNCG,2022-03-15T14:45:00Z,Gap,Romette,05000,BUY,HOUSE,275500.0,79.68,3,,Offres exceptionnelles : VOS FRAIS DE NOTAIRE OFFERTS JUSQU'À 70 000 EUROS* LIVRAISON IMMÉDIATE Derniers lots disponibles : Appartement et maisons Devenez propriétaire sur les hauteurs de Gap ! Doté ...
24KAHLKVQWXP,2024-09-16T11:09:00Z,Briancon,Briancon Sud,05100,BUY,APARTMENT,685000.0,127.43,5,,"LES TRAVAUX ONT DÉMARRÉ Les Terrasses du Parc, du T2 au T5 offrent de beaux volumes intérieurs avec une distribution des pièces optimale, conjuguant fonctionnalité et convivialité. Avec une majorité ..."
24EFNUV9TAX9,2024-05-31T18:39:00Z,Briancon,Grande Boucle,05100,BUY,APARTMENT,382000.0,80.91,4,3,"Découvrez ORMA, une adresse d'exception en plein cœur du quartier des 15/9 à Briançon. Une architecture qui danse entre histoire et modernité, portée par l'énergie de la montagne, pour créer un décor..."
25MXVRL9WEI7,2025-11-27T03:41:00Z,Gap,Bayard,05000,BUY,APARTMENT,319000.0,87.87,4,,Baisse de prix ! Prenez rendez-vous dès maintenant pour choisir votre appartement ! Emplacement exceptionnel Secteur Crève Coeur entre la polyclinique et le collège Saint Joseph. Au coeur du parc nat...
25KJ7Q4WI69M,2022-03-15T14:45:00Z,Gap,Romette,05000,BUY,APARTMENT,266900.0,80.13,4,,Offres exceptionnelles : VOS FRAIS DE NOTAIRE OFFERTS JUSQU'À 70 000 EUROS* LIVRAISON IMMÉDIATE Derniers lots disponibles : Appartement et maisons Devenez propriétaire sur les hauteurs de Gap ! Doté ...
24R1G5DN56Q4,2024-05-31T18:39:00Z,Briancon,Grande Boucle,05100,BUY,APARTMENT,799000.0,138.22,5,3,"Découvrez ORMA, une adresse d'exception en plein cœur du quartier des 15/9 à Briançon. Une architecture qui danse entre histoire et modernité, portée par l'énergie de la montagne, pour créer un décor..."
25Z6RUNF4JQR,2025-02-15T01:22:00Z,La Salle-les-Alpes,,05240,BUY,APARTMENT,226800.0,30.0,2,1,"Devenez propriétaire à La Salle les Alpes ! Idéalement située, proche des pistes et des commerces, venez découvrir cette résidence neuve L'ECRIN DE LA GUISANE qui vous permettra de profiter pleinemen..."
25DVCD5M11C4,2022-03-15T14:45:00Z,Gap,Romette,05000,BUY,HOUSE,302200.0,83.5,4,,Offres exceptionnelles : VOS FRAIS DE NOTAIRE OFFERTS JUSQU'À 70 000 EUROS* LIVRAISON IMMÉDIATE Derniers lots disponibles : Appartement et maisons Devenez propriétaire sur les hauteurs de Gap ! Doté ...
254YNKIVMGCM,2025-11-27T03:41:00Z,Gap,Bayard,05000,BUY,APARTMENT,382000.0,98.77,5,,Baisse de prix ! Prenez rendez-vous dès maintenant pour choisir votre appartement ! Emplacement exceptionnel Secteur Crève Coeur entre la polyclinique et le collège Saint Joseph. Au coeur du parc nat...
253PXVS6PGII,2025-02-15T01:22:00Z,La Salle-les-Alpes,,05240,BUY,APARTMENT,338400.0,54.0,3,2,"Devenez propriétaire à La Salle les Alpes ! Idéalement située, proche des pistes et des commerces, venez découvrir cette résidence neuve L'ECRIN DE LA GUISANE qui vous permettra de profiter pleinemen..."
25VTB775H95Z,2025-07-11T08:37:00Z,Gap,Bayard,05000,BUY,APARTMENT,226000.0,43.77,2,,"Sur les hauteurs de Gap, dans le quartier prisé de Chabanas, découvrez une nouvelle résidence intimiste comprenant 20 appartements du 2 pièces à la villa sur le toit, ainsi que des terrains à bâtir. ..."
25ZNP26JQRKP,2025-07-11T08:37:00Z,Gap,Bayard,05000,BUY,APARTMENT,279000.0,61.39,3,,"Sur les hauteurs de Gap, dans le quartier prisé de Chabanas, découvrez une nouvelle résidence intimiste comprenant 20 appartements du 2 pièces à la villa sur le toit, ainsi que des terrains à bâtir. ..."
24JSS7EMYYZK,2024-11-25T13:47:00Z,St Chaffrey,,05330,BUY,APARTMENT,399400.0,52.3,2,,"Démarrage des travaux ! Découvrez Aquila à Saint-Chaffrey, une résidence intimiste et premium de 13 appartements neufs avec des prestations haut de gamme. Profitez d'un accès rapide aux pistes de Ser..."
242FDQ9DECDK,2024-11-25T13:47:00Z,St Chaffrey,,05330,BUY,APARTMENT,586600.0,66.89,3,,"Démarrage des travaux ! Découvrez Aquila à Saint-Chaffrey, une résidence intimiste et premium de 13 appartements neufs avec des prestations haut de gamme. Profitez d'un accès rapide aux pistes de Ser..."
25NQKHL1Q6W1,2025-02-15T01:22:00Z,La Salle-les-Alpes,,05240,BUY,APARTMENT,454800.0,65.0,4,3,"Devenez propriétaire à La Salle les Alpes ! Idéalement située, proche des pistes et des commerces, venez découvrir cette résidence neuve L'ECRIN DE LA GUISANE qui vous permettra de profiter pleinemen..."
254DEUAY7G24,2025-07-11T08:37:00Z,Gap,Bayard,05000,BUY,APARTMENT,368150.0,86.06,4,,"Sur les hauteurs de Gap, dans le quartier prisé de Chabanas, découvrez une nouvelle résidence intimiste comprenant 20 appartements du 2 pièces à la villa sur le toit, ainsi que des terrains à bâtir. ..."
25PH31ECQZQQ,2025-04-03T12:37:00Z,St Chaffrey,,05330,BUY,APARTMENT,787000.0,87.18,4,,"Démarrage des travaux ! Découvrez Aquila à Saint-Chaffrey, une résidence intimiste et premium de 13 appartements neufs avec des prestations haut de gamme. Profitez d'un accès rapide aux pistes de Ser..."
25MXL3UVSWSX,2025-02-15T01:22:00Z,La Salle-les-Alpes,,05240,BUY,APARTMENT,594000.0,86.0,5,4,"Devenez propriétaire à La Salle les Alpes ! Idéalement située, proche des pistes et des commerces, venez découvrir cette résidence neuve L'ECRIN DE LA GUISANE qui vous permettra de profiter pleinemen..."
259DYVQDY7Y7,2025-11-13T13:59:00Z,Vars,,05560,BUY,APARTMENT,539000.0,143.0,6,3,"Llinares Immobilier vous propose : COEUR DE VARS, un superbe appartement en triplex de 145m², entièrement rénové, situé au cœur de la station de Vars. Idéalement placé dans un cadre privilégié et rec..."
