id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
259UC6E6F5RI,2025-12-01T01:36:00Z,Fosseuse,,60540,BUY,PROJECT,289000,,6,3,"Sur un terrain de 704 m², devenez propriétaire de votre maison neuve 3 chambres de 98.33 m². Nos maisons sont toutes sur-mesure et entièrement personnalisables avec plan de 2 à 5 chambres, mode de ch..."
2567C7WQXZ8P,2025-12-01T01:36:00Z,Bornel,,60540,BUY,PROJECT,255000,,6,4,"Sur un terrain de 595 m², devenez propriétaire de votre maison neuve 4 chambres de 102.55 m². Nos maisons sont toutes sur-mesure et entièrement personnalisables avec plan de 2 à 5 chambres, mode de c..."
252P7E879Z5V,2025-11-18T02:56:00Z,Bornel,,60540,BUY,HOUSE,274500,81.67,4,3,"Dans le charmant village de Bornel, cette maison de 4 pièces sur sous sol total vous attend pour vous offrir un espace de vie convivial et fonctionnel. Avec une surface habitable de 82 m², elle compr..."
25YIY4QIZHMR,2025-09-17T04:53:00Z,Compiegne,Reservoirs,60200,BUY,APARTMENT,249000,63.0,3,,"NOUVEAU À COMPIÈGNE ! DEVENEZ PROPRIÉTAIRE DANS LE QUARTIER PRISÉ DES SABLONS : VOTRE MAISON « PRÊTE-À-VIVRE » À PARTIR DE 285 000 euros OU VOTRE VILLA-JARDIN 3 PIECES À PARTIR DE 1049,35 euros/MOIS ..."
25LTQFGVWIZ6,2025-11-28T13:12:00Z,Béthisy-Saint-Martin,,60320,BUY,HOUSE,360000,152.0,6,4,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service immobilier d'exception. Découvrez une présentation soignée de ce bien : des photos professionnelles, un plan détaillé et une ..."
25HAN9ADXNKB,2023-10-25T14:18:00Z,Pont-Sainte-Maxence,Montignette,60700,BUY,APARTMENT,154000,46.0,2,1,DEVENIR PROPRIETAIRE à PONT-SAINTE-MAXENCE Le charme d'une ville chargée d'histoire à proximité immédiate de Paris et de l'aéroport Charles De Gaulle Reconnue pour la richesse de son patrimoine histo...
257KR2FUUAK1,2025-11-27T11:33:00Z,Coye-la-Forêt,,60580,BUY,HOUSE,580000,167.37,6,4,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service immobilier d'exception. Faites confiance à notre expertise pour transformer vos projets immobiliers en réussites remarquables..."
25F149IJV6IJ,2025-11-26T16:28:00Z,Puiseux-le-Hauberger,,60540,BUY,PROJECT,242953,,4,3,"Pour tout renseignement, contactez uniquement StéphanePRUD'HOMME.O6 86 28 27 97 (laissez un message si besoin) GOUTTEZ AU CONFORT D'UNE MAISON NEUVE GARANTIE 10 ANS : Economique , lumineuse , moderne..."
25ZAG59A1LKT,2025-11-30T16:17:00Z,Nanteuil-le-Haudouin,,60440,BUY,PROJECT,271500,,5,4,"Sébastien Tazouaout de l'agence de Mareuil Lès Meaux vous propose vous propose un projet de construction adapté à vos besoins et conforme aux dernières normes en vigueur (RE 2020), vous garantissant ..."
2423IKWAABHC,2023-10-25T14:18:00Z,Pont-Sainte-Maxence,Montignette,60700,BUY,APARTMENT,169000,51.0,3,2,DEVENIR PROPRIETAIRE à PONT-SAINTE-MAXENCE Le charme d'une ville chargée d'histoire à proximité immédiate de Paris et de l'aéroport Charles De Gaulle Reconnue pour la richesse de son patrimoine histo...
