id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25F9NCIYNNDK,2025-08-28T23:52:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,162900,114.0,3,2,"À vendre en EXCLUSIVITÉ – Maison familiale en pierres, couverte en tuiles de pays avec vue dégagée sur la nature et environnement exceptionnel. Découvrez cette charmante maison en pierres située au c..."
2568SZ7YG4WV,2025-10-28T12:28:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,173500,189.0,7,5,"À vendre en EXCLUSIVITE et située à seulement 15 minutes de Mortagne au Perche, au coeur d'un village Etape dynamique avec tous commerces, services, écoles, collège, crèche, base de loisirs, cinéma, ..."
255S2KPF58HG,2025-02-03T13:32:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,243800,193.0,7,4,"Découvrez cette charmante propriété de caractère située entre Mortagne au Perche et Alençon, secteur Le Mêle sur Sarthe (Village Etape avec tous commerces, services, écoles, ramassages scolaires, mai..."
25CQ51FM7QJN,2025-10-09T11:52:00Z,Le Mêle-sur-Sarthe,,61170,BUY,HOUSE,152100,77.0,4,2,"À vendre : Maison de campagne aux portes du Mêle sur Sarthe. Découvrez cette charmante maison habitable de suite, située dans un hameau tranquille composé de deux maisons, à proximité immédiate du Mê..."
25TNR8IXB6QG,2025-09-27T23:57:00Z,Sainte-Gauburge-Sainte-Colombe,,61370,BUY,HOUSE,108900,108.0,4,3,"À vendre en EXCLUSIVITÉ – Maison d'habitation à finir de restaurer Découvrez cette maison offrant de beaux volumes et un beau potentiel, comprenant : Au rez-de-chaussée : Entrée de 9 m² Cuisine équip..."
25TF39WABFVS,2025-02-03T13:32:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,988000,297.0,9,4,"Magnifique domaine de haut standing et d'exception, situé au coeur du Parc Régional du Perche, et à proximité de la ville historique de Mortagne au Perche. Un véritable oasis de sérénité nichée dans ..."
25QQ5YR7ZLUD,2025-02-03T13:32:00Z,Le Mêle-sur-Sarthe,,61170,BUY,HOUSE,199500,115.0,6,3,"À vendre, charmante maison au coeur du Mêle-sur-Sarthe ! Découvrez cette belle maison habitable de suite, idéalement située à proximité des commerces, services et écoles. Cette propriété offre un cad..."
25N2VZMWDEKE,2025-06-07T13:13:00Z,Argentan,,61200,BUY,HOUSE,1490000,412.0,12,4,"Située dans un écrin de verdure, sur les hauteurs au calme, proche d'une forêt à 5 minutes d'Argentan, se dévoile une maison d'architecte aux lignes contemporaines, avec une vue remarquable face à la..."
25JTYPJL9HL4,2025-03-08T00:47:00Z,Le Mêle-sur-Sarthe,,61170,BUY,HOUSE,477750,234.0,8,4,"À vendre : Une Propriété d'Exception dans l'Orne Nichée sur le pittoresque route de Paris-Brest, à proximité du charmant village d'Alençon, cette propriété d'exception vous attend. Offrant un cadre d..."
255UL958GNFX,2025-05-23T23:25:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,388500,115.0,4,3,"A vendre dans Le Perche, à 2 heures de Paris, 1 heure seulement de Chartres et Le Mans. Découvrez cette somptueuse propriété d'exception, parfaitement adaptée pour accueillir votre famille dans le ch..."
2559VSKXIHY8,2025-02-03T13:31:00Z,Sablons sur Huisne,,61110,BUY,HOUSE,77200,115.0,4,2,"À vendre : Maison ancienne à restaurer sur le secteur de Bretoncelles - Proximité gare et commerces ! Découvrez cette charmante maison située à proximité de Bretoncelles et Sablons sur Huisne, à seul..."
25J881VI5MM5,2025-04-02T23:49:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,1092000,419.0,19,10,"À vendre : Château d'exception dans l'Orne - au coeur du Parc Régional du Perche Découvrez ce magnifique château de la fin XVIIIème siècle début XIXème siècle, niché dans le secteur prisé de Mortagne..."
254F4VVB8JUW,2025-02-11T00:45:00Z,Le Mêle-sur-Sarthe,,61170,BUY,HOUSE,173500,146.0,5,3,"À vendre – Charmante maison en pierres de 146 m² proche du Mêle sur Sarthe. L'Agence TENDANCE IMMO du Mêle-sur-Sarthe vous propose en nouveauté cette belle maison de caractère, construite en pierres,..."
25ILS4ZS1GHP,2025-05-23T23:25:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,378000,150.0,5,3,"A vendre dans Le Perche, à 2 heures de Paris, 1 heure seulement de Chartres et Le Mans. Découvrez cette somptueuse propriété d'exception, adaptée pour acceuillir votre famille, à seulement 2 heures d..."
25LK8CR2W717,2025-03-29T12:40:00Z,Sainte-Gauburge-Sainte-Colombe,,61370,BUY,HOUSE,135900,143.25,6,4,"À vendre : Charmante maison en pierres dans le secteur de Sainte Gauburge Sainte Colombes ! Découvrez cette belle maison d'habitation, idéalement située dans le secteur de Sainte Gauburge, à proximit..."
25QGWK4I492M,2025-02-03T13:32:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,118700,109.0,5,3,"Charmante maison lumineuse près de Mortagne au Perche. Découvrez cette belle maison située à seulement 5 minutes d'un village dynamique avec tous commerces, services et écoles. Idéale pour une famill..."
25SSWETNBZGY,2025-05-15T12:13:00Z,Courtomer,,61390,BUY,HOUSE,152100,104.0,5,4,"A vendre en EXCLUSIVITE et à ne pas manquer ! Spacieuse maison familiale avec sous-sol complet et jardin à Courtomer (village avec tous commerces, services et école). Découvrez cette belle opportunit..."
25WJ3IM7KZ8F,2025-07-15T23:50:00Z,Sainte-Gauburge-Sainte-Colombe,,61370,BUY,HOUSE,173500,135.0,4,3,"Imaginez-vous dans une maison de charme de 135 m², baignée de lumière naturelle, où chaque pièce respire la tranquillité et le confort. Cette maison, située dans un cadre idyllique, est prête à accue..."
24I19HDSPD9N,2024-12-28T21:40:00Z,L Aigle,,61300,BUY,HOUSE,148000,167.0,7,5,"L'agence immobilière L'étoile Immobilier de Mortagne-Au-Perche vous présente à la vente cet immeuble composé de 2 logements avec jardin clos, il se compose : - au rez-de-chaussée, un logement individ..."
251E3Z5YD18L,2025-05-23T23:25:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,378000,151.0,7,5,"A vendre dans Le Perche, à 2 heures de Paris, 1 heure seulement de Chartres et Le Mans. Découvrez cette somptueuse propriété d'exception, parfaitement adaptée pour accueillir votre famille ou une act..."
25SS46EQY1IH,2025-03-27T21:51:00Z,Moulins la Marche,,61380,BUY,HOUSE,496000,160.0,6,3,"L'étoile immobilier vous présente dans Le Perche Ornais, cette propriété en parfait état d'entretien de 12ha67 de pairies vallonnées avec vues, elle se compose de 13 paddocks en lisses avec 8 abris e..."
25B7MNWC6P1J,2025-11-04T01:07:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,409500,197.0,7,3,"Située dans un environnement calme et verdoyant, cette charmante propriété offre de beaux volumes et un fort potentiel. Elle se compose au rez-de-chaussée d'une entrée avec départ d'escalier, d'un sé..."
25E5M6QSAG6T,2025-03-14T14:05:00Z,Le Mêle-sur-Sarthe,,61170,BUY,HOUSE,367500,195.0,8,7,"À vendre entre Mortagne au Perche et Alençon (Axe Paris / Brest), dans le secteur du Mêle-sur-Sarthe (village Etape avec tous commerces, services, écoles et base de loisirs), propriété de type Maison..."
25X5ENCN8EAY,2025-07-05T21:17:00Z,Feings,,61400,BUY,HOUSE,137500,169.0,10,5,L'étoile immobilier vous présente cet ancien hôtel restaurant devenu maison de famille de part ses 5 ou 7 chambres et sa grande pièce de vie de 47 m². Elle est située dans Le Perche au cœur du villag...
2492JWBXT3DE,2024-04-25T21:40:00Z,Moulins la Marche,,61380,BUY,HOUSE,159000,100.0,4,3,"L'agence ""L'Etoile Immobilier"" vous présente cette charmante maison de campagne sur 3036 m² de terrain comprenant : - Au rez-de-chaussée : cuisine, pièce de vie avec conduit de cheminée, chambre, sal..."
25TX4CD2RTAQ,2025-08-29T20:57:00Z,Mortagne Au Perche,,61400,BUY,HOUSE,85500,80.0,3,1,"L'Etoile Immobilier vous présente en exclusivité cette maison en pierres à rénover avec jardinet , elle se compose : d'une entrée, WC, cuisine, séjour, salon, chambre, dégagement avec WC et salle de ..."
25CYVLP4QY49,2025-07-27T00:39:00Z,Le Mêle-sur-Sarthe,,61170,BUY,HOUSE,222600,95.0,4,2,"Maison de campagne de plain-pied proche du Mêle-sur-Sarthe, à seulement 15 minutes de Mortagne au Perche et 15 minutes d'Alençon. Charmante maison située dans un environnement calme et verdoyant. Idé..."
25VSS4D7GMW4,2025-11-04T09:38:00Z,Bagnoles de l'Orne Normandie,,61140,BUY,HOUSE,210000,180.0,8,5,"En exclusivité, nous vous proposons de vous accompagner pour l'achat de cette maison composée de 4 appartements avec 2 studios (dont 1 de 40m2), 1T2, 1T3 à Bagnoles De L'Orne Normandie, aves sa stati..."
25QIGUM4KSLK,2025-11-20T15:13:00Z,Tourouvre Au Perche,,61190,BUY,HOUSE,320000,232.0,10,8,"Située dans un hameau à proximité du bourg de Tourouvre, cette spacieuse longère de caractère offre 232m² habitables répartis sur 10 pièces. La maison se compose comme suit : - Au rez-de-jardin (supe..."
25EN7LLSRMJR,2025-11-07T12:23:00Z,Moulins-la-Marche,,61380,BUY,HOUSE,149500,202.0,7,6,"Dans un village avec commerces et nombreux services (école et collège, médecins pharmacien etc), ancienne école transformée en maison d'habitation, laquelle est composée : - Au rez-de-chaussée d'une ..."
257IDBIGEPX5,2025-11-06T17:24:00Z,Mauves-sur-Huisne,,61400,BUY,HOUSE,147500,110.0,6,4,"En plein coeur du triangle d'or du Perche, très belle maison de bourg entièrement restaurée d'une surface habitable de 120m². Très bien organisée et sans aucune perte de place, elle est composée d'un..."
25JKLX2DB1VG,2025-11-03T10:42:00Z,Réveillon,,61400,BUY,HOUSE,76500,83.0,6,3,"En hameau, maison de bourg à usage d'habitation composée de : - Au rez-de-chaussée : entrée, salon, salle à manger sur cuisine ouverte, chambre, salon, buanderie ; - A l'inter-étage : un WC ; - A l'é..."
254Q5FB25VXH,2025-11-03T15:05:00Z,Moulins-la-Marche,,61380,BUY,HOUSE,9500,40.0,2,1,"Petite maison en coeur de bourg, sur deux niveaux, à restaurer entièrement. Agences de France – SIREN : 899413603 – Titulaire de la carte T : 29012021000000009 non habilité à percevoir des fonds"
25EW5YKP36YV,2025-03-29T12:40:00Z,Le Mêle-sur-Sarthe,,61170,BUY,HOUSE,152100,142.0,6,5,"Si vous recherchez une maison pour votre famille, cette charmante maison dans le secteur de Le Mêle sur Sarthe / Mortagne au Perche est parfaite pour vous. Découvrez cette belle longère offrant de sp..."
255LCQF24325,2025-04-18T23:58:00Z,Le Mêle-sur-Sarthe,,61170,BUY,HOUSE,119700,130.0,5,3,"A vendre en EXCLUSIVITE, dans le secteur de Mortagne au Perche, charmante maison avec jardin et garage, située dans un bel environnement calme et en même temps au pied des commerces. Cette agréable m..."
25RQEUG7GSU3,2025-05-10T11:39:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,103600,90.0,4,3,"Découvrez cette magnifique maison ancienne, un véritable havre de paix et de charme, prête à accueillir votre famille dans un cadre de vie exceptionnel. Avec ses 90 m² de surface habitable, cette dem..."
25DD7CHD88GY,2025-06-17T19:23:00Z,Moutiers-Au-Perche,,61110,BUY,HOUSE,220000,200.0,6,4,"MOUTIERS-AU-PERCHE (61110) - Charmante longère avec de grandes dépendances attenantes sur un terrain de près de 1,5 hectares. Idéal résidence secondaire ou principale à seulement 1h30 de Paris. Situé..."
25W8DEDV1DJ4,2025-06-17T19:23:00Z,Remalard en Perche,,61110,BUY,HOUSE,220000,200.0,6,4,"MOUTIERS-AU-PERCHE (61110) - A seulement 10 min de REMALARD.Charmante longère avec de grandes dépendances attenantes sur un terrain de près de 1,5 hectares. Idéal résidence secondaire ou principale à..."
25HNE7PKBQQP,2025-07-27T00:39:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,243000,145.0,7,4,"Dans le secteur de Mortagne au Perche, à 2 heures seulement de Paris, charmante maison de campagne en bon état, idéale pour les amoureux de la campagne et vos projets familiaux. Dès l'entrée, vous dé..."
254P5PUNZTID,2025-02-03T13:31:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,125100,67.0,4,2,"À Vendre : Charmante Maison de Village à Mortagne-au-Perche Découvrez cette maison de village habitable de suite, située dans le secteur recherché de Mortagne-au-Perche. Cette propriété offre un cadr..."
25597T54WBME,2025-07-22T08:42:00Z,Mortagne-Au-Perche,,61400,BUY,HOUSE,178700,102.0,3,2,"À vendre à Mortagne au Perche, à quelques pas du centre-ville dans un environnement calme et verdoyant, charmante maison qui vous offre un cadre de vie paisible en bénéficiant du confort d'un environ..."
