id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
2572NDSGTA8L,2025-11-06T06:57:00Z,Berck sur Mer,Gare-Agora,62600,BUY,APARTMENT,389000.0,79.8,4,3,"Découvrez Les Salines...Idéalement située, à deux pas de la plage et des commerces de Berck-sur-Mer, la résidence les Salines vous propose des appartements du 2 au 4 pièces. Chaque appartement dispos..."
25NZXPJQ13SW,2025-11-06T06:57:00Z,Berck sur Mer,Gare-Agora,62600,BUY,APARTMENT,318000.0,67.3,3,2,"Découvrez Les Salines...Idéalement située, à deux pas de la plage et des commerces de Berck-sur-Mer, la résidence les Salines vous propose des appartements du 2 au 4 pièces. Chaque appartement dispos..."
25LDY9BVHE7L,2025-11-06T06:57:00Z,Berck sur Mer,Gare-Agora,62600,BUY,APARTMENT,228000.0,49.9,2,1,"Découvrez Les Salines...Idéalement située, à deux pas de la plage et des commerces de Berck-sur-Mer, la résidence les Salines vous propose des appartements du 2 au 4 pièces. Chaque appartement dispos..."
249VFSQAEEY9,2024-10-09T07:21:00Z,Arras,Meaulens Saint Gery,62000,BUY,APARTMENT,387300.0,84.55,3,2,LANCEMENT COMMERCIAL BUREAU DE VENTE SUR SITE Rendez-vous au 03 21 150 900 48 appartements de prestige : Le domaine du Manoir Vicomte est la nouvelle adresse de référence à Arras. Proche de toutes le...
25N729MVVSG8,2025-09-04T06:16:00Z,Bethune,Gare,62400,BUY,APARTMENT,189000.0,43.43,2,1,"Découvrez l'Avant-Scène, Idéalement située à Béthune, la résidence l'Avant-Scène se compose d'appartements de 2 au 4 pièces de 45m² à 105m². Chaque logement dispose d'un extérieur (loggia, terrasse o..."
24URM7JBURHX,2024-10-09T07:21:00Z,Arras,Meaulens Saint Gery,62000,BUY,APARTMENT,249800.0,53.09,2,1,LANCEMENT COMMERCIAL BUREAU DE VENTE SUR SITE Rendez-vous au 03 21 150 900 48 appartements de prestige : Le domaine du Manoir Vicomte est la nouvelle adresse de référence à Arras. Proche de toutes le...
247D76EK91IA,2024-06-19T06:23:00Z,Bethune,Gare,62400,BUY,APARTMENT,239000.0,62.22,3,2,"Découvrez l'Avant-Scène, Idéalement située à Béthune, la résidence l'Avant-Scène se compose d'appartements de 2 au 4 pièces de 45m² à 105m². Chaque logement dispose d'un extérieur (loggia, terrasse o..."
24HXIAKCNLEV,2023-10-19T06:03:00Z,Bethune,Gare,62400,BUY,APARTMENT,340000.0,159.58,,,"Découvrez l'Avant-Scène, Idéalement située à Béthune, la résidence l'Avant-Scène se compose d'appartements de 2 au 4 pièces de 45m² à 105m². Chaque logement dispose d'un extérieur (loggia, terrasse o..."
248IAAIACD7D,2024-10-14T08:40:00Z,Cucq,Stella,62780,BUY,APARTMENT,295000.0,40.0,2,1,"Découvrez ce programme immobilier neuf à Cucq, à seulement 5 minutes du centre-ville et à proximité du Golf & Resort. Située dans la charmante station balnéaire de Cucq, cette résidence allie nature ..."
24TN1MNA31EJ,2024-12-21T07:23:00Z,Le Touquet-Paris-Plage,Littoral,62520,BUY,APARTMENT,530000.0,47.26,2,1,"À seulement 5 minutes à pied de la plage et à deux pas du marché couvert, Quartus dévoile Luminescence, une résidence d'exception à l'architecture contemporaine. Située à l'angle des rues de la Paix ..."
