id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
253C8RN7576A,2025-11-26T21:36:00Z,Mont Dore,,63240,BUY,APARTMENT,65000,25.0,1,,"En plein coeur du Massif du Sancy et, plus précisément, de la commune du Mont Dore, cet appartement meublé de 25,90 m², situé au rez-de-chaussée, se compose d'une cuisine, un couloir, une salle d'eau..."
2464VZGVJCJE,2023-06-21T10:06:00Z,Mozac,,63200,BUY,APARTMENT,171000,48.0,2,1,"Programme immobilier neuf avec des prestations de qualité. Idéalement situé dans un environnement verdoyant, ce nouveau projet s'inscrit dans un quartier calme, tout en étant à deux pas du centre-vil..."
24XJ9NCPW71G,2023-06-21T10:06:00Z,Mozac,,63200,BUY,HOUSE,331000,100.0,5,4,"Programme immobilier neuf avec des prestations de qualité. Idéalement situé dans un environnement verdoyant, ce nouveau projet s'inscrit dans un quartier calme, tout en étant à deux pas du centre-vil..."
24LQM3ESKF7A,2023-06-21T10:06:00Z,Mozac,,63200,BUY,HOUSE,272000,85.0,4,3,"Programme immobilier neuf avec des prestations de qualité. Idéalement situé dans un environnement verdoyant, ce nouveau projet s'inscrit dans un quartier calme, tout en étant à deux pas du centre-vil..."
24S7EIPXYDRY,2023-06-21T10:06:00Z,Mozac,,63200,BUY,APARTMENT,266000,86.0,4,3,"Programme immobilier neuf avec des prestations de qualité. Idéalement situé dans un environnement verdoyant, ce nouveau projet s'inscrit dans un quartier calme, tout en étant à deux pas du centre-vil..."
24I6PUNPAYRD,2023-06-21T10:06:00Z,Mozac,,63200,BUY,APARTMENT,215000,61.0,3,2,"Programme immobilier neuf avec des prestations de qualité. Idéalement situé dans un environnement verdoyant, ce nouveau projet s'inscrit dans un quartier calme, tout en étant à deux pas du centre-vil..."
25EA9UVRDQ6C,2025-11-25T21:38:00Z,Murat le Quaire,,63150,BUY,APARTMENT,75000,39.0,2,1,"En plein coeur du Massif du Sancy et, plus pécisément, de la commune de Murat Le Quaire, avec une vue imprnable sur le Massif du Sancy, venez découvrir cet appartement de 39,83 m² habitable (Loi Carr..."
24K65YK3NSHZ,2024-03-15T17:34:00Z,Cebazat,Nord,63118,BUY,APARTMENT,145500,39.57,2,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. La résidence est composée de deux bâtiments de 2 étages avec att...
251HM9KQA53I,2025-05-28T08:36:00Z,Cebazat,Nord,63118,BUY,APARTMENT,126000,34.44,1,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. La résidence est composée de deux bâtiments de 2 étages avec att...
25FI5NFRSIZH,2025-10-02T11:56:00Z,Pontaumur,,63380,BUY,HOUSE,149800,123.0,7,5,"Martine Bournoville et Christine COSTES, conseillères en immobilier , vous proposent cette maison lumineuse et bien entretenue de 123 m² habitables au coeur de Pontaumur. Elle vous offre de beaux vol..."
25EITHQLW8E7,2025-11-25T19:19:00Z,La Bourboule,,63150,BUY,HOUSE,393000,120.0,4,3,"Optimhome vous propose à La Bourboule, cette maison en pierre de 120 m², entièrement rénovée avec des matériaux de qualité, se situe dans un environnement calme tout en restant proche des commodités...."
24VHELX934TQ,2024-03-15T17:34:00Z,Cebazat,Nord,63118,BUY,APARTMENT,201500,58.39,3,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. La résidence est composée de deux bâtiments de 2 étages avec att...
252TB1GD1JDV,2025-11-26T09:55:00Z,Clermont-Ferrand,Bonnabaud,63000,BUY,APARTMENT,219000,76.0,3,1,"Clermont-Ferrand – Avenue Franklin Roosevelt - Grand 2 pièces de caractère avec terrasse, à 5 minutes de Jaude En poussant la porte de cet appartement, on a d'abord la sensation d'entrer dans un lieu..."
257XW9WWRW2W,2025-11-25T17:07:00Z,Chamalières,Beaulieu,63400,BUY,APARTMENT,304900,118.0,5,3,"Optimhome, vous propose de découvrir cet appartement de 118 m² situé à Chamalières (63) au 2 € étage avec ascenseur, dans une résidence des années 70 avec espaces verts. Ce bien de 5 pièces offre de ..."
25B25MLDPQG8,2025-10-02T08:38:00Z,Riom,Zone d'Activité Est,63200,BUY,APARTMENT,171000,45.68,2,,"À Riom, dans un écoquartier durable à 10 min de Clermont-Ferrand, Les Rives de l'Ambène propose 44 logements neufs : appartements du studio au 5 pièces, certains avec jardins privatifs et 6 maisons. ..."
254IMQAY3ZAF,2025-06-19T08:37:00Z,Cebazat,Nord,63118,BUY,APARTMENT,293500,90.7,4,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. La résidence est composée de deux bâtiments de 2 étages avec att...
25WK6QBE5BZ2,2025-10-31T13:36:00Z,Clermont Ferrand,République,63100,BUY,APARTMENT,194400,41.5,2,,"FRAIS DE NOTAIRE OFFERTS (*) pour les 10 premières réservations Du 31 octobre 2025 au 31 décembre 2025, Bouygues Immobilier vous offre les FRAIS DE NOTAIRE (*) sur une sélection de logements, pour le..."
25HNTV5T1PTH,2025-03-28T23:42:00Z,La Monnerie-le-Montel,,63650,BUY,HOUSE,219000,160.0,8,4,"La Monnerie-le-Montel offre un cadre de vie paisible et authentique, à quelques minutes de Thiers et du plan d'eau de Saint-Remy sur Durolle. Idéalement située, elle bénéficie d'un accès facile aux c..."
253RDLV6RTSB,2025-05-27T13:32:00Z,Clermont Ferrand,Bonnabaud,63000,BUY,APARTMENT,322500,63.18,3,,Livraison 2 ème trimèstre 2025 - Venez visiter notre APPARTEMENT TÉMOIN DÉCORÉ. Notre troisième collection d'appartements se situe à deux pas de la place de Jaude. Profitez du calme de la nature et b...
25R23WWQ47JI,2025-10-02T08:38:00Z,Riom,Zone d'Activité Est,63200,BUY,APARTMENT,115900,31.24,1,,"À Riom, dans un écoquartier durable à 10 min de Clermont-Ferrand, Les Rives de l'Ambène propose 44 logements neufs : appartements du studio au 5 pièces, certains avec jardins privatifs et 6 maisons. ..."
25VGTVVUAAXV,2025-10-31T13:36:00Z,Clermont Ferrand,République,63100,BUY,APARTMENT,170950,35.05,1,,"FRAIS DE NOTAIRE OFFERTS (*) pour les 10 premières réservations Du 31 octobre 2025 au 31 décembre 2025, Bouygues Immobilier vous offre les FRAIS DE NOTAIRE (*) sur une sélection de logements, pour le..."
2534L91163I1,2025-10-31T13:36:00Z,Clermont Ferrand,République,63100,BUY,APARTMENT,267770,57.35,3,,"FRAIS DE NOTAIRE OFFERTS (*) pour les 10 premières réservations Du 31 octobre 2025 au 31 décembre 2025, Bouygues Immobilier vous offre les FRAIS DE NOTAIRE (*) sur une sélection de logements, pour le..."
256BRZNWT634,2025-10-20T19:56:00Z,Clermont Ferrand,,63000,BUY,APARTMENT,376000,114.0,3,2,HYPER CENTRE-VILLE - A proximité de la place de Jaude - Dans un immeuble sécurisé - Au 5ème et dernier étage avec ascenseur - Rare et très bel appartement traversant T3 d'une surface habitable de 114...
23ZR18NM4Y7U,2022-10-11T08:37:00Z,Clermont Ferrand,Champfleuri,63100,BUY,APARTMENT,259000,76.04,4,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Programme immobilier neuf à Clermont-Ferrand : Garden City - Int...
25FFTT9HWM15,2025-09-26T20:24:00Z,Clermont Ferrand,,63000,BUY,APARTMENT,273000,103.0,4,3,"QUARTIER ROTONDE / COTE BLATIN - Au premier et deuxième étage (avec ascenseur) d'un immeuble sécurisé - Bel appartement T4 en duplex, en très bon état, d'une surface habitable de 103,81 m²: Niveau 1:..."
24KKQ9FH65W1,2024-02-02T09:44:00Z,Clermont Ferrand,République,63100,BUY,APARTMENT,183000,41.4,2,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Origine Franc Rosier à Clermont-Ferrand propose des appartements...
25455CUNEBT3,2025-10-20T19:56:00Z,Clermont Ferrand,,63000,BUY,APARTMENT,96750,41.0,2,1,"QUARTIER LAFAYETTE - Dans une résidence sécurisée - Au premier étage avec ascenseur - Appartement T2 d'une surface habitable de 41,80 m²: Entrée avec placards - Séjour - Cuisine équipée - Chambre - S..."
25CSFSTJZ2FL,2025-10-17T13:04:00Z,Beaumont,Mairie-Masage,63110,BUY,APARTMENT,179000,46.0,2,1,"RENDEZ-VOUS LES 15 ET 16 NOVEMBRE 2025 Toute l'équipe Noaho vous accueille de 10h à 19h sur place, au 2 rue de l’Hôtel de Ville, 63110 Beaumont. PROFITEZ DE NOS OFFRES WEEK-END EXCEPTIONNELLES Pendan..."
25PPRYP3G211,2025-07-22T02:23:00Z,Cournon-d'Auvergne,Zone Rte de Clermont-avenue de la Gare,63800,BUY,APARTMENT,315000,81.27,4,,"[OFFRE EXCEPTIONNELLE] Jusqu'au 31 décembre, bénéficiez des frais de notaire OFFERTS Découvrez PREMIERES LOGES, la nouvelle résidence signée Nexity, en plein coeur de Cournon d'Auvergne. Soyez aux Pr..."
259N89AUNVFY,2025-08-03T08:35:00Z,Riom,Zone d'Activité Est,63200,BUY,APARTMENT,191000,59.37,3,,"À Riom, dans un écoquartier durable à 10 min de Clermont-Ferrand, Les Rives de l'Ambène propose 44 logements neufs : appartements du studio au 5 pièces, certains avec jardins privatifs et 6 maisons. ..."
25UB27DMNMTY,2025-10-17T13:04:00Z,Beaumont,Mairie-Masage,63110,BUY,APARTMENT,122000,31.0,1,,"RENDEZ-VOUS LES 15 ET 16 NOVEMBRE 2025 Toute l'équipe Noaho vous accueille de 10h à 19h sur place, au 2 rue de l’Hôtel de Ville, 63110 Beaumont. PROFITEZ DE NOS OFFRES WEEK-END EXCEPTIONNELLES Pendan..."
25CNFJJNFIX4,2025-09-09T18:20:00Z,Clermont Ferrand,République,63000,BUY,APARTMENT,165000,31.58,1,,"Livraison 4 ème trimèstre 2025 - Au cœur du quartier République en plein développement, découvrez notre réalisation composée de 4 bâtiments à l'architecture bien pensée pour que chaque appartement, d..."
256AE68GDRKQ,2025-04-04T08:36:00Z,Clermont Ferrand,République,63100,BUY,APARTMENT,248800,59.15,3,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Origine Franc Rosier à Clermont-Ferrand propose des appartements...
239U49PPA9WN,2023-08-22T02:23:00Z,Clermont-Ferrand,Anatole France,63100,BUY,APARTMENT,229000,58.4,3,,"[OFFRE EXCEPTIONNELLE] Jusqu'au 31 décembre, bénéficiez de 2% de remise + frais de notaire OFFERTS LE QUARTZ vous dévoile une gamme d'appartements allant du studio au 3 pièces. Que vous soyez à la re..."
234ZDSWA84BU,2022-10-11T08:37:00Z,Clermont Ferrand,Champfleuri,63100,BUY,APARTMENT,519000,132.52,5,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Programme immobilier neuf à Clermont-Ferrand : Garden City - Int...
25NCTF9LW2HZ,2025-11-05T10:30:00Z,Nébouzat,,63210,BUY,HOUSE,235000,88.0,4,3,"Maison avec terrain à Nébouzat, 88 m² habitable avec studio en rez-de-jardin, véranda et garage. 63 210 - NEBOUZAT – MAISON - TERRAIN - 3 CHAMBRES - 2 SALLES D'EAU/BAINS – VERANDA - GARAGE - TRES CAL..."
25QJ8FPT7IE4,2025-10-29T09:49:00Z,Clermont-Ferrand,Lecoq,63000,BUY,APARTMENT,329000,133.0,6,4,"À seulement quelques minutes à pied de la place de Jaude et du centre-ville, cet élégant duplex de caractère offre une surface au sol de 133 m² (125 m² Loi Carrez), au sein d'un bel immeuble ancien. ..."
25WCRMD4M1RH,2025-10-21T15:14:00Z,Clermont-Ferrand,L'Oradou,63000,BUY,APARTMENT,159000,42.53,2,,"Située dans le secteur de la Pradelle, la résidence Clovis est faite pour vous ! Notre sélection d'appartements neufs, du studio confortable au vaste 4 pièces, est conçue pour s'adapter à tous les st..."
25IL84V1DK97,2025-03-08T03:41:00Z,Clermont-Ferrand,L'Oradou,63000,BUY,APARTMENT,119000,29.32,1,,"Située dans le secteur de la Pradelle, la résidence Clovis est faite pour vous ! Notre sélection d'appartements neufs, du studio confortable au vaste 4 pièces, est conçue pour s'adapter à tous les st..."
25M97NP4PQPF,2025-10-17T13:04:00Z,Beaumont,Mairie-Masage,63110,BUY,APARTMENT,230000,58.0,3,2,"RENDEZ-VOUS LES 15 ET 16 NOVEMBRE 2025 Toute l'équipe Noaho vous accueille de 10h à 19h sur place, au 2 rue de l’Hôtel de Ville, 63110 Beaumont. PROFITEZ DE NOS OFFRES WEEK-END EXCEPTIONNELLES Pendan..."
25SBEF36SU46,2025-09-05T01:09:00Z,Chamalières,Les Roches,63400,BUY,APARTMENT,295000,85.0,3,2,"Magnifique appartement entièrement rénové, idéalement situé au cœur du carrefour Europe, à proximité immédiate des commerces et des transports en commun. Avec ses 85 m² traversants, cet appartement a..."
25I497SEWHJF,2025-11-04T14:54:00Z,Clermont-Ferrand,,63000,BUY,PROJECT,327826,,4,3,"Étude de financement gratuite avec nos partenaires - Sovalfon maître d'oeuvre à imaginer pour vous à CLERMONT FERRAND , cette construction à étage de 90 m2 habitables sur un terrain de 440 m2. Terrai..."
25CV6QCJK7JD,2025-05-27T13:32:00Z,Clermont Ferrand,Bonnabaud,63000,BUY,APARTMENT,430000,104.6,4,,Livraison 2 ème trimèstre 2025 - Venez visiter notre APPARTEMENT TÉMOIN DÉCORÉ. Notre troisième collection d'appartements se situe à deux pas de la place de Jaude. Profitez du calme de la nature et b...
