id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25X2N8BGQLQ8,2025-11-29T06:42:00Z,Bidache,,64520,BUY,HOUSE,475000,320.0,10,7,"Cette très jolie demeure, édifiée pendant les « trente glorieuses », reprend le style caractéristique des superbes maisons néo- basques des années 20. Depuis le portail, une longue allée traverse son..."
25RYX7E3B985,2025-10-01T10:44:00Z,Boucau,Haut Boucau,64340,BUY,APARTMENT,209000,42.06,2,1,"""Nouveau programme neuf en ACCESSION LIBRE à Boucau"" LANCEMENT COMMERCIAL Octobre 2025 ! Un programme rare de 23 logements neufs en accession libre, sans conditions d’éligibilité. Du T1 au T4 (dont 2..."
25JZYE4QHBNQ,2025-10-01T10:44:00Z,Boucau,Haut Boucau,64340,BUY,APARTMENT,279000,60.96,3,2,"""Nouveau programme neuf en ACCESSION LIBRE à Boucau"" LANCEMENT COMMERCIAL Octobre 2025 ! Un programme rare de 23 logements neufs en accession libre, sans conditions d’éligibilité. Du T1 au T4 (dont 2..."
251YIGIXYQ8H,2025-10-01T10:44:00Z,Boucau,Haut Boucau,64340,BUY,APARTMENT,175000,31.67,1,,"""Nouveau programme neuf en ACCESSION LIBRE à Boucau"" LANCEMENT COMMERCIAL Octobre 2025 ! Un programme rare de 23 logements neufs en accession libre, sans conditions d’éligibilité. Du T1 au T4 (dont 2..."
24P5MPTX4JLD,2024-11-29T20:14:00Z,Bardos,,64520,BUY,APARTMENT,229000,65.5,3,2,"Découvrez la Résidence à Bardos – Un cadre paisible au cœur du Pays Basque Située dans la charmante commune de Bardos (64520), à seulement 20 minutes de Bayonne via une départementale fluide, cette r..."
25I8HKGBQCEP,2025-10-07T05:36:00Z,Bayonne,Saint Esprit,64100,BUY,APARTMENT,106320,18.25,1,,"À Bayonne, au cœur d’un quartier dynamique et bien desservi, découvrez une nouvelle résidence pensée pour offrir un cadre de vie serein et pratique. L’architecture contemporaine, sobre et élégante, s..."
25CT5YVMBNUW,2025-06-20T18:07:00Z,Anglet,Butte Aux Cailles-Refuge-Montbrun,64600,BUY,HOUSE,830000,117.0,5,4,"CLOS BELHARRA – ANGLET | Quartier des 5 Cantons Un cadre privilégié, entre nature et océan. Nichée au cœur du quartier prisé des 5 Cantons à Anglet, le Clos Belharra offre une adresse confidentielle ..."
25R7MGI8IF61,2025-04-30T18:09:00Z,Anglet,Cinq Cantons-Golf,64600,BUY,APARTMENT,113100,19.0,1,,"CE BIEN EST DÉDIÉ À L'INVESTISSEMENT LMNP. PAS DE RÉSIDENCE PRINCIPALE NI SECONDAIRE. Commercialisation en cours – Succès commercial Immobilier d'investissement unique au Pays Basque. The Season, pre..."
25B64S2FXHST,2025-03-31T10:06:00Z,Anglet,Cinq Cantons-Golf,64600,BUY,APARTMENT,388600,62.0,3,2,"CE BIEN EST DÉDIÉ À L'INVESTISSEMENT LMNP. PAS DE RÉSIDENCE PRINCIPALE NI SECONDAIRE. Commercialisation en cours – Succès commercial Immobilier d'investissement unique au Pays Basque. The Season, pre..."
25GAPYZCQ63S,2025-03-31T10:06:00Z,Anglet,Cinq Cantons-Golf,64600,BUY,APARTMENT,260250,40.0,2,1,"CE BIEN EST DÉDIÉ À L'INVESTISSEMENT LMNP. PAS DE RÉSIDENCE PRINCIPALE NI SECONDAIRE. Commercialisation en cours – Succès commercial Immobilier d'investissement unique au Pays Basque. The Season, pre..."
247S28MVWY9Z,2024-11-29T20:14:00Z,Bardos,,64520,BUY,APARTMENT,299000,81.2,4,3,"Découvrez la Résidence à Bardos – Un cadre paisible au cœur du Pays Basque Située dans la charmante commune de Bardos (64520), à seulement 20 minutes de Bayonne via une départementale fluide, cette r..."
