id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
242SG5DHT337,2024-09-24T06:26:00Z,Saint Lary Soulan,,65170,BUY,APARTMENT,249000.0,49.31,2,,"[VOTRE APPARTEMENT À LA MONTAGNE] // SAINT-LARY-SOULAN – Découvrez L'OUREA, votre future adresse au cœur des Pyrénées ! Idéalement située à deux pas du centre-ville et des pistes, cette résidence mod..."
24DDE5PWZW5X,2024-09-24T06:26:00Z,Saint Lary Soulan,,65170,BUY,APARTMENT,394000.0,75.47,3,,"[VOTRE APPARTEMENT À LA MONTAGNE] // SAINT-LARY-SOULAN – Découvrez L'OUREA, votre future adresse au cœur des Pyrénées ! Idéalement située à deux pas du centre-ville et des pistes, cette résidence mod..."
25ET5967HQUX,2025-06-20T02:14:00Z,Loudenvielle,,65510,BUY,APARTMENT,242900.0,35.94,2,,"Livraison 2 ème trimèstre 2028 - La vallée du Louron, nichée au cœur des Hautes-Pyrénées, est un véritable paradis pour les amoureux de la montagne. Avec ses paysages époustouflants, ses villages typ..."
25XWSNCQW8BU,2025-10-18T02:18:00Z,Loudenvielle,,65510,BUY,APARTMENT,159500.0,23.81,1,,"Livraison 2 ème trimèstre 2028 - La vallée du Louron, nichée au cœur des Hautes-Pyrénées, est un véritable paradis pour les amoureux de la montagne. Avec ses paysages époustouflants, ses villages typ..."
25IA6JKWRYWC,2025-01-04T06:12:00Z,Saint Lary Soulan,,65170,BUY,HOUSE,516000.0,89.29,4,,"[ VOTRE CHALET À LA MONTAGNE- TRAVAUX EN COURS ] - SAINT-LARY-SOULAN - Les chalets L'OUREA bénéficient d'un emplacement privilégié au cœur des Pyrénées, dans une station de montagne dynamique offrant..."
259NFPNKSW5L,2025-11-19T12:13:00Z,Saint Paul,,65150,BUY,HOUSE,349000.0,170.0,5,3,"Situé au coeur d'un environnement préservé, dans le village de Saint-Paul, cette belle propriété de 170m² habitables propose un cadre de vie privilégié à l'orée des majestueuses Pyrénées. L'authentic..."
25ETT3UERCRI,2025-06-20T02:14:00Z,Loudenvielle,,65510,BUY,APARTMENT,367400.0,61.68,3,,"Livraison 2 ème trimèstre 2028 - La vallée du Louron, nichée au cœur des Hautes-Pyrénées, est un véritable paradis pour les amoureux de la montagne. Avec ses paysages époustouflants, ses villages typ..."
251KSYYN93A1,2025-01-04T06:12:00Z,Saint Lary Soulan,,65170,BUY,HOUSE,589000.0,118.03,5,,"[ VOTRE CHALET À LA MONTAGNE- TRAVAUX EN COURS ] - SAINT-LARY-SOULAN - Les chalets L'OUREA bénéficient d'un emplacement privilégié au cœur des Pyrénées, dans une station de montagne dynamique offrant..."
25B4C85H1DVZ,2025-09-22T23:49:00Z,La Mongie,Secteur Montagne,65200,BUY,APARTMENT,89000.0,38.0,2,1,"À vendre Appartement T2 avec terrasse, piscine, salle de sport, casier à skis et parking à La Mongie: Niché au cœur de la station de ski de La Mongie, découvrez ce charmant T2 de 32,42 m² avec terras..."
25XARTW17QGZ,2025-08-29T22:26:00Z,St Lary Soulan,,65170,BUY,HOUSE,259500.0,120.0,5,3,"Maison avec cachet rénovée (datant de 1840) située en plein coeur de la Vallée d'Aure, à mi-chemin entre ARREAU (environ 4 kilomètres) et SAINT-LARY (environ 5 kilomètres). Implantée sur une parcelle..."
25MRNEQVUVN8,2025-05-28T23:10:00Z,St Lary Soulan,,65170,BUY,HOUSE,830000.0,177.0,7,5,"A 5 minutes de Saint-Lary, cette maison d'architecte achevée en 2011, construite à flan de montagne, s'intègre parfaitement au bâti local. Localisée en périphérie d'un village en hauteur, calme et ty..."
256WCGMMWF59,2025-07-25T23:26:00Z,Camparan,,65170,BUY,HOUSE,424000.0,125.0,5,4,"Maison située à CAMPARAN dans la vallée d'Aure, typique et paisible village pyrénéen, à 4 kilomètres des commerces et animations de SAINT-LARY SOULAN et des accès à son domaine skiable. Nichée à flan..."
24FJ4UMHTIXB,2024-12-20T22:30:00Z,Vielle Aure,,65170,BUY,APARTMENT,89500.0,27.0,2,1,"Claire Montagne Immobilier vous propose de découvrir ce duplex d'environ 40 m2 au sol pouvant accueillir six personnes, bénéficiant d'une exposition sud et d'une vue très dégagée sur les montagnes et..."
256R17ZJMDMC,2025-03-08T23:27:00Z,St Lary Soulan,,65170,BUY,HOUSE,445000.0,179.0,7,5,"Située sur les hauteurs d'un village à 5 minutes de Saint-Lary et d'Arreau, la construction de cette maison a été achevée en 2017 (classement énergétique en A). Surplombant la vallée, sa grande terra..."
25IX7ZJZSS3B,2025-08-09T22:07:00Z,St Lary Soulan,,65170,BUY,APARTMENT,185000.0,35.0,3,2,"Claire Montagne Immobilier vous invite à venir découvrir sa dernière exclusivité: un appartement mansardé, lové au deuxième étage avec ascenseur d'une résidence idéalement située à proximité du coeur..."
251TXI5D35KM,2025-05-02T21:33:00Z,St Lary Soulan,,65170,BUY,APARTMENT,129500.0,28.0,1,,"Appartement situé dans le secteur de l'établissement thermal et de la télécabine permettant de rejoindre rapidement le domaine skiable, très proche à pied également des commerces et des animations du..."
25BG3MT3PFYE,2025-03-28T23:23:00Z,St Lary Soulan,,65170,BUY,APARTMENT,61000.0,27.0,1,,"Dans une résidence avec ascenseur, gardien et laverie, située au niveau des pistes de ski à proximité des commerces/commodités ainsi que du téléphérique qui permet de rejoindre facilement et rapideme..."
25GSJZVAD4KT,2025-01-22T22:48:00Z,St Lary Soulan,,65170,BUY,APARTMENT,68500.0,22.0,1,,"Au niveau du Pla d'Adet, premier niveau de la station de ski de SAINT-LARY SOULAN, agréable studio dans une résidence avec ascenseur et gardien idéalement située face aux pistes, à proximité des comm..."
25YY88H2J6C3,2025-08-02T22:23:00Z,St Lary Soulan,,65170,BUY,APARTMENT,62000.0,27.0,1,,"A 1700 mètres d'altitude, au Pla d'Adet au niveau du domaine skiable de SAINT-LARY, appartement lumineux permettant d'accueillir quatre personnes situé dans une résidence avec gardien, ascenseur, lav..."
25R1D832ZHS8,2025-06-28T09:21:00Z,Borderes Louron,,65590,BUY,HOUSE,379000.0,159.0,7,5,"Dans un joli parc arboré et clos de 1800 m², cette grande maison au coeur du village de Bordères-Louron, à 15 mn de Loudenvielle et 5 minutes d'Arreau, propose 4 niveaux d'environ 80 m² chacun : ~160..."
