id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25KI5FF76M4T,2025-11-27T10:10:00Z,Saint-Cyprien,Peripherie,66750,BUY,HOUSE,399900,110.0,6,5,"Pour toute question ou demande d'information, pensez à noter et nous communiquer le numéro de référence lors de votre appel : 19250 Élégante maison familiale T6 – Saint-Cyprien Plage Située dans un e..."
25P55UDKLX92,2025-11-27T13:03:00Z,Bompas,Ouest,66430,BUY,APARTMENT,73000,2365.0,1,,"T1 avec Balcon et Parking Opportunité idéale pour un investissement locatif sans travaux. Nous vous proposons un appartement de type T1 de 23m², libre d'occupation, au 3ème étage d'une résidence réce..."
24AK9LWGGZE3,2024-10-18T06:16:00Z,Les Angles,,66210,BUY,APARTMENT,114000,25.3,1,,"Offres spéciales : 6000 €€ de remise sur les studios et 2 €pièces, 10 €000 €€ sur les 3 €pièces, 15 €000 €€ sur les 4 €pièces ! (Les prix affichés intègrent déjà ces avantages) Respirez.. Imaginez-vo..."
25DZ2IQT9R2X,2025-05-26T18:28:00Z,Les Angles,,66210,BUY,APARTMENT,162000,37.1,2,1,"Offres spéciales : 6000 €€ de remise sur les studios et 2 €pièces, 10 €000 €€ sur les 3 €pièces, 15 €000 €€ sur les 4 €pièces ! (Les prix affichés intègrent déjà ces avantages) Respirez.. Imaginez-vo..."
24QERWLDGA3T,2024-10-18T06:16:00Z,Les Angles,,66210,BUY,APARTMENT,259000,53.5,3,2,"Offres spéciales : 6000 €€ de remise sur les studios et 2 €pièces, 10 €000 €€ sur les 3 €pièces, 15 €000 €€ sur les 4 €pièces ! (Les prix affichés intègrent déjà ces avantages) Respirez.. Imaginez-vo..."
24S2897134N5,2024-06-21T12:41:00Z,Le Barcares,,66420,BUY,APARTMENT,199000,42.73,2,1,OFFRE EXCEPTIONNELLE : REMISE DE 17.000€ SUR LES T2 ET 20.000€ SUR LES T3 JUSQU'AU 31 DÉCEMBRE 2025 L'OFFRE DE CONCERNE PAS LES LOGEMENTS DU DERNIER NIVEAU LES PRIX AFFICHÉS TIENNENT COMPTE DE LA REM...
24B1FVNIPAV6,2024-06-21T12:41:00Z,Le Barcares,,66420,BUY,APARTMENT,254000,64.75,3,2,OFFRE EXCEPTIONNELLE : REMISE DE 17.000€ SUR LES T2 ET 20.000€ SUR LES T3 JUSQU'AU 31 DÉCEMBRE 2025 L'OFFRE DE CONCERNE PAS LES LOGEMENTS DU DERNIER NIVEAU LES PRIX AFFICHÉS TIENNENT COMPTE DE LA REM...
259B5WDK9PXW,2025-10-17T06:01:00Z,Le Barcares,,66420,BUY,APARTMENT,375000,78.21,4,3,OFFRE EXCEPTIONNELLE : REMISE DE 17.000€ SUR LES T2 ET 20.000€ SUR LES T3 JUSQU'AU 31 DÉCEMBRE 2025 L'OFFRE DE CONCERNE PAS LES LOGEMENTS DU DERNIER NIVEAU LES PRIX AFFICHÉS TIENNENT COMPTE DE LA REM...
2311B1JM1FKV,2021-09-29T18:57:00Z,Collioure,,66190,BUY,HOUSE,795000,83.65,4,3,VILLA T4 DÉCORÉE : VISITES SUR RENDEZ-VOUS Triplex moderne dans une maison de ville à 50 mètres de la plage de Collioure Large ouverture donnant sur terrasse et jardin Garage de 30 m² Emplacement jac...
25GR8RV6IUJL,2025-04-11T11:41:00Z,Argeles sur Mer,Le Village,66700,BUY,APARTMENT,289000,62.8,3,,"Residence MAS ROCA a ARGELES SUR MER (66700) - sans logements sociaux Ideal en residence principale, secondaire, ou investissement locatif LMNP PROFITEZ DE NOTRE OFFRE FRAIS DE NOTAIRE OFFERTS POUR T..."
