id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25XX42VTUJ77,2025-11-15T01:13:00Z,Strasbourg,Robertsau Centre,67000,BUY,APARTMENT,349900.0,104.48,3,2,Exclusivité à découvrir en exclusivité dans votre agence ASI avec cet appartement F3/4 de 104.48 m² carrez (et 110.77 au sol) dans le quartier prisé de la Robertsau ! Situé au 2ème et dernier étage s...
25DWSKQUJFLT,2025-11-15T01:13:00Z,Strasbourg,Koenigshoffen Ouest-Centre Est,67200,BUY,APARTMENT,194400.0,71.49,3,2,"Nouveauté seulement dans votre agence ASI avec ce lumineux F3 de 71.49 m² en vente rue Cerf Berr à STRASBOURG, à proximité du tram et de toutes les commodités tout en étant au calme ! Situé au 1er ét..."
25LA1ZFB2V4C,2025-11-05T11:18:00Z,Obernai,,67210,BUY,APARTMENT,217300.0,42.0,2,1,"Au cœur d’Obernai, charmante cité alsacienne empreinte d’histoire et d’authenticité, ce nouveau programme immobilier offre un cadre de vie privilégié mêlant élégance et confort moderne. Située à seul..."
25PVK2PBUBZ9,2025-11-28T14:54:00Z,Hochfelden,,67270,BUY,HOUSE,281500.0,99.0,4,2,"Maison individuelle 4 pièces Environnement calme, vue dégagée sur la campagne ** Disponibilité : juillet 2026 (la maison sera libérée à cette date)** Édifiée en 1976 sur un terrain plat d'environ 6 a..."
25PG31LYFAJV,2025-11-29T10:49:00Z,Wisches,,67130,BUY,HOUSE,273500.0,156.0,7,5,"Dans la commune de Wisches, à proximité des commodités, venez découvrir cette maison individuelle offrant une surface généreuse d'environ 156 m² habitables. Implantée sur une parcelle sur 7,62 ares d..."
258I63WK2U9C,2025-11-03T12:28:00Z,Strasbourg,,67000,BUY,APARTMENT,160000.0,39.5,2,1,"Venez poser vos valises à Strasbourg, ville au carrefour de l’Europe, dynamique et riche de son patrimoine. Cette commune du Grand Est, traversée par l’Ill et bordée du Rhin, compte près de 287 000 h..."
258CL9ZGQ6AW,2025-11-22T01:13:00Z,Hoenheim,Nord,67800,BUY,APARTMENT,172800.0,44.57,2,1,"Nouveauté en exclusivité dans votre agence ASI avec ce beau F2 de 44.57 m² en vente à HOENHEIM, à proximité du tram et de toutes les commodités ! Situé au 3ème étage avec ascenseur dans une coproprié..."
25HW7QBFR1H1,2025-09-30T14:15:00Z,Boofzheim,,67860,BUY,APARTMENT,165000.0,48.0,2,1,"NOUVEAU PROGRAMME à BOOFZHEIM - RESIDENCE COEUR D'ILOT - TRAVAUX EN COURS Appartements du 2 au 5 pièces modulables avec terrasse : Découvrez Les Constructeurs d'Alsace, un promoteur local fort de plu..."
23CER4S85WC5,2020-01-13T15:55:00Z,Strasbourg,Robertsau Centre,67000,BUY,APARTMENT,400563.0,63.0,3,2,"Offres exceptionnelles à saisir, sur les derniers lots disponibles : Pour toute signature d’un contrat de réservation avant le 30 juin 2025 et signature de l’acte de vente dans les 2 mois suivants Re..."
259D9Z5PAD75,2025-05-17T08:37:00Z,Strasbourg,Port du Rhin Centre,67000,BUY,APARTMENT,222938.0,46.46,2,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Habitez dans la nouvelle résidence de Bouygues Immobilier « Les ...
25EP7IS5FBKV,2025-10-28T07:32:00Z,Bischheim,,67800,BUY,APARTMENT,133800.0,34.45,1,,"Située à seulement quelques minutes de Strasbourg, la commune de Bischheim séduit par son atmosphère conviviale et sa qualité de vie. D’environ 17 000 habitants, elle allie dynamisme urbain et douceu..."
25BLPL53LG2M,2025-10-28T07:32:00Z,Bischheim,,67800,BUY,APARTMENT,157700.0,39.78,2,1,"Située à seulement quelques minutes de Strasbourg, la commune de Bischheim séduit par son atmosphère conviviale et sa qualité de vie. D’environ 17 000 habitants, elle allie dynamisme urbain et douceu..."
2575C9KDVA8J,2025-04-08T12:15:00Z,Selestat,,67600,BUY,APARTMENT,251320.0,60.9,3,,"""Lancement exclusif : réservez dès maintenant votre futur chez-vous au cœur de la ville !""Bienvenue dans notre résidence Les Remparts à Selestat, un véritable havre de paix aux portes du centre-ville..."
25VDEA7IZHVQ,2025-04-07T14:16:00Z,Strasbourg,Port du Rhin Centre,67000,BUY,APARTMENT,236800.0,41.65,2,,DEMARRAGE DES TRAVAUX A STRASBOURG - Devenez propriétaire de votre résidence principale à Strasbourg en bénéficiant de tous les avantages d'un logement neuf ! Ou investissez dans l'immobilier neuf av...
25KWQLWI3LSV,2025-03-21T06:20:00Z,Strasbourg,Neudorf Est Centre,67000,BUY,APARTMENT,423280.0,79.2,4,3,"Une double vision à 360° sur Strasbourg. Avec Émergence, 3B vous propose de conjuguer fonctionnalité et bien-être, avec design et audace architecturale pour vous offrir un cadre de vie unique avec de..."
25YJWME74U24,2025-03-21T06:20:00Z,Strasbourg,Neudorf Est Centre,67000,BUY,APARTMENT,457680.0,74.8,3,2,"Une double vision à 360° sur Strasbourg. Avec Émergence, 3B vous propose de conjuguer fonctionnalité et bien-être, avec design et audace architecturale pour vous offrir un cadre de vie unique avec de..."
25WYFQ6Z8SLT,2025-03-21T06:20:00Z,Strasbourg,Neudorf Est Centre,67000,BUY,APARTMENT,239400.0,39.3,2,1,"Une double vision à 360° sur Strasbourg. Avec Émergence, 3B vous propose de conjuguer fonctionnalité et bien-être, avec design et audace architecturale pour vous offrir un cadre de vie unique avec de..."
25AFGRRSIQTX,2025-03-21T06:20:00Z,Strasbourg,,67000,BUY,APARTMENT,160500.0,25.5,1,,"Une double vision à 360° sur Strasbourg. Avec Émergence, 3B vous propose de conjuguer fonctionnalité et bien-être, avec design et audace architecturale pour vous offrir un cadre de vie unique avec de..."
25R36P7XVZNW,2025-06-13T16:47:00Z,Holtzheim,,67810,BUY,APARTMENT,265000.0,71.0,3,2,"Programme Le Pirmin Du neuf dans l'ancien ! Ce projet à taille humaine transforme une très grande maison construite en 1980 en une petite copropriété de 7 appartements, du T3 au T5, offrant un cadre ..."
25CH65R3V8Y4,2025-06-13T16:47:00Z,Holtzheim,,67810,BUY,APARTMENT,359000.0,92.5,4,3,"Programme Le Pirmin Du neuf dans l'ancien ! Ce projet à taille humaine transforme une très grande maison construite en 1980 en une petite copropriété de 7 appartements, du T3 au T5, offrant un cadre ..."
253HFXN2FXYZ,2025-04-07T14:16:00Z,Strasbourg,Port du Rhin Centre,67000,BUY,APARTMENT,431100.0,84.9,4,,DEMARRAGE DES TRAVAUX A STRASBOURG - Devenez propriétaire de votre résidence principale à Strasbourg en bénéficiant de tous les avantages d'un logement neuf ! Ou investissez dans l'immobilier neuf av...
25CAFV9UKPDB,2025-04-07T14:16:00Z,Strasbourg,Port du Rhin Centre,67000,BUY,APARTMENT,181800.0,27.38,1,,DEMARRAGE DES TRAVAUX A STRASBOURG - Devenez propriétaire de votre résidence principale à Strasbourg en bénéficiant de tous les avantages d'un logement neuf ! Ou investissez dans l'immobilier neuf av...
25JMLABS29SZ,2025-04-07T14:16:00Z,Strasbourg,Port du Rhin Centre,67000,BUY,APARTMENT,295000.0,63.88,3,,DEMARRAGE DES TRAVAUX A STRASBOURG - Devenez propriétaire de votre résidence principale à Strasbourg en bénéficiant de tous les avantages d'un logement neuf ! Ou investissez dans l'immobilier neuf av...
25JMN93CHXMD,2025-06-13T16:47:00Z,Holtzheim,,67810,BUY,APARTMENT,364500.0,121.0,3,2,"Programme Le Pirmin Du neuf dans l'ancien ! Ce projet à taille humaine transforme une très grande maison construite en 1980 en une petite copropriété de 7 appartements, du T3 au T5, offrant un cadre ..."
25H6KEKB1QMB,2025-05-17T08:36:00Z,Strasbourg,Port du Rhin Centre,67000,BUY,APARTMENT,135000.0,22.97,1,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Habitez dans la nouvelle résidence de Bouygues Immobilier « Les ...
25QZUAUEEMCW,2025-02-27T15:00:00Z,Erstein,Est,67150,BUY,HOUSE,384500.0,94.8,4,3,RESIDENCE LES HIRONDELLES – PROGRAMME DE 4 MAISONS INDÉPENDANTES TRAVAUX EN COURS Maisons familiales d’environ 100 m² avec garage accolé Agréable ensemble immobilier composé de 4 maisons individuelle...
25FARKMDF4NQ,2025-09-30T14:15:00Z,Boofzheim,,67860,BUY,APARTMENT,225000.0,68.2,3,2,"NOUVEAU PROGRAMME à BOOFZHEIM - RESIDENCE COEUR D'ILOT - TRAVAUX EN COURS Appartements du 2 au 5 pièces modulables avec terrasse : Découvrez Les Constructeurs d'Alsace, un promoteur local fort de plu..."
251BCVNYE8N7,2025-09-30T14:15:00Z,Boofzheim,,67860,BUY,APARTMENT,310000.0,91.98,4,3,"NOUVEAU PROGRAMME à BOOFZHEIM - RESIDENCE COEUR D'ILOT - TRAVAUX EN COURS Appartements du 2 au 5 pièces modulables avec terrasse : Découvrez Les Constructeurs d'Alsace, un promoteur local fort de plu..."
25W5VSJLQZPX,2025-06-13T16:47:00Z,Holtzheim,,67810,BUY,APARTMENT,359500.0,119.3,5,4,"Programme Le Pirmin Du neuf dans l'ancien ! Ce projet à taille humaine transforme une très grande maison construite en 1980 en une petite copropriété de 7 appartements, du T3 au T5, offrant un cadre ..."
