id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25WGF3IJYGBL,2025-10-30T08:35:00Z,Eschentzwiller,,68440,BUY,APARTMENT,238000.0,68.11,3,2,"Découvrez un cadre d'exception en plein cœur de l'Alsace?: implantée sur la colline paisible de Eschentzwiller (68440), cette nouvelle réalisation conjugue modernité et douceur de vivre. Pour les fam..."
25RHQZSZWIBY,2025-01-16T19:14:00Z,Colmar,Centre ,68000,BUY,APARTMENT,276595.0,73.09,3,,"Imaginez votre nouvel espace de liberté à Colmar et découvrez l'exception pour votre projet d'acquisition au centre-ville dans un écrin de verdure. Les « Jardins République » créent un monde vivant, ..."
25GW5IE9AEXY,2025-01-16T19:14:00Z,Colmar,Centre ,68000,BUY,APARTMENT,380920.0,85.35,4,,"Imaginez votre nouvel espace de liberté à Colmar et découvrez l'exception pour votre projet d'acquisition au centre-ville dans un écrin de verdure. Les « Jardins République » créent un monde vivant, ..."
25828X53LWZ9,2025-10-30T08:35:00Z,Eschentzwiller,,68440,BUY,APARTMENT,185000.0,45.39,2,1,"Découvrez un cadre d'exception en plein cœur de l'Alsace?: implantée sur la colline paisible de Eschentzwiller (68440), cette nouvelle réalisation conjugue modernité et douceur de vivre. Pour les fam..."
24WGSBDAV3GG,2024-02-20T15:07:00Z,Wintzenheim,Centre,68920,BUY,APARTMENT,158000.0,44.32,2,1,"Le samedi 6 décembre de 9h à 16h, nous avons le plaisir de vous inviter à notre journée découverte de l’INITIAL à Wintzenheim. Au programme : • Découverte de l’environnement • Présentation détaillée ..."
246797KD58K9,2024-02-20T15:07:00Z,Wintzenheim,Centre,68920,BUY,APARTMENT,102250.0,25.73,1,,"Le samedi 6 décembre de 9h à 16h, nous avons le plaisir de vous inviter à notre journée découverte de l’INITIAL à Wintzenheim. Au programme : • Découverte de l’environnement • Présentation détaillée ..."
25VKKZ7DCN5A,2023-10-25T15:02:00Z,Colmar,Saint Léon,68000,BUY,APARTMENT,279400.0,63.9,3,2,--- FINITIONS EN COURS : livraison rapide ! ---- STATIONNEMENT INCLUS ! Chaque appartement est associé à un garage fermé en sous-sol (avec électricité) et une place privative de parking. L'EMPLACEMEN...
257WLMC2IF4M,2025-04-07T14:16:00Z,Mulhouse,Drouot Barbanegre Nord,68100,BUY,APARTMENT,121000.0,40.99,2,,"Journées Portes Ouvertes à MULHOUSE les 14 et 15 novembre ! Venez visiter nos appartements décorés pour un emménagement d'ici la fin de l'année !&lt;-b&gt; Avec la TVA réduite à 5,5%, devenez proprié..."
25PSCCMHD242,2025-09-17T09:59:00Z,Huningue,Sud,68330,BUY,APARTMENT,215000.0,44.0,2,1,"Huningue, petite commune du Haut-Rhin, se distingue par son caractère international en étant la seule ville française traversée par le Rhin. Nichée à la croisée des frontières suisse et allemande, el..."
25GYWL5C5P1W,2025-04-27T18:15:00Z,Colmar,Centre ,68000,BUY,APARTMENT,210254.0,45.89,2,,"Imaginez votre nouvel espace de liberté à Colmar et découvrez l'exception pour votre projet d'acquisition au centre-ville dans un écrin de verdure. Les « Jardins République » créent un monde vivant, ..."
25XHRQIDAJV9,2025-04-27T18:15:00Z,Colmar,Centre ,68000,BUY,APARTMENT,148194.0,31.58,1,,"Imaginez votre nouvel espace de liberté à Colmar et découvrez l'exception pour votre projet d'acquisition au centre-ville dans un écrin de verdure. Les « Jardins République » créent un monde vivant, ..."
25GJCDXEX5A5,2024-07-15T11:33:00Z,Sausheim,Nord,68390,BUY,APARTMENT,204400.0,49.0,2,1,"Nouvelle résidence à Sausheim – Appartements neufs du 2 au 5 pièces. Découvrez notre nouvelle résidence intimiste de seulement 14 appartements, nichée dans un environnement verdoyant à Sausheim, en b..."
25CJJ3QPIKDH,2025-09-17T09:59:00Z,Huningue,Sud,68330,BUY,APARTMENT,162000.0,30.0,1,,"Huningue, petite commune du Haut-Rhin, se distingue par son caractère international en étant la seule ville française traversée par le Rhin. Nichée à la croisée des frontières suisse et allemande, el..."
25V2MCMNJMVR,2024-07-15T11:33:00Z,Sausheim,Nord,68390,BUY,APARTMENT,297000.0,70.0,3,2,"Nouvelle résidence à Sausheim – Appartements neufs du 2 au 5 pièces. Découvrez notre nouvelle résidence intimiste de seulement 14 appartements, nichée dans un environnement verdoyant à Sausheim, en b..."
25R2KUHU5EAZ,2025-09-05T08:37:00Z,Saint-Louis,Centre Sud Est,68300,BUY,APARTMENT,230000.0,48.68,2,,REMISES EXCEPTIONNELLES* Bénéficiez d'une remise exceptionnelle* sur certains logements de cette résidence du 1er au 30 novembre 2025. Le programme L'Archipel 3F à Saint-Louis combine urbanisme et na...
25R9PJUYDMIZ,2025-06-11T15:16:00Z,Morschwiller le Bas,,68790,BUY,HOUSE,313900.0,88.0,4,3,"Entre champs et collines, Morschwiller-le-Bas vous offre le luxe d'une vie au vert à 4 minutes seulement de la grande zone commerciale de l'ouest mulhousien ! Plus qu'un logement, une source de bien-..."
25SEXI4CLFFL,2025-09-17T09:59:00Z,Huningue,Sud,68330,BUY,APARTMENT,282000.0,60.0,3,2,"Huningue, petite commune du Haut-Rhin, se distingue par son caractère international en étant la seule ville française traversée par le Rhin. Nichée à la croisée des frontières suisse et allemande, el..."
25HUMRXSUQQU,2025-07-31T12:27:00Z,Turckheim,,68230,BUY,APARTMENT,154200.0,41.28,2,1,"TRIANON RÉSIDENCES dévoile NOVEL à Turckheim : un lieu de vie unique au cœur de la route des vins ! Appartements du 2 au 5 pièces avec extérieurs, finitions haut de gamme, plancher chauffant, douches..."
25UTQGBC3JU9,2025-01-16T19:14:00Z,Colmar,Centre ,68000,BUY,APARTMENT,887030.0,142.51,5,,"Imaginez votre nouvel espace de liberté à Colmar et découvrez l'exception pour votre projet d'acquisition au centre-ville dans un écrin de verdure. Les « Jardins République » créent un monde vivant, ..."
25T9NE96L1YQ,2025-09-02T11:21:00Z,Colmar,Centre ,68000,BUY,APARTMENT,216500.0,44.0,2,,"Colmar, la perle alsacienneÀ deux pas du centre-ville de Colmar, notre résidence Fleurs de ville offre une qualité de vie exceptionnelle,son emplacement idéal allie charme et confort de vie pour prop..."
24E6IUNEK9XP,2024-02-20T15:07:00Z,Wintzenheim,Centre,68920,BUY,APARTMENT,213500.0,60.57,3,2,"Le samedi 6 décembre de 9h à 16h, nous avons le plaisir de vous inviter à notre journée découverte de l’INITIAL à Wintzenheim. Au programme : • Découverte de l’environnement • Présentation détaillée ..."
24CEDPLPCGHM,2023-10-25T15:02:00Z,Colmar,Saint Léon,68000,BUY,APARTMENT,360900.0,84.13,4,3,--- FINITIONS EN COURS : livraison rapide ! ---- STATIONNEMENT INCLUS ! Chaque appartement est associé à un garage fermé en sous-sol (avec électricité) et une place privative de parking. L'EMPLACEMEN...
25ZRI7IWLM4H,2025-06-11T15:16:00Z,Ensisheim,,68190,BUY,APARTMENT,235200.0,83.0,4,3,"Au cœur du village, Faubourg de Belfort. Dans une commune verte et dynamique entre Colmar et Mulhouse, bénéficiez d'un environnement calme à quelques minutes des commodités. Profitez d'un aménagement..."
