id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
25PXE85FF1UQ,2025-11-25T16:04:00Z,Saint-Symphorien-d'Ozon,Centre Sud Ouest,69360,BUY,HOUSE,550000.0,225.0,8,6,"69360 TERNAY - MAISON INDIVIDUELLE FAMILIALE - 6 CHAMBRES – 225 m² + SOUS-SOL 133 m² – TERRAIN 1285 m² – PARCELLE DIVISIBLE // VISITE VIRTUELLE DISPONIBLE // Léonore Pillon et efficity, l'agence qui ..."
25FIWD429B5A,2025-11-21T16:38:00Z,Porte des Pierres Dorees,,69400,BUY,HOUSE,920000.0,351.0,13,6,"AIN RHÔNE IMMOBILIER vous présente en exclusivité cette propriété d'exception de 351m² sur la commune de Liergues - Porte des Pierres Dorées. Dans un environnement paisible, sans aucun vis à vis, et ..."
25BY5CPRKRFB,2025-11-28T00:39:00Z,Lyon 7ème,Gerland,69007,BUY,APARTMENT,330000.0,89.0,5,3,"A 2 pas des quais du Rhône, au sein d'une petite copropriété au calme, sécurisée et bien entretenue, l'agence Espaces et Lieux a le plaisir de vous proposer à la vente ce charmant T4 de 89 m². Cet ap..."
25RPZDXR377M,2025-11-27T00:50:00Z,Vénissieux,Moulin à Vent-Georges Lévy,69200,BUY,APARTMENT,259000.0,86.03,4,3,"Immosquare Lyon vous propose en Exclusivité, (Rue Ernest RENAN à 300 mètres de Lyon 8ème) dans une résidence bien tenue de 2000, venez découvrir ce T4 d'environ 86.03m² + balcon + garage en S/Sol. LI..."
25SKC5DXMPS4,2025-11-27T19:33:00Z,Vaugneray,,69670,BUY,HOUSE,70000.0,132.0,3,2,TYPE DE VENTE: Viager occupé avec réserve de Droit d'Usâge et d'Hbitation couple de 67 et 70 ans DONNEES FINANCIERES Valeur libre du bien: 395.000 € Prix de vente (bouquet): 70.000 € Rente mensuelle:...
25ZEVV3M3VE1,2025-11-14T20:54:00Z,Lyon 8ème,États-Unis,69008,BUY,APARTMENT,150000.0,43.5,2,1,"69200 VENISSIEUX CENTRE - T2 - 43 m² - LUMINEUX - RECENT 2011 - PARKING Léonore Pillon et Efficity, l'agence qui estime votre bien en ligne, vous proposent en exclusivité ce superbe appartement T2 si..."
24SCR2AGKPZ8,2024-10-17T18:30:00Z,Venissieux,Parilly-Jules Guesde,69200,BUY,APARTMENT,255000.0,46.7,2,1,"LIVRAISON DANS MOINS D'UN AN – Devenez propriétaire à Vénissieux, aux portes de Lyon ! L'ARCHIPEL vous propose une résidence neuve au cœur du quartier dynamique du Grand Parilly, alliant design conte..."
24D7PQPS8IWR,2024-10-17T18:30:00Z,Venissieux,Parilly-Jules Guesde,69200,BUY,APARTMENT,588000.0,90.1,4,3,"LIVRAISON DANS MOINS D'UN AN – Devenez propriétaire à Vénissieux, aux portes de Lyon ! L'ARCHIPEL vous propose une résidence neuve au cœur du quartier dynamique du Grand Parilly, alliant design conte..."
24VW7BXVMVJP,2024-10-17T18:30:00Z,Venissieux,Parilly-Jules Guesde,69200,BUY,APARTMENT,168000.0,29.5,1,,"LIVRAISON DANS MOINS D'UN AN – Devenez propriétaire à Vénissieux, aux portes de Lyon ! L'ARCHIPEL vous propose une résidence neuve au cœur du quartier dynamique du Grand Parilly, alliant design conte..."
245MGMR989MT,2024-10-17T18:30:00Z,Venissieux,Parilly-Jules Guesde,69200,BUY,APARTMENT,509000.0,94.8,5,3,"LIVRAISON DANS MOINS D'UN AN – Devenez propriétaire à Vénissieux, aux portes de Lyon ! L'ARCHIPEL vous propose une résidence neuve au cœur du quartier dynamique du Grand Parilly, alliant design conte..."
2432CNPDBRXV,2022-05-19T17:44:00Z,Neuville-sur-Saône,Vosne-Etete Noire,69250,BUY,APARTMENT,180000.0,35.9,1,,"Aux portes de Lyon, Neuville-sur-Saône conjugue charme ancien et vitalité moderne. Entre les berges paisibles de la Saône et les collines des Monts d’Or, elle séduit par sa convivialité et sa vie loc..."
24YQ7AEK5GDS,2022-05-19T17:44:00Z,Neuville-sur-Saône,Vosne-Etete Noire,69250,BUY,APARTMENT,510000.0,89.85,4,3,"Aux portes de Lyon, Neuville-sur-Saône conjugue charme ancien et vitalité moderne. Entre les berges paisibles de la Saône et les collines des Monts d’Or, elle séduit par sa convivialité et sa vie loc..."
25Q6BDKI1TF7,2025-03-26T19:46:00Z,Lyon 2ème,Perrache-Le Confluent,69002,BUY,APARTMENT,380000.0,59.78,3,2,"ZÉPHYR – Votre nouvel horizon au cœur de Lyon ConfluenceEt si vous viviez au centre de toutes vos envies ? ZÉPHYR s'installe au cœur du 2 € arrondissement de Lyon, dans le quartier Confluence, un lie..."
25CLFCPVF7BI,2025-03-26T19:46:00Z,Lyon 2ème,Perrache-Le Confluent,69002,BUY,APARTMENT,467000.0,76.24,4,3,"ZÉPHYR – Votre nouvel horizon au cœur de Lyon ConfluenceEt si vous viviez au centre de toutes vos envies ? ZÉPHYR s'installe au cœur du 2 € arrondissement de Lyon, dans le quartier Confluence, un lie..."
25XRVPZY8S2K,2025-05-12T07:32:00Z,Pusignan,,69330,BUY,APARTMENT,262000.0,63.28,3,2,"Au coeur de Pusignan, dans un cadre bucolique, notre résidence est composée de 2 bâtiments en cœur d’îlot comprenant 37 appartements allant du T2 au T4 avec balcons ou terrasse, bénéficie d’un emplac..."
2535IU3S5NIJ,2025-05-12T07:32:00Z,Pusignan,,69330,BUY,APARTMENT,324000.0,89.0,4,3,"Au coeur de Pusignan, dans un cadre bucolique, notre résidence est composée de 2 bâtiments en cœur d’îlot comprenant 37 appartements allant du T2 au T4 avec balcons ou terrasse, bénéficie d’un emplac..."
25IDUDGA6AA2,2025-05-12T07:32:00Z,Pusignan,,69330,BUY,APARTMENT,200000.0,41.48,2,1,"Au coeur de Pusignan, dans un cadre bucolique, notre résidence est composée de 2 bâtiments en cœur d’îlot comprenant 37 appartements allant du T2 au T4 avec balcons ou terrasse, bénéficie d’un emplac..."
25TQLTZB6NCQ,2025-06-18T08:10:00Z,Venissieux,Moulin à Vent-Georges Lévy,69200,BUY,APARTMENT,267100.0,82.7,4,,"NOUVEAU à Vénissieux&lt;-strong&gt; : appartements neufs du 2 au 4 pièces avec extérieur et parking ! Et en plus avec la TVA réduite à 5,5%&lt;-strong&gt;, devenez propriétaire pour le même prix que ..."
25LCUGIF2NUI,2025-07-03T08:09:00Z,Venissieux,Moulin à Vent-Georges Lévy,69200,BUY,APARTMENT,204900.0,57.3,3,,"NOUVEAU à Vénissieux&lt;-strong&gt; : appartements neufs du 2 au 4 pièces avec extérieur et parking ! Et en plus avec la TVA réduite à 5,5%&lt;-strong&gt;, devenez propriétaire pour le même prix que ..."
25SPCL6DFMME,2024-12-19T12:28:00Z,Saint-Cyr-Au-Mont-d'Or,Ouest,69450,BUY,APARTMENT,289900.0,41.77,2,1,À découvrir Nouvelle Réalisation PROMOVAL & BM DEVELOPPEMENT Programme immobilier neuf d’exception à Saint-Cyr-au-Mont-d’Or (du T2 au T5) À 600 mètres à pied du centre du village de Saint-Cyr-au-Mont...
25PB9PH8BFWX,2024-12-19T12:28:00Z,Saint-Cyr-Au-Mont-d'Or,Ouest,69450,BUY,APARTMENT,459900.0,74.0,3,2,À découvrir Nouvelle Réalisation PROMOVAL & BM DEVELOPPEMENT Programme immobilier neuf d’exception à Saint-Cyr-au-Mont-d’Or (du T2 au T5) À 600 mètres à pied du centre du village de Saint-Cyr-au-Mont...
2543VMHN1HIR,2025-05-28T14:33:00Z,Vaulx-en-Velin,Le Village,69120,BUY,APARTMENT,174000.0,31.0,1,,"Découvrez une nouvelle résidence moderne située au cœur de Vaulx-en-Velin, une ville jeune et dynamique en pleine expansion. Cette résidence propose des appartements du studio au T5, conçus pour répo..."
25X2ICQSNASH,2025-05-28T14:33:00Z,Vaulx-en-Velin,Le Village,69120,BUY,APARTMENT,206000.0,43.0,2,,"Découvrez une nouvelle résidence moderne située au cœur de Vaulx-en-Velin, une ville jeune et dynamique en pleine expansion. Cette résidence propose des appartements du studio au T5, conçus pour répo..."
24D3HMZIFNHL,2024-06-04T05:27:00Z,Lyon 4ème,Plateau de la Croix Rousse-Ouest,69004,BUY,APARTMENT,480000.0,62.3,3,,"[ - TRAVAUX EN COURS - ] – LYON – QUARTIER CROIX-ROUSSE – 4ème arrondissement – Découvrez VILLA CRISTAL, une résidence haut de gamme nichée sur les hauteurs de la colline de la Croix-Rousse. Ce progr..."
24I8TBLXJQMI,2022-03-22T06:02:00Z,Rillieux-la-Pape,Crepieux,69140,BUY,APARTMENT,369000.0,79.63,4,,[ NOUVEAUX PRIX - DERNIÈRES OPPORTUNITÉS] // RILLIEUX-LA-PAPE – QUARTIER HISTORIQUE DE CRÉPIEUX Profitez de notre coup de pouce de rentrée avec nos nouveaux prix* (jusqu'à 45 000 euros déjà déduits d...
245U1JBQ1WD1,2024-06-04T05:27:00Z,Lyon 4ème,Plateau de la Croix Rousse-Ouest,69004,BUY,APARTMENT,670000.0,86.0,4,,"[ - TRAVAUX EN COURS - ] – LYON – QUARTIER CROIX-ROUSSE – 4ème arrondissement – Découvrez VILLA CRISTAL, une résidence haut de gamme nichée sur les hauteurs de la colline de la Croix-Rousse. Ce progr..."
24LNK3T7VNXN,2022-03-22T06:02:00Z,Rillieux-la-Pape,Crepieux,69140,BUY,APARTMENT,279000.0,60.68,3,,[ NOUVEAUX PRIX - DERNIÈRES OPPORTUNITÉS] // RILLIEUX-LA-PAPE – QUARTIER HISTORIQUE DE CRÉPIEUX Profitez de notre coup de pouce de rentrée avec nos nouveaux prix* (jusqu'à 45 000 euros déjà déduits d...
25FBTZDII8C6,2025-04-25T04:47:00Z,Loire-sur-Rhône,,69700,BUY,APARTMENT,167500.0,62.3,3,,"DEVENEZ PROPRIÉTAIRE DE VOTRE LOGEMENT, EN BRS... OU EN PSLA ! Choisissez le dispositif d'accession qui vous convient ! Nouveauté : possibilité d'acquérir certains lots du programme en PSLA. Le PSLA ..."
24L9QKDQLCH4,2024-07-04T01:39:00Z,Rillieux-la-Pape,Crepieux,69140,BUY,HOUSE,408500.0,88.89,,,EMMENAGEZ DES MAINTENANT DANS VOTRE APPARTEMENT NEUF A RILLIEUX-LA-PAPE. Appartements 3 pièces et une maison disponibles immédiatement. Découvrez les dernières opportunités au sein d'une résidence ne...
259WL4PF79G6,2025-10-07T10:28:00Z,Rillieux-la-Pape,,69140,BUY,APARTMENT,116440.0,28.0,1,,"3 000 euros de REMISE par pièce + Frais de notaire offerts Du studio au 5 pièces, découvrez une résidence élégante et contemporaine où la nature et l'architecture dialoguent harmonieusement. Les Loge..."
253VAPRLMNHC,2025-10-07T10:28:00Z,Rillieux-la-Pape,,69140,BUY,APARTMENT,149800.0,40.0,2,,"3 000 euros de REMISE par pièce + Frais de notaire offerts Du studio au 5 pièces, découvrez une résidence élégante et contemporaine où la nature et l'architecture dialoguent harmonieusement. Les Loge..."
