id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
2529GCJ7TG9X,2025-11-25T12:42:00Z,Carros,Les Terriers,06510,BUY,HOUSE,450000.0,67.3,3,2,"Carros, dans le quartier recherché des Plans, cette maison mitoyenne contemporaine offre un cadre de vie rare où la lumière, l’espace et le calme composent une harmonie quotidienne. Son jardin de 106..."
253FU4FC45DI,2025-11-24T16:35:00Z,Cagnes-sur-Mer,Saint Jean-L'Hubac,06800,BUY,APARTMENT,273000.0,50.0,2,1,OFFRE EXCEPTIONNELLE Frais de notaire offerts + 5 000 euros par pièce OFFERTS pour les 3 prochains réservataires* UN ÉCRIN DE VERDURE AU CENTRE DE CAGNES-SUR-MER Pour bénéficier de nos offres commerc...
25C5D8Y5WKQ5,2025-11-05T13:44:00Z,Grasse,Saint Jacques Nord,06130,BUY,APARTMENT,325519.0,52.0,2,1,"Villa Marcy – L’élégance retrouvée d’une demeure grassoise À flanc de colline, entre mer et montagne, la Villa Marcy se dresse comme un témoignage vivant de l’art de vivre provençal. Nichée au cœur d..."
25D1Z883F3XS,2025-11-27T09:25:00Z,Nice,Californie,06000,BUY,APARTMENT,595000.0,57.87,3,2,"Nous vous proposons en exclusivité un appartement de type 3 pièces, récemment rénové, situé sur la Promenade des Anglais. Il se trouve dans un immeuble bourgeois avec ascenseur, très bien entretenu, ..."
25ACY59GPAW6,2025-11-29T13:58:00Z,Nice,La Madeleine,06200,BUY,APARTMENT,173665.0,14.38,1,,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service d'exception. Découvrez une présentation soignée de ce bien : des photos pro, un plan détaillé et une visite virtuelle immersi..."
25Z5XBEDVZZQ,2025-11-27T09:25:00Z,Nice,Médecin,06000,BUY,APARTMENT,485000.0,60.0,2,2,"Au cœur de la rue de l'Hôtel des Postes, découvrez ce 3 pièces de 60 m², issu de la réunion de deux lots, situé au 1er étage d’une copropriété bien tenue. L’appartement se compose d’une entrée, d’un ..."
25DL69NVJF4Y,2025-11-27T19:48:00Z,Nice,Saint-Pierre-De-Féric,06000,BUY,APARTMENT,499000.0,90.0,4,3,RARE À LA VENTE Coup de cœur pour ce duplex de 4 pièces de 90 m² ( 78m² carrez plus 12m² hors carrez véranda) avec son entrée indépendante donnant l'impression de vivre comme dans une maison. En exce...
25SHJ4BIZSM3,2025-11-27T17:28:00Z,Menton,Bioves-Casino,06500,BUY,APARTMENT,320000.0,68.0,3,2,"Bienvenue chez Abriculteurs, l'agence familiale qui s'engage à un service d'exception. Découvrez une présentation soignée de ce bien : des photos pro, un plan détaillé et une visite virtuelle immersi..."
25G4X8CK2M5H,2025-11-25T19:16:00Z,Grasse,Saint Francois,06130,BUY,APARTMENT,292000.0,54.0,3,,"Dans un cadre exceptionnel à Grasse, découvrez une résidence au charme unique, idéalement située pour profiter à la fois de la proximité du centre-ville et du calme d'un quartier paisible. Laissez-vo..."
25HGQ4FBHD29,2025-11-24T16:35:00Z,Cagnes-sur-Mer,Saint Jean-L'Hubac,06800,BUY,APARTMENT,375000.0,65.0,3,2,OFFRE EXCEPTIONNELLE Frais de notaire offerts + 5 000 euros par pièce OFFERTS pour les 3 prochains réservataires* UN ÉCRIN DE VERDURE AU CENTRE DE CAGNES-SUR-MER Pour bénéficier de nos offres commerc...
25BX52CNSVXF,2025-02-18T16:58:00Z,Nice,Roquebillière - Bon Voyage,06300,BUY,APARTMENT,270000.0,59.62,3,2,LANCEMENT COMMERCIAL !! Profitez de notre nouvelle Résidence CASA ROCH. FRAIS DE NOTAIRE OFFERT POUR LES 3 PROCHAINS RESERVATAIRES !! Et si votre nouvelle vie commençait ici ? Découvrez notre nouveau...
2358XHSTVEF7,2022-03-08T09:44:00Z,Nice,Pasteur,06000,BUY,APARTMENT,269000.0,44.35,2,,LIVRAISON IMMÉDIATE – FRAIS DE NOTAIRE OFFERTS Profitez dès maintenant des frais de notaire offerts ainsi que d'une remise exceptionnelle de 5 000 € par pièce sur les derniers lots disponibles. Une o...
25IYQKITR1A9,2025-06-18T08:10:00Z,Antibes,Les Prugnons,06600,BUY,APARTMENT,649000.0,92.35,4,,"Achetez votre appartement neuf au coeur d'Antibes, dans un cadre enchanteur, à proximité des plages ! Profitez de nos offres exceptionnelles du moment ! Remise de 10 000 euros et frais de notaire off..."
2522EU1RJ884,2025-06-18T08:10:00Z,Antibes,Les Prugnons,06600,BUY,APARTMENT,421000.0,66.8,3,,"Achetez votre appartement neuf au coeur d'Antibes, dans un cadre enchanteur, à proximité des plages ! Profitez de nos offres exceptionnelles du moment ! Remise de 10 000 euros et frais de notaire off..."
25M6EGQXA2BS,2025-07-12T02:12:00Z,Antibes,Rabiac-La Paganne,06600,BUY,APARTMENT,319000.0,43.5,2,,"LIVRAISON IMMEDIATE // DERNIER ETAGE // Plus que 3 appartements disponibles du 2 au 4 pièces ! // Idéalement située sur l'axe reliant le vieux Antibes à l'arrière-pays, découvrez la résidence Contemp..."
259JHXKKR24M,2023-03-07T17:54:00Z,Antibes,Les Prugnons,06600,BUY,APARTMENT,830000.0,114.38,4,,"DERNIERES OPPORTUNITES x DISPONIBILITE IMMEDIATE Idéalement situé à Antibes au cœur d'un quartier très recherché, calme et arboré, la Villa Gabriel vous charmera par son architecture contemporaine. C..."
234TUAC8UAVK,2023-03-07T17:54:00Z,Antibes,Les Prugnons,06600,BUY,APARTMENT,320000.0,44.68,2,3,"DERNIERES OPPORTUNITES x DISPONIBILITE IMMEDIATE Idéalement situé à Antibes au cœur d'un quartier très recherché, calme et arboré, la Villa Gabriel vous charmera par son architecture contemporaine. C..."
25RP2USI698V,2023-03-07T17:54:00Z,Antibes,Les Prugnons,06600,BUY,APARTMENT,300000.0,42.0,2,,"DERNIERES OPPORTUNITES x DISPONIBILITE IMMEDIATE Idéalement situé à Antibes au cœur d'un quartier très recherché, calme et arboré, la Villa Gabriel vous charmera par son architecture contemporaine. C..."
25HCVLCKYJ7A,2025-06-18T08:09:00Z,Nice,Saint Roch,06000,BUY,APARTMENT,385000.0,60.59,3,,"Dernières opportunités à Nice ! Venez visiter notre appartement décoré et vous projeter dans votre futur chez vous ! Et en plus, profitez de nos offres exceptionnelles du moment: Remise de 10 000 eur..."
25EB7VN34Q8L,2025-09-20T08:10:00Z,Antibes,Les Prugnons,06600,BUY,APARTMENT,360000.0,46.58,2,,"Achetez votre appartement neuf au coeur d'Antibes, dans un cadre enchanteur, à proximité des plages ! Profitez de nos offres exceptionnelles du moment ! Remise de 10 000 euros et frais de notaire off..."
25DM3J27IQ8L,2025-06-18T08:10:00Z,Nice,Saint Roch,06000,BUY,APARTMENT,290000.0,49.72,2,,"Dernières opportunités à Nice ! Venez visiter notre appartement décoré et vous projeter dans votre futur chez vous ! Et en plus, profitez de nos offres exceptionnelles du moment: Remise de 10 000 eur..."
25DADI7VQ8IW,2022-06-08T15:30:00Z,Nice,Roquebillière - Bon Voyage,06300,BUY,APARTMENT,199900.0,59.77,3,2,"TRAVAUX EN COURS !!!L'Aiglon présente un bel immeuble installé au sein de l'impasse Guidotti. Il affiche une architecture contemporaine dessinée avec soin. Elle est animée par des volumes sobres, équ..."
25957AWNKXI8,2025-09-23T10:30:00Z,Antibes,Saint Maymes-Lauvert,06160,BUY,APARTMENT,260000.0,39.0,2,1,"Situé au cœur d’Antibes, ce nouveau projet résidentiel offre un cadre de vie élégant et serein, mêlant confort moderne et charme méditerranéen. Les appartements bénéficient de belles terrasses baigné..."
244E8FUKD8XA,2024-07-02T05:27:00Z,Cagnes sur Mer,Le Cros de Cagnes,06800,BUY,APARTMENT,395000.0,64.34,3,2,"Blue Art, votre nouvelle résidence idéalement située, à 3 min à pied des plages du Cros de Cagnes et du centre ville de Cagnes-sur-Mer, vous bénéficiez d'une situation privilégiée entre Nice et Antib..."
25N3GYKX8DG1,2025-09-18T04:21:00Z,Cagnes sur Mer,Le Cros de Cagnes,06800,BUY,APARTMENT,270000.0,41.53,2,1,"Blue Art, votre nouvelle résidence idéalement située, à 3 min à pied des plages du Cros de Cagnes et du centre ville de Cagnes-sur-Mer, vous bénéficiez d'une situation privilégiée entre Nice et Antib..."
2494HCB687PE,2024-02-24T05:24:00Z,Cagnes sur Mer,Le Cros de Cagnes,06800,BUY,APARTMENT,485000.0,77.4,4,3,"Blue Art, votre nouvelle résidence idéalement située, à 3 min à pied des plages du Cros de Cagnes et du centre ville de Cagnes-sur-Mer, vous bénéficiez d'une situation privilégiée entre Nice et Antib..."
