id,creationDate,city,district,zipCode,distributionType,propertyType,price,surface,nbroom,nbbedroom,description
256B3JPVE9W1,2025-11-24T14:06:00Z,Essertenne-et-Cecey,,70100,BUY,PROJECT,205546,,5,4,"L'agence Primeâ Dijon vous propose cette belle parcelle de 1198 m² constructible à Essertenne-et-Cecey, charmante commune rurale aux portes de la Côte d'Or caractérisée par son cadre paisible et son ..."
25YYNWE78PDP,2025-05-17T03:53:00Z,Saulnot,,70400,BUY,PROJECT,248350,,5,3,"Votre future maison vous attend à SaulnotDécouvrez un projet de construction moderne et personnalisable de 91 m², conçu pour allier confort, élégance et praticité, sur un terrain de 805 m².Caractéris..."
25YUNNNLGQVL,2025-10-12T16:17:00Z,Neurey-Lès-la-Demie,,70000,BUY,PROJECT,218947,,5,4,"Sur ce terrain, nous vous proposons cette maison neuve Aubetière. Avec une surface de 96 m² et équipée de 4 chambres, cette maison traditionnelle est appréciée pour son excellent rapport qualité/prix..."
25KR9RSUG7DV,2025-12-01T12:08:00Z,Faverney,,70160,BUY,HOUSE,265000,129.0,5,4,"A Faverney, joli bourg avec écoles, lycée et commerces, venez découvrir cette belle maison contemporaine de plain-pied, d'une surface de 129 m2 entourée de son jardin clos et arboré de 11 ares 05. L'..."
258I3GHAYAFK,2025-11-22T01:15:00Z,Franchevelle,,70200,BUY,HOUSE,150000,167.0,6,2,"ANCIENNE FERME RENOVEE idéalement située à la campagne sans route passante . Elle se compose : - en rez-de-chaussée : cuisine agencée , cellier, salon , salle à manger. - A l'étage : grande mezzanine..."
251191B4CRKM,2025-12-01T10:59:00Z,Lure,,70200,BUY,HOUSE,270000,305.0,10,7,"Ref BCM 976AC : Je suis heureuse de vous présenter sur le secteur de Lure cette magnifique ancienne ferme rénovée, offrant environ 300 m² habitables et implantée sur un terrain clos de presque 14 are..."
25XPYXTKAS51,2025-12-01T12:07:00Z,Port sur Saone,,70170,BUY,HOUSE,211500,180.0,5,3,"A vendre belle demeure mitoyenne sur 3 niveaux de 1614 avec accès direct à la Saône par le jardin et près de la véloroute par la ""voie bleue"",dans un joli village avec écoles. Ce bien rare se compose..."
25AMX79J52L1,2025-06-26T09:13:00Z,Pesmes,,70140,BUY,HOUSE,640000,250.0,6,3,"Edifiée au coeur de la commune de Pesmes, cette maison d'architecte d'environ 250 m² habitables n'attend plus que vous !! La commune de Pesmes est située dans le département de la Haute-Saône et est ..."
251BXAART2JQ,2025-09-25T07:33:00Z,Fougerolles,,70220,BUY,HOUSE,57900,111.0,4,3,"Au coeur de la jolie petite ville dynamique de Fougerolles, découvrez cette maison de ville lumineuse de 111 m². Ecoles et tous commerces accessibles à pieds. Elle se compose : Au rez-de-chaussée : d..."
25KTMWGR28MV,2025-09-23T05:20:00Z,Luxeuil les Bains,,70300,BUY,HOUSE,124000,136.0,5,3,"Maison proche centre ville d'environ 136 m² comprenant : Au RDC : une entrée desservant un salon / séjour, une cusine, un wc, un cellier / chaufferie, un grand garage avec grand grenier sur le dessus..."
25NV4QE5DHJC,2025-06-03T09:39:00Z,Polaincourt et Clairefontaine,,70210,BUY,HOUSE,98500,117.0,5,3,"Laetitia Régent, Les Agents vous propose de découvrir cette charmante maison de village indépendante d'environ 117m2 habitables située à Polaincourt-Clairefontaine. Elle se compose en rdc : cuisine a..."
25ANY7DAP8BL,2025-07-11T18:25:00Z,Fougerolles Saint Valbert,,70220,BUY,HOUSE,155000,195.0,8,6,"EXCLUSIVITE ALLIANCE A SEULEMENT 8 KMS DE LUXEUIL, GRANDE MAISON FAMILIALE AVEC 6 CHAMBRES ou SPECIAL INVESTISSEUR POUR REALISER PLUSIEURS APPARTEMENTS. 1. MAISON D'HABITATION DE 1970 d'ENVIRON 130M2..."
24EAS55V821P,2024-12-09T14:50:00Z,Chateney,,70240,BUY,HOUSE,379000,216.0,6,3,"Exclusivité Suisse-immo !! Sur un axe Vesous, Luxeuil, Lure, je vous invite à découvrir ce magnifique pavillon sur sous-sol de 216M2 habitable posé sur 7200M2 de terrain clos et se composant: - En RD..."
25H3VWWKRHTP,2025-06-26T13:26:00Z,Fougerolles,,70220,BUY,HOUSE,87000,110.0,4,3,"MAISON SECONDAIRE, GITE OU DE 1ERE ACQUISITION EXCLUSIVITE ALLIANCE ELLE SE COMPOSE : RDC : Entrée, cuisine avec poêle à bois, salon/séjour, WC et salle de bain. 1ER NIVEAU : Dégagement et 2 grandes ..."
248R3HZ8R46Y,2024-11-11T15:02:00Z,Chauvirey le Chatel,,70500,BUY,HOUSE,125000,134.0,4,2,"Exclusivité Suisse-immo Nichée au coeur d'un petit village historique de Haute-Saône à 15 Mns de Jussey et aux portes des Vosges, je vous invite à découvrir cette jolie maison mitoyenne de 134M2 comp..."
24S8IN17PD1L,2023-10-06T22:26:00Z,Villers les Luxeuil,,70300,BUY,HOUSE,98000,161.0,6,3,"UNE ANCIENNE FERME HABITABLE COMPOSEE DE : ENTREE DEGAGEMENT , CUISINE , SALON SALLE A MANGER , SEJOUR , SALLE DE BAINS WC , GRANGE AMENAGEE , ECURIE , CHAUFFERIE , A L ETAGE : 3 GRANDES CHAMBRES , G..."
255CJZ7CJEHL,2025-09-17T13:21:00Z,Vauvillers,,70210,BUY,HOUSE,57000,160.0,6,4,"Maison d'habitation ou projet professionnel au CENTRE de VAUVILLERS D'une surface de 160m² , habitable de suite, 4 chambres , terrasse, garage EXCLUSIVITE ALLIANCE Elle est composée : Au RDC : Une en..."
252CHV1NVPVQ,2025-09-30T21:58:00Z,La Montagne,,97417,BUY,APARTMENT,119215,42.0,2,1,"À vendre F2 meublé de 42 m2 avec un espace extérieur. Situé au centre de la Montagne à Saint Denis, proche des commodité. l'appartement est entièrement meublé. Une chambre avec lit et placard , séjou..."
25K3CNWZ9GU3,2025-09-28T08:07:00Z,Ormoy,,70500,BUY,HOUSE,79000,85.0,3,2,"Laetitia Régent, Les Agents vous propose à la vente cette charmante maison de village mitoyenne d'une surface habitable d'environ 85m2 sur la commune d'Ormoy. En rdc, elle se compose d'une jolie cuis..."
25GYCCYPW7CU,2025-07-22T17:09:00Z,Briaucourt,,70800,BUY,HOUSE,148000,163.0,8,6,"Laetitia Régent, Les Agents vous propose de découvrir cette charmante maison de village indépendante d'environ 163m2 habitables située à Briaucourt. La première partie se compose en rdc : cuisine équ..."
24GBHHNMAPCD,2024-11-08T07:32:00Z,Vesoul,Jean-Jaurès-Petit-Banque,70000,BUY,HOUSE,92000,76.0,3,2,"A Vesoul dans quartier recherché venez découvrir en exclusivité cette jolie maison située dans une rue calme et près de toutes commodités, d'une superficie de 76 m2 sur 3.22 ares de terrain comprenan..."
24752VEL1BCY,2024-10-10T10:08:00Z,Bouhans-Lès-Montbozon,,70230,BUY,HOUSE,649000,1400.0,23,3,"Bouhans les Montbozon, joli petit village haut-Saônois situé à 25kms de Vesoul, 120Kms de Bâle et proche de l'A36 (20kms), Suisse-Immo vous propose à la vente ce très joli château du 18 et 19ème sièc..."
25KXWLIPZD8M,2025-08-27T13:58:00Z,Amance,,70160,BUY,HOUSE,96500,135.0,5,4,"Laetitia Régent, Les Agents, vous invite à découvrir cette jolie maison de village entièrement rénovée de 135 m² habitables situé à Amance. Dès l'entrée, vous serez séduit par un espace spacieux et a..."
25I2UPUNG12X,2025-11-17T19:24:00Z,Héricourt,Faubourg de Belfort,70400,BUY,HOUSE,114900,61.0,3,2,"Votre agence Orpi vous propose en exclusivité dans la commune d'Héricourt, à proximité de l'ensemble des commodités une charmante maison de plain-pied, lumineuse et fonctionnelle. Située dans une imp..."
25HL9AIPAMRE,2025-11-22T10:38:00Z,Gray,,70100,BUY,APARTMENT,45000,64.58,3,2,"À vendre – Appartement T3 lumineux à Gray (70) Situé dans une rue calme de la commune de Gray, à deux pas de toutes les commodités (commerces, écoles, services), venez découvrir cet agréable appartem..."
254FMYWLJM7C,2025-11-26T18:19:00Z,Jussey,,70500,BUY,HOUSE,50000,108.0,3,2,"Exclusivité Optimhome, Aline Marchand vous propose cette maison de campagne à deux pas du centre ville de Jussey Perchée sur les hauteurs, à l'orée du bois de ce bourg dynamique offrant tous commerce..."
25HZBHQ7LP2C,2025-08-18T19:19:00Z,Héricourt,Faubourg de Montbéliard,70400,BUY,HOUSE,141900,125.0,7,4,"Située dans un quartier calme et recherché d'Héricourt, cette vaste ancienne ferme offre de multiples possibilités d'aménagement. Cette grande maison est composée de 7 pièces spacieuses et de nombreu..."
254S2R733XS6,2025-11-14T20:54:00Z,Saint-Loup-sur-Semouse,,70800,BUY,HOUSE,174000,100.0,4,3,"SAINT-LOUP-SUR-SEMOUSE, Située dans un lotissement très calme. Maison de plain-pied (2007) en ossature bois de 100m² comprenant : Une entrée, cuisine équipée ouverte sur salon-séjour de 38m² avec poê..."
